# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v5.8 on 2024-02-14 at 11:28:27
#
# Requested input R.A. = 233.41867324 degrees
# Requested input Dec. = 34.47894556 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460157.5 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 678 11 2 ZTF_r 443416004115 0 1.8758 137.539 6.44705 26.0893 5.099e-06 0.0223727 0.109011 9.06493e-06 586 30. 0.04315 0.051857 20.2903 26.0893 1 2458197.9160069 678120241 13.22557741931 29.063145 0.506205 0.883522 -2.44994845619 54.559490 -0.045207 1.049433 0.239769354517188 22.7120000362396 0.228000000119209 1.04200005531311 -0.379000008106232 2458160.989132 2458217.967326 0
 1 678 11 2 ZTF_r 444379064115 0 2.1384 138.721 7.11185 26.1027 5.0545e-06 0.0233339 0.107896 8.95663e-06 625 30. 0.049405 0.054426 20.1441 26.1027 2 2458198.8790625 678120241 18.79778453126 31.183886 0.670550 0.944698 20.02533024862 55.781803 0.361412 1.055961 0.239769354517188 22.7120000362396 0.228000000119209 1.04200005531311 -0.379000008106232 2458160.989132 2458217.967326 0
 2 678 11 2 ZTF_r 444398144115 0 1.7948 177.626 5.93017 26.3696 5.051e-06 0.0232051 0.110962 8.91245e-06 627 30. 0.047412 0.048085 20.7178 26.3696 2 2458198.8981481 678120241 21.75533200439 24.540169 0.986150 0.918713 13.47237378741 46.247723 0.293271 1.050576 0.239769354517188 22.7120000362396 0.228000000119209 1.04200005531311 -0.379000008106232 2458160.989132 2458217.967326 0
 3 678 11 2 ZTF_r 444435554115 0 2.0565 178.406 5.74158 26.3829 4.2347e-06 0.0212848 0.113635 7.51862e-06 624 30. 0.04827 0.052909 20.7041 26.3829 2 2458198.9355556 678120241 10.30194358943 27.546566 0.416013 0.870273 35.11617454404 49.377731 0.715964 1.056572 0.239769354517188 22.7120000362396 0.228000000119209 1.04200005531311 -0.379000008106232 2458160.989132 2458217.967326 0
 4 678 11 2 ZTF_r 444456044115 0 1.8513 178.976 5.80234 26.3761 5.7661e-06 0.0248335 0.112393 1.02365e-05 623 30. 0.053335 0.048416 20.7774 26.3761 2 2458198.9560417 678120241 -5.68561847024 24.610262 -0.256990 0.983665 -32.49111944119 45.977146 -0.711439 1.054916 0.239769354517188 22.7120000362396 0.228000000119209 1.04200005531311 -0.379000008106232 2458160.989132 2458217.967326 0
 5 678 11 2 ZTF_r 444462284115 0 1.639 163.421 6.2567 26.2659 5.514e-06 0.0243167 0.114199 9.78706e-06 623 30. 0.052562 0.050349 20.6342 26.2659 2 2458198.9622801 678120241 9.22803582537 23.957287 0.428476 1.070469 53.4409521128 45.365669 1.185938 1.056584 0.239769354517188 22.7120000362396 0.228000000119209 1.04200005531311 -0.379000008106232 2458160.989132 2458217.967326 0
 6 678 11 2 ZTF_r 444480744115 0 2.0578 177.572 5.7454 26.3545 5.464e-06 0.0241674 0.116599 9.78544e-06 620 30. 0.051142 0.05789 20.8175 26.3545 2 2458198.9807407 678120241 11.55119185611 25.024935 0.513462 0.958669 -3.29247995805 43.718212 -0.075819 1.075203 0.239769354517188 22.7120000362396 0.228000000119209 1.04200005531311 -0.379000008106232 2458160.989132 2458217.967326 0
 7 678 11 2 ZTF_g 448378244115 0 2.7057 185.056 5.4882 26.3171 8.3478e-06 0.0297589 -0.0425115 1.50734e-05 612 30. 0.057916 0.05697 20.5055 26.3171 2 2458202.8782407 678120141 -48.50998720574 28.442085 -1.897250 0.973570 -64.04247822448 44.148674 -1.460379 1.107347 null null null null null 2458166.987847 2458204.959410 57
 8 678 11 2 ZTF_g 449358584115 0 2.6319 181.505 7.7938 26.3269 1.31703e-05 0.0364969 -0.0764758 2.48874e-05 591 30. 0.055326 0.05622 20.0891 26.3269 2 2458203.858588 678120141 -33.04924583826 38.864147 -0.945948 1.025887 -86.85865098819 62.114689 -1.407777 1.079414 null null null null null 2458166.987847 2458204.959410 57
