,MJD,Phase,Filter,ShiftedFilter,Wavelength,ShiftedWavelength,Flux,ShiftedFlux,Fluxerr,ShiftedFluxerr,Mag,ShiftedMag,Magerr,Nondetection
0,59998.06237775,339.96503773990116,c,c,4310.389272857143,4310.389272857143,2.826353876763252e-17,-1.5348135857638727,1.0097455147606902e-17,0.35726082394079167,20.74791877113795,3.8612071975348528,0.35726082394079167,False
1,59851.02985625,192.93251623990363,c,c,5464.51321,5464.51321,5.0340020468687167e-17,-1.2841267352015127,5.034002046868717e-18,0.1,20.121201644732057,3.2344900711289597,0.1,True
2,59855.1215805,197.0242404899036,c,c,5464.51321,5464.51321,4.301534965802578e-17,-1.3524166655096987,4.301534965802578e-18,0.1,20.29192647050252,3.405214896899423,0.1,True
3,59870.26008825,212.16274823989806,c,c,5464.51321,5464.51321,4.5463398105761323e-17,-1.328378229592877,4.5463398105761325e-18,0.1,20.231830380710463,3.345118807107365,0.1,True
4,59873.2724805,215.17514048990415,c,c,4310.389272857143,4310.389272857143,4.37924295063826e-17,-1.3446410834514158,4.37924295063826e-18,0.1,20.27248751535681,3.385775941753714,0.1,True
5,59874.27278033333,216.1754403232335,c,c,4310.389272857143,4310.389272857143,4.964065731553809e-17,-1.2902025994373556,4.964065731553809e-18,0.1,20.136391305321663,3.2496797317185653,0.1,True
6,59877.270497000005,219.1731569899057,c,c,4310.389272857143,4310.389272857143,4.650205004884829e-17,-1.3185680237617827,4.650205004884829e-18,0.1,20.207304866132727,3.3205932925296295,0.1,True
7,59878.26406225,220.16672223989735,c,c,4310.389272857143,4310.389272857143,4.83131510048845e-17,-1.301974759715078,4.8313151004884504e-18,0.1,20.165821706015965,3.2791101324128675,0.1,True
8,59883.27341074999,225.17607073989348,c,c,4310.389272857143,4310.389272857143,3.6569712008705124e-17,-1.4229185827764699,3.656971200870513e-18,0.1,20.468181263669447,3.581469690066349,0.1,True
9,59886.349108999995,228.25176898989594,c,c,5464.51321,5464.51321,4.989730900845269e-17,-1.2879629985065097,4.9897309008452694e-18,0.1,20.130792302994546,3.244080729391449,0.1,True
10,59903.97777425,245.88043423990166,c,c,5464.51321,5464.51321,3.980674394769069e-17,-1.3860834677332523,3.980674394769069e-18,0.1,20.3760934760614,3.4893819024583017,0.1,True
11,59906.690903857154,248.5935638470546,c,c,4310.389272857143,4310.389272857143,3.052429981528123e-17,-1.50139441237822,3.052429981528123e-18,0.1,20.664370837673825,3.777659264070728,0.1,True
12,59910.8813802,252.78404018990113,c,c,5464.51321,5464.51321,4.0498605683462257e-17,-1.3786000517476626,4.049860568346226e-18,0.1,20.35738493609743,3.470673362494331,0.1,True
13,59911.943311,253.84597098990344,c,c,5464.51321,5464.51321,1.0706468326617869e-16,-0.9563938864560129,1.070646832661787e-17,0.1,19.301869522868305,2.4151579492652075,0.1,True
14,59916.0645135,257.96717348990205,c,c,5464.51321,5464.51321,3.729716750843317e-17,-1.414364271948239,3.729716750843317e-18,0.1,20.446795486598873,3.5600839129957755,0.1,True
15,59931.14834625,273.0510062398971,c,c,5464.51321,5464.51321,4.831202344686984e-17,-1.301984895628964,4.831202344686984e-18,0.1,20.16584704580068,3.2791354721975843,0.1,True
16,59934.21065833333,276.1133183232305,c,c,5464.51321,5464.51321,4.488104325649179e-17,-1.3339771794936137,4.488104325649179e-18,0.1,20.245827755462305,3.359116181859207,0.1,True
17,59935.245263749996,277.1479237398962,c,c,4310.389272857143,4310.389272857143,4.1909983810450364e-17,-1.363722629932992,4.1909983810450366e-18,0.1,20.32019138156075,3.433479807957653,0.1,True
18,59938.2045105,280.10717048990045,c,c,5464.51321,5464.51321,4.4718408310474855e-17,-1.3355537859561455,4.4718408310474855e-18,0.1,20.249769271618636,3.363057698015538,0.1,True
19,59941.21241574999,283.11507573989365,c,c,5464.51321,5464.51321,4.1144866469629847e-17,-1.371724465786146,4.114486646962985e-18,0.1,20.340195971193634,3.453484397590536,0.1,True
20,59942.199961000006,284.1026209899064,c,c,5464.51321,5464.51321,3.980674394769069e-17,-1.3860834677332523,3.980674394769069e-18,0.1,20.3760934760614,3.4893819024583017,0.1,True
21,59958.91683725,300.81949723989965,c,c,4310.389272857143,4310.389272857143,5.108022436673848e-17,-1.2777873267944582,5.108022436673849e-18,0.1,20.10535312371442,3.2186415501113217,0.1,True
22,59959.8848285,301.78748848989926,c,c,5464.51321,5464.51321,3.7031124383883463e-17,-1.41747322417668,3.703112438388346e-18,0.1,20.45456786716997,3.567856293566873,0.1,True
23,59960.90998925,302.8126492399024,c,c,4310.389272857143,4310.389272857143,4.1144866469629847e-17,-1.371724465786146,4.114486646962985e-18,0.1,20.340195971193634,3.453484397590536,0.1,True
24,59962.91419,304.81684998990386,c,c,5464.51321,5464.51321,8.110471444685117e-17,-1.0769940234300304,8.110471444685117e-18,0.1,19.603369865303346,2.7166582917002486,0.1,True
25,59963.917674000004,305.8203339899046,c,c,4310.389272857143,4310.389272857143,3.9134714078332675e-17,-1.3934779578280168,3.9134714078332675e-18,0.1,20.394579701298316,3.507868127695218,0.1,True
26,59964.901674,306.80433398990135,c,c,4310.389272857143,4310.389272857143,3.96491708642932e-17,-1.3878060131344707,3.96491708642932e-18,0.1,20.380399839564447,3.4936882659613495,0.1,True
27,59967.852334999996,309.75499498989666,c,c,4310.389272857143,4310.389272857143,3.810106257692578e-17,-1.4051030353875635,3.8101062576925785e-18,0.1,20.423642395197184,3.536930821594087,0.1,True
28,59987.107478000005,329.01013798990607,c,c,5464.51321,5464.51321,5.058420812551475e-17,-1.2820251673158527,5.0584208125514754e-18,0.1,20.115947725017907,3.22923615141481,0.1,True
29,59991.13599275,333.0386527399023,c,c,5464.51321,5464.51321,4.650205004884829e-17,-1.3185680237617827,4.650205004884829e-18,0.1,20.207304866132727,3.3205932925296295,0.1,True
30,59994.07016775,335.9728277398972,c,c,4310.389272857143,4310.389272857143,4.2627691520814444e-17,-1.356348308696612,4.262769152081445e-18,0.1,20.301755578469805,3.415044004866708,0.1,True
31,59995.065151,336.9678109899032,c,c,5464.51321,5464.51321,4.017436220709529e-17,-1.3820911322057956,4.0174362207095294e-18,0.1,20.366112637242765,3.479401063639667,0.1,True
32,60017.805291,359.70795098989765,c,c,5464.51321,5464.51321,4.0552357223425576e-16,-0.37802401909400984,4.055235722342558e-17,0.1,17.8559448544633,0.9692332808602018,0.1,True
33,60021.8080685,363.710728489903,c,c,5464.51321,5464.51321,6.832287193288485e-17,-1.1514740094896023,6.832287193288485e-18,0.1,19.789569830452276,2.9028582568491785,0.1,True
34,60024.75379075,366.65645073990163,c,c,4310.389272857143,4310.389272857143,4.0498370973566926e-17,-1.3786025687110506,4.049837097356693e-18,0.1,20.3573912285059,3.4706796549028027,0.1,True
35,60049.0263545,390.9290144898987,c,c,5464.51321,5464.51321,6.839768817632528e-17,-1.1509987000716126,6.839768817632529e-18,0.1,19.788381556907307,2.9016699833042097,0.1,True
36,60058.0424815,399.9451414899013,c,c,5464.51321,5464.51321,6.799379442293129e-17,-1.153570845161111,6.799379442293129e-18,0.1,19.794811919631048,2.9081003460279504,0.1,True
37,59654.26610425,-3.8312357601025724,o,o,6961.35923,6961.35923,7.229667357150126e-16,-0.12692180748837956,2.0588476304065395e-17,0.028477764310557714,16.9653329123144,0.07862133871130084,0.028477764310557714,False
38,59655.4201765,-2.677163510095852,o,o,6961.35923,6961.35923,9.376591743830156e-16,-0.013995115734463326,1.171090553474793e-17,0.01248951202600216,16.68301618292961,-0.20369539067348796,0.01248951202600216,False
39,59656.533932,-1.5634080101008294,o,o,5760.574455434694,5760.574455434694,1.067316159144651e-15,0.04225296168377746,2.0874378730345646e-17,0.019557821317981738,16.54239598938401,-0.34431558421908903,0.019557821317981738,False
