MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
59687.940053 -20.895  1.347   -16   21 o  0   1.13 193.30083  -6.38523  6873.16  1229.52 2.55 2.05 -51.5 -0.421 18.78 19.16 03a59688o0492o
59687.943726 -20.194  0.886   -30   27 o  0   0.80 193.30083  -6.38523  6890.10  1268.97 2.59 2.03 -52.0 -0.418 18.76 19.16 03a59688o0500o
59687.949772  19.927  0.593    39   23 o  0   1.03 193.30083  -6.38523  6831.92  1191.22 2.52 2.06 -51.4 -0.415 18.80 19.15 03a59688o0513o
59687.963215 -22.565  6.654    -3   23 o  0   1.17 193.30083  -6.38523  6805.58  1308.39 2.56 2.03 -54.5 -0.421 18.74 19.12 03a59688o0535o
59688.417159 -20.292  0.992   -28   28 o  0   1.00 193.30083  -6.38523  7786.54  2904.33 2.25 2.00  41.1 -0.411 18.59 18.98 02a59688o0421o
59688.420381  21.109  1.735    13   23 o  0   1.14 193.30083  -6.38523  7767.99  2867.82 2.22 1.96  42.7 -0.422 18.48 18.89 02a59688o0428o
59688.425888  18.761  0.596   114   68 o  0   0.93 193.30083  -6.38523  7825.35  2944.84 2.18 1.94  40.8 -0.426 17.63 17.87 02a59688o0440o
59688.436452  19.681  1.372    49   67 o  0   1.25 193.30083  -6.38523  7846.21  2831.74 2.26 2.05  44.4 -0.418 17.44 17.77 02a59688o0463o
59690.415447 -20.811  0.957   -17   16 o  0   1.45 193.30083  -6.38523  8645.03  7305.94 2.82 2.74 -57.1 -0.457 19.18 20.35 01a59690o0430o
59690.419099  22.690  6.467     3   20 o  0   1.12 193.30083  -6.38523  8667.42  7345.68 2.99 2.90 -76.5 -0.431 19.11 20.33 01a59690o0438o
59690.425685   0.000 20.825     0   17 o  0   1.26 193.30083  -6.38523  8606.97  7268.44 2.77 2.76  83.7 -0.462 19.11 20.26 01a59690o0452o
59690.442309 -21.810  2.694    -7   18 o  0   1.39 193.30083  -6.38523  8592.03  7387.10 2.82 2.77  80.2 -0.454 19.04 20.10 01a59690o0488o
59691.171297 -24.730 33.000    -0   15 o  0   1.01 193.30083  -6.38523  9013.35  4984.47 2.50 2.11 -17.1 -0.419 19.22 20.50 04a59691o0400o
59691.174451  20.267  0.545    28   16 o  0   1.12 193.30083  -6.38523  9033.80  5020.83 2.51 2.06 -17.2 -0.411 19.17 20.43 04a59691o0407o
59691.179866  20.992  0.977    15   14 o  0   1.15 193.30083  -6.38523  8977.54  4938.66 2.60 2.19 -17.8 -0.402 19.13 20.38 04a59691o0419o
59691.190879  20.396  0.552    25   14 o  0   1.54 193.30083  -6.38523  8961.82  5045.72 2.54 2.06 -16.2 -0.408 19.14 20.35 04a59691o0443o
59692.409615  18.684  0.337   122   41 c  0   1.34 193.30083  -6.38523 10071.38  9615.19 2.96 2.60  32.5 -0.387 17.42 19.21 02a59692o0305c
59692.412814  18.722  0.205   118   24 c  0   1.41 193.30083  -6.38523 10051.44  9575.31 2.87 2.61  35.0 -0.385 18.69 20.49 02a59692o0312c
59692.420210  18.246  0.073   183   13 c  0   1.34 193.30083  -6.38523 10111.32  9655.89 2.89 2.60  34.2 -0.387 19.48 21.40 02a59692o0328c
59692.430021  18.201  0.120   190   23 c  0   1.16 193.30083  -6.38523 10130.38  9540.46 2.86 2.63  35.4 -0.383 19.21 21.12 02a59692o0349c
59694.385843  16.833  0.026   671   17 o  0   1.24 193.30083  -6.38523  8639.48  7305.96 2.88 2.78 -52.7 -0.451 19.33 20.77 01a59694o0360o
59694.389511  16.798  0.024   693   16 o  0   1.69 193.30083  -6.38523  8660.97  7344.95 2.90 2.80 -49.1 -0.447 19.34 20.76 01a59694o0368o
59694.395910  16.830  0.025   673   17 o  0   1.90 193.30083  -6.38523  8601.65  7268.81 2.90 2.80 -42.4 -0.448 19.32 20.74 01a59694o0382o
59694.406241  16.780  0.021   705   15 o  0   2.23 193.30083  -6.38523  8586.63  7386.23 2.88 2.81 -56.0 -0.447 19.31 20.74 01a59694o0404o
59695.140196  16.554  0.019   868   16 o  0   2.73 193.30083  -6.38523  9001.57  5004.29 2.38 2.05 -12.0 -0.420 19.29 20.62 04a59695o0409o
59695.143349  16.550  0.020   871   18 o  0   2.66 193.30083  -6.38523  9022.94  5039.83 2.47 2.04 -10.2 -0.425 19.26 20.62 04a59695o0416o
59695.149214  16.613  0.022   822   18 o  0   2.16 193.30083  -6.38523  8968.32  4956.14 2.42 1.96 -15.8 -0.432 19.27 20.61 04a59695o0429o
59695.159524  16.571  0.022   854   19 o  0   2.67 193.30083  -6.38523  8954.00  5061.17 2.43 1.98 -14.0 -0.424 19.26 20.57 04a59695o0451o
59696.387467  16.017  0.013  1424   18 c  0   4.14 193.30083  -6.38523 10071.36  9610.09 2.95 2.68  31.5 -0.378 19.46 21.37 02a59696o0345c
59696.390677  15.967  0.012  1490   19 c  0   4.78 193.30083  -6.38523 10052.60  9572.70 2.95 2.67  31.5 -0.380 19.49 21.37 02a59696o0352c
59696.422970  15.973  0.012  1482   18 c  0   3.50 193.30083  -6.38523 10104.80  9652.18 2.87 2.70  39.2 -0.377 19.45 21.32 02a59696o0421c
59696.428913  15.984  0.014  1467   20 c  0   2.18 193.30083  -6.38523 10126.05  9537.74 2.90 2.74  35.7 -0.378 19.42 21.31 02a59696o0434c
59698.390517  15.686  0.016  1930   32 o  0   1.43 193.30083  -6.38523  6709.62  7442.37 2.76 2.66 -46.3 -0.468 18.72 20.16 01a59698o0361o
59698.396040  15.730  0.017  1854   31 o  0   1.39 193.30083  -6.38523  6730.95  7481.38 2.74 2.67  46.7 -0.462 18.68 20.09 01a59698o0373o
59698.403583  15.762  0.019  1800   35 o  0   1.56 193.30083  -6.38523  6672.34  7405.41 2.68 2.67 -28.6 -0.469 18.59 19.94 01a59698o0389o
59698.406877  15.675  0.020  1950   39 o  0   1.25 193.30083  -6.38523  6656.47  7521.99 2.72 2.68  42.4 -0.464 18.44 19.84 01a59698o0396o
59699.139262  15.498  0.016  2296   38 o  0   3.19 193.30083  -6.38523  2964.39  1411.44 2.07 1.91  18.8 -0.421 18.81 20.23 04a59699o0417o
59699.142431  15.498  0.012  2295   27 o  0   6.78 193.30083  -6.38523  2986.00  1447.93 1.94 1.89   8.4 -0.439 19.26 20.70 04a59699o0424o
59699.147984  15.525  0.014  2239   32 o  0   5.20 193.30083  -6.38523  2930.48  1363.50 2.09 1.88  33.4 -0.459 19.04 20.51 04a59699o0436o
59699.160820  15.508  0.014  2275   32 o  0   4.66 193.30083  -6.38523  2918.02  1464.71 2.02 1.82  43.0 -0.435 18.72 20.17 04a59699o0462o
59700.372356  15.077  0.007  3382   23 c  0   7.22 193.30083  -6.38523  4675.84  1350.51 2.51 2.38  77.5 -0.418 19.47 21.16 02a59700o0313c
59700.375553  15.070  0.007  3406   23 c  0   5.88 193.30083  -6.38523  4658.05  1312.81 2.48 2.36  78.6 -0.418 19.46 21.13 02a59700o0320c
