MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
59639.604579 -20.434  0.474   -24   12 c  0   1.01 278.35567  44.08657  5928.42  7046.64 2.68 2.41  38.3 -0.404 19.46 21.53 02a59639o0853c
59639.610074 -23.534  7.571    -1   11 c  0   1.77 278.35567  44.08657  5948.49  7084.81 2.75 2.37  49.6 -0.408 19.42 21.56 02a59639o0864c
59639.614038  21.573  1.415     8   12 c  0   1.14 278.35567  44.08657  5889.30  7007.66 2.64 2.31  58.2 -0.417 19.37 21.56 02a59639o0872c
59639.627541 -21.057  1.018   -14   14 c  0   1.35 278.35567  44.08657  5870.68  7123.44 2.51 2.18  73.4 -0.430 19.19 21.68 02a59639o0899c
59645.586630  20.904  0.890    16   14 o  0   1.37 278.35567  44.08657  2180.80  1682.87 3.02 2.91 -48.6 -0.473 19.29 21.00 01a59645o0820o
59645.589821  19.728  0.310    47   14 o  0   1.36 278.35567  44.08657  2160.51  1642.35 3.14 2.99 -44.3 -0.470 19.29 21.02 01a59645o0827o
59645.596237  20.097  0.523    33   17 o  0   0.82 278.35567  44.08657  2225.60  1721.04 3.02 2.91 -48.2 -0.478 19.34 21.04 01a59645o0841o
59645.609508  19.969  0.403    37   15 o  0   1.29 278.35567  44.08657  2245.53  1604.81 2.89 2.85 -47.3 -0.475 19.35 21.02 01a59645o0870o
59647.634694  19.217  0.262    75   20 c  0   1.24 278.35567  44.08657  3969.13  7145.68 2.63 2.29  69.2 -0.427 18.90 21.64 02a59647o0623c
59647.638714  19.105  0.180    83   15 c  0   2.06 278.35567  44.08657  3988.61  7184.52 2.60 2.26  68.4 -0.426 18.93 21.65 02a59647o0631c
59647.646282  19.606  0.339    52   18 c  0   1.09 278.35567  44.08657  3928.94  7106.15 2.51 2.21  69.4 -0.430 18.97 21.66 02a59647o0646c
59647.658396  18.945  0.283    96   27 c  0   1.71 278.35567  44.08657  3914.79  7222.13 2.61 2.26  70.3 -0.422 18.38 21.31 02a59647o0670c
59649.593464  18.150  0.060   199   12 c  0   0.93 278.35567  44.08657  3965.73  7142.83 2.49 2.47  36.9 -0.401 19.57 21.54 02a59649o0749c
59649.598500  18.169  0.052   196   10 c  0   1.99 278.35567  44.08657  3984.82  7182.50 2.54 2.49  37.9 -0.398 19.58 21.53 02a59649o0760c
59649.606311  18.323  0.072   170   12 c  0   0.80 278.35567  44.08657  3921.42  7104.21 2.46 2.41  43.9 -0.405 19.61 21.54 02a59649o0777c
59649.610474  18.286  0.057   176   10 c  0   1.91 278.35567  44.08657  3900.63  7220.15 2.63 2.41  39.9 -0.389 19.57 21.54 02a59649o0786c
59653.605367  17.655  0.321   315  101 o  0   0.83 278.35567  44.08657  8214.06  1766.56 2.91 2.77 -66.0 -0.486 17.32 17.88 01a59653o0450o
59653.608577  17.257  0.068   454   31 o  0   1.44 278.35567  44.08657  8193.73  1727.48 3.00 2.86 -63.7 -0.472 18.35 19.29 01a59653o0457o
59653.614616  17.453  0.050   379   19 o  0   1.46 278.35567  44.08657  8254.83  1802.96 3.16 3.12  52.0 -0.430 18.95 20.22 01a59653o0470o
59653.633401  17.291  0.040   440   18 o  0   0.88 278.35567  44.08657  8275.60  1681.47 2.90 2.87  80.0 -0.442 19.27 20.83 01a59653o0511o
59654.549826  17.165  0.051   494   25 o  0   1.36 278.35567  44.08657  5487.24  3093.29 2.71 2.18  39.9 -0.426 18.66 19.18 02a59654o0725o
59654.553963  17.177  0.047   489   23 o  0   1.58 278.35567  44.08657  5506.13  3134.21 2.41 1.96  40.2 -0.446 18.76 19.14 02a59654o0734o
59654.563580  17.127  0.051   512   26 o  0   1.10 278.35567  44.08657  5449.09  3055.04 2.37 2.00  38.8 -0.435 18.75 19.19 02a59654o0755o
59654.574137  17.209  0.050   475   24 o  0   1.18 278.35567  44.08657  5430.35  3171.22 2.62 2.24  51.8 -0.421 18.75 19.33 02a59654o0778o
59655.579220  17.089  0.059   530   31 o  0   0.84 278.35567  44.08657  8207.21  1779.49 2.63 2.50 -60.9 -0.520 18.64 19.20 01a59655o0751o
59655.581588  17.117  0.056   517   29 o  0   1.09 278.35567  44.08657  8186.28  1735.03 2.69 2.43 -57.7 -0.551 18.60 19.17 01a59655o0756o
59655.589382  16.947  0.103   604   62 o  0   1.32 278.35567  44.08657  8249.18  1814.59 2.61 2.45 -58.0 -0.543 17.71 17.98 01a59655o0773o
59655.599868  17.270  0.087   449   39 o  0   1.10 278.35567  44.08657  8269.17  1695.57 2.65 2.52 -60.2 -0.533 18.15 18.57 01a59655o0796o
59657.585227  16.864  0.043   652   28 o  0   0.99 278.35567  44.08657  5497.79  3094.03 2.54 2.00  36.9 -0.448 18.74 19.18 02a59657o0804o
59657.595317  16.790  0.031   698   22 o  0   1.65 278.35567  44.08657  5515.33  3131.87 2.46 1.95  41.0 -0.443 18.81 19.24 02a59657o0826o
59657.600874  16.850  0.036   661   24 o  0   1.59 278.35567  44.08657  5457.80  3054.82 2.42 1.93  44.1 -0.449 18.82 19.27 02a59657o0838o
59657.605027  16.852  0.032   660   21 o  0   1.85 278.35567  44.08657  5438.88  3171.59 2.42 2.01  39.9 -0.445 18.83 19.29 02a59657o0847o
59657.621814  16.913  0.049   624   31 o  0   1.16 278.35567  44.08657  7023.50  7383.58 2.93 2.83  52.2 -0.461 18.71 19.54 01a59657o0898o
59657.632784  16.804  0.043   689   30 o  0   1.54 278.35567  44.08657  7003.85  7341.07 2.97 2.81  51.8 -0.455 18.79 19.60 01a59657o0921o
59657.637373  16.892  0.044   635   28 o  0   1.33 278.35567  44.08657  7062.83  7417.20 2.93 2.83  61.8 -0.459 18.78 19.60 01a59657o0931o
59657.646585  16.904  0.053   629   34 o  0   1.16 278.35567  44.08657  7080.90  7298.84 2.83 2.75  49.2 -0.471 18.67 19.38 01a59657o0949o
