,MJD,Phase,Filter,ShiftedFilter,Wavelength,ShiftedWavelength,Flux,ShiftedFlux,Fluxerr,ShiftedFluxerr,Mag,ShiftedMag,Magerr,Nondetection
0,53616.434633,-58.51691300071252,r',r',6260.0,6260.0,1.2710040122242252e-18,-2.735071974362361,1.04984931409721e-18,0.826,23.941,6.8376799359059035,0.826,False
1,53616.434633,-58.51691300071252,r',r',6260.0,6260.0,1.2651642792435182e-18,-2.7370719743623635,8.438645742554267e-19,0.667,23.946,6.842679935905906,0.667,False
2,53626.412014,-48.53953200070828,r',r',6260.0,6260.0,2.345022000392672e-18,-2.469071974362363,1.751731434293326e-18,0.747,23.276,6.172679935905904,0.747,False
3,53626.412014,-48.53953200070828,r',r',6260.0,6260.0,2.3299517178833086e-18,-2.4718719743623634,1.4399101616518847e-18,0.618,23.283,6.179679935905906,0.618,False
4,53628.396738,-46.554808000706544,r',r',6260.0,6260.0,2.707365693988663e-18,-2.4066719743623626,1.5865162966773564e-18,0.586,23.12,6.0166799359059056,0.586,False
5,53628.396738,-46.554808000706544,r',r',6260.0,6260.0,2.6899668099450545e-18,-2.409471974362363,1.2992539692034613e-18,0.483,23.127,6.0236799359059034,0.483,False
6,53635.40559,-39.54595600070752,r',r',6260.0,6260.0,1.920202016847658e-18,-2.555871974362363,1.6340919163373568e-18,0.851,23.493,6.389679935905903,0.851,False
7,53635.40559,-39.54595600070752,r',r',6260.0,6260.0,1.9096198548775184e-18,-2.558271974362361,1.3462819976886503e-18,0.705,23.499,6.395679935905903,0.705,False
8,53639.44453,-35.50701600070897,r',r',6260.0,6260.0,1.7208654746139836e-16,-0.6034719743623622,2.0650385695367802e-18,0.012,18.612,1.5086799359059029,0.012,False
9,53639.44453,-35.50701600070897,r',r',6260.0,6260.0,1.708232268815865e-16,-0.6066719743623619,1.8790554956974514e-18,0.011,18.62,1.5166799359059056,0.011,False
10,53641.443819,-33.507727000709565,r',r',6260.0,6260.0,2.4151656403161793e-16,-0.45627197436236244,4.588814716600741e-18,0.019,18.244,1.1406799359059043,0.019,False
11,53641.443819,-33.507727000709565,r',r',6260.0,6260.0,2.39743544291217e-16,-0.4594719743623621,4.555127341533122e-18,0.019,18.252,1.1486799359059034,0.019,False
12,53644.391711,-30.559835000713065,r',r',6260.0,6260.0,3.374014320143651e-16,-0.31107197436236156,2.699211456114921e-18,0.008,17.881,0.7776799359059048,0.008,False
13,53644.391711,-30.559835000713065,r',r',6260.0,6260.0,3.3492450293995715e-16,-0.3142719743623612,2.6793960235196574e-18,0.008,17.889,0.7856799359059039,0.008,False
14,53657.403395,-17.548151000708458,r',r',6260.0,6260.0,6.20793157655696e-16,-0.0462719743623623,9.932690522491137e-18,0.016,17.219,0.11567993590590575,0.016,False
15,53657.403395,-17.548151000708458,r',r',6260.0,6260.0,6.162357951922033e-16,-0.04947197436236195,9.859772723075252e-18,0.016,17.227,0.12367993590590487,0.016,False
16,53663.388081,-11.563465000712313,r',r',6260.0,6260.0,6.597006644613811e-16,-0.019871974362361655,5.277605315691049e-18,0.008,17.153,0.04967993590590325,0.008,False
17,53663.388081,-11.563465000712313,r',r',6260.0,6260.0,6.548576744762601e-16,-0.02307197436236308,5.2388613958100814e-18,0.008,17.161,0.05767993590590592,0.008,False
18,53666.458273,-8.493273000713089,r',r',6260.0,6260.0,6.763117324657424e-16,-0.009071974362361956,7.439429057123166e-18,0.011,17.126,0.02267993590590578,0.011,False
19,53666.458273,-8.493273000713089,r',r',6260.0,6260.0,6.713467974223241e-16,-0.012271974362361604,7.384814771645565e-18,0.011,17.134,0.030679935905904898,0.011,False
20,53668.378073,-6.573473000709782,r',r',6260.0,6260.0,6.763117324657424e-16,-0.009071974362361956,6.7631173246574235e-18,0.01,17.126,0.02267993590590578,0.01,False
21,53668.378073,-6.573473000709782,r',r',6260.0,6260.0,6.713467974223241e-16,-0.012271974362361604,6.713467974223241e-18,0.01,17.134,0.030679935905904898,0.01,False
22,53669.465327,-5.486219000711571,r',r',6260.0,6260.0,6.907913989256591e-16,0.00012802563763791852,6.907913989256591e-18,0.01,17.103,-0.0003200640940939081,0.01,False
23,53669.465327,-5.486219000711571,r',r',6260.0,6260.0,6.857201658543155e-16,-0.003071974362361729,6.857201658543155e-18,0.01,17.111,0.007679935905905211,0.01,False
24,53670.382741,-4.56880500070838,r',r',6260.0,6260.0,6.794334455856233e-16,-0.0070719743623612885,6.794334455856233e-18,0.01,17.121,0.01767993590590322,0.01,False
25,53670.382741,-4.56880500070838,r',r',6260.0,6260.0,6.744455934432961e-16,-0.010271974362362712,6.7444559344329605e-18,0.01,17.129,0.025679935905905893,0.01,False
26,53673.35088,-1.6006660007114988,r',r',6260.0,6260.0,6.831985272853935e-16,-0.004671974362361553,3.4159926364269673e-18,0.005,17.115,0.011679935905902994,0.005,False
27,53673.35088,-1.6006660007114988,r',r',6260.0,6260.0,6.781830349511632e-16,-0.007871974362362977,3.3909151747558157e-18,0.005,17.123,0.019679935905905666,0.005,False
28,53675.347669,0.39612299929285655,r',r',6260.0,6260.0,6.933410622592906e-16,0.0017280256376377423,8.320092747111487e-18,0.012,17.099,-0.004320064094095244,0.012,False
29,53675.347669,0.39612299929285655,r',r',6260.0,6260.0,6.88251111617001e-16,-0.0014719743623619053,8.259013339404012e-18,0.012,17.107,0.003679935905903875,0.012,False
30,53680.355346,5.403799999287003,r',r',6260.0,6260.0,6.725846036363445e-16,-0.011471974362363468,3.3629230181817227e-18,0.005,17.132,0.028679935905906007,0.005,False
31,53680.355346,5.403799999287003,r',r',6260.0,6260.0,6.676470301654794e-16,-0.014671974362363116,3.338235150827397e-18,0.005,17.14,0.036679935905905126,0.005,False
32,53686.354779,11.403232999291504,r',r',6260.0,6260.0,6.58486569494814e-16,-0.020671974362363343,9.87729854242221e-18,0.015,17.155,0.051679935905905694,0.015,False
33,53686.354779,11.403232999291504,r',r',6260.0,6260.0,6.536524924153207e-16,-0.02387197436236299,9.804787386229811e-18,0.015,17.163,0.05967993590590481,0.015,False
34,53687.41229,12.460743999290571,r',r',6260.0,6260.0,6.381854838354534e-16,-0.034271974362361846,1.7869193547392695e-17,0.028,17.189,0.08567993590590461,0.028,False
35,53687.41229,12.460743999290571,r',r',6260.0,6260.0,6.335004409465132e-16,-0.03747197436236149,1.773801234650237e-17,0.028,17.197,0.09367993590590373,0.028,False
36,53693.356979,18.40543299928686,r',r',6260.0,6260.0,6.282708664455795e-16,-0.041071974362361985,1.0052333863129273e-17,0.016,17.206,0.10267993590590407,0.016,False
37,53693.356979,18.40543299928686,r',r',6260.0,6260.0,6.2365860867769825e-16,-0.04427197436236163,9.978537738843172e-18,0.016,17.214,0.11067993590590319,0.016,False
38,53699.377692,24.426145999292203,r',r',6260.0,6260.0,5.928528630140279e-16,-0.06627197436236187,3.557117178084168e-18,0.006,17.269,0.1656799359059029,0.006,False
39,53699.377692,24.426145999292203,r',r',6260.0,6260.0,5.885006156495776e-16,-0.0694719743623633,3.531003693897466e-18,0.006,17.277,0.17367993590590558,0.006,False
40,53704.339878,29.38833199928922,r',r',6260.0,6260.0,5.620137248143967e-16,-0.08947197436236287,6.74416469777276e-18,0.012,17.327,0.2236799359059063,0.012,False
41,53704.339878,29.38833199928922,r',r',6260.0,6260.0,5.578878735194033e-16,-0.09267197436236252,6.6946544822328396e-18,0.012,17.335,0.2316799359059054,0.012,False
42,53616.435462,-58.51608400070836,i',i',7670.0,7670.0,1.5557001399153599e-18,-2.6472930051009147,1.1916663071751657e-18,0.766,23.501,6.397679935905906,0.766,False
43,53616.435462,-58.51608400070836,i',i',7670.0,7670.0,1.5428577656138599e-18,-2.6508930051009134,8.238860468378012e-19,0.534,23.51,6.406679935905906,0.534,False
44,53626.412843,-48.53870300071139,i',i',7670.0,7670.0,3.5020786136229076e-19,-3.2948930051009153,2.6090485671490663e-19,0.745,25.12,8.016679935905906,0.745,False
45,53626.412843,-48.53870300071139,i',i',7670.0,7670.0,3.4763691781674724e-19,-3.298093005100915,3.198259643914075e-19,0.92,25.128,8.024679935905905,0.92,False
46,53628.397567,-46.55397900070966,i',i',7670.0,7670.0,1.427992382599076e-19,-3.6844930051009133,5.126492653530683e-20,0.359,26.094,8.990679935905906,0.359,False
47,53628.397567,-46.55397900070966,i',i',7670.0,7670.0,1.410996351489667e-19,-3.689693005100912,6.730452596605711e-20,0.477,26.107,9.003679935905904,0.477,False
48,53635.406419,-39.545127000710636,i',i',7670.0,7670.0,2.0508121926165734e-18,-2.5272930051009137,1.4335177226389848e-18,0.699,23.201,6.097679935905905,0.699,False
49,53635.406419,-39.545127000710636,i',i',7670.0,7670.0,2.0320102334200825e-18,-2.5312930051009115,1.0180371269434614e-18,0.501,23.211,6.107679935905903,0.501,False
50,53639.445359,-35.50618700071209,i',i',7670.0,7670.0,1.302344531448034e-16,-0.7244930051009124,1.8232823440272475e-18,0.014,18.694,1.5906799359059036,0.014,False
51,53639.445359,-35.50618700071209,i',i',7670.0,7670.0,1.2868439668502146e-16,-0.7296930051009145,1.415528363535236e-18,0.011,18.707,1.6036799359059053,0.011,False
52,53641.444649,-33.50689700071234,i',i',7670.0,7670.0,1.868641074285896e-16,-0.5676930051009137,2.802961611428844e-18,0.015,18.302,1.1986799359059042,0.015,False
53,53641.444649,-33.50689700071234,i',i',7670.0,7670.0,1.8464004221522422e-16,-0.572893005100914,2.584960591013139e-18,0.014,18.315,1.2116799359059058,0.014,False
54,53644.39254,-30.559006000708905,i',i',7670.0,7670.0,2.6565983022836354e-16,-0.41489300510091454,1.859618811598545e-18,0.007,17.92,0.8166799359059063,0.007,False
55,53644.39254,-30.559006000708905,i',i',7670.0,7670.0,2.6249793469299363e-16,-0.4200930051009131,1.5749876081579618e-18,0.006,17.933,0.8296799359059044,0.006,False
56,53657.404225,-17.547321000711236,i',i',7670.0,7670.0,4.905981325823918e-16,-0.14849300510091368,7.358971988735876e-18,0.015,17.254,0.1506799359059059,0.015,False
57,53657.404225,-17.547321000711236,i',i',7670.0,7670.0,4.847590110119998e-16,-0.153693005100914,7.271385165179996e-18,0.015,17.267,0.16367993590590402,0.015,False
58,53663.388911,-11.562635000707814,i',i',7670.0,7670.0,5.404131282271161e-16,-0.10649300510091386,2.1616525129084645e-18,0.004,17.149,0.04567993590590547,0.004,False
59,53663.388911,-11.562635000707814,i',i',7670.0,7670.0,5.339811062841383e-16,-0.1116930051009124,2.1359244251365534e-18,0.004,17.162,0.05867993590590359,0.004,False
60,53666.459102,-8.492444000708929,i',i',7670.0,7670.0,5.606939768167352e-16,-0.09049300510091385,3.9248578377171465e-18,0.007,17.109,0.005679935905906319,0.007,False
61,53666.459102,-8.492444000708929,i',i',7670.0,7670.0,5.540205712797307e-16,-0.09569300510091416,3.8781439989581145e-18,0.007,17.122,0.018679935905904443,0.007,False
62,53668.378902,-6.572644000712899,i',i',7670.0,7670.0,5.695421767729033e-16,-0.08369300510091371,6.8345061212748405e-18,0.012,17.092,-0.011320064094096693,0.012,False
63,53668.378902,-6.572644000712899,i',i',7670.0,7670.0,5.627634595524812e-16,-0.08889300510091402,6.753161514629775e-18,0.012,17.105,0.0016799359059049834,0.012,False
64,53669.466156,-5.485390000707412,i',i',7670.0,7670.0,5.758719044717285e-16,-0.07889300510091246,8.638078567075928e-18,0.015,17.08,-0.023320064094097148,0.015,False
65,53669.466156,-5.485390000707412,i',i',7670.0,7670.0,5.690178505406948e-16,-0.08409300510091278,8.535267758110422e-18,0.015,17.093,-0.010320064094095471,0.015,False
66,53670.38357,-4.5679760007114965,i',i',7670.0,7670.0,5.785300084099897e-16,-0.07689300510091357,4.0497100588699274e-18,0.007,17.075,-0.028320064094096153,0.007,False
67,53670.38357,-4.5679760007114965,i',i',7670.0,7670.0,5.716443176034537e-16,-0.08209300510091389,4.001510223224176e-18,0.007,17.088,-0.015320064094094477,0.007,False
68,53673.35171,-1.5998360007070005,i',i',7670.0,7670.0,5.882011791243903e-16,-0.06969300510091259,4.117408253870732e-18,0.007,17.057,-0.046320064094096836,0.007,False
69,53673.35171,-1.5998360007070005,i',i',7670.0,7670.0,5.81200381598568e-16,-0.0748930051009129,4.0684026711899765e-18,0.007,17.07,-0.03332006409409516,0.007,False
70,53675.348498,0.39695199928974034,i',i',7670.0,7670.0,5.969334154988761e-16,-0.06329300510091329,4.775467323991009e-18,0.008,17.041,-0.06232006409409507,0.008,False
71,53675.348498,0.39695199928974034,i',i',7670.0,7670.0,5.89828686493529e-16,-0.0684930051009136,4.7186294919482315e-18,0.008,17.054,-0.04932006409409695,0.008,False
72,53680.356175,5.4046289992911625,i',i',7670.0,7670.0,6.08591511709938e-16,-0.05489300510091333,2.434366046839752e-18,0.004,17.02,-0.08332006409409587,0.004,False
