,MJD,Phase,Filter,ShiftedFilter,Wavelength,ShiftedWavelength,Flux,ShiftedFlux,Fluxerr,ShiftedFluxerr,Mag,ShiftedMag,Magerr,Nondetection
0,54507.17552,-5.864156536867085,V,V,5276.526722579592,5276.526722579592,2.0524749362749938e-16,-0.20980662915980197,9.93397869157097e-18,0.0484,18.57111722497712,-0.524516572899504,0.0484,False
1,54508.25,-4.789676536864135,V,V,5614.045,5614.045,2.5793950522899153e-16,-0.11056662915980375,2.579395052289915e-18,0.01,18.32301722497712,-0.2764165728995067,0.01,False
2,54508.36262,-4.6770565368642565,V,V,5614.045,5614.045,2.5791574921662807e-16,-0.11060662915980224,9.07863437242531e-18,0.0352,18.32311722497712,-0.2765165728995065,0.0352,False
3,54509.33043,-3.709246536862338,V,V,5259.130877295919,5259.130877295919,2.7174268515241465e-16,-0.0879266291598011,8.88598580448396e-18,0.0327,18.26641722497712,-0.21981657289950363,0.0327,False
4,54510.18307,-2.8566065368650015,V,V,5303.487256587756,5303.487256587756,2.954730413498683e-16,-0.0515666291598027,9.307400802520852e-18,0.0315,18.17551722497712,-0.12891657289950587,0.0315,False
5,54512.21,-0.8296765368650085,V,V,5614.045,5614.045,2.9889445791721216e-16,-0.046566629159803696,2.9889445791721217e-18,0.01,18.16301722497712,-0.11641657289950658,0.01,False
6,54513.33331,0.2936334631376667,V,V,5319.570418112245,5319.570418112245,2.8888025744342484e-16,-0.061366629159802955,1.3404043945374911e-17,0.0464,18.20001722497712,-0.1534165728995056,0.0464,False
7,54515.21,2.1703234631349915,V,V,5614.045,5614.045,3.016600942852728e-16,-0.04256662915980236,1.8099605657116365e-17,0.06,18.15301722497712,-0.10641657289950501,0.06,False
8,54519.17,6.130323463134118,V,V,5614.045,5614.045,2.5323157868215494e-16,-0.11856662915980287,5.064631573643099e-18,0.02,18.34301722497712,-0.2964165728995063,0.02,False
9,54520.27863,7.238953463136568,V,V,5622.135111085715,5622.135111085715,2.3409808576216787e-16,-0.15268662915980258,9.972578453468352e-18,0.0426,18.42831722497712,-0.38171657289950645,0.0426,False
10,54521.23,8.190323463139066,V,V,5657.926944663264,5657.926944663264,2.0869779591687853e-16,-0.2025666291598025,4.173955918337571e-18,0.02,18.55301722497712,-0.5064165728995036,0.02,False
11,54523.19,10.150323463138193,V,V,5527.850268310204,5527.850268310204,1.834500618239128e-16,-0.25856662915980166,3.669001236478256e-18,0.02,18.69301722497712,-0.6464165728995042,0.02,False
12,54523.26473,10.225053463138465,V,V,5527.850268310204,5527.850268310204,1.6713902425192095e-16,-0.2990066291598037,9.961485845414488e-18,0.0596,18.79411722497712,-0.7475165728995066,0.0596,False
