,MJD,Phase,Filter,ShiftedFilter,Wavelength,ShiftedWavelength,Flux,ShiftedFlux,Fluxerr,ShiftedFluxerr,Mag,ShiftedMag,Magerr,Nondetection
0,53736.82707,-9.901426841919601,V,V,5633.915983934694,5633.915983934694,4.43416533585224e-16,-0.4365668606439357,1.3745912541141945e-17,0.031,17.73478217477392,-1.0914171516098392,0.031,False
1,53741.6017,-5.126796841919713,V,V,5639.730550334694,5639.730550334694,1.0914701992590631e-15,-0.045366860643936135,1.5280582789626884e-17,0.014,16.75678217477392,-0.11341715160984123,0.014,False
2,53743.61515,-3.1133468419211567,V,V,5714.49324852245,5714.49324852245,1.2566429020398826e-15,0.01583313935606334,3.0159429648957184e-17,0.024,16.60378217477392,0.03958284839016102,0.024,False
3,53744.75166,-1.9768368419172475,V,V,5545.92,5545.92,1.3944786920456729e-15,0.06103313935606458,2.3706137764776442e-17,0.017,16.49078217477392,0.15258284839016056,0.017,False
4,53745.59382,-1.1346768419170985,V,V,5553.338719346939,5553.338719346939,1.3740795700632766e-15,0.05463313935606351,2.8855670971328813e-17,0.021,16.50678217477392,0.13658284839015877,0.021,False
5,53749.62631,2.8978131580806803,V,V,5545.92,5545.92,1.3098207993195514e-15,0.033833139356064024,3.4055340782308337e-17,0.026,16.55878217477392,0.08458284839015917,0.026,False
6,53751.79205,5.063553158077411,V,V,5545.92,5545.92,1.1912746015031014e-15,-0.007366860643937656,2.382549203006203e-17,0.02,16.661782174773922,-0.018417151609842364,0.02,False
7,53752.63657,5.908073158083425,V,V,5553.338719346939,5553.338719346939,1.0864553492202228e-15,-0.0473668606439368,2.0642651635184234e-17,0.019,16.76178217477392,-0.11841715160984023,0.019,False
8,53753.66545,6.936953158081451,V,V,5553.338719346939,5553.338719346939,9.375876594837242e-16,-0.11136686064393686,2.0626928508641933e-17,0.022,16.92178217477392,-0.2784171516098404,0.022,False
9,53763.72689,16.998393158079125,V,V,5549.912231706123,5549.912231706123,3.6678526690678553e-16,-0.5189668606439373,1.0269987473389995e-17,0.028,17.940782174773922,-1.2974171516098423,0.028,False
10,53764.69499,17.96649315808463,V,V,5549.912231706123,5549.912231706123,3.2004561596114245e-16,-0.5781668606439379,8.641231630950846e-18,0.027,18.08878217477392,-1.445417151609842,0.027,False
11,53765.72495,18.996453158084478,V,V,5549.912231706123,5549.912231706123,3.1103687689037193e-16,-0.5905668606439374,9.331106306711158e-18,0.03,18.11978217477392,-1.4764171516098408,0.03,False
12,53767.73579,21.007293158079847,V,V,5549.912231706123,5549.912231706123,2.7644700075899693e-16,-0.6417668606439371,9.675645026564893e-18,0.035,18.24778217477392,-1.6044171516098409,0.035,False
13,53773.71444,26.98594315808441,V,V,5545.92,5545.92,1.9534931043018743e-16,-0.7925668606439356,1.1720958625811246e-17,0.06,18.62478217477392,-1.9814171516098398,0.06,False
14,53776.67433,29.945833158082678,V,V,5545.92,5545.92,1.8247857572112846e-16,-0.8221668606439376,8.758971634614166e-18,0.048,18.69878217477392,-2.0554171516098414,0.048,False
15,53778.68419,31.955693158080976,V,V,5545.92,5545.92,1.7426568692142869e-16,-0.8421668606439372,8.364752972228577e-18,0.048,18.748782174773922,-2.105417151609842,0.048,False
16,53779.64547,32.91697315808415,V,V,5545.92,5545.92,1.6233489428686607e-16,-0.8729668606439365,1.3473796225809884e-17,0.083,18.82578217477392,-2.1824171516098403,0.083,False
17,53785.67417,38.945673158079444,V,V,5549.912231706123,5549.912231706123,1.3766130508766435e-16,-0.9445668606439366,7.29604916964621e-18,0.053,19.004782174773922,-2.3614171516098423,0.053,False
18,53786.63645,39.90795315807918,V,V,5549.912231706123,5549.912231706123,1.2682704756515305e-16,-0.9801668606439371,8.370585139300102e-18,0.066,19.09378217477392,-2.450417151609841,0.066,False
19,53797.67853,50.95003315807844,V,V,5549.912231706123,5549.912231706123,8.863635383851114e-17,-1.1357668606439368,1.0281817045267293e-17,0.116,19.48278217477392,-2.8394171516098403,0.116,False
