,MJD,Phase,Filter,ShiftedFilter,Wavelength,ShiftedWavelength,Flux,ShiftedFlux,Fluxerr,ShiftedFluxerr,Mag,ShiftedMag,Magerr,Nondetection
0,55829.25,-5.558606565660739,B,B,3923.6804963265304,3923.6804963265304,3.792110390932712e-15,0.0927893548891543,3.792110390932712e-17,0.01,15.641915431888663,-0.0053325922084681565,0.01,False
1,55831.24,-3.568606565662776,B,B,3923.6804963265304,3923.6804963265304,3.905538932655243e-15,0.10558935488915466,5.077200612451816e-17,0.013,15.609915431888663,0.026667407791531872,0.013,False
2,55833.3,-1.5086065656578285,B,B,3923.6804963265304,3923.6804963265304,3.837787919514967e-15,0.09798935488915461,4.2215667114664635e-17,0.011,15.628915431888663,0.007667407791531744,0.011,False
3,55835.22,0.4113934343404253,B,B,3923.6804963265304,3923.6804963265304,3.7677403957307565e-15,0.08998935488915372,7.158706751888437e-17,0.019,15.648915431888664,-0.012332592208469606,0.019,False
4,55837.25,2.441393434339261,B,B,3923.6804963265304,3923.6804963265304,3.5981641439763466e-15,0.06998935488915414,5.757062630362155e-17,0.016,15.698915431888663,-0.06233259220846854,0.016,False
5,55841.23,6.421393434342463,B,B,3923.6804963265304,3923.6804963265304,2.9735892049025903e-15,-0.012810645110844732,5.352460568824662e-17,0.018,15.905915431888662,-0.2693325922084675,0.018,False
6,55844.22,9.411393434340425,B,B,3923.6804963265304,3923.6804963265304,2.4733237707799612e-15,-0.09281064511084658,1.978659016623969e-16,0.08,16.105915431888665,-0.46933259220847034,0.08,False
7,55847.24,12.431393434337224,B,B,3923.6804963265304,3923.6804963265304,1.8504654101868144e-15,-0.21881064511084425,7.216815099728576e-17,0.039,16.420915431888663,-0.7843325922084681,0.039,False
8,55850.2,15.39139343433635,B,B,3923.6804963265304,3923.6804963265304,1.3934165724376901e-15,-0.3420106451108449,3.7622247455817636e-17,0.027,16.728915431888662,-1.092332592208468,0.027,False
9,55852.19,17.38139343434159,B,B,3923.6804963265304,3923.6804963265304,1.1305270847172511e-15,-0.43281064511084466,2.6002122948496776e-17,0.023,16.955915431888663,-1.3193325922084682,0.023,False
10,55854.18,19.371393434339552,B,B,4626.233096734693,4626.233096734693,9.31710460570019e-16,-0.5168106451108461,2.4224471974820494e-17,0.026,17.165915431888664,-1.529332592208469,0.026,False
11,55856.18,21.371393434339552,B,B,4626.233096734693,4626.233096734693,7.756771023687913e-16,-0.5964106451108453,2.2494635968694947e-17,0.029,17.36491543188866,-1.7283325922084671,0.029,False
12,55858.19,23.38139343434159,B,B,3923.6804963265304,3923.6804963265304,6.398541211173464e-16,-0.6800106451108459,1.79159153912857e-17,0.028,17.573915431888665,-1.9373325922084703,0.028,False
13,55864.16,29.351393434342754,B,B,3923.6804963265304,3923.6804963265304,3.96351924677238e-16,-0.888010645110846,1.4268669288380568e-17,0.036,18.093915431888664,-2.45733259220847,0.036,False
14,55867.14,32.33139343433868,B,B,3923.6804963265304,3923.6804963265304,3.2785436597577484e-16,-0.9704106451108458,3.180187349965016e-17,0.097,18.299915431888664,-2.6633325922084694,0.097,False
15,55873.15,38.341393434340716,B,B,3923.6804963265304,3923.6804963265304,2.455166623308197e-16,-1.0960106451108462,3.265371608999902e-17,0.133,18.613915431888664,-2.9773325922084695,0.133,False
16,55890.14,55.33139343433868,B,B,4626.233096734693,4626.233096734693,2.112909868204394e-16,-1.1612106451108453,1.415649611696944e-17,0.067,18.776915431888664,-3.1403325922084697,0.067,False
17,55895.09,60.28139343433577,B,B,4626.233096734693,4626.233096734693,1.993797152719114e-16,-1.1864106451108452,1.555161779120909e-17,0.078,18.839915431888663,-3.2033325922084686,0.078,False
18,55900.12,65.31139343434188,B,B,3923.6804963265304,3923.6804963265304,2.1403311464668631e-16,-1.1556106451108459,2.2259443923255375e-17,0.104,18.762915431888665,-3.1263325922084704,0.104,False
19,55904.79,69.98139343434013,B,B,3923.6804963265304,3923.6804963265304,1.9093298904255598e-16,-1.2052106451108457,8.782917495957574e-18,0.046,18.886915431888664,-3.250332592208469,0.046,False
20,55911.77,76.96139343433606,B,B,3923.6804963265304,3923.6804963265304,1.5808147207195757e-16,-1.2872106451108447,1.2962680709900522e-17,0.082,19.091915431888662,-3.4553325922084674,0.082,False
21,55923.81,89.00139343433693,B,B,4830.129380489795,4830.129380489795,1.3185025421034902e-16,-1.3660106451108458,3.032555846838028e-17,0.23,19.288915431888665,-3.65233259220847,0.23,False
22,55927.79,92.98139343434013,B,B,3923.6804963265304,3923.6804963265304,1.302809664118635e-16,-1.3712106451108443,8.494319010053501e-17,0.652,19.301915431888663,-3.6653325922084683,0.652,False
23,55932.77,97.96139343433606,B,B,3923.6804963265304,3923.6804963265304,1.3417789411461006e-16,-1.3584106451108457,2.603051145823435e-17,0.194,19.269915431888663,-3.6333325922084683,0.194,False
24,55935.77,100.96139343433606,B,B,3923.6804963265304,3923.6804963265304,1.212497834018342e-16,-1.4024106451108445,1.0427481372557741e-17,0.086,19.379915431888662,-3.7433325922084677,0.086,False
