,MJD,Phase,Filter,ShiftedFilter,Wavelength,ShiftedWavelength,Flux,ShiftedFlux,Fluxerr,ShiftedFluxerr,Mag,ShiftedMag,Magerr,Nondetection
0,56282.0,-17.133668691916682,B,B,4397.52,4397.52,2.858720830258363e-15,-1.0087743192872427,7.146802075645908e-17,0.025,15.948688495052364,-2.759241777649466,0.025,False
1,56283.0,-16.133668691916682,B,B,4397.52,4397.52,5.046284669868564e-15,-0.7619743192872424,1.412959707563198e-16,0.028,15.331688495052363,-2.142241777649465,0.028,False
2,56290.1,-9.033668691918137,B,B,4397.52,4397.52,3.2401994666549694e-14,0.04562568071275663,6.480398933309939e-16,0.02,13.312688495052365,-0.12324177764946675,0.02,False
3,56292.1,-7.0336686919181375,B,B,4397.52,4397.52,3.730540388303287e-14,0.10682568071275611,7.088026737776244e-16,0.019,13.159688495052364,0.029758222350533714,0.019,False
4,56293.0,-6.133668691916682,B,B,3926.8143111836735,3926.8143111836735,3.964347774478272e-14,0.13322568071275676,3.4489825637960967e-15,0.087,13.093688495052364,0.09575822235053444,0.087,False
5,56294.0,-5.133668691916682,B,B,3996.5208427755106,3996.5208427755106,3.971657103022973e-14,0.13402568071275667,9.929142757557434e-16,0.025,13.091688495052365,0.09775822235053333,0.025,False
6,56295.0,-4.133668691916682,B,B,4397.52,4397.52,4.0232011448318444e-14,0.13962568071275783,8.851042518630057e-16,0.022,13.077688495052364,0.11175822235053445,0.022,False
7,56298.0,-1.1336686919166823,B,B,4404.8665138775505,4404.8665138775505,3.831525728736507e-14,0.1184256807127575,6.896746311725711e-16,0.018,13.130688495052365,0.05875822235053363,0.018,False
8,56300.0,0.8663313080833177,B,B,4397.52,4397.52,3.436938382719593e-14,0.07122568071275737,7.217570603711145e-16,0.021,13.248688495052365,-0.0592417776494667,0.021,False
9,56319.1,19.966331308081863,B,B,4397.52,4397.52,4.872723252201815e-15,-0.7771743192872425,1.5592714407045808e-16,0.032,15.369688495052364,-2.1802417776494654,0.032,False
10,56321.1,21.966331308081863,B,B,3996.5208427755106,3996.5208427755106,4.132108781515257e-15,-0.8487743192872426,1.5702013369757976e-16,0.038,15.548688495052364,-2.3592417776494656,0.038,False
11,56327.0,27.866331308083318,B,B,4397.52,4397.52,2.9118684185520833e-15,-1.0007743192872436,8.73560525565625e-17,0.03,15.928688495052365,-2.7392417776494664,0.03,False
12,56331.9,32.76633130808477,B,B,4397.52,4397.52,2.272855083822694e-15,-1.1083743192872433,8.636849318526237e-17,0.038,16.197688495052365,-3.0082417776494665,0.038,False
13,56344.0,44.86633130808332,B,B,3996.5208427755106,3996.5208427755106,1.854264766407184e-15,-1.1967743192872433,6.119073729143708e-17,0.033,16.418688495052365,-3.2292417776494666,0.033,False
14,56351.9,52.76633130808477,B,B,4397.52,4397.52,1.5782352755875975e-15,-1.2667743192872436,8.838117543290546e-17,0.056,16.593688495052366,-3.4042417776494673,0.056,False
15,56353.9,54.76633130808477,B,B,4397.52,4397.52,1.5309878572848938e-15,-1.279974319287243,5.20535871476864e-17,0.034,16.626688495052363,-3.437241777649465,0.034,False
16,56355.9,56.76633130808477,B,B,4397.52,4397.52,1.5281702693218398e-15,-1.280774319287243,4.584510807965519e-17,0.03,16.628688495052366,-3.4392417776494675,0.03,False
17,56362.9,63.76633130808477,B,B,4397.52,4397.52,1.3695306185152e-15,-1.328374319287244,3.9716387936940803e-17,0.029,16.747688495052365,-3.5582417776494673,0.029,False
18,56370.9,71.76633130808477,B,B,3996.5208427755106,3996.5208427755106,1.1549727724162748e-15,-1.4023743192872438,6.005858416564629e-17,0.052,16.932688495052364,-3.743241777649466,0.052,False
19,56282.348,-16.785668691918545,B,B,4397.52,4397.52,3.598916298437578e-15,-0.9087743192872431,3.598916298437578e-16,0.1,15.698688495052364,-2.509241777649466,0.1,True
20,56283.335,-15.798668691917555,B,B,4397.52,4397.52,5.594634848567589e-15,-0.717174319287242,5.594634848567589e-16,0.1,15.219688495052363,-2.030241777649465,0.1,True
21,56285.327,-13.806668691919185,B,B,4397.52,4397.52,1.227359380498206e-14,-0.3759743192872431,1.227359380498206e-15,0.1,14.366688495052363,-1.1772417776494652,0.1,True
22,56286.342,-12.791668691919767,B,B,4397.52,4397.52,1.6359564795604078e-14,-0.25117431928724265,1.6359564795604078e-15,0.1,14.054688495052364,-0.8652417776494659,0.1,True
23,56289.325,-9.808668691919593,B,B,4397.52,4397.52,2.8220957596515923e-14,-0.014374319287242088,2.8220957596515923e-15,0.1,13.462688495052364,-0.27324177764946533,0.1,True
24,56290.315,-8.818668691914354,B,B,4397.52,4397.52,3.148993369534463e-14,0.03322568071275889,3.1489933695344633e-15,0.1,13.343688495052364,-0.15424177764946556,0.1,True
25,56291.32,-7.813668691916973,B,B,4397.52,4397.52,3.4687399820274845e-14,0.07522568071275693,3.4687399820274846e-15,0.1,13.238688495052363,-0.049241777649465135,0.1,True
26,56292.326,-6.807668691915751,B,B,4397.52,4397.52,3.6895359485241206e-14,0.10202568071275664,3.6895359485241205e-15,0.1,13.171688495052365,0.01775822235053326,0.1,True
27,56295.307,-3.826668691915984,B,B,4397.52,4397.52,4.041771397564186e-14,0.14162568071275672,4.041771397564186e-15,0.1,13.072688495052365,0.11675822235053346,0.1,True
28,56297.296,-1.8376686919145868,B,B,4397.52,4397.52,4.008406393732903e-14,0.138025680712758,4.008406393732903e-15,0.1,13.081688495052363,0.1077582223505349,0.1,True
29,56299.317,0.18333130808605347,B,B,4397.52,4397.52,3.523479476700105e-14,0.08202568071275707,3.5234794767001052e-15,0.1,13.221688495052364,-0.032241777649465675,0.1,True
30,56300.273,1.1393313080843654,B,B,4397.52,4397.52,3.487962011076019e-14,0.07762568071275666,3.4879620110760193e-15,0.1,13.232688495052365,-0.043241777649466684,0.1,True
31,56300.277,1.1433313080851804,B,B,4397.52,4397.52,3.367997389376251e-14,0.06242568071275656,3.3679973893762512e-15,0.1,13.270688495052363,-0.08124177764946516,0.1,True
32,56301.278,2.144331308081746,B,B,4397.52,4397.52,3.243185175409696e-14,0.04602568071275748,3.2431851754096963e-15,0.1,13.311688495052364,-0.12224177764946553,0.1,True
33,56304.291,5.157331308080757,B,B,3970.3041488979597,3970.3041488979597,2.531463944848741e-14,-0.06157431928724222,2.531463944848741e-15,0.1,13.580688495052364,-0.39124177764946566,0.1,True
34,56305.315,6.181331308085646,B,B,4397.52,4397.52,2.245803457929891e-14,-0.1135743192872436,2.2458034579298914e-15,0.1,13.710688495052365,-0.5212417776494664,0.1,True
35,56306.304,7.170331308079767,B,B,4397.52,4397.52,2.0843552772204546e-14,-0.1459743192872427,2.0843552772204548e-15,0.1,13.791688495052364,-0.602241777649466,0.1,True
36,56307.299,8.165331308082386,B,B,4397.52,4397.52,1.7954435129575132e-14,-0.21077431928724266,1.7954435129575133e-15,0.1,13.953688495052365,-0.7642417776494668,0.1,True
37,56308.269,9.13533130808355,B,B,4397.52,4397.52,1.5537163867927442e-14,-0.27357431928724196,1.5537163867927442e-15,0.1,14.110688495052363,-0.921241777649465,0.1,True
38,56309.265,10.131331308082736,B,B,4397.52,4397.52,1.472894858611649e-14,-0.29677431928724296,1.472894858611649e-15,0.1,14.168688495052365,-0.9792417776494666,0.1,True
39,56310.326,11.192331308084249,B,B,4397.52,4397.52,1.310303032690242e-14,-0.3475743192872436,1.3103030326902421e-15,0.1,14.295688495052364,-1.1062417776494655,0.1,True
40,56311.325,12.191331308080407,B,B,4397.52,4397.52,1.1040067944263377e-14,-0.4219743192872425,1.1040067944263377e-15,0.1,14.481688495052364,-1.2922417776494655,0.1,True
41,56314.266,15.132331308086577,B,B,4397.52,4397.52,8.154019509011528e-15,-0.5535743192872431,8.154019509011528e-16,0.1,14.810688495052364,-1.621241777649466,0.1,True
42,56315.276,16.14233130808134,B,B,4456.886212653061,4456.886212653061,7.457130549304494e-15,-0.5923743192872433,7.457130549304495e-16,0.1,14.907688495052364,-1.7182417776494656,0.1,True
43,56316.248,17.11433130808291,B,B,4397.52,4397.52,6.6768519459507305e-15,-0.6403743192872433,6.67685194595073e-16,0.1,15.027688495052365,-1.8382417776494666,0.1,True
44,56317.249,18.115331308086752,B,B,4397.52,4397.52,6.106210141428539e-15,-0.6791743192872435,6.10621014142854e-16,0.1,15.124688495052364,-1.9352417776494661,0.1,True
45,56318.238,19.104331308080873,B,B,4397.52,4397.52,5.4975823839330475e-15,-0.724774319287242,5.497582383933048e-16,0.1,15.238688495052363,-2.049241777649465,0.1,True
46,56319.238,20.104331308080873,B,B,4397.52,4397.52,5.337916134649225e-15,-0.7375743192872424,5.337916134649225e-16,0.1,15.270688495052363,-2.081241777649465,0.1,True
47,56320.25,21.116331308083318,B,B,4397.52,4397.52,4.7881940891896295e-15,-0.7847743192872425,4.788194089189629e-16,0.1,15.388688495052364,-2.1992417776494655,0.1,True
