,MJD,Phase,Filter,ShiftedFilter,Wavelength,ShiftedWavelength,Flux,ShiftedFlux,Fluxerr,ShiftedFluxerr,Mag,ShiftedMag,Magerr,Nondetection
0,56490.1228,-8.004200000003038,UVW2,UVW2,2957.731154200408,2957.731154200408,6.103141973690687e-16,-1.7498739194430417,6.286236232901407e-17,0.103,18.460179360007945,-5.446935959516177,0.103,False
1,56492.6431,-5.483899999999267,UVW2,UVW2,1696.6205247906123,1696.6205247906123,1.1075248330445148e-15,-1.491073919443041,9.967723497400633e-17,0.09,17.813179360007947,-4.799935959516178,0.09,False
2,56498.1254,-0.001600000003236346,UVW2,UVW2,1654.723155153061,1654.723155153061,1.6640005779766202e-15,-1.3142739194430408,1.31456045660153e-16,0.079,17.371179360007947,-4.357935959516178,0.079,False
3,56504.1336,6.006600000000617,UVW2,UVW2,1643.455309405102,1643.455309405102,1.234677326297262e-15,-1.4438739194430408,1.0741692738786177e-16,0.087,17.695179360007945,-4.681935959516176,0.087,False
4,56507.6348,9.507799999999406,UVW2,UVW2,1643.455309405102,1643.455309405102,9.211990317229616e-16,-1.571073919443041,8.751390801368135e-17,0.095,18.013179360007946,-4.999935959516177,0.095,False
5,56510.4595,12.332499999996799,UVW2,UVW2,1696.6205247906123,1696.6205247906123,5.199402908750291e-16,-1.8194739194430412,1.8977820616938564e-16,0.365,18.634179360007945,-5.620935959516176,0.365,False
6,56513.8988,15.771800000002258,UVW2,UVW2,1643.455309405102,1643.455309405102,5.39949909606198e-16,-1.8030739194430403,7.343318770644294e-17,0.136,18.593179360007944,-5.579935959516176,0.136,False
7,56516.0992,17.97219999999652,UVW2,UVW2,2037.8967,2037.8967,4.524321649210402e-16,-1.8798739194430407,6.741239257323498e-17,0.149,18.785179360007945,-5.771935959516176,0.149,False
8,56490.1583,-7.968699999997625,UVM2,UVM2,2957.7311542004077,2957.7311542004077,1.3868641769568875e-16,-2.393393461877073,3.148181681692135e-17,0.227,19.966469385166462,-6.9532259846746935,0.227,False
9,56492.646,-5.480999999999767,UVM2,UVM2,2015.6118171036735,2015.6118171036735,2.699192946599795e-16,-2.104193461877074,3.697894336841719e-17,0.137,19.243469385166463,-6.230225984674695,0.137,False
10,56498.1295,0.0025000000023283064,UVM2,UVM2,2849.1471542797954,2849.1471542797954,3.7293567537925054e-16,-1.9637934618770743,4.698989509778557e-17,0.126,18.892469385166464,-5.8792259846746955,0.126,False
11,56504.1399,6.012900000001537,UVM2,UVM2,2706.759617115306,2706.759617115306,3.7327932005989175e-16,-1.9633934618770734,3.8074490646108957e-17,0.102,18.891469385166463,-5.878225984674694,0.102,False
12,56507.6397,9.512699999999313,UVM2,UVM2,2706.759617115306,2706.759617115306,2.6401823923119206e-16,-2.113793461877073,3.194620694697424e-17,0.121,19.267469385166464,-6.2542259846746955,0.121,False
13,56513.9072,15.78020000000106,UVM2,UVM2,2706.759617115306,2706.759617115306,1.5095028258243647e-16,-2.3565934618770736,2.7472951430003438e-17,0.182,19.874469385166464,-6.861225984674695,0.182,False
14,56516.1043,17.97729999999865,UVM2,UVM2,2239.67859,2239.67859,1.4074530949024824e-16,-2.386993461877074,3.377887427765958e-17,0.24,19.950469385166464,-6.937225984674695,0.24,False
15,56490.118,-8.008999999998196,UVW1,UVW1,2957.7311542004077,2957.7311542004077,2.401941454687953e-15,-1.1548649746148243,1.6093007746409285e-16,0.067,16.689857666156023,-3.676614265664254,0.067,False
16,56492.6387,-5.488299999997253,UVW1,UVW1,3716.89870944,3716.89870944,4.748565333244214e-15,-0.8588649746148231,2.991596159943855e-16,0.063,15.949857666156019,-2.93661426566425,0.063,False
17,56495.6879,-2.4391000000032363,UVW1,UVW1,2644.24626,2644.24626,6.548810409615631e-15,-0.7192649746148234,3.8637981416732217e-16,0.059,15.600857666156019,-2.58761426566425,0.059,False
18,56498.1202,-0.006800000002840534,UVW1,UVW1,2957.7311542004077,2957.7311542004077,6.78832173424494e-15,-0.7036649746148225,3.597810519149818e-16,0.053,15.561857666156019,-2.5486142656642503,0.053,False
19,56504.1292,6.002200000002631,UVW1,UVW1,2706.7596171153064,2706.7596171153064,4.447975819532158e-15,-0.8872649746148245,2.846704524500581e-16,0.064,16.020857666156022,-3.0076142656642535,0.064,False
20,56507.6303,9.50329999999667,UVW1,UVW1,2706.7596171153064,2706.7596171153064,2.9659403857625565e-15,-1.0632649746148228,1.987180058460913e-16,0.067,16.46085766615602,-3.447614265664251,0.067,False
21,56510.4562,12.329200000000128,UVW1,UVW1,3716.89870944,3716.89870944,2.6215757894348362e-15,-1.116864974614824,1.7826715368156889e-16,0.068,16.59485766615602,-3.5816142656642516,0.068,False
22,56513.8943,15.767299999999523,UVW1,UVW1,2759.9248325008166,2759.9248325008166,1.695752311117692e-15,-1.3060649746148236,1.4244319413388614e-16,0.084,17.067857666156023,-4.054614265664254,0.084,False
23,56516.0948,17.967799999998533,UVW1,UVW1,2644.24626,2644.24626,1.2329981291443256e-15,-1.4444649746148244,1.146688260104223e-16,0.093,17.413857666156023,-4.400614265664254,0.093,False
24,56490.1194,-8.007599999997183,U,U,3066.31515412102,3066.31515412102,1.2299257735211739e-14,-0.44554848984990336,5.411673403493164e-16,0.044,14.577349628889916,-1.5641062283981473,0.044,False
25,56495.6887,-2.438300000001618,U,U,3614.004,3614.004,2.9749447354483027e-14,-0.061948489849903865,1.2494767888882872e-15,0.042,13.618349628889916,-0.6051062283981476,0.042,False
26,56498.1214,-0.005599999996775296,U,U,3066.31515412102,3066.31515412102,3.152672818455461e-14,-0.036748489849903976,1.2610691273821844e-15,0.04,13.555349628889916,-0.542106228398147,0.04,False
27,56490.1204,-8.006600000000617,B,B,4369.323153168367,4369.323153168367,1.823063746577493e-14,-0.27462553746801355,8.021480484940969e-16,0.044,13.93711322359316,-0.9238698231013913,0.044,False
28,56498.1224,-0.004600000000209548,B,B,4260.739153247755,4260.739153247755,4.558288982831959e-14,0.12337446253198614,1.823315593132784e-15,0.04,12.942113223593159,0.07113017689860968,0.04,False
29,56490.1545,-7.9725000000034925,V,V,6106.667151898163,6106.667151898163,1.5480661674564892e-14,-0.3456378728845131,8.049944070773744e-16,0.052,13.87733808270305,-0.8640946822112809,0.052,False
30,56498.127,0.0,V,V,6106.667151898163,6106.667151898163,3.9718196433568773e-14,0.06356212711548714,1.6681642502098886e-15,0.042,12.85433808270305,0.15890531778871875,0.042,False
