,MJD,Phase,Filter,ShiftedFilter,Wavelength,ShiftedWavelength,Flux,ShiftedFlux,Fluxerr,ShiftedFluxerr,Mag,ShiftedMag,Magerr,Nondetection
0,57515.2529977,24.932680891921336,G,G,5221.917108571429,5221.917108571429,1.9060430240712835e-15,-0.5840788989653927,3.8120860481425672e-16,0.2,15.922433727474706,1.231150842545146,0.2,False
1,57515.75402,25.433703191920358,G,G,5221.917108571429,5221.917108571429,1.88856831658984e-15,-0.588078898965394,0.0,0.0,15.932433727474708,1.2411508425451476,0.0,False
2,57515.82802,25.507703191920882,G,G,5221.917108571429,5221.917108571429,1.871253818189573e-15,-0.5920788989653936,0.0,0.0,15.942433727474707,1.2511508425451474,0.0,False
3,57541.24993,50.92961319191818,G,G,6810.76,6810.76,6.369901247209985e-16,-1.0600788989653935,0.0,0.0,17.112433727474706,2.4211508425451456,0.0,False
4,57541.32394,51.00362319192209,G,G,6810.76,6810.76,6.856977106878863e-16,-1.0280788989653917,0.0,0.0,17.032433727474704,2.3411508425451437,0.0,False
5,57715.55845,225.23813319191686,G,G,6810.76,6810.76,2.704784689971379e-17,-2.4320788989653916,0.0,0.0,20.542433727474705,5.851150842545145,0.0,False
6,57391.4959954,-98.82432140807941,G,G,6810.76,6810.76,1.1485044956243104e-17,-2.8040788989653915,1.1485044956243105e-18,0.1,21.472433727474705,6.781150842545145,0.1,True
7,57477.17,-13.150316808081698,V,V,5515.4,5515.4,1.887931815249141e-15,-0.5882252932526733,1.8879318152491413e-16,0.1,16.161846118061245,1.470563233131685,0.1,False
8,57475.21,-15.110316808080825,V,V,5515.4,5515.4,8.2411212754616385e-16,-0.9482252932526745,8.241121275461639e-17,0.1,17.061846118061247,2.370563233131687,0.1,True
9,57480.9753,-9.34501680808171,V,V,5937.077908816326,5937.077908816326,3.847568010125065e-15,-0.27902529325267444,2.539394886682543e-16,0.066,15.388846118061245,0.6975632331316852,0.066,False
10,57482.2678,-8.052516808078508,V,V,5515.4,5515.4,4.7685496100661655e-15,-0.18582529325267494,2.861129766039699e-16,0.06,15.155846118061246,0.46456323313168646,0.06,False
