,MJD,Phase,Filter,ShiftedFilter,Wavelength,ShiftedWavelength,Flux,ShiftedFlux,Fluxerr,ShiftedFluxerr,Mag,ShiftedMag,Magerr,Nondetection
0,57642.1809954,3.465691086865263,G,G,5341.800891665511,5341.800891665511,1.006543407281736e-14,-0.19635506280223503,2.013086814563472e-15,0.2,14.115684204689106,-0.2618412521372484,0.2,False
1,57642.68185,3.966545686867903,G,G,5341.800891665511,5341.800891665511,9.881719196591707e-15,-0.20435506280223414,0.0,0.0,14.135684204689106,-0.281841252137248,0.0,False
2,57642.75586,4.040555686864536,G,G,5341.800891665511,5341.800891665511,9.973153618559565e-15,-0.20035506280223458,0.0,0.0,14.125684204689106,-0.2718412521372482,0.0,False
3,57668.50168,29.78637568686827,G,G,6803.451220000001,6803.451220000001,3.2721447597434643e-15,-0.6843550628022346,0.0,0.0,15.335684204689105,-1.4818412521372473,0.0,False
4,57668.67782,29.962515686864208,G,G,6803.451220000001,6803.451220000001,3.2721447597434643e-15,-0.6843550628022346,0.0,0.0,15.335684204689105,-1.4818412521372473,0.0,False
5,57696.91425,58.19894568686868,G,G,6803.451220000001,6803.451220000001,1.1036528995560953e-15,-1.156355062802234,0.0,0.0,16.515684204689105,-2.661841252137247,0.0,False
6,57839.62497,200.90966568686417,G,G,6803.451220000001,6803.451220000001,7.359232242862474e-17,-2.3323550628022343,0.0,0.0,19.455684204689103,-5.601841252137245,0.0,False
7,57866.36875,227.6534456868685,G,G,6803.451220000001,6803.451220000001,5.634203234607406e-17,-2.448355062802234,0.0,0.0,19.745684204689105,-5.891841252137247,0.0,False
8,57518.5039931,-120.21131121313374,G,G,6803.451220000001,6803.451220000001,1.1556664582643383e-17,-3.1363550628022328,1.1556664582643384e-18,0.1,21.465684204689104,-7.611841252137246,0.1,True
9,57622.1745949,-16.54070941312966,V,V,5509.4813,5509.4813,9.11416366462741e-16,-1.2394707484040257,1.2759829130478376e-16,0.14,16.95251982356192,-3.0986768710100634,0.14,False
10,57620.1806829,-18.534621413135028,V,V,5509.4813,5509.4813,7.239637534711685e-16,-1.3394707484040254,7.239637534711686e-17,0.1,17.20251982356192,-3.3486768710100634,0.1,True
11,57623.3872,-15.328104313135555,V,V,5602.675481093796,5602.675481093796,2.1306731006158367e-15,-0.8706707484040255,1.6406182874741943e-16,0.077,16.03051982356192,-2.176676871010063,0.077,False
12,57629.5693,-9.146004313130106,V,V,5509.4813,5509.4813,1.0551563648756319e-14,-0.1758707484040265,5.592328733840849e-16,0.053,14.293519823561923,-0.4396768710100645,0.053,False
13,57632.5581,-6.157204313130933,V,V,5821.362958199347,5821.362958199347,1.3909669882279878e-14,-0.055870748404025505,6.81573824231714e-16,0.049,13.993519823561922,-0.13967687101006376,0.049,False
14,57635.4033,-3.312004313134821,V,V,5821.362958199347,5821.362958199347,1.5322048158075585e-14,-0.01387074840402569,7.201362634295525e-16,0.047,13.888519823561921,-0.03467687101006334,0.047,False
15,57637.6991,-1.0162043131349492,V,V,5821.362958199347,5821.362958199347,1.6237412472050905e-14,0.011329251595974199,8.118706236025453e-16,0.05,13.82551982356192,0.028323128989937274,0.05,False
16,57641.6178,2.9024956868670415,V,V,5821.362958199347,5821.362958199347,1.5678944507546975e-14,-0.0038707484040259033,7.525893363622548e-16,0.048,13.863519823561921,-0.009676871010062982,0.048,False
17,57642.2783,3.562995686865179,V,V,5341.80089166551,5341.80089166551,1.5392771519008724e-14,-0.011870748404026799,7.696385759504363e-16,0.05,13.883519823561922,-0.029676871010064332,0.05,False
18,57645.5484,6.833095686866727,V,V,5821.362958199347,5821.362958199347,1.2981259240304066e-14,-0.08587074840402664,7.139692582167236e-16,0.055,14.068519823561921,-0.21467687101006305,0.055,False
19,57648.9301,10.214795686864818,V,V,5602.675481093796,5602.675481093796,1.1028509535320551e-14,-0.15667074840402684,5.734824958366687e-16,0.052,14.245519823561922,-0.39167687101006443,0.052,False
20,57649.8971,11.181795686869009,V,V,5712.019219646571,5712.019219646571,1.0659008855437182e-14,-0.1714707484040261,5.542684604827334e-16,0.052,14.282519823561922,-0.42867687101006346,0.052,False
21,57651.6571,12.94179568686377,V,V,5712.019219646571,5712.019219646571,9.063935847306508e-15,-0.24187074840402545,5.075804074491645e-16,0.056,14.458519823561922,-0.6046768710100636,0.056,False
22,57653.7587,15.043395686865551,V,V,5712.019219646571,5712.019219646571,8.160501012759746e-15,-0.28747074840402576,4.733090587400652e-16,0.058,14.572519823561922,-0.7186768710100644,0.058,False
23,57664.3253,25.60999568686384,V,V,5712.019219646571,5712.019219646571,4.985593012979416e-15,-0.5014707484040262,3.0412117379174434e-16,0.061,15.10751982356192,-1.2536768710100628,0.061,False
24,57669.432,30.71669568686775,V,V,5712.019219646571,5712.019219646571,3.838104746833315e-15,-0.6150707484040261,2.4563870379733217e-16,0.064,15.391519823561921,-1.5376768710100635,0.064,False
25,57623.3511,-15.364204313133087,UVW2,UVW2,1666.3008931938775,1666.3008931938775,4.059812649400796e-17,-2.590681579029516,8.647400943223695e-18,0.213,21.40279806103422,-7.54895510848236,0.213,False
26,57629.5673,-9.148004313130514,UVW2,UVW2,2052.15542,2052.15542,6.02706662606873e-16,-1.4190815790295161,4.580570635812235e-17,0.076,18.47379806103422,-4.619955108482362,0.076,False
27,57632.5568,-6.158504313134472,UVW2,UVW2,2759.7382787216325,2759.7382787216325,7.901435374748963e-16,-1.301481579029515,5.847062177314232e-17,0.074,18.17979806103422,-4.325955108482361,0.074,False
28,57635.4015,-3.313804313133005,UVW2,UVW2,2869.082017274408,2869.082017274408,8.735866576326682e-16,-1.2578815790295153,6.115106603428678e-17,0.07,18.070798061034218,-4.2169551084823595,0.07,False
29,57637.6976,-1.0177043131334358,UVW2,UVW2,1666.3008931938775,1666.3008931938775,8.070603146486158e-16,-1.292281579029515,7.344248863302403e-17,0.091,18.15679806103422,-4.302955108482362,0.091,False
30,57641.6155,2.9001956868669367,UVW2,UVW2,1666.3008931938775,1666.3008931938775,6.608547142186647e-16,-1.3790815790295152,5.088581299483719e-17,0.077,18.37379806103422,-4.51995510848236,0.077,False
31,57642.2766,3.5612956868644687,UVW2,UVW2,1695.3392946893878,1695.3392946893878,6.10528570845692e-16,-1.413481579029515,5.738968565949504e-17,0.094,18.459798061034217,-4.605955108482359,0.094,False
32,57645.5477,6.832395686869859,UVW2,UVW2,1666.3008931938775,1666.3008931938775,5.547610894892799e-16,-1.4550815790295157,5.824991439637438e-17,0.105,18.56379806103422,-4.709955108482362,0.105,False
33,57648.9282,10.21289568686916,UVW2,UVW2,1666.3008931938775,1666.3008931938775,3.116778880445649e-16,-1.7054815790295148,2.680429837183258e-17,0.086,19.189798061034217,-5.335955108482359,0.086,False
34,57649.8946,11.17929568686668,UVW2,UVW2,1666.3008931938775,1666.3008931938775,2.777832101152631e-16,-1.7554815790295137,2.5278272120488942e-17,0.091,19.314798061034217,-5.460955108482359,0.091,False
35,57651.656,12.94069568686973,UVW2,UVW2,1666.3008931938775,1666.3008931938775,2.4149380391329363e-16,-1.8162815790295141,2.2217429960023014e-17,0.092,19.46679806103422,-5.61295510848236,0.092,False
