,MJD,Phase,Filter,ShiftedFilter,Wavelength,ShiftedWavelength,Flux,ShiftedFlux,Fluxerr,ShiftedFluxerr,Mag,ShiftedMag,Magerr,Nondetection
0,57829.5345831815,-0.024309060856467113,i,i,7670.0,7670.0,1.5410115392470045e-15,-0.011859130401610685,9.59589426500649e-18,0.00622701,16.0113,0.02964782600402671,0.00622701,False
1,57829.5483662332,-0.010526009158638772,i,i,7670.0,7670.0,1.5856447383741155e-15,0.0005408695983888379,1.3369189190680134e-17,0.00843139,15.9803,-0.0013521739959720946,0.00843139,False
2,57829.5621474002,0.00325515784061281,i,i,7670.0,7670.0,1.5745842055299399e-15,-0.002499130401611538,1.031686466473683e-17,0.00655212,15.9879,0.0062478260040279565,0.00655212,False
3,57829.5759727597,0.017080517347494606,i,i,7670.0,7670.0,1.5656183063627045e-15,-0.004979130401610021,8.824106585955347e-18,0.00563618,15.9941,0.012447826004027718,0.00563618,False
4,57838.4685274493,8.909635206946405,w,w,5985.0,5985.0,2.0751863399485232e-15,0.11739207880494185,1.4415572436540008e-17,0.00694664,15.9575,-0.024152173995972248,0.00694664,False
5,57838.4803564254,8.921464183047647,w,w,5985.0,5985.0,2.0643203791366204e-15,0.11511207880494112,1.2140784229797249e-17,0.00588125,15.9632,-0.01845217399597132,0.00588125,False
6,57838.4922108842,8.93331864184438,w,w,5985.0,5985.0,2.0552142381283874e-15,0.11319207880494098,1.6070871047899212e-17,0.00781956,15.968,-0.01365217399597185,0.00781956,False
7,57838.5040515228,8.945159280447115,w,w,5985.0,5985.0,2.073657849332332e-15,0.11707207880494153,1.4808820165221916e-17,0.0071414,15.9583,-0.023352173995972336,0.0071414,False
8,57842.3572057289,12.798313486542611,w,w,5985.0,5985.0,1.7618831411837575e-15,0.046312078804939816,1.1835661426878833e-17,0.00671762,16.1352,0.15354782600402928,0.00671762,False
9,57842.369592513,12.810700270645611,w,w,5985.0,5985.0,1.7108703503435072e-15,0.03355207880493971,1.2067777994479459e-17,0.00705359,16.1671,0.18544782600402954,0.00705359,False
10,57842.3821585015,12.823266259147204,w,w,5985.0,5985.0,1.7494321359604617e-15,0.043232078804940954,1.296645859963311e-17,0.00741181,16.1429,0.1612478260040291,0.00741181,False
11,57863.2657093432,33.70681710084318,w,w,5985.0,5985.0,7.965574429406917e-16,-0.29844792119505925,3.232477896899903e-18,0.00405806,16.9971,1.0154478260040278,0.00405806,False
12,57863.2779041991,33.71901195674582,w,w,5985.0,5985.0,8.108436127160667e-16,-0.2907279211950584,3.1277400432548285e-18,0.00385739,16.9778,0.9961478260040266,0.00385739,False
13,57863.2900383724,33.73114613004145,w,w,5985.0,5985.0,7.846158914191229e-16,-0.3050079211950596,3.3791837211638786e-18,0.0043068,17.0135,1.0318478260040287,0.0043068,False
14,57863.3022326082,33.74334036584332,w,w,5985.0,5985.0,8.006765330092961e-16,-0.2962079211950588,3.452028797650949e-18,0.00431139,16.9915,1.0098478260040267,0.00431139,False
15,57896.3168823662,66.75799012384232,w,w,5985.0,5985.0,1.9936875644362256e-16,-0.9000079211950602,1.106034062747156e-17,0.0554768,18.501,2.5193478260040294,0.0554768,False
16,57896.3287355715,66.76984332914435,w,w,5985.0,5985.0,1.979416107327746e-16,-0.9031279211950594,9.130333913304253e-18,0.0461264,18.5088,2.527147826004029,0.0461264,False
17,57896.3406673018,66.78177505944768,w,w,5985.0,5985.0,2.0141745305987879e-16,-0.8955679211950578,8.022698856318644e-18,0.0398312,18.4899,2.508247826004027,0.0398312,False
18,57899.3834,69.824507757643,G,G,6730.0,6730.0,1.6947521381302843e-16,-0.9705588306766071,0.0,0.0,18.55,2.568347826004029,0.0,False
19,57899.4574,69.89850775764353,G,G,6730.0,6730.0,1.6638194255381271e-16,-0.978558830676608,0.0,0.0,18.57,2.5883478260040285,0.0,False
20,57928.44432,98.88542775764654,G,G,6730.0,6730.0,8.651794402345209e-17,-1.2625588306766087,0.0,0.0,19.28,3.2983478260040293,0.0,False
21,57952.86714,123.30824775764631,G,G,6730.0,6730.0,4.932944059335803e-17,-1.5065588306766085,0.0,0.0,19.89,3.9083478260040287,0.0,False
22,57952.94115,123.38225775764295,G,G,6730.0,6730.0,4.8429076832855764e-17,-1.5145588306766076,0.0,0.0,19.91,3.9283478260040283,0.0,False
23,57831.2185,1.6596077576468815,UVW2,UVW2,1648.3112244897957,1648.3112244897957,1.0824932995049822e-16,-1.165239804365843,1.9268380731188682e-17,0.178,20.338,4.356347826004029,0.178,False
24,57833.2892,3.730307757643459,UVW2,UVW2,1756.4744693877549,1756.4744693877549,8.913026890903709e-17,-1.2496398043658434,2.2282567227259272e-17,0.25,20.549,4.567347826004028,0.25,False
25,57837.4612,7.90230775764212,UVW2,UVW2,1723.9235714285712,1723.9235714285712,1.7061814535784657e-16,-0.9676398043658434,1.706181453578466e-17,0.1,19.844,3.8623478260040294,0.1,True
26,57859.6209,30.062007757645915,UVW2,UVW2,1756.4744693877549,1756.4744693877549,3.0961729837909e-17,-1.7088398043658426,3.0961729837909004e-18,0.1,21.697,5.715347826004027,0.1,True
27,57864.9381,35.3792077576436,UVW2,UVW2,1756.4744693877549,1756.4744693877549,3.0677870992539844e-17,-1.712839804365844,3.0677870992539847e-18,0.1,21.707,5.725347826004029,0.1,True
28,58233.0499,403.49100775764236,UVW2,UVW2,1756.4744693877549,1756.4744693877549,6.020398194149441e-17,-1.4200398043658442,6.020398194149442e-18,0.1,20.975,4.99334782600403,0.1,True
29,58239.0894,409.5305077576413,UVW2,UVW2,2030.0,2030.0,5.02603162333286e-17,-1.4984398043658427,5.0260316233328606e-18,0.1,21.171,5.1893478260040276,0.1,True
30,57831.2258,1.666907757644367,UVM2,UVM2,2838.1069183673467,2838.1069183673467,3.765491611399319e-17,-1.6238433367364689,1.1145855169741984e-17,0.296,21.382,5.40034782600403,0.296,False
31,57833.2923,3.733407757645182,UVM2,UVM2,2080.9642040816325,2080.9642040816325,5.0515154363216997e-17,-1.4962433367364678,5.0515154363217e-18,0.1,21.063000000000002,5.081347826004031,0.1,True
32,57859.6235,30.064607757645717,UVM2,UVM2,2513.6171836734693,2513.6171836734693,2.7811325270261174e-17,-1.7554433367364677,2.7811325270261174e-18,0.1,21.711000000000002,5.72934782600403,0.1,True
33,57864.9409,35.382007757645624,UVM2,UVM2,2621.7804285714283,2621.7804285714283,2.6780685195754472e-17,-1.7718433367364685,2.6780685195754474e-18,0.1,21.752000000000002,5.770347826004031,0.1,True
34,58233.0527,403.4938077576444,UVM2,UVM2,2621.7804285714283,2621.7804285714283,5.2122073514151666e-17,-1.4826433367364675,5.212207351415167e-18,0.1,21.029,5.047347826004028,0.1,True
35,58239.0932,409.5343077576472,UVM2,UVM2,2231.0,2231.0,4.4199940470924317e-17,-1.5542433367364676,4.419994047092432e-18,0.1,21.208000000000002,5.22634782600403,0.1,True
36,57831.2137,1.6548077576444484,UVW1,UVW1,2838.106918367346,2838.106918367346,2.850397865297348e-16,-0.7447595370783961,3.8765410968043936e-17,0.136,19.004,3.0223478260040295,0.136,False
37,57833.2865,3.727607757646183,UVW1,UVW1,2838.106918367346,2838.106918367346,2.251673849785715e-16,-0.8471595370783955,4.0530129296142867e-17,0.18,19.26,3.2783478260040297,0.18,False
38,57837.4589,7.900007757642015,UVW1,UVW1,2868.719489795918,2868.719489795918,1.346807369456836e-16,-1.0703595370783958,2.989912360194176e-17,0.222,19.818,3.8363478260040296,0.222,False
39,57859.6184,30.059507757643587,UVW1,UVW1,2621.7804285714283,2621.7804285714283,4.8139933287654026e-17,-1.5171595370783937,4.813993328765403e-18,0.1,20.935000000000002,4.9533478260040305,0.1,True
40,57864.9358,35.376907757643494,UVW1,UVW1,2621.7804285714283,2621.7804285714283,4.743571860372909e-17,-1.523559537078393,4.743571860372909e-18,0.1,20.951,4.969347826004029,0.1,True
41,58233.0476,403.48870775764226,UVW1,UVW1,2621.7804285714283,2621.7804285714283,9.030368734379785e-17,-1.2439595370783945,9.030368734379786e-18,0.1,20.252000000000002,4.270347826004031,0.1,True
42,58239.0862,409.5273077576421,UVW1,UVW1,2634.0,2634.0,7.686090328824081e-17,-1.3139595370783947,7.686090328824082e-18,0.1,20.427000000000003,4.445347826004031,0.1,True
43,57831.2152,1.656307757642935,U,U,3703.41287755102,3703.41287755102,1.5747758786930595e-15,-0.0024462672199181412,1.196829667806725e-16,0.076,16.809,0.8273478260040292,0.076,False
44,57833.2874,3.728507757645275,U,U,3703.41287755102,3703.41287755102,1.618895269192905e-15,0.009553732780082314,1.4731946949655434e-16,0.091,16.779,0.7973478260040281,0.091,False
45,57837.4601,7.901207757640805,U,U,3837.392959183673,3837.392959183673,1.0814806514048174e-15,-0.16564626721991615,1.0490362318626729e-16,0.097,17.217,1.235347826004027,0.097,False
46,57859.6193,30.06040775764268,U,U,3811.576122448979,3811.576122448979,8.41044071730571e-17,-1.2748462672199157,8.41044071730571e-18,0.1,19.99,4.008347826004027,0.1,True
