,MJD,Phase,Filter,ShiftedFilter,Wavelength,ShiftedWavelength,Flux,ShiftedFlux,Fluxerr,ShiftedFluxerr,Mag,ShiftedMag,Magerr,Nondetection
0,57961.5959954,24.888476900960086,G,G,6771.551019999999,6771.551019999999,6.992986455543365e-15,-0.4778865383023181,1.398597291108673e-15,0.2,14.511108758558848,0.9656699408874623,0.2,False
1,57961.59701,24.889491500958684,G,G,6771.551019999999,6771.551019999999,6.802408160539734e-15,-0.48988653830231854,0.0,0.0,14.541108758558847,0.9956699408874616,0.0,False
2,57961.67102,24.963501500962593,G,G,6771.551019999999,6771.551019999999,6.802408160539734e-15,-0.48988653830231854,0.0,0.0,14.541108758558847,0.9956699408874616,0.0,False
3,57993.32892,56.62140150096093,G,G,6771.551019999999,6771.551019999999,1.926028401791254e-15,-1.0378865383023186,0.0,0.0,15.911108758558848,2.3656699408874626,0.0,False
4,57993.40293,56.69541150095756,G,G,6771.551019999999,6771.551019999999,1.961835943212206e-15,-1.0298865383023195,0.0,0.0,15.891108758558849,2.345669940887463,0.0,False
5,58013.57957,76.8720515009627,G,G,6771.551019999999,6771.551019999999,1.14990691883205e-15,-1.2618865383023188,0.0,0.0,16.47110875855885,2.925669940887463,0.0,False
6,58145.86034,209.15282150096027,G,G,6771.551019999999,6771.551019999999,1.1712852845861708e-16,-2.2538865383023197,0.0,0.0,18.95110875855885,5.4056699408874636,0.0,False
7,58178.09284,241.38532150095853,G,G,6771.551019999999,6771.551019999999,6.928874370354805e-17,-2.4818865383023176,0.0,0.0,19.52110875855885,5.975669940887464,0.0,False
8,58194.67182,257.9643015009642,G,G,6771.551019999999,6771.551019999999,5.403344866035556e-17,-2.589886538302318,0.0,0.0,19.79110875855885,6.245669940887463,0.0,False
9,58194.848,258.14048150095914,G,G,6771.551019999999,6771.551019999999,5.2560887175456206e-17,-2.6018865383023186,0.0,0.0,19.821108758558847,6.275669940887461,0.0,False
10,57820.625,-116.082518499039,G,G,6771.551019999999,6771.551019999999,1.2041003623102894e-17,-3.241886538302319,1.2041003623102895e-18,0.1,21.421108758558848,7.875669940887462,0.1,True
11,57919.3,-17.407518499036087,B,B,4414.404541567958,4414.404541567958,1.5558275692080072e-15,-1.1305877624708423,3.4228206522576156e-17,0.022,16.60921420327985,3.0637753856084657,0.022,False
12,57920.36,-16.347518499038415,B,B,4005.174663803591,4005.174663803591,2.2948878302468185e-15,-0.9617877624708431,6.19619714166641e-17,0.027,16.18721420327985,2.641775385608465,0.027,False
13,57922.35,-14.357518499040452,B,B,4005.174663803591,4005.174663803591,5.2476089355543936e-15,-0.6025877624708418,9.445696083997908e-17,0.018,15.28921420327985,1.7437753856084637,0.018,False
14,57924.28,-12.427518499040161,B,B,4414.404541567958,4414.404541567958,1.0241450326376899e-14,-0.3121877624708418,1.228974039165228e-16,0.012,14.56321420327985,1.0177753856084646,0.012,False
15,57924.33,-12.37751849903725,B,B,4414.404541567958,4414.404541567958,9.409389856543512e-15,-0.3489877624708413,1.2232206813506565e-16,0.013,14.655214203279849,1.1097753856084633,0.013,False
