,MJD,Phase,Filter,ShiftedFilter,Wavelength,ShiftedWavelength,Flux,ShiftedFlux,Fluxerr,ShiftedFluxerr,Mag,ShiftedMag,Magerr,Nondetection
0,57959.49,-3.4212636363736237,B,B,4238.745737142856,4238.745737142856,2.169211438743372e-14,-0.0011262007423109566,7.375318891727464e-16,0.034,13.748363145782276,0.24012148128713307,0.034,False
1,57960.49,-2.4212636363736237,B,B,4012.443236571429,4012.443236571429,2.1178826175059324e-14,-0.011526200742311588,1.376623701378856e-15,0.065,13.774363145782278,0.26612148128713464,0.065,False
2,57962.48,-0.43126363636838505,B,B,4012.443236571429,4012.443236571429,1.9244289692626952e-14,-0.05312620074231056,9.044816155534667e-16,0.047,13.878363145782277,0.37012148128713385,0.047,False
3,57963.48,0.568736363631615,B,B,4012.443236571429,4012.443236571429,1.8599526399588594e-14,-0.0679262007423116,1.2647677951720246e-15,0.068,13.915363145782278,0.40712148128713466,0.068,False
4,57964.49,1.5787363636263763,B,B,4012.443236571429,4012.443236571429,1.7135701407652296e-14,-0.10352620074231034,9.938706816438333e-16,0.058,14.004363145782277,0.4961214812871333,0.058,False
5,57965.51,2.598736363630451,B,B,4012.443236571429,4012.443236571429,1.1931687927698372e-14,-0.2607262007423117,1.2408955444806307e-15,0.104,14.397363145782277,0.889121481287134,0.104,False
6,57966.5,3.5887363636284135,B,B,4012.443236571429,4012.443236571429,1.2209612642494611e-14,-0.2507262007423119,1.0622362998970311e-15,0.087,14.372363145782277,0.8641214812871336,0.087,False
7,57970.48,7.568736363631615,B,B,4012.443236571429,4012.443236571429,1.1574490582475304e-14,-0.2739262007423111,7.754908690258455e-16,0.067,14.430363145782277,0.9221214812871334,0.067,False
8,57972.49,9.578736363626376,B,B,4012.443236571429,4012.443236571429,7.48689747377999e-15,-0.4631262007423107,7.786373372731188e-16,0.104,14.903363145782277,1.3951214812871342,0.104,False
9,57973.45,10.538736363625503,B,B,4012.443236571429,4012.443236571429,7.1236387213423e-15,-0.4847262007423119,8.334657303970493e-16,0.117,14.957363145782278,1.4491214812871345,0.117,False
10,57974.5,11.588736363628414,B,B,4606.085828571428,4606.085828571428,8.022355179489928e-15,-0.43312620074231134,1.0268614629747109e-15,0.128,14.828363145782276,1.3201214812871331,0.128,False
11,57975.47,12.558736363629578,B,B,3873.7217828571434,3873.7217828571434,7.384173389413348e-15,-0.46912620074231093,1.949421774805124e-15,0.264,14.918363145782276,1.410121481287133,0.264,False
12,57975.5,12.588736363628414,B,B,3873.7217828571434,3873.7217828571434,7.196177812249896e-15,-0.48032620074231147,3.238280015512453e-16,0.045,14.946363145782277,1.4381214812871335,0.045,False
13,57979.52,16.608736363625212,B,B,4789.755874285714,4789.755874285714,3.8150645094903786e-15,-0.7559262007423104,5.0358851525273e-16,0.132,15.635363145782277,2.1271214812871335,0.132,False
14,57980.52,17.608736363625212,B,B,4012.443236571429,4012.443236571429,3.787057384126729e-15,-0.7591262007423119,4.961045173206015e-16,0.131,15.643363145782278,2.1351214812871344,0.131,False
15,57981.52,18.608736363625212,B,B,4012.443236571429,4012.443236571429,3.885991854237804e-15,-0.7479262007423113,6.761625826373778e-16,0.174,15.615363145782277,2.107121481287134,0.174,False
16,57982.53,19.61873636362725,B,B,3898.753261714286,3898.753261714286,2.595983249719489e-15,-0.9231262007423116,5.321765661924952e-16,0.205,16.053363145782278,2.5451214812871346,0.205,False
17,57993.53,30.61873636362725,B,B,4844.7719588571435,4844.7719588571435,1.8042714866082335e-15,-1.081126200742311,3.0853042421000795e-16,0.171,16.448363145782277,2.940121481287134,0.171,False
18,57995.53,32.61873636362725,B,B,3873.7217828571434,3873.7217828571434,1.417430866553998e-15,-1.185926200742312,3.146696523749876e-16,0.222,16.710363145782278,3.2021214812871346,0.222,False
19,57996.54,33.62873636362929,B,B,3873.7217828571434,3873.7217828571434,1.5034946460071376e-15,-1.1603262007423112,4.1496452229797003e-16,0.276,16.646363145782278,3.1381214812871345,0.276,False
20,57998.5,35.58873636362841,B,B,3873.7217828571434,3873.7217828571434,1.2974836261866545e-15,-1.2243262007423112,1.3493829712341207e-16,0.104,16.806363145782278,3.2981214812871347,0.104,False
21,58002.34,39.42873636362492,B,B,4844.7719588571435,4844.7719588571435,1.0683212963994548e-15,-1.3087262007423117,3.2263303151263534e-16,0.302,17.01736314578228,3.5091214812871367,0.302,False
22,58009.53,46.61873636362725,B,B,4012.443236571429,4012.443236571429,1.2333941547435703e-15,-1.2463262007423115,1.714417875093563e-16,0.139,16.861363145782278,3.3531214812871344,0.139,False
23,58010.52,47.60873636362521,B,B,4012.443236571429,4012.443236571429,1.2714576111478697e-15,-1.233126200742312,1.3096013394823058e-16,0.103,16.82836314578228,3.3201214812871367,0.103,False
24,58012.51,49.59873636363045,B,B,4012.443236571429,4012.443236571429,1.426598903570599e-15,-1.1831262007423131,1.512194837784835e-16,0.106,16.70336314578228,3.1951214812871367,0.106,False
25,58013.5,50.58873636362841,B,B,4012.443236571429,4012.443236571429,1.4760527760590668e-15,-1.168326200742312,9.594343044383935e-17,0.065,16.666363145782277,3.158121481287134,0.065,False
26,58014.5,51.58873636362841,B,B,4012.443236571429,4012.443236571429,1.2714576111478697e-15,-1.233126200742312,8.645911755805515e-17,0.068,16.82836314578228,3.3201214812871367,0.068,False
27,58016.43,53.518736363628705,B,B,3873.7217828571434,3873.7217828571434,1.4213527886147382e-15,-1.1847262007423112,6.822493385350744e-17,0.048,16.707363145782278,3.1991214812871345,0.048,False
28,58016.48,53.568736363631615,B,B,3873.7217828571434,3873.7217828571434,1.2540125587248079e-15,-1.2391262007423123,1.1662316796140714e-16,0.093,16.84336314578228,3.3351214812871373,0.093,False
29,58018.51,55.59873636363045,B,B,4012.443236571429,4012.443236571429,1.2927123143348836e-15,-1.2259262007423128,1.189295329188093e-16,0.092,16.81036314578228,3.302121481287136,0.092,False
30,58019.49,56.578736363626376,B,B,4012.443236571429,4012.443236571429,1.1405173226374552e-15,-1.2803262007423122,1.0264655903737096e-16,0.09,16.94636314578228,3.4381214812871352,0.09,False
31,58020.51,57.59873636363045,B,B,4012.443236571429,4012.443236571429,1.1510703994923034e-15,-1.2763262007423126,1.0820061755227652e-16,0.094,16.93636314578228,3.4281214812871372,0.094,False
32,58022.49,59.578736363626376,B,B,4012.443236571429,4012.443236571429,1.3775326014604585e-15,-1.1983262007423132,1.2535546673290173e-16,0.091,16.74136314578228,3.233121481287137,0.091,False
33,58023.47,60.55873636362958,B,B,4012.443236571429,4012.443236571429,1.1563834990520302e-15,-1.274326200742312,7.979046143459009e-17,0.069,16.931363145782278,3.4231214812871347,0.069,False
34,58024.46,61.54873636362754,B,B,4012.443236571429,4012.443236571429,1.242515702481261e-15,-1.2431262007423118,9.691622479353836e-17,0.078,16.85336314578228,3.3451214812871353,0.078,False
35,58025.46,62.54873636362754,B,B,3898.753261714286,3898.753261714286,1.0911937904008411e-15,-1.2995262007423118,7.310998395685636e-17,0.067,16.99436314578228,3.486121481287137,0.067,False
36,58026.47,63.55873636362958,B,B,4012.443236571429,4012.443236571429,1.0901892264685074e-15,-1.299926200742311,8.176419198513805e-17,0.075,16.995363145782278,3.4871214812871347,0.075,False
37,58027.49,64.57873636362638,B,B,4012.443236571429,4012.443236571429,9.942643914883112e-16,-1.3399262007423118,1.3422569285092204e-16,0.135,17.09536314578228,3.587121481287136,0.135,False
38,58028.41,65.4987363636319,B,B,4012.443236571429,4012.443236571429,1.2031004407694948e-15,-1.2571262007423112,1.407627515700309e-16,0.117,16.88836314578228,3.3801214812871354,0.117,False
39,58029.36,66.448736363629,B,B,4012.443236571429,4012.443236571429,1.1986762096839856e-15,-1.2587262007423128,1.3065570685555443e-16,0.109,16.89236314578228,3.3841214812871367,0.109,False
40,58040.39,77.47873636362783,B,B,4012.443236571429,4012.443236571429,1.1363232320849265e-15,-1.281926200742312,1.374951110822761e-16,0.121,16.95036314578228,3.4421214812871366,0.121,False
41,58042.45,79.5387363636255,B,B,4012.443236571429,4012.443236571429,1.5104344619777955e-15,-1.1583262007423123,3.9573382903818245e-16,0.262,16.64136314578228,3.1331214812871355,0.262,False
42,58043.37,80.45873636363103,B,B,4012.443236571429,4012.443236571429,1.004388857074173e-15,-1.3355262007423132,6.930283113811795e-17,0.069,17.08436314578228,3.576121481287137,0.069,False
