,MJD,Phase,Filter,ShiftedFilter,Wavelength,ShiftedWavelength,Flux,ShiftedFlux,Fluxerr,ShiftedFluxerr,Mag,ShiftedMag,Magerr,Nondetection
0,58014.8861,-5.458155409090978,UVW2,UVW2,2060.45,2060.45,1.218278697214347e-16,-1.7180979882778846,1.218278697214347e-17,0.1,20.2096964164774,5.130190152171931,0.1,True
1,58017.8186,-2.5256554090956342,UVW2,UVW2,1892.60728,1892.60728,2.180452600301566e-16,-1.4652979882778858,4.8406047726694764e-17,0.222,19.577696416477398,4.498190152171929,0.222,False
2,58021.0401,0.6958445909040165,UVW2,UVW2,1673.0358928571427,1673.0358928571427,2.302219087078511e-16,-1.4416979882778858,4.7886157011233026e-17,0.208,19.5186964164774,4.439190152171932,0.208,False
3,58027.6059,7.261644590907963,UVW2,UVW2,1673.0358928571427,1673.0358928571427,1.2581912199442506e-16,-1.7040979882778853,3.850065133029407e-17,0.306,20.1746964164774,5.095190152171931,0.306,False
4,58032.4339,12.089644590909302,UVW2,UVW2,1673.0358928571427,1673.0358928571427,9.123188542528264e-17,-1.8436979882778868,9.123188542528264e-18,0.1,20.5236964164774,5.444190152171931,0.1,True
5,58037.0185,16.67424459090398,UVW2,UVW2,1673.0358928571427,1673.0358928571427,1.3821228601625708e-16,-1.6632979882778844,1.3821228601625708e-17,0.1,20.0726964164774,4.99319015217193,0.1,True
6,58042.6588,22.314544590903097,UVW2,UVW2,1673.0358928571427,1673.0358928571427,9.056213453485573e-17,-1.8468979882778864,9.056213453485573e-18,0.1,20.5316964164774,5.45219015217193,0.1,True
7,58046.9122,26.567944590904517,UVW2,UVW2,1673.0358928571427,1673.0358928571427,9.250104737491833e-17,-1.8376979882778866,9.250104737491834e-18,0.1,20.5086964164774,5.42919015217193,0.1,True
8,58014.8951,-5.449155409092782,UVM2,UVM2,2264.4649999999997,2264.4649999999997,7.270523750364442e-17,-1.9422789410180936,7.270523750364443e-18,0.1,20.66763996740136,5.588133703095892,0.1,True
9,58021.0444,0.7001445909045287,UVM2,UVM2,2880.678522142857,2880.678522142857,7.790506557704014e-17,-1.912278941018096,7.790506557704014e-18,0.1,20.59263996740136,5.5131337030958925,0.1,True
10,58027.6117,7.267444590906962,UVM2,UVM2,2002.3929735714285,2002.3929735714285,6.570004960702315e-17,-1.986278941018094,6.570004960702315e-18,0.1,20.77763996740136,5.698133703095891,0.1,True
11,58032.4377,12.093444590907893,UVM2,UVM2,2441.5357478571427,2441.5357478571427,6.630796468126966e-17,-1.9822789410180928,6.630796468126966e-18,0.1,20.767639967401358,5.68813370309589,0.1,True
12,58037.0227,16.67844459090702,UVM2,UVM2,2441.5357478571427,2441.5357478571427,1.0194494536954796e-16,-1.7954789410180947,1.0194494536954797e-17,0.1,20.30063996740136,5.221133703095891,0.1,True
13,58042.6645,22.320244590904622,UVM2,UVM2,2002.3929735714285,2002.3929735714285,6.618593332599027e-17,-1.9830789410180945,6.618593332599028e-18,0.1,20.76963996740136,5.690133703095892,0.1,True
14,58046.9145,26.570244590904622,UVM2,UVM2,2002.3929735714285,2002.3929735714285,7.197235235678807e-17,-1.946678941018094,7.197235235678807e-18,0.1,20.67863996740136,5.599133703095891,0.1,True
15,58014.8813,-5.462955409093411,UVW1,UVW1,2673.5099999999998,2673.5099999999998,5.769056691789835e-16,-1.0427398317573644,1.1191969982072279e-16,0.194,18.238501693394717,3.1589954290892486,0.194,False
