,MJD,Phase,Filter,ShiftedFilter,Wavelength,ShiftedWavelength,Flux,ShiftedFlux,Fluxerr,ShiftedFluxerr,Mag,ShiftedMag,Magerr,Nondetection
0,58094.5404007625,-23.077120773567003,i,i,7670.0,7670.0,3.478611198869163e-16,-0.548489769899053,1.060593768423219e-17,0.030489,17.6273,1.3712244247476306,0.030489,False
1,58094.552275424,-23.065246112062596,i,i,7670.0,7670.0,3.4144903587540135e-16,-0.5565697698990526,1.3452648129744175e-17,0.0393987,17.6475,1.3914244247476297,0.0393987,False
2,58094.5641951757,-23.053326360364736,i,i,7670.0,7670.0,3.479572507467652e-16,-0.5483697698990504,8.652339792794137e-18,0.0248661,17.627,1.3709244247476278,0.0248661,False
3,58094.5760656541,-23.041455881961156,i,i,7670.0,7670.0,3.2982676167125943e-16,-0.5716097698990517,1.0379483276413698e-17,0.0314695,17.6851,1.4290244247476274,0.0314695,False
4,58116.3643494769,-1.253172059165081,i,i,7670.0,7670.0,9.9642792634448e-16,-0.09144976989905196,2.1450502541588156e-17,0.0215274,16.4847,0.228624424747629,0.0215274,False
5,58116.3776199763,-1.2399015597620746,i,i,7670.0,7670.0,1.0140185287818453e-15,-0.08384976989905013,2.241031649534317e-17,0.0221005,16.4657,0.2096244247476271,0.0221005,False
6,58116.3909060903,-1.2266154457611265,i,i,7670.0,7670.0,9.528968488407568e-16,-0.11084976989905115,2.1728811554430895e-17,0.0228029,16.5332,0.27712442474762966,0.0228029,False
7,58116.4174569557,-1.2000645803636871,i,i,7670.0,7670.0,9.76170975814171e-16,-0.10036976989905178,1.7542670989258887e-17,0.0179709,16.507,0.2509244247476303,0.0179709,False
8,58116.4181036488,-1.1994178872628254,i,i,7670.0,7670.0,1.0001977903661316e-15,-0.08980976989905187,2.0712996020913183e-17,0.0207089,16.4806,0.2245244247476279,0.0207089,False
9,58116.4300945605,-1.187426975564449,i,i,7670.0,7670.0,9.906628809739216e-16,-0.0939697698990507,1.5179828258875305e-17,0.0153229,16.491,0.23492442474762854,0.0153229,False
10,58116.4307393189,-1.1867822171625448,i,i,7670.0,7670.0,9.956022989534729e-16,-0.09180976989905254,1.9893328655849133e-17,0.0199812,16.4856,0.22952442474763046,0.0199812,False
11,58116.4427076052,-1.1748139308620011,i,i,7670.0,7670.0,1.001396088682286e-15,-0.08928976989905024,2.068824235452282e-17,0.0206594,16.4793,0.22322442474762738,0.0206594,False
12,58116.4433603334,-1.1741612026671646,i,i,7670.0,7670.0,9.932209939606791e-16,-0.09284976989905047,2.070408890750794e-17,0.0208454,16.4882,0.23212442474762796,0.0208454,False
13,58116.4553155303,-1.1622060057634371,i,i,7670.0,7670.0,9.795032713017067e-16,-0.09888976989905096,1.8230808736448755e-17,0.0186123,16.5033,0.2472244247476283,0.0186123,False
14,58116.4559561821,-1.161565353962942,i,i,7670.0,7670.0,1.0104757389537716e-15,-0.0853697698990512,2.034027033969605e-17,0.0201294,16.4695,0.2134244247476289,0.0201294,False
15,58120.003,2.3854784639333957,i,i,7670.0,7670.0,1.8128667799510476e-15,0.16847023010094908,2.6467854987285297e-17,0.0146,15.8349,-0.4211755752523718,0.0146,False
16,58124.4046645966,6.787143060537346,i,i,7670.0,7670.0,7.965368839374021e-16,-0.18868976989905129,5.807725658902065e-18,0.00729122,16.7278,0.4717244247476273,0.00729122,False
17,58124.4053086815,6.787787145432958,i,i,7670.0,7670.0,8.280296548342285e-16,-0.1718497698990511,7.354733280465133e-18,0.00888221,16.6857,0.4296244247476295,0.00888221,False
18,58124.4170965879,6.799575051838474,i,i,7670.0,7670.0,8.244529774565038e-16,-0.17372976989905098,7.60760687136079e-18,0.00922746,16.6904,0.4343244247476292,0.00922746,False
19,58124.4177450539,6.800223517835548,i,i,7670.0,7670.0,8.239216042913671e-16,-0.17400976989905104,8.703001513969282e-18,0.0105629,16.6911,0.4350244247476276,0.0105629,False
20,58124.429542248,6.8120207119354745,i,i,7670.0,7670.0,8.351527024421062e-16,-0.1681297698990516,1.449541139520666e-17,0.0173566,16.6764,0.4203244247476299,0.0173566,False
21,58124.4301943504,6.812672814339749,i,i,7670.0,7670.0,8.425698038797759e-16,-0.1642897698990513,1.5648880453498302e-17,0.0185728,16.6668,0.4107244247476274,0.0185728,False
22,58124.4420082664,6.824486730336503,i,i,7670.0,7670.0,8.361532666172196e-16,-0.16760976989905174,1.5609392796536917e-17,0.0186681,16.6751,0.41902442474762935,0.0186681,False
23,58124.4426534065,6.825131870435143,i,i,7670.0,7670.0,8.77578330171011e-16,-0.14660976989905095,1.448548343346874e-17,0.0165062,16.6226,0.36652442474762736,0.0165062,False
24,58125.9641,8.346578463933838,i,i,7670.0,7670.0,8.390848711807763e-16,-0.16608976989905067,2.2571383034762882e-17,0.0269,16.6713,0.41522442474762755,0.0269,False
25,58125.9671,8.349578463938087,i,i,7670.0,7670.0,8.65139001097039e-16,-0.15280976989905248,2.258012792863272e-17,0.0261,16.6381,0.3820244247476303,0.0261,False
26,58147.0076,29.390078463933605,i,i,7670.0,7670.0,5.756067667140964e-16,-0.3297697698990518,2.785936750896227e-17,0.0484,17.0805,0.8244244247476296,0.0484,False
27,58147.0137,29.396178463939577,i,i,7670.0,7670.0,4.2815980185790644e-16,-0.4582897698990518,2.19645978353106e-17,0.0513,17.4018,1.1457244247476304,0.0513,False
28,58148.0081,30.390578463935526,i,i,7670.0,7670.0,4.443507226196504e-16,-0.442169769899051,2.941601783742085e-17,0.0662,17.3615,1.1054244247476284,0.0662,False
29,58148.0111,30.393578463939775,i,i,7670.0,7670.0,6.686608418522936e-16,-0.2646897698990518,2.7749424936870186e-17,0.0415,16.9178,0.6617244247476286,0.0415,False
30,58148.406763141,30.78924160493625,i,i,7670.0,7670.0,4.646499457398896e-16,-0.4227697698990518,8.981822846135789e-18,0.0193303,17.313,1.0569244247476277,0.0193303,False
31,58148.4192115762,30.801690040134417,i,i,7670.0,7670.0,4.492477294072572e-16,-0.4374097698990518,8.617829343673534e-18,0.0191828,17.3496,1.0935244247476277,0.0191828,False
