MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57752.234408 -16.351  0.291 -1046  305 c  0   0.88 353.65196  -4.53453  9077.68  1058.51 4.10 3.83  88.1 -0.428 16.73 18.27 02a57752o0049c
57752.249168 -17.623  1.672  -324  542 c  0   1.10 353.65196  -4.53453  9058.62  1018.51 4.06 3.96  85.3 -0.457 16.29 17.80 02a57752o0078c
57752.262300  16.408  0.234   993  232 c  0   1.13 353.65196  -4.53453  9118.49  1095.62 4.02 3.90  64.3 -0.440 16.78 18.31 02a57752o0104c
57752.275900  18.087  2.088   211  441 c  0   0.94 353.65196  -4.53453  9139.72   976.58 3.97 3.86  74.2 -0.448 16.12 17.64 02a57752o0131c
57752.290512  15.044  0.570  3485 1986 c  0   0.91 353.65196  -4.53453  9101.26  1033.39 3.92 3.85 -86.6 -0.470 15.54 17.02 02a57752o0160c
57764.234656  14.590  0.015  5298   77 o  0   1.81 353.65196  -4.53453 10414.96  2569.30 3.80 2.95  88.2 -0.502 18.00 18.41 02a57764o0091o
57764.248414  14.690  0.012  4829   56 o  0   2.06 353.65196  -4.53453   717.83  2544.47 3.79 3.56  83.4 -0.424 18.21 18.79 02a57764o0117o
57764.252140  14.682  0.013  4867   64 o  0   2.50 353.65196  -4.53453 10394.37  2529.08 3.78 2.98  86.3 -0.484 18.22 18.83 02a57764o0124o
57764.262389  14.679  0.017  4881   84 o  0   1.67 353.65196  -4.53453 10450.71  2606.61 3.76 2.85  88.0 -0.465 17.99 18.56 02a57764o0144o
57764.270984  14.704  0.028  4770  132 o  0   1.57 353.65196  -4.53453 10471.93  2489.72 3.76 2.98  85.8 -0.460 17.65 18.16 02a57764o0161o
57776.213690  15.692  0.027  1920   52 c  0   1.63 353.65196  -4.53453  9937.75   455.28 4.18 3.71 -84.3 -0.400 18.58 19.76 02a57776o0004c
57776.218237  15.684  0.022  1935   43 c  0   1.59 353.65196  -4.53453  9920.51   415.95 4.03 3.63  89.3 -0.406 18.85 20.14 02a57776o0013c
57776.225657  15.702  0.025  1901   48 c  0   1.22 353.65196  -4.53453  9978.34   494.42 3.97 3.72  83.0 -0.414 18.94 20.38 02a57776o0028c
57776.235226  15.683  0.022  1935   43 c  0   1.58 353.65196  -4.53453  9998.39   375.70 3.93 3.71  82.0 -0.431 18.95 20.41 02a57776o0047c
57919.623456 -20.190  2.292   -30   70 o  0   1.55 353.65196  -4.53453  2564.54  1167.75 2.97 2.71  66.2 -0.499 17.58 17.76 01a57919o0734o
57931.626058  18.438  0.759   153  116 o  0   1.49 353.65196  -4.53453  4394.14  9718.36 3.48 3.06  56.5 -0.551 17.05 17.41 01a57931o0765o
57935.585829 -18.314  0.080  -172   14 o  0   3.42 353.65196  -4.53453  2061.03  9564.52 4.71 3.47  -5.9 -0.390 19.20 21.30 01a57935o0675o
57935.594329 -21.359  1.293   -10   13 o  0   5.08 353.65196  -4.53453  2040.89  9496.58 3.74 3.58 -44.4 -0.428 19.33 21.32 01a57935o0692o
57935.602902 -17.356  0.039  -414   16 o  0   5.02 353.65196  -4.53453  2099.80  9543.96 5.49 3.43   1.0 -0.435 19.11 21.29 01a57935o0709o
57935.611554 -18.411  0.116  -157   18 o  0   2.79 353.65196  -4.53453  2118.66  9393.31 4.69 3.54  -3.5 -0.431 19.11 21.05 01a57935o0726o
57939.600117 -20.117  0.392   -33   13 o  0   6.43 353.65196  -4.53453  1041.61   418.14 3.04 2.96  87.9 -0.498 19.49 21.17 01a57939o0695o
57939.602410 -19.004  0.127   -91   12 o  0   8.34 353.65196  -4.53453  3386.97 10102.02 3.17 2.96 -46.4 -0.448 19.48 21.15 01a57939o0699o
57939.610535 -17.208  0.036  -475   17 o  0   3.68 353.65196  -4.53453  9315.97  9925.51 5.48 3.49  -2.6 -0.362 19.10 21.01 01a57939o0713o
57939.612837 -19.164  0.220   -78   17 o  0   2.87 353.65196  -4.53453  6976.58   259.35 4.65 3.15  -1.4 -0.425 19.07 20.77 01a57939o0717o
57939.619854 -19.859  0.728   -41   30 o  0   2.29 353.65196  -4.53453  1080.74   385.20 2.98 2.78  84.1 -0.522 18.82 19.61 01a57939o0730o
57939.622235 -18.554  0.252  -138   35 o  0   2.21 353.65196  -4.53453  3426.51 10066.25 2.92 2.72 -58.0 -0.474 18.40 18.97 01a57939o0734o
57940.572734 -19.609  0.272   -52   14 o  0  15.27 353.65196  -4.53453  8191.88  1011.19 2.22 1.94  59.8 -0.483 19.50 20.32 02a57940o0609o
57940.594023 -20.651  0.548   -20   11 o  0  26.05 353.65196  -4.53453  8128.07  1094.36 2.27 2.06  59.5 -0.456 19.76 21.03 02a57940o0651o
57941.546182 -17.666  0.091  -312   28 o  0   6.96 353.65196  -4.53453  8607.48  9210.46 2.67 2.36  49.0 -0.464 18.99 19.74 02a57941o0067o
57941.552034  19.350  0.313    66   21 o  0   7.99 353.65196  -4.53453  8628.90  9251.04 2.78 2.46  45.4 -0.464 19.05 19.78 02a57941o0078o
57941.559819 -18.248  0.132  -182   24 o  0   9.24 353.65196  -4.53453  8569.96  9175.41 2.73 2.41  45.9 -0.456 19.04 19.82 02a57941o0092o
57941.567909  18.926  0.224    98   22 o  0   6.74 353.65196  -4.53453  8548.40  9294.77 2.73 2.46  41.9 -0.453 19.08 19.86 02a57941o0107o
57942.536621  19.820  0.534    43   23 o  0   2.73 353.65196  -4.53453  4128.24  9476.34 2.91 2.82 -53.4 -0.473 18.76 19.54 01a57942o0570o
57942.545029  20.756  1.303    18   24 o  0   2.99 353.65196  -4.53453  4108.71  9413.46 2.87 2.83 -52.5 -0.482 18.67 19.47 01a57942o0587o
57942.553413 -19.141  0.276   -80   22 o  0   3.74 353.65196  -4.53453  4165.62  9464.66 2.87 2.83 -77.6 -0.475 18.79 19.55 01a57942o0604o
57942.561836 -18.975  0.212   -93   20 o  0   3.78 353.65196  -4.53453  4183.45  9320.13 2.89 2.84  84.9 -0.478 18.85 19.67 01a57942o0621o
57943.483140 -19.516  0.646   -57   37 o  0   1.81 353.65196  -4.53453  2486.95  3476.73 2.98 2.88 -53.9 -0.464 18.31 18.86 01a57943o0473o
57943.490596  18.404  0.197   158   31 o  0   2.50 353.65196  -4.53453  2464.56  3423.22 3.14 3.04 -57.9 -0.463 18.43 19.07 01a57943o0488o
57943.498095  18.938  0.308    97   30 o  0   2.31 353.65196  -4.53453  2520.93  3484.08 3.00 2.87 -48.2 -0.469 18.49 19.13 01a57943o0503o
57943.505528 -19.506  0.443   -57   25 o  0   3.07 353.65196  -4.53453  2538.14  3350.93 3.05 2.91 -53.9 -0.465 18.55 19.18 01a57943o0518o
57944.502830  17.931  0.131   244   32 o  0   3.26 353.65196  -4.53453  8492.01  9789.63 2.21 1.96  30.2 -0.499 18.70 19.08 02a57944o0514o
57944.508712 -17.489  0.065  -367   24 o  0   6.35 353.65196  -4.53453  6234.42    99.91 2.27 1.93  56.5 -0.518 18.74 19.04 02a57944o0526o
57944.511148 -19.767  0.841   -45   38 o  0   2.67 353.65196  -4.53453  8509.26  9831.05 2.13 1.96  38.6 -0.520 18.75 19.10 02a57944o0531o
57944.517011 -17.170  0.049  -492   24 o  0   6.04 353.65196  -4.53453  6252.38   141.04 2.25 2.00  59.3 -0.508 18.73 19.08 02a57944o0543o
57944.519469  18.514  0.224   143   32 o  0   6.32 353.65196  -4.53453  8449.46  9753.46 2.14 1.91  30.1 -0.510 18.78 19.15 02a57944o0548o
57944.525359 -18.509  0.247  -143   35 o  0   6.86 353.65196  -4.53453  6192.30    63.26 2.25 1.94  55.1 -0.584 18.77 19.13 02a57944o0560o
57944.528828 -18.699  0.210  -120   25 o  0  13.11 353.65196  -4.53453  8428.64  9873.62 2.14 1.88  27.2 -0.544 18.86 19.25 02a57944o0565o
57944.534716  19.342  0.416    67   28 o  0   5.47 353.65196  -4.53453  6170.95   183.41 2.20 1.96  65.8 -0.529 18.84 19.21 02a57944o0577o
57945.545269  19.680  0.862    49   42 o  0   6.30 353.65196  -4.53453  9704.23  7716.88 2.20 2.01  40.5 -0.503 18.81 19.21 02a57945o0582o
57945.553719 -19.810  0.871   -43   38 o  0   4.95 353.65196  -4.53453  9721.50  7758.57 2.32 2.10  51.1 -0.491 18.82 19.23 02a57945o0599o
57945.562242 -20.429  1.197   -24   29 o  0   6.41 353.65196  -4.53453  9661.25  7683.16 2.32 2.08  50.8 -0.524 18.86 19.26 02a57945o0616o
57945.570752 -18.570  0.247  -136   34 o  0   4.43 353.65196  -4.53453  9640.83  7801.91 2.56 2.28  49.7 -0.470 18.68 19.23 02a57945o0633o
57949.584909  17.610  0.069   328   23 o  0   8.45 353.65196  -4.53453  1602.21  1208.40 2.23 1.88  46.2 -0.541 19.03 19.61 02a57949o0685o
57949.593623 -19.319  0.298   -68   20 o  0  13.98 353.65196  -4.53453  1583.03  1171.80 2.28 1.86  40.0 -0.537 19.05 19.62 02a57949o0702o
57949.602956  18.262  0.106   180   19 o  0  10.55 353.65196  -4.53453  1641.45  1250.28 2.29 1.92  38.6 -0.543 19.02 19.62 02a57949o0719o
57949.612947 -20.602  0.976   -21   20 o  0   5.69 353.65196  -4.53453  1658.43  1134.43 2.29 1.91  42.0 -0.528 19.03 19.62 02a57949o0736o
57951.581933 -19.356  0.256   -66   17 o  0   4.60 353.65196  -4.53453  8689.34   342.86 3.16 2.84 -79.8 -0.443 19.30 20.71 01a57951o0672o
57951.586037 -18.411  0.099  -157   16 o  0   5.63 353.65196  -4.53453  9049.20   186.14 3.26 2.85  88.6 -0.448 19.18 20.45 01a57951o0680o
57951.591987  19.416  0.295    62   18 o  0   4.31 353.65196  -4.53453  8715.03   419.58 3.23 2.94 -76.2 -0.438 18.92 20.17 01a57951o0690o
57951.595957 -18.767  0.186  -113   21 o  0   5.50 353.65196  -4.53453  1314.27 10204.25 2.95 2.39 -80.1 -0.513 19.22 20.65 01a57951o0698o
57951.601082 -21.031  1.054   -14   15 o  0   7.27 353.65196  -4.53453  8662.95   378.26 3.09 2.79 -77.0 -0.455 19.35 20.76 01a57951o0707o
57951.605707 -19.742  0.353   -46   16 o  0   5.86 353.65196  -4.53453  1261.17 10166.38 2.85 2.36 -80.4 -0.519 19.33 20.78 01a57951o0715o
