MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57761.259458 -19.870  0.754   -41   31 o  0   1.20  14.38290  30.18523  5920.97  2361.47 3.67 3.59 -77.9 -0.448 18.65 19.64 02a57761o0114o
57761.268808 -22.220  7.917    -5   37 o  0   0.85  14.38290  30.18523  5905.78  2322.04 4.01 3.72  -1.9 -0.419 18.57 19.62 02a57761o0130o
57761.277589 -20.272  1.313   -28   37 o  0   1.09  14.38290  30.18523  5955.33  2400.31 4.38 3.71   0.8 -0.403 18.51 19.60 02a57761o0145o
57761.287509  24.311 53.000     1   36 o  0   0.96  14.38290  30.18523  5977.07  2282.39 3.57 3.45 -85.1 -0.461 18.64 19.57 02a57761o0161o
57761.301241  20.952  2.326    15   35 o  0   1.04  14.38290  30.18523  5944.43  2340.03 3.65 3.58  -0.4 -0.437 18.58 19.51 02a57761o0184o
57765.200493  19.116  2.751    82  226 o  0   1.38  14.38290  30.18523  3492.11  9017.93 3.46 3.05   4.5 -0.573 17.81 17.88 02a57765o0028o
57765.220364  20.607  2.912    21   60 o  0   1.17  14.38290  30.18523  3474.55  8980.18 3.45 3.11   7.2 -0.448 18.48 19.23 02a57765o0063o
57765.230918  19.523  1.223    56   69 o  0   1.13  14.38290  30.18523  3523.05  9055.70 3.46 3.14   8.3 -0.449 18.39 19.10 02a57765o0083o
57765.251010 -20.620  2.721   -20   56 o  0   1.37  14.38290  30.18523  3537.98  8936.38 3.37 3.14   5.4 -0.442 18.44 19.12 02a57765o0120o
57765.257631  19.393  0.990    64   63 o  0   1.22  14.38290  30.18523  3505.90  8994.40 3.46 3.25  12.5 -0.460 18.42 19.11 02a57765o0132o
57769.201252  17.849  0.527   263  139 o  0   1.65  14.38290  30.18523  6377.93 10368.84 3.46 2.96 -15.7 -0.458 17.77 17.88 02a57769o0003o
57769.220057  17.769  0.078   283   22 o  0   1.37  14.38290  30.18523  6344.19 10329.28 4.20 3.34   3.6 -0.392 19.21 20.93 02a57769o0039o
57769.230937  17.717  0.072   297   21 o  0   1.03  14.38290  30.18523  7616.42   642.75 3.64 3.52 -85.0 -0.468 19.36 21.03 02a57769o0059o
57769.233173  17.569  0.065   341   22 o  0   1.31  14.38290  30.18523  7583.95   602.67 3.94 3.67   2.9 -0.446 19.31 21.04 02a57769o0063o
57769.234707  17.757  0.077   287   22 o  0   1.35  14.38290  30.18523  6425.31 10289.84 3.48 3.22  -7.0 -0.419 19.34 20.99 02a57769o0066o
57769.248233  17.707  0.079   300   24 o  0   1.03  14.38290  30.18523  6387.24 10348.04 3.70 3.49   5.8 -0.407 19.29 20.95 02a57769o0092o
57769.250764  17.833  0.087   267   23 o  0   1.14  14.38290  30.18523  7646.69   681.97 3.75 3.65  17.1 -0.461 19.33 21.03 02a57769o0097o
57769.259743  17.696  0.077   303   23 o  0   0.89  14.38290  30.18523  7663.09   563.51 4.37 3.65   4.8 -0.434 19.27 21.06 02a57769o0114o
57769.268797  17.541  0.063   350   22 o  0   1.11  14.38290  30.18523  7633.03   620.81 3.77 3.61   9.3 -0.459 19.30 20.94 02a57769o0130o
57777.239596  15.314  0.010  2718   27 c  0   2.94  14.38290  30.18523  3474.53  9400.55 4.05 3.71  22.6 -0.401 19.47 21.39 02a57777o0085c
57777.250587  15.312  0.009  2724   26 c  0   2.94  14.38290  30.18523  3459.01  9359.52 3.97 3.67  22.7 -0.411 19.49 21.39 02a57777o0107c
57777.262040  15.345  0.010  2644   26 c  0   2.46  14.38290  30.18523  3510.06  9437.03 3.98 3.65  23.0 -0.402 19.50 21.40 02a57777o0130c
57777.274736  15.323  0.010  2698   26 c  0   2.50  14.38290  30.18523  3529.03  9318.66 3.95 3.71  24.8 -0.413 19.48 21.38 02a57777o0155c
57777.287942  15.332  0.010  2675   27 c  0   2.01  14.38290  30.18523  3494.85  9375.76 3.94 3.78  23.7 -0.405 19.47 21.38 02a57777o0181c
57781.238080  14.967  0.008  3742   30 c  0   7.97  14.38290  30.18523  3817.23  9673.50 3.65 3.15  -2.2 -0.462 19.54 21.41 02a57781o0017c
57781.248454  14.971  0.008  3730   29 c  0   7.67  14.38290  30.18523  3798.19  9631.55 3.62 3.20  -0.6 -0.433 19.53 21.40 02a57781o0038c
57781.259024  14.975  0.008  3714   29 c  0   7.38  14.38290  30.18523  3864.19  9709.30 3.59 3.24   6.6 -0.414 19.51 21.35 02a57781o0059c
57781.270783  14.972  0.008  3726   28 c  0   7.39  14.38290  30.18523  3883.55  9589.68 3.68 3.33  13.2 -0.395 19.49 21.30 02a57781o0082c
57781.283499  15.001  0.008  3628   30 c  0   5.00  14.38290  30.18523  3833.62  9647.97 3.74 3.42  15.6 -0.391 19.46 21.26 02a57781o0107c
57789.246671  15.166  0.014  3115   43 o  0   2.23  14.38290  30.18523  5827.13  8809.48 3.51 3.36  17.5 -0.438 18.68 19.67 02a57789o0071o
57789.256673  15.176  0.014  3088   43 o  0   2.10  14.38290  30.18523  5808.10  8770.28 3.50 3.39  27.7 -0.444 18.66 19.63 02a57789o0090o
