,MJD,Phase,Filter,ShiftedFilter,Wavelength,ShiftedWavelength,Flux,ShiftedFlux,Fluxerr,ShiftedFluxerr,Mag,ShiftedMag,Magerr,Nondetection
0,58142.37,-10.432920202016248,B,B,4001.695620759184,4001.695620759184,3.363179192316173e-14,-0.04063191423053247,3.0268612730845555e-16,0.009,13.27224284199892,0.33888576500768686,0.009,False
1,58145.34,-7.46292020202236,B,B,4001.695620759184,4001.695620759184,4.4952102297920945e-14,0.08536808576946875,1.2586588643417865e-15,0.028,12.95724284199892,0.023885765007685578,0.028,False
2,58146.34,-6.46292020202236,B,B,4001.695620759184,4001.695620759184,4.5914515659541755e-14,0.09456808576946862,3.214016096167923e-16,0.007,12.93424284199892,0.0008857650076858903,0.007,False
3,58146.39,-6.41292020201945,B,B,4001.695620759184,4001.695620759184,4.8078400117036205e-14,0.1145680857694682,3.028939207373281e-15,0.063,12.88424284199892,-0.049114234992313044,0.063,False
4,58147.31,-5.492920202021196,B,B,4001.695620759184,4001.695620759184,4.482806648985755e-14,0.08416808576946799,2.9138243218407408e-15,0.065,12.96024284199892,0.02688576500768569,0.065,False
5,58152.29,-0.5129202020179946,B,B,4001.695620759184,4001.695620759184,4.659614707747939e-14,0.10096808576946792,5.125576178522733e-16,0.011,12.91824284199892,-0.015114234992314124,0.011,False
6,58153.31,0.507079797978804,B,B,4001.695620759184,4001.695620759184,4.5703557622579314e-14,0.09256808576946796,4.570355762257931e-16,0.01,12.93924284199892,0.005885765007686672,0.01,False
7,58154.42,1.617079797979386,B,B,4001.695620759184,4001.695620759184,4.470437293234305e-14,0.08296808576946901,4.470437293234305e-16,0.01,12.96324284199892,0.029885765007685805,0.01,False
8,58156.34,3.53707979797764,B,B,4001.695620759184,4001.695620759184,4.0583547536723025e-14,0.0409680857694692,3.2466838029378423e-16,0.008,13.06824284199892,0.13488576500768623,0.008,False
9,58157.27,4.467079797977931,B,B,4001.695620759184,4001.695620759184,3.7149246332896804e-14,0.002568085769468098,1.4488206069829753e-15,0.039,13.16424284199892,0.23088576500768632,0.039,False
10,58158.29,5.487079797982005,B,B,4001.695620759184,4001.695620759184,3.617012481489987e-14,-0.009031914230531513,7.234024962979974e-16,0.02,13.19324284199892,0.25988576500768623,0.02,False
11,58159.25,6.447079797981132,B,B,4001.695620759184,4001.695620759184,3.422551623109721e-14,-0.03303191423053242,4.107061947731665e-16,0.012,13.25324284199892,0.31988576500768673,0.012,False
12,58160.37,7.567079797983752,B,B,4001.695620759184,4001.695620759184,3.135811925593439e-14,-0.0710319142305309,4.703717888390158e-16,0.015,13.34824284199892,0.4148857650076856,0.015,False
13,58162.3,9.497079797984043,B,B,4001.695620759184,4001.695620759184,2.6665516942786892e-14,-0.14143191423053203,2.6665516942786893e-16,0.01,13.52424284199892,0.5908857650076857,0.01,False
14,58163.25,10.447079797981132,B,B,4001.695620759184,4001.695620759184,2.4029791768435235e-14,-0.1866319142305315,3.12387292989658e-16,0.013,13.63724284199892,0.7038857650076853,0.013,False
15,58164.32,11.517079797980841,B,B,4001.695620759184,4001.695620759184,2.2158992342893017e-14,-0.22183191423053117,2.4374891577182315e-16,0.011,13.72524284199892,0.7918857650076863,0.011,False
16,58165.26,12.45707979798317,B,B,4001.695620759184,4001.695620759184,1.9913610459549697e-14,-0.2682319142305314,3.1861776735279515e-16,0.016,13.84124284199892,0.9078857650076859,0.016,False
17,58165.42,12.617079797979386,B,B,4001.695620759184,4001.695620759184,2.0528159215650223e-14,-0.25503191423053195,1.6422527372520178e-16,0.008,13.80824284199892,0.8748857650076864,0.008,False
18,58166.25,13.447079797981132,B,B,4001.695620759184,4001.695620759184,1.7945270430249554e-14,-0.31343191423053085,2.332885155932442e-16,0.013,13.95424284199892,1.0208857650076855,0.013,False
19,58167.23,14.427079797984334,B,B,4001.695620759184,4001.695620759184,1.648731773120412e-14,-0.3502319142305321,6.265180737857565e-16,0.038,14.04624284199892,1.112885765007686,0.038,False
20,58171.32,18.51707979798084,B,B,4001.695620759184,4001.695620759184,1.0723832141422835e-14,-0.537031914230532,2.3592430711130236e-16,0.022,14.51324284199892,1.5798857650076865,0.022,False
21,58175.25,22.447079797981132,B,B,4001.695620759184,4001.695620759184,7.648037477140705e-15,-0.6838319142305309,2.753293491770654e-16,0.036,14.88024284199892,1.9468857650076856,0.036,False
22,58177.26,24.45707979798317,B,B,4001.695620759184,4001.695620759184,5.680021863742074e-15,-0.8130319142305318,2.2720087454968296e-16,0.04,15.20324284199892,2.269885765007686,0.04,False
23,58182.24,29.437079797979095,B,B,4001.695620759184,4001.695620759184,4.320659155586982e-15,-0.931831914230532,1.728263662234793e-16,0.04,15.50024284199892,2.5668857650076866,0.04,False
24,58183.26,30.45707979798317,B,B,4001.695620759184,4001.695620759184,4.156712690957161e-15,-0.948631914230532,1.5670806844908497e-15,0.377,15.54224284199892,2.6088857650076864,0.377,False
25,58184.23,31.427079797984334,B,B,4001.695620759184,4001.695620759184,4.010052028470847e-15,-0.9642319142305311,1.4837192505342132e-16,0.037,15.58124284199892,2.647885765007686,0.037,False
26,58185.21,32.40707979798026,B,B,4831.794891110205,4831.794891110205,3.728636163484518e-15,-0.9958319142305321,1.5287408270286526e-16,0.041,15.66024284199892,2.7268857650076868,0.041,False
27,58186.29,33.487079797982005,B,B,4001.695620759184,4001.695620759184,3.8049592276701864e-15,-0.9870319142305313,1.2328067897651405e-15,0.324,15.63824284199892,2.7048857650076865,0.324,False
28,58188.24,35.437079797979095,B,B,4001.695620759184,4001.695620759184,3.295717722690861e-15,-1.0494319142305315,9.22800962353441e-17,0.028,15.79424284199892,2.8608857650076853,0.028,False
