,MJD,Phase,Filter,ShiftedFilter,Wavelength,ShiftedWavelength,Flux,ShiftedFlux,Fluxerr,ShiftedFluxerr,Mag,ShiftedMag,Magerr,Nondetection
0,58423.3286,-1.8206110252504004,UVW2,UVW2,1756.4744693877549,1756.4744693877549,1.969813986548777e-17,-1.14144329179401,1.9698139865487774e-18,0.1,22.188,3.6885534109622427,0.1,True
1,58426.948,1.7987889747455483,UVW2,UVW2,1756.4744693877549,1756.4744693877549,2.6768572797333967e-17,-1.0082432917940114,2.6768572797333967e-18,0.1,21.855,3.3555534109622442,0.1,True
2,58429.2687,4.119488974749402,UVW2,UVW2,1756.4744693877549,1756.4744693877549,1.898563891376141e-17,-1.1574432917940118,1.8985638913761413e-18,0.1,22.228,3.7285534109622454,0.1,True
3,58423.3319,-1.81731102525373,UVM2,UVM2,2080.9642040816325,2080.9642040816325,1.737087457198187e-17,-1.1960468241646343,1.737087457198187e-18,0.1,22.222,3.722553410962245,0.1,True
4,58426.9543,1.805088974746468,UVM2,UVM2,2405.45393877551,2405.45393877551,2.5085437773652092e-17,-1.0364468241646332,2.5085437773652092e-18,0.1,21.823,3.323553410962244,0.1,True
5,58429.2721,4.122888974750822,UVM2,UVM2,2513.6171836734693,2513.6171836734693,1.774278068841478e-17,-1.1868468241646344,1.774278068841478e-18,0.1,22.199,3.6995534109622454,0.1,True
6,58423.3258,-1.823411025252426,UVW1,UVW1,2729.9436734693872,2729.9436734693872,3.054256340274166e-17,-0.9509630245065619,3.054256340274166e-18,0.1,21.429000000000002,2.929553410962246,0.1,True
7,58426.943,1.7937889747481677,UVW1,UVW1,2729.9436734693872,2729.9436734693872,4.127674896352427e-17,-0.8201630245065612,4.127674896352427e-18,0.1,21.102,2.602553410962244,0.1,True
8,58429.2657,4.1164889747524285,UVW1,UVW1,2621.7804285714283,2621.7804285714283,2.951926121430453e-17,-0.9657630245065629,2.951926121430453e-18,0.1,21.466,2.966553410962245,0.1,True
9,58432.7818,7.632588974745886,UVW1,UVW1,1645.7602244897957,1645.7602244897957,2.373042324113595e-17,-1.0605630245065623,2.373042324113595e-18,0.1,21.703000000000003,3.2035534109622468,0.1,True
