MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
58143.588141  16.364  0.454  1034  470 o  0   1.11 136.66492  19.33809  3642.94  4615.32 2.07 2.06  71.8 -0.476 15.31 16.26 02a58143o0774o
58143.601032 -16.771  0.864  -710  614 o  0   1.49 136.66492  19.33809  3696.85  4691.63 2.17 2.16 -34.2 -0.468 14.86 15.80 02a58143o0799o
58147.532676  17.195  0.049   481   24 o  0   1.16 136.66492  19.33809  3700.48  4323.56 2.28 1.97  23.7 -0.492 18.59 19.02 02a58147o0657o
58147.546483  17.175  0.050   490   24 o  0   1.33 136.66492  19.33809  3684.20  4284.30 2.09 1.85  40.2 -0.478 18.61 18.94 02a58147o0682o
58147.560176  17.263  0.047   452   21 o  0   1.79 136.66492  19.33809  3739.65  4362.70 2.10 1.85  36.3 -0.478 18.59 18.85 02a58147o0707o
58147.573818  17.329  0.061   425   26 o  0   1.60 136.66492  19.33809  3775.99  4246.69 2.17 1.92  38.4 -0.469 18.46 18.78 02a58147o0732o
58153.490797  15.257  0.010  2865   29 o  0   2.44 136.66492  19.33809  9318.41  6592.20 4.43 2.97 -85.8 -0.401 18.99 20.23 01a58153o0563o
58153.500784  15.272  0.010  2826   28 o  0   3.08 136.66492  19.33809  9344.58  6669.20 4.58 3.06 -85.5 -0.394 18.98 20.22 01a58153o0583o
58153.511586  15.251  0.010  2882   28 o  0   3.29 136.66492  19.33809  9296.65  6636.43 4.57 3.07 -84.9 -0.398 18.98 20.19 01a58153o0606o
58153.519104  15.270  0.010  2831   29 o  0   2.82 136.66492  19.33809  9285.88  6782.61 4.66 3.02 -84.2 -0.396 18.96 20.17 01a58153o0619o
58157.563368  14.752  0.006  4562   28 o  0   3.01 136.66492  19.33809  6318.84  7273.64 4.97 3.69 -84.1 -0.326 18.92 20.66 01a58157o0495o
58157.576292  14.779  0.007  4449   31 o  0   2.51 136.66492  19.33809  6354.60  7352.57 5.25 3.98 -82.3 -0.300 18.78 20.50 01a58157o0522o
58157.589182  14.760  0.007  4528   31 o  0   2.28 136.66492  19.33809  6316.61  7313.39 5.41 4.16 -82.8 -0.294 18.68 20.37 01a58157o0549o
58157.602103  14.772  0.007  4480   33 o  0   2.11 136.66492  19.33809  6316.39  7463.85 5.33 4.18 -81.6 -0.285 18.60 20.22 01a58157o0576o
58161.534930  14.651  0.005  5009   27 o  0   5.35 136.66492  19.33809  6974.78  8489.10 4.59 3.55 -83.5 -0.361 19.23 21.07 01a58161o0678o
58161.548004  14.646  0.005  5032   27 o  0   4.62 136.66492  19.33809  7009.73  8572.47 4.61 3.44 -81.1 -0.366 19.23 21.03 01a58161o0705o
58161.561079  14.641  0.006  5055   28 o  0   3.09 136.66492  19.33809  6953.22  8537.32 4.70 3.61 -82.4 -0.355 19.16 20.96 01a58161o0732o
58161.574171  14.640  0.006  5060   30 o  0   2.15 136.66492  19.33809  6953.28  8692.52 5.00 3.90 -82.3 -0.335 19.05 20.91 01a58161o0759o
58163.509375  14.251  0.012  7236   86 c  0   3.13 136.66492  19.33809  2433.86  5356.66 2.52 2.50 -23.4 -0.413 17.58 19.24 02a58163o0627c
58165.559976  14.665  0.006  4943   28 o  0   3.54 136.66492  19.33809  5952.12  6655.88 3.91 3.11 -85.6 -0.389 19.05 20.54 01a58165o0322o
58165.572834  14.668  0.006  4929   30 o  0   3.61 136.66492  19.33809  5988.40  6730.05 4.20 3.24 -87.3 -0.379 18.94 20.41 01a58165o0349o
58165.585690  14.662  0.006  4958   30 o  0   3.01 136.66492  19.33809  5951.55  6686.16 4.38 3.49 -86.4 -0.359 18.82 20.34 01a58165o0376o
58165.598437  14.678  0.006  4885   31 o  0   2.61 136.66492  19.33809  5951.44  6833.36 4.33 3.33 -86.0 -0.372 18.83 20.29 01a58165o0403o
58167.484977  14.389  0.004  6372   27 c  0  38.06 136.66492  19.33809  2986.90  2700.16 2.66 2.41  45.4 -0.400 19.58 21.36 02a58167o0573c
58167.492697  14.399  0.005  6314   33 c  0  13.67 136.66492  19.33809  2968.58  2661.79 2.68 2.43  43.4 -0.407 19.19 20.91 02a58167o0588c
58167.503284  14.387  0.004  6386   26 c  0  40.48 136.66492  19.33809  3023.49  2739.11 2.70 2.44  44.5 -0.404 19.62 21.42 02a58167o0611c
58167.511692  14.385  0.004  6400   26 c  0  31.27 136.66492  19.33809  3044.33  2622.48 2.78 2.51  44.1 -0.402 19.57 21.41 02a58167o0628c
