MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
58559.522143  17.202  0.042   478   20 o  0   1.99 211.32588 -39.88612  5123.18  1637.91 3.31 3.16 -10.0 -0.428 18.81 19.92 01a58559o0618o
58559.531538  17.213  0.056   473   27 o  0   1.07 211.32588 -39.88612  5481.82  8965.44 3.11 3.03 -25.5 -0.438 18.80 20.02 01a58559o0638o
58559.538452  17.180  0.050   488   24 o  0   1.34 211.32588 -39.88612  5422.28  8888.40 3.34 3.31 -59.6 -0.430 18.70 20.05 01a58559o0653o
58559.547137  17.165  0.058   494   28 o  0   0.84 211.32588 -39.88612  5404.54  9004.78 3.38 3.33 -24.5 -0.424 18.75 20.08 01a58559o0671o
58567.502918  16.173  6.090  1232 7506 o  0   1.22 211.32588 -39.88612  9257.45  8923.29 2.59 2.44 -74.7 -0.423 13.93 14.50 01a58567o0622o
58567.506759  15.992  0.652  1456  950 o  0   1.18 211.32588 -39.88612 10458.66  1446.54 3.43 3.01 -15.3 -0.330 14.98 15.36 01a58567o0630o
58567.509723  16.694  1.275   763  973 o  0   1.22 211.32588 -39.88612  9211.95  8884.39 2.93 2.67 -87.6 -0.503 16.02 16.60 01a58567o0636o
58567.512027  16.071  1.460  1354 1978 o  0   1.01 211.32588 -39.88612  9273.87  8963.21 3.14 2.82  88.0 -0.630 14.86 15.43 01a58567o0641o
58569.499949  17.027  0.048   562   27 o  0   1.25 211.32588 -39.88612  6751.47  5502.18 2.81 2.50 -67.9 -0.407 18.36 20.10 02a58569o0554o
58569.508285  17.029  0.040   560   22 o  0   1.47 211.32588 -39.88612  3820.20  5083.52 2.43 2.20 -65.6 -0.424 18.64 20.49 02a58569o0571o
58569.517133  17.058  0.044   546   24 o  0   1.16 211.32588 -39.88612  3760.12  5004.73 2.21 1.93 -62.3 -0.461 18.66 20.52 02a58569o0588o
58569.526143  17.011  0.034   570   20 o  0   1.45 211.32588 -39.88612  6809.05  5420.49 2.70 2.09 -57.9 -0.431 18.74 19.94 02a58569o0605o
58571.521007  17.105  0.038   522   20 o  0   1.24 211.32588 -39.88612  5569.62  1169.59 3.60 3.20 -10.2 -0.413 18.94 20.43 01a58571o0586o
58571.528396  17.053  0.037   548   20 o  0   1.23 211.32588 -39.88612  5584.70  1207.68 3.45 3.17  -9.5 -0.424 18.90 20.34 01a58571o0602o
58571.538064  17.079  0.037   535   20 o  0   1.12 211.32588 -39.88612  5523.20  1130.06 3.55 3.08 -10.4 -0.424 18.91 20.32 01a58571o0623o
58571.546357  17.115  0.037   517   19 o  0   1.76 211.32588 -39.88612  5510.96  1245.95 3.45 3.15 -10.8 -0.421 18.82 20.20 01a58571o0641o
58573.479349  16.930  0.028   614   17 c  0   1.79 211.32588 -39.88612  5768.42  3104.68 2.38 2.27 -73.4 -0.410 18.99 20.94 02a58573o0556c
