# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v6.0 on 2025-05-19 at 11:00:28
#
# Requested input R.A. = 208.371292 degrees
# Requested input Dec. = 40.275369 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460157.5 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 718 7 1 ZTF_r 444380482415 0 1.6779 191.048 6.98158 25.9953 1.87921e-05 0.0331752 0.123097 2.86551e-05 341 30. 0.053277 0.04889 20.1821 25.9953 2 2458198.8804861 718120224 4.06786801704 30.962879 0.146144 0.987990 -65.25805425001 59.786655 -1.098867 1.031575 2.7507549650447 18.9100002288818 0.0900000035762787 5.75099992752075 0.293000012636185 2458155.972801 2458184.862963 0
 1 718 7 1 ZTF_r 444410992415 0 1.5529 257.517 6.48038 26.3102 1.135e-05 0.0257157 0.123912 1.72817e-05 340 30. 0.056971 0.055146 20.7392 26.3102 2 2458198.9109954 718120224 -24.326307994 24.176222 -1.119290 1.018527 -79.84030693916 45.420315 -1.769649 1.034414 2.7507549650447 18.9100002288818 0.0900000035762787 5.75099992752075 0.293000012636185 2458155.972801 2458184.862963 0
 2 718 7 1 ZTF_r 445326932415 33554432 2.0478 71.04 7.58047 24.9383 3.36176e-05 0.043217 0.101723 5.12968e-05 324 30. 0.054998 0.049665 18.8834 24.9383 2 2458199.8269329 718120224 -17.89988700247 35.354168 -0.563202 1.070223 -60.21948331515 67.151161 -0.902815 1.034968 2.7507549650447 18.9100002288818 0.0900000035762787 5.75099992752075 0.293000012636185 2458155.972801 2458184.862963 0
 3 718 7 1 ZTF_g 448308722415 0 2.5725 225.658 7.62134 26.2832 2.08792e-05 0.0340817 -0.0640454 3.46877e-05 310 30. 0.060748 0.050641 20.1416 26.2832 2 2458202.8087269 718120124 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 2.2750531652674 19.5420000076294 0.101999998092651 6.48299980163574 0.316000014543533 2458166.969468 2458204.897072 55
 4 718 7 1 ZTF_g 448315052415 0 2.1926 226.826 7.4009 26.2901 2.36291e-05 0.0370451 -0.0725088 3.70493e-05 325 30. 0.05296 0.047362 20.3821 26.2901 2 2458202.8150579 718120124 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 2.2750531652674 19.5420000076294 0.101999998092651 6.48299980163574 0.316000014543533 2458166.969468 2458204.897072 55
 5 718 7 1 ZTF_g 448351742415 0 2.4519 226.383 5.82528 26.2803 2.163e-05 0.0357169 -0.0447427 3.38639e-05 335 30. 0.059259 0.050543 20.4724 26.2803 2 2458202.8517477 718120124 -12.01277339643 33.851116 -0.394753 1.027064 -13.62909029273 55.507271 -0.247191 1.078126 2.2750531652674 19.5420000076294 0.101999998092651 6.48299980163574 0.316000014543533 2458166.969468 2458204.897072 0
 6 718 7 1 ZTF_g 448358432415 0 2.3251 227.819 5.66122 26.2785 1.76218e-05 0.0322974 -0.0438833 2.72095e-05 339 30. 0.055396 0.048614 20.6291 26.2785 2 2458202.8584375 718120124 -13.16094866807 29.915125 -0.489386 0.923298 -23.64729808684 51.420433 -0.462979 1.071043 2.2750531652674 19.5420000076294 0.101999998092651 6.48299980163574 0.316000014543533 2458166.969468 2458204.897072 0
 7 718 7 1 ZTF_g 448383442415 0 2.2244 228.404 4.73036 26.2798 1.28378e-05 0.0276021 -0.0454442 1.9839e-05 339 30. 0.057865 0.048653 20.7916 26.2798 1 2458202.8834491 718120124 32.8337285684 25.017281 1.459940 1.004582 95.78120010652 42.265350 2.281450 1.067654 2.2750531652674 19.5420000076294 0.101999998092651 6.48299980163574 0.316000014543533 2458166.969468 2458204.897072 0
 8 718 7 1 ZTF_g 449345392415 0 2.6311 229.095 8.26765 26.3019 2.15673e-05 0.0345338 -0.0804568 3.55608e-05 310 30. 0.054115 0.052258 20.0283 26.3019 2 2458203.8453935 718120124 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 2.2750531652674 19.5420000076294 0.101999998092651 6.48299980163574 0.316000014543533 2458166.969468 2458204.897072 55
 9 718 7 1 ZTF_g 449360022415 0 2.3718 226.53 8.14669 26.2868 2.11159e-05 0.0342109 -0.0750224 3.43822e-05 312 30. 0.053421 0.052604 20.1672 26.2868 2 2458203.8600231 718120124 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 2.2750531652674 19.5420000076294 0.101999998092651 6.48299980163574 0.316000014543533 2458166.969468 2458204.897072 55
 10 718 7 1 ZTF_g 449386502415 0 2.6466 227.536 7.71882 26.2717 2.35661e-05 0.0362534 -0.0295472 3.886e-05 310 30. 0.057361 0.049611 20.1412 26.2717 2 2458203.8865046 718120124 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 2.2750531652674 19.5420000076294 0.101999998092651 6.48299980163574 0.316000014543533 2458166.969468 2458204.897072 55
 11 718 7 1 ZTF_g 449409372415 0 2.3664 228.83 6.04502 26.2776 2.06655e-05 0.0349845 -0.0353267 3.22084e-05 338 30. 0.058736 0.049873 20.4834 26.2776 2 2458203.909375 718120124 21.47117837503 33.485489 0.713270 0.995485 -39.41463913769 55.502323 -0.714927 1.080840 2.2750531652674 19.5420000076294 0.101999998092651 6.48299980163574 0.316000014543533 2458166.969468 2458204.897072 0
 12 718 7 1 ZTF_g 450302152415 0 3.235 226.186 9.91708 26.2993 4.32253e-05 0.046639 -0.0957348 8.29585e-05 269 30. 0.077432 0.060911 19.6006 26.2993 2 2458204.8021528 718120124 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 2.2750531652674 19.5420000076294 0.101999998092651 6.48299980163574 0.316000014543533 2458166.969468 2458204.897072 55
 13 718 7 1 ZTF_g 450327162415 0 2.8085 227.862 9.69336 26.3139 2.54459e-05 0.0368865 -0.0955076 4.62086e-05 286 30. 0.072429 0.055824 19.7823 26.3139 2 2458204.8271644 718120124 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 2.2750531652674 19.5420000076294 0.101999998092651 6.48299980163574 0.316000014543533 2458166.969468 2458204.897072 55
 14 718 7 1 ZTF_g 450339452415 0 3.4548 228.018 9.62736 26.2977 3.59289e-05 0.0417549 -0.0745287 7.07713e-05 255 30. 0.077345 0.083881 19.57 26.2977 2 2458204.839456 718120124 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 2.2750531652674 19.5420000076294 0.101999998092651 6.48299980163574 0.316000014543533 2458166.969468 2458204.897072 55
 15 718 7 1 ZTF_g 450361842415 0 2.673 229.139 9.58748 26.2937 2.41966e-05 0.0353973 -0.0743309 4.35506e-05 290 30. 0.062044 0.057381 19.8243 26.2937 2 2458204.8618403 718120124 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 2.2750531652674 19.5420000076294 0.101999998092651 6.48299980163574 0.316000014543533 2458166.969468 2458204.897072 55
 16 718 7 1 ZTF_g 450392152415 0 2.7457 229.776 9.33463 26.2914 2.45272e-05 0.0357634 -0.0522775 4.3614e-05 290 30. 0.054989 0.052518 19.8289 26.2914 2 2458204.8921528 718120124 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 2.2750531652674 19.5420000076294 0.101999998092651 6.48299980163574 0.316000014543533 2458166.969468 2458204.897072 55
 17 718 7 1 ZTF_g 450397072415 0 2.8915 228.608 9.27555 26.294 2.57989e-05 0.0368122 -0.075545 4.70325e-05 287 30. 0.065975 0.05242 19.7809 26.294 2 2458204.8970718 718120124 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 2.2750531652674 19.5420000076294 0.101999998092651 6.48299980163574 0.316000014543533 2458166.969468 2458204.897072 55
 18 718 7 1 ZTF_g 451299232415 0 2.1996 237.283 12.2644 26.3118 2.21842e-05 0.0342462 -0.0780581 3.91155e-05 290 30. 0.061115 0.050041 19.706 26.325 2 2458205.7992361 718120124 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 2.2750531652674 19.5420000076294 0.101999998092651 6.48299980163574 0.316000014543533 2458166.969468 2458204.897072 55
 19 718 7 1 ZTF_g 451302152415 0 2.4452 237.223 12.3746 26.2952 2.35717e-05 0.0349369 -0.0686681 4.40917e-05 276 30. 0.056456 0.047044 19.6133 26.325 1 2458205.8021528 718120124 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 2.2750531652674 19.5420000076294 0.101999998092651 6.48299980163574 0.316000014543533 2458166.969468 2458204.897072 55
 20 718 7 1 ZTF_g 451321962415 0 2.5355 237.149 12.233 26.275 2.66101e-05 0.0372156 -0.0369 5.03408e-05 275 30. 0.060772 0.051742 19.6091 26.325 2 2458205.8219676 718120124 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 2.2750531652674 19.5420000076294 0.101999998092651 6.48299980163574 0.316000014543533 2458166.969468 2458204.897072 55
 21 718 7 1 ZTF_g 451339842415 0 2.4886 237.232 14.3277 26.1719 3.50598e-05 0.0420689 -0.0420614 6.97925e-05 264 30. 0.060543 0.052791 19.4454 26.325 1 2458205.8398495 718120124 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 2.2750531652674 19.5420000076294 0.101999998092651 6.48299980163574 0.316000014543533 2458166.969468 2458204.897072 55
 22 718 7 1 ZTF_g 451347632415 0 2.739 237.637 19.3773 25.9592 5.9153e-05 0.0457043 -0.0474854 0.000131734 191 30. 0.070057 0.05636 19.0301 26.325 2 2458205.8476389 718120124 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 2.2750531652674 19.5420000076294 0.101999998092651 6.48299980163574 0.316000014543533 2458166.969468 2458204.897072 55
