MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
58815.534000  17.310  0.028   432   12 c  0  13.86 125.92251  21.43444  6923.31  6461.11 2.50 2.41  51.3 -0.400 19.56 21.45 02a58815o0697c
58815.536988  17.213  0.028   473   13 c  0  11.05 125.92251  21.43444  6939.13  6498.63 2.57 2.47  46.1 -0.398 19.55 21.47 02a58815o0703c
58815.547650  17.292  0.028   440   12 c  0  14.93 125.92251  21.43444  6873.59  6425.15 2.44 2.38  56.4 -0.399 19.61 21.50 02a58815o0725c
58815.555968  17.089  0.027   530   15 c  0  12.33 125.92251  21.43444  6862.94  6541.17 2.45 2.38  52.2 -0.401 19.36 21.16 02a58815o0742c
58817.597808  16.880  0.031   643   20 o  0  19.43 125.92251  21.43444  3538.64  8389.43 2.50 2.01 -83.9 -0.417 19.11 20.59 01a58817o0572o
58817.601083  17.147  0.051   503   25 o  0   7.03 125.92251  21.43444  3558.89  8427.99 2.44 2.06 -83.3 -0.413 18.86 20.32 01a58817o0579o
58817.611131  17.330  0.034   425   14 o  0  19.44 125.92251  21.43444  3499.51  8349.01 2.51 2.02 -82.5 -0.416 19.43 20.96 01a58817o0599o
58817.626033  17.577  0.032   338   11 o  0  45.28 125.92251  21.43444  3483.59  8464.01 2.51 2.02 -84.1 -0.408 19.70 21.25 01a58817o0629o
58817.655838  16.667  0.022   782   18 o  0   9.28 125.92251  21.43444  3528.13  8402.64 2.43 1.95 -83.8 -0.424 19.23 19.94 01a58817o0692o
58825.492392  16.769  0.020   712   14 o  0  37.42 125.92251  21.43444  3733.78  6054.44 2.30 1.94  88.5 -0.411 19.40 20.35 01a58825o0598o
58825.502325  16.616  0.020   820   16 o  0  26.11 125.92251  21.43444  3715.91  6014.75 2.20 1.94  89.0 -0.420 19.43 20.39 01a58825o0618o
58825.509060  16.495  0.020   916   18 o  0  10.99 125.92251  21.43444  3770.82  6092.47 2.59 2.30  88.1 -0.413 19.32 20.42 01a58825o0631o
58825.512787  16.556  0.016   866   14 o  0  40.20 125.92251  21.43444  3790.21  5976.24 2.53 2.18 -87.7 -0.405 19.38 20.43 01a58825o0639o
58827.498213  16.892  0.040   636   26 o  0  10.93 125.92251  21.43444  5498.76  8300.42 2.30 1.91  39.5 -0.443 19.02 19.64 02a58827o0654o
58827.501416  16.743  0.034   729   25 o  0  11.44 125.92251  21.43444  5518.22  8339.49 2.32 1.92  42.6 -0.440 19.00 19.65 02a58827o0661o
58827.511759  16.856  0.039   657   26 o  0   8.05 125.92251  21.43444  5453.17  8263.00 3.07 2.20  39.5 -0.382 18.86 19.67 02a58827o0681o
58827.521965  16.727  0.035   740   26 o  0   7.65 125.92251  21.43444  5437.03  8382.28 2.44 1.95  40.1 -0.421 19.02 19.71 02a58827o0702o
58829.470942  16.976  0.050   588   29 o  0   4.85 125.92251  21.43444  3736.79  6054.95 2.24 1.95 -84.9 -0.405 18.54 18.52 01a58829o0590o
58829.474187  17.452  0.068   379   26 o  0   8.09 125.92251  21.43444  3717.52  6016.59 2.28 1.96 -89.2 -0.415 18.55 18.54 01a58829o0597o
58829.479742  16.921  0.049   619   30 o  0   5.91 125.92251  21.43444  3775.23  6093.64 2.47 2.20  89.3 -0.405 18.47 18.58 01a58829o0609o
58829.493689  16.985  0.038   584   22 o  0   9.17 125.92251  21.43444  3793.95  5978.08 1.95 1.87 -16.8 -0.400 18.71 18.68 01a58829o0639o
58837.530653  17.177  0.030   489   15 o  0  14.66 125.92251  21.43444  7457.13  8180.04 2.48 1.80 -81.8 -0.434 19.57 20.81 01a58837o0469o
58837.533534  17.079  0.025   535   13 o  0  20.81 125.92251  21.43444  7477.87  8218.92 2.71 2.07 -83.5 -0.433 19.54 20.98 01a58837o0475o
58837.543627  17.342  0.028   420   12 o  0  42.60 125.92251  21.43444  7420.91  8138.97 2.56 1.83 -85.8 -0.427 19.56 20.89 01a58837o0495o
58837.550803  17.658  0.043   314   13 o  0  23.85 125.92251  21.43444  7403.67  8253.89 2.65 1.93 -84.2 -0.422 19.58 20.97 01a58837o0509o
58839.617277  18.349  0.395   166   66 c  0   1.75 125.92251  21.43444  5019.52   321.97 2.63 2.45 -83.7 -0.391 17.68 19.18 02a58839o0023c
58839.620544 -17.652  0.974  -316  307 c  0   0.84 125.92251  21.43444  5000.64   282.68 2.54 2.34 -75.5 -0.391 16.32 17.71 02a58839o0030c
58839.621926  14.579  0.826  5351 4422 c  0   0.18 125.92251  21.43444  7921.62 10520.41 2.98 2.85  66.0 -0.386 16.44 17.74 02a58839o0033c
58839.626150 -16.370  1.065 -1028 1095 c  0   1.09 125.92251  21.43444  5061.04   361.63 2.66 2.43 -71.7 -0.390 16.04 17.37 02a58839o0042c
58841.528987  17.777  0.042   281   12 o  0   7.55 125.92251  21.43444  2660.28  1996.37 2.26 2.13  79.4 -0.426 19.67 21.20 01a58841o0718o
58841.531883  17.965  0.050   236   12 o  0  20.67 125.92251  21.43444  2679.81  2035.09 2.34 2.09  81.1 -0.425 19.66 21.21 01a58841o0724o
58841.539268  17.418  0.031   392   12 o  0  19.77 125.92251  21.43444  2623.16  1954.25 2.06 1.83  80.1 -0.436 19.77 21.24 01a58841o0738o
58841.549038  18.342  0.053   167    9 o  0  37.33 125.92251  21.43444  2604.68  2069.87 2.11 1.93  72.5 -0.437 19.76 21.27 01a58841o0758o
58845.463539  19.783  0.214    44   10 o  0  37.11 125.92251  21.43444  7888.22  8583.00 2.41 1.73 -81.4 -0.406 19.76 21.25 01a58845o0560o
58845.467534  17.749  0.040   289   12 o  0   8.88 125.92251  21.43444  7868.71  8542.32 2.43 1.78 -82.9 -0.409 19.71 21.24 01a58845o0568o
58845.477572  18.432  0.073   154   11 o  0  24.08 125.92251  21.43444  7926.29  8621.23 2.44 1.84 -82.4 -0.401 19.75 21.26 01a58845o0587o
58845.486102 -19.745  0.208   -46   10 o  0  26.21 125.92251  21.43444  7945.11  8504.13 2.59 1.94 -83.9 -0.395 19.70 21.30 01a58845o0603o
58849.503436 -18.286  0.050  -176    9 o  0  42.19 125.92251  21.43444  6500.68  1796.19 2.02 1.92 -76.0 -0.415 19.73 21.06 01a58849o0022o
58849.508438  18.458  0.062   150    9 o  0  12.14 125.92251  21.43444  6520.40  1832.38 2.07 1.98 -77.4 -0.415 19.70 21.07 01a58849o0032o
58849.511767 -20.875  0.509   -16    8 o  0  34.21 125.92251  21.43444  6463.79  1754.00 2.20 2.09 -84.5 -0.409 19.67 21.08 01a58849o0039o
