# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v6.0 on 2025-05-19 at 10:52:18
#
# Requested input R.A. = 43.746 degrees
# Requested input Dec. = 4.060281 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460157.5 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 452 5 1 ZTF_g 551465741615 0 3.4421 57.2067 10.4616 25.8191 9.45255e-05 0.039812 -0.0827383 0.000194526 121 30. 0.125302 0.091573 18.9836 25.8191 1 2458305.9657407 452120116 -95.11971814093 73.268410 -1.444138 0.934169 -155.31752950262 103.281448 -1.513956 1.113325 null null null null null 2458314.977014 2458365.918808 57
 1 452 5 1 ZTF_r 560442231615 0 2.5954 94.1513 6.33734 25.7358 4.25545e-05 0.0396877 0.108981 5.40665e-05 272 30. 0.100967 0.077253 19.7159 25.7358 1 2458314.9422338 452120216 4.08300667184 32.947605 0.137851 1.025085 -56.49766994235 55.189522 -1.030598 1.051012 4.72316715792066 20.4939998626709 0.156000003218651 5.56199979782104 0.810000002384186 2458314.942234 2458353.984352 0
 2 453 8 2 ZTF_g 560476092915 0 1.9993 79.0978 5.45004 25.7678 2.66029e-05 0.0339334 -0.036513 3.65324e-05 308 30. 0.074878 0.07728 20.1947 25.7678 1 2458314.9760995 453120129 -13.41918948718 22.403107 -0.666305 1.055855 12.00802724562 40.863190 0.295838 1.060304 2.31080694004853 19.1000000953674 0.12899999320507 6.05600023269653 0.564999997615814 2458314.976099 2458441.755463 0
 3 452 5 1 ZTF_g 560477011615 0 2.1412 56.5567 5.51785 25.7392 5.27339e-05 0.0423359 -0.0157356 7.57421e-05 239 30. 0.085647 0.075948 20.1191 25.7392 1 2458314.9770139 452120116 27.50878225598 30.278595 1.010626 0.892815 60.00609946764 49.813530 1.212728 1.138658 null null null null null 2458314.977014 2458365.918808 57
 4 453 8 2 ZTF_r 565465192915 0 2.1261 186.283 5.93239 26.1126 1.42552e-05 0.0255938 0.110632 1.81493e-05 334 30. 0.060798 0.053792 20.4006 26.1126 1 2458319.9651968 453120229 -6.62090865618 28.057499 -0.262496 1.054573 -67.66670484964 51.732353 -1.316825 1.045777 3.6276354879803 20.4710000991821 0.131999999284744 4.64099979400635 0.40200001001358 2458319.965197 2458435.800521 0
 5 452 5 1 ZTF_g 566463951615 33554432 2.6098 15.298 5.26066 24.3141 0.00106152 0.119869 0.000417522 0.00221054 96 30. 0.064549 0.059284 18.6512 24.3141 1 2458320.9639583 452120116 16.19511895018 29.182308 0.617333 1.062675 16.29707228054 46.826527 0.350375 1.174740 null null null null null 2458314.977014 2458365.918808 57
 6 452 5 1 ZTF_r 566485461615 0 1.8424 79.9113 6.93745 25.5261 0.000118458 0.0664894 0.111671 0.000147937 279 30. 0.055554 0.050444 19.6339 25.5261 1 2458320.985463 452120216 -47.5726473682 30.787487 -1.718850 1.084542 -47.85095407123 58.399334 -0.824894 1.048733 4.72316715792066 20.4939998626709 0.156000003218651 5.56199979782104 0.810000002384186 2458314.942234 2458353.984352 0
 7 453 8 2 ZTF_g 568465552915 0 2.6293 107.417 4.99405 26.1288 3.07179e-05 0.0371369 -0.0709217 4.04328e-05 322 30. 0.073463 0.061742 20.3436 26.1288 1 2458322.9655556 453120129 36.04605133129 24.441347 1.640542 1.067883 60.84686486432 40.526379 1.511526 1.055554 2.31080694004853 19.1000000953674 0.12899999320507 6.05600023269653 0.564999997615814 2458314.976099 2458441.755463 0
 8 452 5 1 ZTF_g 569442971615 0 13.6137 68.041 4.85808 25.9348 6.49175e-05 0.0457359 0.0164145 9.69152e-05 225 30. 0.086994 0.089904 20.1454 25.9348 1 2458323.9429745 452120116 -51.2309608347 37.243092 -1.530177 0.980327 -92.18390012884 53.266548 -1.742271 1.284685 null null null null null 2458314.977014 2458365.918808 57
