MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
59192.566954 -20.531  0.514   -22   11 o  0   1.35 150.27787  54.78957  4762.26  6532.14 2.48 2.09  48.8 -0.421 19.40 20.54 02a59192o0816o
59192.568784 -21.041  0.607   -14    8 o  0   1.49 150.27787  54.78957  4782.43  6571.83 2.41 2.02  48.3 -0.424 19.46 20.56 02a59192o0820o
59192.571527  21.177  0.980    12   12 o  0   1.11 150.27787  54.78957  4723.69  6491.62 2.39 2.09  50.3 -0.420 19.45 20.55 02a59192o0826o
59192.580555  21.469  1.136     9   11 o  0   1.32 150.27787  54.78957  4704.23  6610.13 2.37 2.00  49.2 -0.428 19.51 20.60 02a59192o0845o
59194.577381 -21.082  0.598   -13    8 c  0   1.14 150.27787  54.78957  5641.35  7985.11 2.59 2.49 -77.4 -0.385 19.69 23.03 01a59194o0852c
59194.579689  21.863  1.469     6   10 c  0   0.83 150.27787  54.78957  5623.33  7945.73 2.75 2.54  19.2 -0.370 19.64 22.99 01a59194o0857c
59194.582919 -22.081  1.615    -5    9 c  0   1.20 150.27787  54.78957  5679.33  8023.57 2.79 2.58  23.1 -0.365 19.64 23.01 01a59194o0864c
59194.589842  22.163  1.558     5    8 c  0   1.22 150.27787  54.78957  5696.16  7909.29 2.49 2.41 -64.4 -0.379 19.76 23.03 01a59194o0879c
59200.573861  19.338  0.126    67    8 c  0   1.46 150.27787  54.78957  6863.56   707.15 2.46 2.23 -65.3 -0.408 19.80 21.82 02a59200o0731c
59200.576198  19.293  0.113    70    8 c  0   1.44 150.27787  54.78957  6882.28   745.88 2.50 2.25 -64.4 -0.409 19.76 21.82 02a59200o0736c
59200.581764  19.106  0.118    83   10 c  0   1.43 150.27787  54.78957  6829.54   671.43 2.65 2.40 -61.8 -0.401 19.69 21.83 02a59200o0748c
59200.586813  19.378  0.130    64    8 c  0   1.29 150.27787  54.78957  6810.05   789.88 2.48 2.28 -71.4 -0.405 19.80 21.84 02a59200o0759c
59206.519820  17.101  0.021   524   11 c  0   1.32 150.27787  54.78957  3840.55  4133.09 2.57 2.52 -10.8 -0.375 19.70 21.94 01a59206o0687c
59206.523531  17.091  0.018   529   10 c  0   2.42 150.27787  54.78957  3819.83  4095.08 2.48 2.45 -75.3 -0.378 19.75 21.95 01a59206o0695c
59206.527217  17.059  0.020   545   11 c  0   1.06 150.27787  54.78957  3879.74  4169.19 2.47 2.44 -24.9 -0.372 19.75 21.96 01a59206o0703c
59206.532285  17.100  0.018   525   10 c  0   1.75 150.27787  54.78957  3898.57  4053.62 2.77 2.53   2.2 -0.355 19.68 21.98 01a59206o0714c
59208.551764  16.681  0.017   772   13 c  0   1.71 150.27787  54.78957  5022.91   814.04 2.53 2.32 -64.8 -0.419 19.61 21.25 02a59208o0770c
59208.554546  16.678  0.017   774   13 c  0   1.63 150.27787  54.78957  5039.50   852.69 2.49 2.27 -63.0 -0.420 19.64 21.36 02a59208o0776c
59208.558663  16.697  0.017   761   13 c  0   1.90 150.27787  54.78957  4988.75   774.41 2.55 2.33 -67.6 -0.417 19.66 21.45 02a59208o0785c
59208.564190  16.664  0.016   784   13 c  0   2.22 150.27787  54.78957  4966.50   892.13 2.55 2.31 -66.1 -0.420 19.69 21.50 02a59208o0797c
59212.541178  16.396  0.023  1004   23 o  0   1.37 150.27787  54.78957  8681.96  2795.69 2.21 2.07  50.4 -0.412 18.73 19.14 02a59212o0760o
59212.543464  16.458  0.028   948   27 o  0   0.91 150.27787  54.78957  8702.51  2834.16 2.11 2.05 -76.5 -0.425 18.74 19.15 02a59212o0765o
59212.548511  16.421  0.023   981   23 o  0   1.68 150.27787  54.78957  8646.93  2759.57 2.13 2.08  82.6 -0.417 18.72 19.15 02a59212o0776o
59212.553540  16.415  0.024   986   24 o  0   1.33 150.27787  54.78957  8629.21  2877.39 2.17 2.09 -88.2 -0.420 18.78 19.16 02a59212o0787o
59214.456577  16.336  0.035  1061   37 o  0   0.67 150.27787  54.78957  1893.69 10011.37 2.12 1.98 -66.9 -0.431 18.59 18.79 01a59214o0575o
59214.458418  16.311  0.025  1086   27 o  0   1.60 150.27787  54.78957  1875.65  9973.38 2.05 1.88 -67.1 -0.437 18.67 18.79 01a59214o0579o
59214.461184  16.339  0.026  1058   28 o  0   1.31 150.27787  54.78957  1931.97 10050.50 2.04 1.93 -42.1 -0.430 18.64 18.80 01a59214o0585o
59214.472261  16.359  0.028  1039   29 o  0   1.03 150.27787  54.78957  1952.17  9933.73 2.01 1.88 -64.9 -0.427 18.68 18.82 01a59214o0609o
59216.454733  16.369  0.028  1029   29 o  0   1.15 150.27787  54.78957  8662.29  2788.41 2.56 2.47  24.2 -0.394 18.50 19.05 02a59216o0569o
59216.460249  16.301  0.025  1095   28 o  0   1.32 150.27787  54.78957  8683.83  2825.94 2.77 2.62 -64.8 -0.402 18.44 19.06 02a59216o0581o
59216.464421  16.345  0.027  1052   28 o  0   1.46 150.27787  54.78957  8631.15  2751.71 2.65 2.52 -66.1 -0.399 18.49 19.09 02a59216o0590o
59216.477363  16.414  0.028   987   28 o  0   1.21 150.27787  54.78957  8612.88  2871.16 2.49 2.39 -69.8 -0.402 18.58 19.12 02a59216o0617o
59218.528338  16.378  0.016  1020   16 o  0   1.51 150.27787  54.78957  5732.06  5767.20 2.10 2.05  -9.6 -0.392 19.34 20.14 01a59218o0716o
