# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v6.0 on 2025-05-19 at 10:55:58
#
# Requested input R.A. = 165.29709187143 degrees
# Requested input Dec. = 12.474773157143 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460157.5 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 522 10 3 ZTF_g 450294133815 0 3.32 116.938 11.6666 26.2881 3.29054e-05 0.0373471 -0.0627942 6.55099e-05 229 30. 0.072698 0.054827 19.3765 26.2881 1 2458204.7941319 522120138 29.5505732623 73.112106 0.449605 1.034660 29.23971583157 102.262413 0.287854 1.108896 0.362615709310719 16.8409997940063 0.0430000014603138 4.58300018310547 0.184000000357628 2458166.835833 2458440.981933 0
 1 522 10 3 ZTF_g 454279963815 1 2.3064 79.5828 36.9042 25.9306 0.000267353 0.0546576 -0.0447989 0.000647776 78 30. 0.063391 0.065874 18.0682 25.9306 1 2458208.7799653 522120138 -41.16943418619 197.448929 -0.231940 0.961151 204.0800987929 321.715057 0.638623 1.090992 0.362615709310719 16.8409997940063 0.0430000014603138 4.58300018310547 0.184000000357628 2458166.835833 2458440.981933 0
 2 522 10 3 ZTF_g 461257123815 8 5.2986 58.1484 5.86086 25.5196 0.000133837 0.0520546 -0.00796657 0.000273445 131 30. 0.082736 0.085542 18.9316 25.5196 1 2458215.7571296 522120138 52.52744188415 62.377621 0.936725 1.029196 158.17540256313 73.832497 2.156784 1.345426 0.362615709310719 16.8409997940063 0.0430000014603138 4.58300018310547 0.184000000357628 2458166.835833 2458440.981933 0
 3 522 10 3 ZTF_r 464215323815 0 2.1111 235.955 6.55313 26.1877 1.47744e-05 0.0281798 0.129969 2.11359e-05 330 30. 0.059352 0.058778 20.3981 26.275 1 2458218.7153241 522120238 -240.38561541138 31.088762 -8.601216 1.380233 -381.40272768507 55.224377 -6.952935 1.048157 0.174755201065974 16.1390003204346 0.0599999986588955 4.78499984741211 0.460999995470047 2458155.835162 2458186.833657 0
 4 522 10 3 ZTF_r 464242043815 0 1.7754 235.952 6.12996 26.2257 1.30417e-05 0.0267313 0.126315 1.87182e-05 330 30. 0.059264 0.050594 20.6082 26.275 1 2458218.7420486 522120238 -148.54724834376 28.718248 -5.753889 1.179037 -376.42311267864 55.558617 -6.820874 1.032476 0.174755201065974 16.1390003204346 0.0599999986588955 4.78499984741211 0.460999995470047 2458155.835162 2458186.833657 0
 5 522 10 3 ZTF_r 467226573815 0 13.2361 188.98 7.00201 25.9889 2.49854e-05 0.0367006 0.144842 3.63185e-05 324 30. 0.075953 0.071036 19.6403 25.9889 1 2458221.7265741 522120238 197.63277142599 52.746571 4.167922 1.567926 250.38884273806 71.279449 3.536436 1.167707 0.174755201065974 16.1390003204346 0.0599999986588955 4.78499984741211 0.460999995470047 2458155.835162 2458186.833657 0
 6 522 10 3 ZTF_r 467238913815 0 9.3576 196.415 6.77626 26.0434 2.81954e-05 0.0391631 0.140728 4.11202e-05 326 30. 0.078753 0.074203 19.6059 26.0434 1 2458221.738912 522120238 34.68001157912 60.668274 0.635876 1.716499 217.08061357784 80.079407 2.729074 1.196434 0.174755201065974 16.1390003204346 0.0599999986588955 4.78499984741211 0.460999995470047 2458155.835162 2458186.833657 0
 7 522 10 3 ZTF_r 470195543815 0 2.05 236.004 14.0239 25.5689 1.92582e-05 0.0320515 0.119149 2.7761e-05 322 30. 0.058392 0.05217 19.6427 26.275 1 2458224.695544 522120238 -104.09902784567 62.787994 -1.844272 1.126973 -149.05862756726 117.632774 -1.275687 1.040250 0.174755201065974 16.1390003204346 0.0599999986588955 4.78499984741211 0.460999995470047 2458155.835162 2458186.833657 0
 8 522 10 3 ZTF_r 470223723815 0 2.0649 235.95 6.66066 26.1609 1.42762e-05 0.0276388 0.133823 2.05441e-05 323 30. 0.057134 0.05754 20.4428 26.275 1 2458224.7237269 522120238 -119.88230526563 31.328756 -4.256638 1.232660 -262.09257939828 57.086895 -4.622038 1.046128 0.174755201065974 16.1390003204346 0.0599999986588955 4.78499984741211 0.460999995470047 2458155.835162 2458186.833657 0
