MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
58901.504990  20.488  0.478    23   11 o  0   1.39 223.37659  17.28914  3423.79  8281.69 2.67 2.18 -84.5 -0.403 19.49 20.81 01a58901o0597o
58901.508224  19.951  0.309    38   12 o  0   1.31 223.37659  17.28914  3407.39  8245.78 2.63 2.15 -83.8 -0.410 19.46 20.83 01a58901o0604o
58901.514133  19.969  0.330    37   12 o  0   1.31 223.37659  17.28914  3462.70  8318.35 2.69 2.19 -81.8 -0.406 19.47 20.87 01a58901o0616o
58901.525654  20.990  0.750    15   11 o  0   1.09 223.37659  17.28914  3485.79  8205.36 2.72 2.24 -82.9 -0.403 19.49 20.97 01a58901o0639o
58903.441224  19.923  0.210    39    8 c  0   2.56 223.37659  17.28914  4922.94  4021.23 2.62 2.46 -43.6 -0.396 19.48 21.44 02a58903o0466c
58903.444141  19.522  0.169    56   10 c  0   1.23 223.37659  17.28914  4943.84  4058.90 2.50 2.40 -43.1 -0.399 19.52 21.48 02a58903o0472c
58903.449416  19.522  0.176    56   10 c  0   1.51 223.37659  17.28914  4886.18  3981.06 2.62 2.52 -42.2 -0.393 19.49 21.51 02a58903o0483c
58903.459407  19.682  0.204    49   10 c  0   0.86 223.37659  17.28914  4866.17  4095.81 2.61 2.49 -45.8 -0.393 19.52 21.56 02a58903o0503c
58905.537009  19.547  0.184    55   10 o  0   1.25 223.37659  17.28914  1361.74  6270.60 2.43 1.94  89.5 -0.427 19.82 21.43 01a58905o0686o
58905.541193  19.064  0.100    86    9 o  0   2.24 223.37659  17.28914  1340.90  6232.68 2.63 2.03  89.8 -0.418 19.77 21.44 01a58905o0694o
58905.546578  18.939  0.091    96    9 o  0   1.82 223.37659  17.28914  1400.73  6309.81 2.45 2.02 -89.1 -0.426 19.78 21.47 01a58905o0704o
58905.559453  19.102  0.147    83   12 o  0   1.07 223.37659  17.28914  1418.06  6194.08 2.37 1.97 -75.9 -0.427 19.60 21.58 01a58905o0729o
58905.663196  18.821  0.199   108   21 o  0   1.58 223.37659  17.28914  9192.64  4276.85 2.65 1.99 -85.6 -0.457 18.83 19.28 01a58905o0930o
58911.498843  17.570  0.030   340   10 c  0   1.81 223.37659  17.28914  5115.79  7889.33 2.51 2.30 -48.9 -0.412 19.78 21.83 02a58911o0482c
58911.501975  17.600  0.028   331    9 c  0   1.88 223.37659  17.28914  5138.93  7926.34 2.39 2.35 -36.9 -0.407 19.80 21.82 02a58911o0488c
58913.469610  17.578  0.042   338   14 o  0   1.44 223.37659  17.28914  1124.04   431.17 2.00 1.86  55.3 -0.454 19.42 20.23 01a58913o0480o
58913.472963  17.606  0.051   329   17 o  0   0.98 223.37659  17.28914  1103.14   391.44 1.91 1.81  40.7 -0.464 19.46 20.25 01a58913o0487o
58913.489224  17.549  0.041   347   14 o  0   1.21 223.37659  17.28914  1162.13   472.05 2.02 1.92  23.9 -0.454 19.49 20.37 01a58913o0519o
58913.500054  17.481  0.043   370   16 o  0   1.02 223.37659  17.28914  1180.48   355.60 2.00 1.89  39.7 -0.468 19.54 20.43 01a58913o0540o
58917.476595  17.569  0.098   341   34 o  0   1.13 223.37659  17.28914  1123.50   435.57 2.60 2.12 -10.2 -0.379 18.43 18.64 01a58917o0541o
58917.479827  17.385  0.063   404   26 o  0   1.69 223.37659  17.28914  1102.92   397.59 2.06 1.85   4.8 -0.455 18.66 18.66 01a58917o0548o
58917.486964  17.337  0.073   422   31 o  0   1.03 223.37659  17.28914  1161.74   475.91 2.23 2.02   4.3 -0.446 18.62 18.69 01a58917o0563o
58917.499905  17.377  0.062   407   25 o  0   1.47 223.37659  17.28914  1179.29   358.95 2.51 2.11  -8.0 -0.395 18.58 18.75 01a58917o0590o
58921.589057  17.287  0.384   442  170 o  0   1.60 223.37659  17.28914  1115.38  6170.77 2.54 2.02  -2.8 -0.442 16.53 16.28 01a58921o0378o
58921.599164  17.075  0.481   537  258 o  0   0.77 223.37659  17.28914  1137.11  6208.11 2.68 1.99  -2.0 -0.438 16.27 15.99 01a58921o0398o
58921.602513  17.279  0.436   445  194 o  0   0.93 223.37659  17.28914  1078.99  6130.55 2.39 1.93  -2.2 -0.447 16.55 16.28 01a58921o0405o
58921.614456  18.657  1.764   125  221 o  0   1.10 223.37659  17.28914  1063.80  6244.32 2.35 1.97  -7.3 -0.412 16.46 16.17 01a58921o0429o
58925.573366  17.382  0.105   405   43 o  0   1.27 223.37659  17.28914  1112.28  6170.10 2.18 1.60 -23.9 -0.440 17.65 19.59 01a58925o0287o
58925.576567   0.000  0.000    -0    0 o  0  -0.00 223.37659  17.28914  9409.52  4376.02 3.27 2.10 -46.8 -0.468 16.81 19.43 01a58925o0293o
58925.581769  17.726  0.098   295   29 o  0   1.33 223.37659  17.28914  1076.59  6130.58 2.31 2.05 -10.1 -0.420 18.40 20.33 01a58925o0303o
58925.593488  17.626  0.055   323   18 o  0   1.27 223.37659  17.28914  1061.70  6246.08 2.54 2.40 -71.0 -0.387 18.92 21.01 01a58925o0326o
58931.473232  17.617  0.034   326   11 c  0   0.82 223.37659  17.28914  5244.39  2367.24 2.43 2.37 -24.4 -0.393 19.81 21.90 02a58931o0496c
58931.476179  17.735  0.028   292    8 c  0   2.73 223.37659  17.28914  5263.94  2407.23 2.45 2.39 -38.0 -0.394 19.78 21.91 02a58931o0502c
58931.483427  17.697  0.035   303   11 c  0   1.08 223.37659  17.28914  5200.26  2332.92 2.52 2.34 -58.3 -0.393 19.73 21.91 02a58931o0516c
58931.498182  17.681  0.030   307    9 c  0   1.87 223.37659  17.28914  5185.40  2450.07 2.45 2.28 -51.3 -0.396 19.78 21.89 02a58931o0545c
