# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v6.0 on 2025-05-19 at 10:44:13
#
# Requested input R.A. = 170.360208 degrees
# Requested input Dec. = 3.014681 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460157.5 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 471 7 3 ZTF_r 445304832615 0 1.9861 150.202 8.64624 25.1323 5.4832e-05 0.0483877 0.122459 7.65603e-05 293 30. 0.056618 0.045501 18.9767 25.1323 1 2458199.804838 471120226 -52.40035539422 38.584927 -1.510676 0.925098 -80.12144942832 71.768936 -1.123900 1.043189 2.72776828186369 20.5020002365112 0.104999996721745 2.7039999961853 0.312999993562698 2458165.866088 2458447.998333 0
 1 471 7 3 ZTF_r 445313962615 0 2.1158 184.836 8.18684 25.3807 3.33117e-05 0.0385732 0.117427 4.64356e-05 302 30. 0.059062 0.047986 19.3835 25.3807 1 2458199.8139699 471120226 -4.36510435681 32.311989 -0.150275 1.126128 41.69708076203 61.630550 0.681122 1.036418 2.72776828186369 20.5020002365112 0.104999996721745 2.7039999961853 0.312999993562698 2458165.866088 2458447.998333 0
 2 471 7 3 ZTF_g 448291552615 0 3.0431 200.411 7.50444 26.2445 4.1349e-05 0.0406584 -0.018572 7.12386e-05 257 30. 0.064847 0.061288 19.9353 26.2445 1 2458202.7915509 471120126 53.79764334359 47.185623 1.268260 1.002247 109.15657121257 67.415840 1.630058 1.121549 3.7408530012209 21.3220002174377 0.105999998748302 1.04700005054474 0.101999998092651 2458166.912315 2458461.999560 0
 3 471 7 3 ZTF_g 451308872615 0 2.5526 197.719 15.4887 26.2711 6.87284e-05 0.0463781 -0.0199335 0.000131229 196 30. 0.065386 0.053144 19.2762 26.2711 1 2458205.8088773 471120126 35.61623399695 77.419472 0.511744 1.038685 -25.97800961063 123.941513 -0.211011 1.066359 3.7408530012209 21.3220002174377 0.105999998748302 1.04700005054474 0.101999998092651 2458166.912315 2458461.999560 0
 4 471 7 3 ZTF_g 451315272615 0 2.4851 200.974 15.5334 26.2663 6.20405e-05 0.0446675 -0.0139801 0.00012055 196 30. 0.065695 0.057036 19.2906 26.2663 1 2458205.8152778 471120126 61.52255278458 74.394981 0.919910 1.087539 -22.27666637031 119.890312 -0.187060 1.065748 3.7408530012209 21.3220002174377 0.105999998748302 1.04700005054474 0.101999998092651 2458166.912315 2458461.999560 0
 5 471 7 3 ZTF_g 456284712615 0 2.7758 110.208 20.6729 25.5773 0.000142069 0.0375127 -0.00957043 0.000350193 64 30. 0.075316 0.052029 18.2158 25.5773 1 2458210.7847106 471120126 111.42795988003 124.581367 0.994938 0.898767 157.82018994058 184.759933 0.859944 1.099206 3.7408530012209 21.3220002174377 0.105999998748302 1.04700005054474 0.101999998092651 2458166.912315 2458461.999560 0
 6 471 7 3 ZTF_g 456304782615 0 2.6313 177.585 16.0953 26.1146 8.73e-05 0.0475081 -0.0218282 0.000184791 153 30. 0.062976 0.061233 19.0784 26.1146 1 2458210.8047801 471120126 -59.3402365858 92.704094 -0.712041 1.067235 -262.67802240594 140.571472 -1.881229 1.100729 3.7408530012209 21.3220002174377 0.105999998748302 1.04700005054474 0.101999998092651 2458166.912315 2458461.999560 0
 7 471 7 3 ZTF_g 461261812615 8 4.5036 98.4218 6.04512 25.5165 0.000110094 0.0452757 -0.0185728 0.000250729 113 30. 0.079629 0.068112 19.0437 25.5165 1 2458215.7618171 471120126 -0.14661931009 49.441330 -0.003299 1.050960 -8.31904872818 60.411949 -0.138633 1.234963 3.7408530012209 21.3220002174377 0.105999998748302 1.04700005054474 0.101999998092651 2458166.912315 2458461.999560 0
 8 471 7 3 ZTF_r 464216242615 0 2.1449 383.704 6.41031 26.1542 1.79882e-05 0.0283159 0.126919 2.52702e-05 303 30. 0.059456 0.049402 20.3685 26.1542 1 2458218.71625 471120226 6.17375019054 27.081152 0.253593 1.031753 10.9110633605 49.461506 0.222083 1.050946 2.72776828186369 20.5020002365112 0.104999996721745 2.7039999961853 0.312999993562698 2458165.866088 2458447.998333 0
