MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
58966.299828  21.316  1.198    11   13 o  0   1.24 142.24344 -14.80552  4343.53  5118.01 2.42 1.88  43.3 -0.429 19.40 20.48 02a58966o0161o
58970.309413  20.477  0.897    23   21 o  0   0.87 142.24344 -14.80552  4065.05  1117.53 2.21 2.12  62.0 -0.436 19.05 19.79 02a58970o0161o
58970.312670  26.335 173.000     0   18 o  0   1.36 142.24344 -14.80552  4046.05  1078.09 2.13 2.02  63.6 -0.440 19.06 19.78 02a58970o0168o
58970.318239 -23.147 11.562    -2   23 o  0   0.84 142.24344 -14.80552  4104.11  1156.68 2.32 2.20  51.4 -0.430 18.95 19.75 02a58970o0180o
58970.332559  20.953  1.262    15   19 o  0   1.32 142.24344 -14.80552  4124.77  1039.90 2.26 2.20 -82.8 -0.432 18.92 19.66 02a58970o0211o
58971.296625 -21.654  2.657    -8   21 o  0   0.96 142.24344 -14.80552  8856.59  1183.01 2.61 2.07  -1.3 -0.332 18.94 19.57 01a58971o0139o
58971.300313  22.013  3.885     6   22 o  0   0.89 142.24344 -14.80552  8875.71  1222.93 2.55 2.06  -1.4 -0.328 18.98 19.55 01a58971o0147o
58971.307282  19.535  0.402    56   22 o  0   0.95 142.24344 -14.80552  8815.45  1144.68 2.48 2.04  -2.9 -0.322 19.00 19.51 01a58971o0162o
58971.317960  21.098  1.484    13   20 o  0   1.21 142.24344 -14.80552  8796.26  1263.76 2.50 2.04  -4.8 -0.325 18.96 19.44 01a58971o0185o
58974.271669 -20.597  1.321   -21   28 o  0   1.13 142.24344 -14.80552  4064.88  1115.53 2.25 2.05 -60.8 -0.445 18.79 19.17 02a58974o0094o
58974.277650 -20.543  1.093   -22   24 o  0   0.91 142.24344 -14.80552  4046.19  1075.58 2.10 1.95 -65.6 -0.457 18.80 19.16 02a58974o0107o
58974.284544 -20.107  0.717   -33   24 o  0   1.08 142.24344 -14.80552  4104.86  1155.41 2.18 2.01 -66.2 -0.453 18.73 19.15 02a58974o0122o
58974.295178  20.863  1.461    16   24 o  0   1.17 142.24344 -14.80552  4127.69  1038.08 2.24 2.11 -71.1 -0.440 18.68 19.11 02a58974o0145o
58975.282741  19.207  0.320    75   24 o  0   1.17 142.24344 -14.80552  8855.26  1182.39 2.50 2.16  -4.9 -0.337 18.79 19.06 01a58975o0092o
58975.288270  20.323  0.736    27   20 o  0   1.64 142.24344 -14.80552  8875.14  1222.22 2.56 2.10  -6.8 -0.322 18.70 19.00 01a58975o0104o
58975.291496  19.736  0.616    46   28 o  0   0.75 142.24344 -14.80552  8815.95  1144.33 2.70 2.12  -3.8 -0.315 18.66 19.04 01a58975o0111o
58975.303496  18.854  0.216   104   22 o  0   1.12 142.24344 -14.80552  8794.87  1262.11 2.48 2.09  -6.5 -0.332 18.71 18.97 01a58975o0137o
