MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
58980.518155   0.000  0.000     0    0 o  0  -2.00 234.54229   4.78067   593.80  6346.04 2.38 2.30 -43.5 -0.411 13.38 13.35 01a58980o0623o
58980.521414 -17.713  0.572  -298  171 o  0   1.06 234.54229   4.78067   659.08  6428.18 2.32 2.20 -59.1 -0.406 16.56 16.58 01a58980o0630o
58980.555676  16.868  0.920   650  598 o  0   2.12 234.54229   4.78067   600.66  6349.89 1.99 1.87 -74.3 -0.451 14.41 13.99 01a58980o0701o
58980.564529  18.855 12.250   104 1276 o  0   1.24 234.54229   4.78067   582.13  6463.93 1.99 1.80 -68.4 -0.482 15.72 15.71 01a58980o0719o
58982.483051 -20.547  0.811   -22   18 o  0   0.72 234.54229   4.78067  9842.35  2263.96 2.22 1.70 -54.8 -0.480 19.55 20.52 02a58982o0515o
58982.486252  22.671  4.900     3   15 o  0   0.88 234.54229   4.78067  9824.03  2224.84 2.32 1.74 -55.2 -0.476 19.51 20.50 02a58982o0522o
58982.492692 -21.117  0.992   -13   13 o  0   1.07 234.54229   4.78067  9883.95  2303.62 2.40 1.81 -54.4 -0.470 19.48 20.48 02a58982o0536o
58982.528795  26.356 143.000     0   15 o  0   1.23 234.54229   4.78067  9902.37  2188.32 2.38 1.72 -52.1 -0.469 19.44 20.36 02a58982o0612o
58983.415438 -20.288  0.320   -28    9 c  0   1.39 234.54229   4.78067   725.60  8305.31 2.52 2.04 -48.5 -0.432 19.75 21.66 02a58983o0365c
58983.418655  20.332  0.373    27   10 c  0   1.29 234.54229   4.78067   745.00  8343.95 2.53 2.06 -50.1 -0.428 19.77 21.66 02a58983o0372c
58983.421412  20.905  0.540    16    8 c  0   1.69 234.54229   4.78067   686.51  8266.19 2.57 2.08 -49.3 -0.425 19.76 21.67 02a58983o0378c
58983.439943 -22.510  2.655    -4   10 c  0   1.40 234.54229   4.78067   668.90  8381.94 2.48 2.08 -46.8 -0.429 19.77 21.70 02a58983o0416c
58984.523665  21.004  0.899    14   13 o  0   1.11 234.54229   4.78067  8647.79  9832.40 2.05 1.92  69.1 -0.390 19.52 20.53 01a58984o0492o
58984.534369 -23.093  4.429    -2    9 o  0   1.55 234.54229   4.78067  8667.28  9871.86 1.92 1.78  79.7 -0.399 19.57 20.48 01a58984o0515o
58984.539530 -25.051 36.000    -0   12 o  0   1.15 234.54229   4.78067  8606.95  9794.64 2.09 1.89  82.6 -0.396 19.50 20.49 01a58984o0526o
58984.549839  21.560  1.307     9   11 o  0   1.18 234.54229   4.78067  8588.38  9913.84 2.04 1.91  83.4 -0.394 19.50 20.52 01a58984o0548o
58986.438518  22.798  3.375     3    9 c  0   1.40 234.54229   4.78067  7352.54  8849.45 2.86 2.81 -69.3 -0.389 19.68 21.78 02a58986o0447c
58986.441756 -20.863  0.576   -16    9 c  0   1.58 234.54229   4.78067  7333.37  8814.79 2.81 2.74  68.3 -0.390 19.71 21.78 02a58986o0454c
58986.452191 -25.152 35.000    -0   11 c  0   1.03 234.54229   4.78067  7390.03  8894.64 2.74 2.66  77.0 -0.398 19.76 21.77 02a58986o0476c
58986.461794 -23.645  6.250    -1    8 c  0   1.48 234.54229   4.78067  7411.06  8778.16 2.75 2.65 -74.2 -0.396 19.73 21.77 02a58986o0496c
58988.436253  22.584  2.955     3   10 o  0   1.40 234.54229   4.78067  8634.63  9831.92 1.93 1.82   5.9 -0.393 19.78 21.06 01a58988o0397o
58988.439498  21.016  0.720    14   10 o  0   1.51 234.54229   4.78067  8655.47  9870.93 1.95 1.81  12.0 -0.395 19.72 20.95 01a58988o0404o
