MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
59097.484837  20.091  1.237    33   41 o  0   2.05 347.38792  15.65927  7960.01  5398.01 2.05 1.99 -14.6 -0.414 17.81 17.77 01a59097o0580o
59097.488526 -19.707  1.074   -48   51 o  0   1.67 347.38792  15.65927  7980.10  5436.07 2.07 2.00 -22.0 -0.402 17.73 17.63 01a59097o0588o
59097.494053  19.684  1.084    49   53 o  0   1.20 347.38792  15.65927  7922.68  5359.90 2.10 2.04  -5.7 -0.389 17.84 17.86 01a59097o0600o
59097.518633 -18.551  0.450  -138   62 o  0   1.17 347.38792  15.65927  7908.03  5476.83 2.10 2.02 -10.0 -0.393 17.80 17.72 01a59097o0651o
59098.489506  25.052 48.333     0   17 o  0   1.18 347.38792  15.65927  8340.13  3398.95 2.25 2.15  46.6 -0.410 19.05 19.73 02a59098o0589o
59098.494624 -21.030  1.218   -14   17 o  0   0.91 347.38792  15.65927  8320.57  3360.77 2.31 2.07  44.8 -0.409 19.05 19.71 02a59098o0600o
59098.498070 -20.528  0.787   -22   18 o  0   0.85 347.38792  15.65927  8379.21  3438.94 2.22 2.13  53.8 -0.413 19.04 19.71 02a59098o0607o
59098.510497  21.859  2.803     7   18 o  0   0.96 347.38792  15.65927  8398.35  3323.96 2.15 2.09  48.3 -0.420 19.09 19.71 02a59098o0634o
59101.432076  19.747  0.189    46    9 o  0   1.49 347.38792  15.65927  7947.07  5404.51 2.13 2.07 -26.6 -0.407 19.68 20.87 01a59101o0441o
59101.437190  19.600  0.190    52   10 o  0   0.96 347.38792  15.65927  7969.12  5442.65 2.00 1.93 -16.4 -0.415 19.76 20.86 01a59101o0452o
59101.462763  19.804  0.253    44   11 o  0   0.85 347.38792  15.65927  7916.83  5361.36 2.06 2.03 -49.0 -0.410 19.68 20.79 01a59101o0506o
59101.487822  20.045  0.273    35   10 o  0   1.05 347.38792  15.65927  7903.25  5476.06 1.98 1.91 -76.3 -0.412 19.70 20.73 01a59101o0558o
59103.460886  18.749  0.087   115   10 o  0   1.46 347.38792  15.65927  8337.02  3397.43 2.05 1.96  63.0 -0.428 19.66 21.03 02a59103o0530o
59103.464091  19.104  0.132    83   11 o  0   0.95 347.38792  15.65927  8318.51  3359.07 2.18 2.01  44.4 -0.425 19.60 21.02 02a59103o0537o
59103.474291  19.063  0.096    86    8 o  0   1.74 347.38792  15.65927  8376.08  3435.92 2.02 1.96 -77.3 -0.431 19.68 20.99 02a59103o0559o
59103.480263  18.881  0.090   102    9 o  0   1.44 347.38792  15.65927  8396.46  3320.77 1.99 1.93 -76.1 -0.438 19.69 20.96 02a59103o0572o
59105.424133  18.034  0.108   222   24 o  0   0.67 347.38792  15.65927  6550.35  7452.70 1.89 1.83 -17.7 -0.417 18.78 20.02 01a59105o0441o
59105.433815  18.333  0.064   169   11 o  0   1.83 347.38792  15.65927  6573.42  7491.23 1.80 1.77 -34.8 -0.419 19.56 20.83 01a59105o0461o
59105.441866  18.163  0.073   197   14 o  0   1.09 347.38792  15.65927  6515.23  7411.72 1.91 1.87  20.0 -0.411 19.43 20.74 01a59105o0477o
59105.449157  18.092  0.050   210   10 o  0   1.59 347.38792  15.65927  6499.52  7528.93 1.88 1.78 -10.8 -0.418 19.45 20.73 01a59105o0492o
59107.444699  17.711  0.039   299   12 c  0   1.23 347.38792  15.65927  8455.12  9712.74 2.75 2.55 -60.0 -0.396 19.76 21.69 02a59107o0469c
59107.447634  17.787  0.043   279   12 c  0   1.26 347.38792  15.65927  8435.21  9673.62 2.80 2.66 -60.7 -0.390 19.63 21.81 02a59107o0475c
59107.453154  17.703  0.043   301   13 c  0   0.93 347.38792  15.65927  8493.63  9754.85 2.85 2.70 -50.1 -0.388 19.59 21.78 02a59107o0487c
59107.463352  17.727  0.037   294   11 c  0   1.44 347.38792  15.65927  8513.04  9637.39 2.84 2.63 -61.5 -0.390 19.63 21.79 02a59107o0509c
59109.352971  17.283  0.024   443   11 o  0   1.46 347.38792  15.65927  4009.13  3097.79 1.96 1.86  -4.0 -0.419 19.73 21.23 01a59109o0303o
59109.354815  17.352  0.029   416   12 o  0   1.38 347.38792  15.65927  3988.75  3059.20 2.00 1.90  -7.3 -0.416 19.73 21.30 01a59109o0307o
59109.357598  17.335  0.030   423   13 o  0   1.70 347.38792  15.65927  4048.30  3136.51 2.05 1.84  -1.0 -0.412 19.56 21.31 01a59109o0313o
59109.365724  17.292  0.024   440   11 o  0   1.33 347.38792  15.65927  4065.11  3019.49 1.97 1.81 -10.7 -0.414 19.85 21.18 01a59109o0330o
59111.480814  17.196  0.040   480   19 c  0   1.21 347.38792  15.65927  8459.88  9716.74 3.03 2.97 -33.3 -0.374 19.26 21.19 02a59111o0559c
59111.485314  17.103  0.042   523   22 c  0   1.27 347.38792  15.65927  8441.54  9681.53 2.85 2.82  62.5 -0.377 18.59 20.39 02a59111o0567c
59111.513903  17.135  0.046   508   24 c  0   0.96 347.38792  15.65927  8494.18  9758.16 2.79 2.75  10.8 -0.370 18.89 20.53 02a59111o0624c
59111.520656  17.042  0.064   554   35 c  0   1.43 347.38792  15.65927  8513.33  9646.34 2.89 2.82  33.1 -0.371 18.27 19.90 02a59111o0637c
59113.419771  16.939  0.036   609   22 o  0   1.21 347.38792  15.65927  6420.63  3096.57 2.25 1.97  -1.5 -0.398 19.13 20.47 01a59113o0456o
59113.434961  16.999  0.042   576   24 o  0   1.51 347.38792  15.65927  6442.96  3134.69 2.29 1.90  -2.7 -0.390 18.73 20.05 01a59113o0487o
59113.445824  16.931  0.028   613   17 o  0   1.51 347.38792  15.65927  6386.39  3057.13 1.96 1.88 -33.6 -0.402 19.11 20.37 01a59113o0510o
59113.457416  16.982  0.022   585   13 o  0   2.16 347.38792  15.65927  6369.03  3172.58 2.08 1.90 -10.6 -0.404 19.53 20.84 01a59113o0535o
59115.481352  16.909  0.021   626   13 c  0   1.54 347.38792  15.65927  8734.11  5341.77 2.57 2.51  50.7 -0.388 19.66 21.53 02a59115o0557c
59115.485058  16.889  0.022   637   14 c  0   1.20 347.38792  15.65927  8714.38  5303.38 2.67 2.61  50.3 -0.385 19.63 21.54 02a59115o0565c
59115.492421  16.924  0.020   617   12 c  0   2.27 347.38792  15.65927  8772.12  5381.32 2.56 2.47  44.1 -0.385 19.59 21.44 02a59115o0581c
59115.505291  16.925  0.020   617   13 c  0   1.45 347.38792  15.65927  8792.07  5266.35 2.53 2.46  25.9 -0.391 19.61 21.53 02a59115o0609c
59117.358715  16.949  0.022   603   13 o  0   1.91 347.38792  15.65927  4119.42  7454.80 2.08 2.01 -32.3 -0.413 19.49 20.47 01a59117o0331o
59117.361936  16.915  0.022   622   14 o  0   1.35 347.38792  15.65927  4100.44  7414.31 2.11 1.98 -19.2 -0.413 19.48 20.46 01a59117o0338o
59117.368499  16.937  0.024   610   14 o  0   1.00 347.38792  15.65927  4158.26  7490.81 2.01 1.94 -26.9 -0.418 19.51 20.47 01a59117o0352o
59117.373742  16.889  0.022   638   14 o  0   1.32 347.38792  15.65927  4176.40  7375.23 2.00 1.92 -25.1 -0.416 19.51 20.49 01a59117o0363o
59118.301624  16.896  0.028   633   18 o  0   1.27 347.38792  15.65927  1830.43  5223.24 2.54 2.43  -2.7 -0.424 19.02 20.03 02a59118o0208o
59118.304411  16.885  0.027   640   17 o  0   1.36 347.38792  15.65927  1848.01  5262.43 2.49 2.20   0.1 -0.419 19.09 20.04 02a59118o0214o
59118.325687  16.924  0.026   617   16 o  0   1.80 347.38792  15.65927  1790.69  5185.00 2.16 2.07 -17.8 -0.431 19.21 20.12 02a59118o0259o
59118.333493  16.936  0.029   610   18 o  0   1.18 347.38792  15.65927  1777.08  5299.61 2.18 2.14   9.0 -0.441 19.26 20.14 02a59118o0276o
59119.407050  16.935  0.025   611   15 o  0   1.85 347.38792  15.65927  8745.56  5343.23 2.21 1.93  40.9 -0.426 19.23 19.93 02a59119o0428o
59119.434205  16.885  0.031   640   20 o  0   1.66 347.38792  15.65927  8722.22  5305.68 2.20 2.03  44.5 -0.423 19.04 19.70 02a59119o0481o
59119.437100  16.861  0.032   654   21 o  0   0.98 347.38792  15.65927  8780.22  5381.89 2.28 2.10  45.9 -0.419 19.11 19.75 02a59119o0487o
59119.443168  16.893  0.029   635   18 o  0   1.39 347.38792  15.65927  8800.43  5265.60 2.27 2.04  40.5 -0.427 19.05 19.66 02a59119o0500o
59125.372585  17.161  0.040   496   20 o  0   1.33 347.38792  15.65927  8600.87  9275.59 2.14 1.96  83.6 -0.373 19.02 19.27 01a59125o0289o
