# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v6.0 on 2025-05-19 at 10:51:38
#
# Requested input R.A. = 206.794542 degrees
# Requested input Dec. = 34.089261 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460157.5 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 674 9 3 ZTF_g 448353633415 0 2.5364 80.7684 6.02638 26.2935 2.11336e-05 0.0352658 -0.0136034 3.42982e-05 340 30. 0.063222 0.062009 20.4142 26.2935 1 2458202.8536343 674120134 63.77466231725 36.230679 1.958062 1.006858 120.19196519915 55.536430 2.178777 1.121796 1.6075238493772 17.4700004577637 0.0799999982118607 6.83400011062622 0.333999991416931 2458166.950683 2458246.797106 0
 1 674 9 3 ZTF_g 448357453415 0 2.892 80.8197 5.92715 26.3036 2.254e-05 0.0361403 -0.0127652 3.77769e-05 334 30. 0.065243 0.061981 20.2991 26.3036 1 2458202.8574537 674120134 33.88063127366 38.411919 0.981161 0.991971 30.30822635174 56.057095 0.544308 1.132240 1.6075238493772 17.4700004577637 0.0799999982118607 6.83400011062622 0.333999991416931 2458166.950683 2458246.797106 0
 2 674 9 3 ZTF_g 451341263415 0 2.3768 72.3693 12.5959 26.1956 3.77682e-05 0.0439546 -0.0149696 7.59004e-05 282 30. 0.068573 0.060168 19.4707 26.1956 1 2458205.8412616 674120134 5.09587706981 63.588650 0.089144 1.037606 -108.27009269638 105.643753 -1.031763 1.067713 1.6075238493772 17.4700004577637 0.0799999982118607 6.83400011062622 0.333999991416931 2458166.950683 2458246.797106 0
 3 674 9 3 ZTF_g 451392613415 0 2.7137 59.6149 14.4645 25.9976 4.83734e-05 0.0400885 -0.0416468 0.000112976 192 30. 0.068959 0.064741 19.0209 25.9976 1 2458205.8926157 674120134 4.05596745218 78.104576 0.057766 0.967707 -87.90543384542 120.149826 -0.736559 1.096068 1.6075238493772 17.4700004577637 0.0799999982118607 6.83400011062622 0.333999991416931 2458166.950683 2458246.797106 0
 4 674 9 3 ZTF_g 454322323415 33554433 2.3862 34.3682 39.4987 25.1637 0.00305681 0.0482797 -0.00320491 0.00908163 24 30. 0.067317 0.082727 17.2154 25.1637 1 2458208.8223264 674120134 -310.87775194427 198.352264 -1.743441 0.985669 -208.21140818644 315.484161 -0.664419 1.107249 1.6075238493772 17.4700004577637 0.0799999982118607 6.83400011062622 0.333999991416931 2458166.950683 2458246.797106 0
 5 674 9 3 ZTF_g 454341403415 1 2.0836 62.3745 28.3941 26.0071 0.000120493 0.0466804 -0.0524712 0.000324287 123 30. 0.060398 0.06323 18.5185 26.0071 1 2458208.8414005 674120134 152.22955981441 143.412598 1.180773 0.965795 251.15800041684 241.172684 1.048417 1.096048 1.6075238493772 17.4700004577637 0.0799999982118607 6.83400011062622 0.333999991416931 2458166.950683 2458246.797106 0
 6 674 9 3 ZTF_g 457343003415 0 3.884 80.9758 12.339 26.3223 5.39519e-05 0.0424001 -0.0182558 0.000123651 189 30. 0.080638 0.074431 19.2472 26.3223 3 2458211.8430093 674120134 18.44912620852 92.826965 0.221084 0.983043 -2.77812616047 118.901527 -0.023522 1.222809 1.6075238493772 17.4700004577637 0.0799999982118607 6.83400011062622 0.333999991416931 2458166.950683 2458246.797106 0
 7 674 9 3 ZTF_g 457347733415 0 3.7744 80.7619 12.3126 26.3154 6.34495e-05 0.0454346 -0.0187291 0.000150402 188 30. 0.074093 0.068463 19.2538 26.3154 1 2458211.8477315 674120134 65.23682623461 97.915260 0.741135 0.983110 84.13494530269 125.152054 0.676790 1.234311 1.6075238493772 17.4700004577637 0.0799999982118607 6.83400011062622 0.333999991416931 2458166.950683 2458246.797106 0
 8 674 9 3 ZTF_g 460278223415 0 3.3472 43.0961 5.03885 25.6205 4.75887e-05 0.0492908 -0.0197748 9.42735e-05 277 30. 0.077726 0.072677 19.671 25.6205 3 2458214.7782292 674120134 42.82339155511 38.562096 1.235308 0.994815 35.68902635414 53.452362 0.672176 1.155275 1.6075238493772 17.4700004577637 0.0799999982118607 6.83400011062622 0.333999991416931 2458166.950683 2458246.797106 0
