,MJD,Phase,Filter,ShiftedFilter,Wavelength,ShiftedWavelength,Flux,ShiftedFlux,Fluxerr,ShiftedFluxerr,Mag,ShiftedMag,Magerr,Nondetection
0,59338.322185,51.79522162626381,c,c,4237.735542857143,4237.735542857143,8.383657359033522e-16,-0.9666728685567936,2.879152557936916e-17,0.034342440710969466,17.06740131338081,2.44085540451716,0.034342440710969466,False
1,59350.243823,63.71685962626361,c,c,5393.96,5393.96,5.709903692411565e-16,-1.1334776057317377,2.8657557789861377e-17,0.05018921392307743,17.484413156318173,2.8578672474545233,0.05018921392307743,False
2,59376.25181966667,89.72485629293806,c,c,5393.96,5393.96,3.753524294978571e-16,-1.3156671576811725,2.1399537687963364e-17,0.05701185341091694,17.939887036191756,3.3133411273281066,0.05701185341091694,False
3,59616.435094,329.90813062626694,c,c,5393.96,5393.96,5.77096313570369e-17,-2.1288580888068136,1.7404262990093047e-17,0.30158333333333337,19.97286436400586,5.346318455142212,0.30158333333333337,False
4,59883.3538515,596.8268881262629,c,c,5393.96,5393.96,7.491014232966122e-17,-2.0155657666639843,2.6990871076457127e-17,0.36030996921187125,19.689633558648787,5.063087649785137,0.36030996921187125,False
5,59906.555770666666,620.0288072929325,c,c,4254.867112571428,4254.867112571428,2.6641358089893473e-17,-2.4645500289130684,9.344261563031188e-18,0.35074268854844826,20.8120942142715,6.185548305407851,0.35074268854844826,False
6,59262.428058,-24.09890537373576,c,c,5393.96,5393.96,8.015226577366225e-17,-1.9861905852380826,8.015226577366226e-18,0.1,19.616195605084034,4.9896496962203845,0.1,True
7,59530.59622566667,244.06926229293458,c,c,5393.96,5393.96,1.1871374862103485e-16,-1.8156053699894859,1.1871374862103485e-17,0.1,19.18973256696254,4.563186658098891,0.1,True
8,59590.604114,304.0771506262681,c,c,5393.96,5393.96,9.618271892839476e-17,-1.9070093391904575,9.618271892839477e-18,0.1,19.41824248996497,4.791696581101322,0.1,True
9,59636.368668,349.84170462626935,c,c,5393.96,5393.96,8.816749235102837e-17,-1.9447979000798572,8.816749235102838e-18,0.1,19.512713892188472,4.886167983324823,0.1,True
10,59644.3786685,357.8517051262679,c,c,5393.96,5393.96,1.160825918101315e-16,-1.8253392927391392,1.1608259181013151e-17,0.1,19.214067373836674,4.587521464973024,0.1,True
11,59664.41532666667,377.88836329293554,c,c,5393.96,5393.96,8.522137424352427e-17,-1.9595578557291216,8.522137424352428e-18,0.1,19.549613781311628,4.923067872447978,0.1,True
