# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v6.0 on 2025-05-19 at 10:50:45
#
# Requested input R.A. = 134.077958 degrees
# Requested input Dec. = -0.442139 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460157.5 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 415 15 3 ZTF_g 450199445815 0 2.8037 122.182 16.8883 26.3282 1.56848e-05 0.0387272 -0.0755828 3.63504e-05 664 30. 0.048393 0.047034 19.1452 26.3282 1 2458204.6994444 415120158 -245.53869843714 93.364967 -2.925437 1.007522 -410.3336691299 148.812668 -2.775955 1.048498 2.42878498320428 16.5179998397827 0.0410000011324883 3.9909999370575 0.157000005245209 2458227.669363 2458441.983391 0
 1 415 15 3 ZTF_g 450218275815 0 3.0182 122.903 16.6947 26.34 2.12422e-05 0.0424007 -0.0604699 5.05756e-05 620 30. 0.054564 0.053731 19.1087 26.34 1 2458204.7182755 415120158 -65.37998540917 89.481384 -0.812769 1.038851 -207.29832286859 134.277878 -1.554199 1.060762 2.42878498320428 16.5179998397827 0.0410000011324883 3.9909999370575 0.157000005245209 2458227.669363 2458441.983391 0
 2 415 15 3 ZTF_g 453265255815 0 2.317 91.1404 23.3977 26.0109 3.49691e-05 0.0477665 -0.0396558 8.9203e-05 496 30. 0.041025 0.048419 18.6559 26.0109 1 2458207.7652546 415120158 -53.96602491944 104.626488 -0.573764 1.084265 -427.29426752389 184.179153 -2.335618 1.051822 2.42878498320428 16.5179998397827 0.0410000011324883 3.9909999370575 0.157000005245209 2458227.669363 2458441.983391 0
 3 415 15 3 ZTF_g 453278805815 0 2.4864 117.662 20.0765 26.2928 1.5444e-05 0.0379049 -0.0640534 3.62381e-05 649 30. 0.044232 0.048799 19.0379 26.2928 1 2458207.7788079 415120158 77.34039110619 99.377274 0.865713 1.022144 -49.80854557979 167.725723 -0.298964 1.053104 2.42878498320428 16.5179998397827 0.0410000011324883 3.9909999370575 0.157000005245209 2458227.669363 2458441.983391 0
 4 415 15 3 ZTF_g 456214605815 0 1.9264 93.0711 13.6239 25.979 5.7637e-05 0.0805846 -0.0399886 0.000123295 750 30. 0.039322 0.045734 19.4075 25.979 1 2458210.7146065 415120158 -166.03232182119 61.606499 -2.997926 0.999785 -303.37642035418 113.701164 -2.686161 1.057400 2.42878498320428 16.5179998397827 0.0410000011324883 3.9909999370575 0.157000005245209 2458227.669363 2458441.983391 0
 5 415 15 3 ZTF_g 456236525815 0 2.7578 93.1308 14.6763 26.0488 2.47154e-05 0.0463274 -0.0556912 5.81044e-05 621 30. 0.05839 0.058736 19.048 26.0488 1 2458210.7365278 415120158 30.14242904017 78.892311 0.425009 1.039597 21.46524931089 123.038429 0.175635 1.069721 2.42878498320428 16.5179998397827 0.0410000011324883 3.9909999370575 0.157000005245209 2458227.669363 2458441.983391 0
 6 415 15 3 ZTF_r 461196075815 48 3.0275 14.7196 17.6691 23.1355 0.0134588 0.112041 -0.138908 0.033011 26 30. 0.060593 0.097321 15.851 23.1355 1 2458215.6960764 415120258 175.62563253078 103.924980 1.879848 0.961652 351.46234885908 149.743484 2.362904 1.115085 2.28231400516112 16.0070003509521 0.0469999983906746 4.60500001907349 0.180000007152557 2458160.769734 2458450.043183 0
 7 415 15 3 ZTF_g 461216995815 0 3.3508 44.245 7.94055 25.1873 7.22423e-05 0.0618109 -0.00163946 0.000190943 434 30. 0.055405 0.059889 18.727 25.1873 1 2458215.7169907 415120158 -16.92546824831 49.887596 -0.377401 1.080081 17.68019586363 67.557327 0.263469 1.168887 2.42878498320428 16.5179998397827 0.0410000011324883 3.9909999370575 0.157000005245209 2458227.669363 2458441.983391 0
 8 415 15 3 ZTF_r 464191535815 0 2.4308 325.24 7.24612 26.1664 3.686e-06 0.0232994 0.0859627 6.0802e-06 991 30. 0.053913 0.049222 20.0882 26.1664 1 2458218.6915394 415120258 -72.29640707963 35.567081 -2.261118 1.135206 130.43658112149 62.186062 2.111648 1.044699 2.28231400516112 16.0070003509521 0.0469999983906746 4.60500001907349 0.180000007152557 2458160.769734 2458450.043183 0
