# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v6.0 on 2025-05-19 at 10:34:26
#
# Requested input R.A. = 149.137458 degrees
# Requested input Dec. = 0.752289 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460157.5 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 417 15 1 ZTF_r 445235265615 0 2.4109 154.021 10.6639 25.2659 2.14188e-05 0.0413192 0.0810812 2.99675e-05 566 30. 0.049559 0.049216 18.7415 25.2659 1 2458199.7352662 417120256 28.62466023243 42.502037 0.749179 1.047590 83.70233495825 75.711861 1.112984 1.039304 null null null null null 2458165.895613 2458450.022870 57
 1 417 15 1 ZTF_r 445256755615 0 2.1558 82.1263 11.5316 24.562 3.46937e-05 0.0440851 0.0799843 5.40742e-05 391 30. 0.04754 0.050955 18.0367 24.562 1 2458199.7567593 417120256 24.07534343807 49.533527 0.540665 0.915393 13.32092182509 93.368980 0.143631 1.039493 null null null null null 2458165.895613 2458450.022870 57
 2 417 15 1 ZTF_g 448254675615 0 2.2889 164.206 8.55175 26.2822 1.54945e-05 0.035326 -0.047406 2.33179e-05 551 30. 0.047821 0.052655 20.1635 26.2822 1 2458202.7546759 417120156 12.33775374834 40.584072 0.338170 0.985392 124.50892919824 67.597031 1.854334 1.086806 null null null null null 2458202.754676 2458441.984757 57
 3 417 15 1 ZTF_g 453262935615 0 2.3539 163.418 20.9099 26.2818 2.8011e-05 0.0386411 -0.0466177 5.5519e-05 349 30. 0.050632 0.048635 19.043 26.2818 1 2458207.7629398 417120156 -21.04939064073 108.255508 -0.216294 0.981571 80.180082531 180.340424 0.447598 1.093707 null null null null null 2458202.754676 2458441.984757 57
 4 417 15 1 ZTF_g 453286215615 0 2.4626 160.355 21.7615 26.281 2.56696e-05 0.0360199 -0.0492989 5.28299e-05 332 30. 0.046566 0.05127 18.9528 26.281 1 2458207.7862153 417120156 -48.39411536656 103.459785 -0.520326 0.987952 36.00352816634 171.805847 0.210971 1.080342 null null null null null 2458202.754676 2458441.984757 57
 5 417 15 1 ZTF_g 456232845615 0 2.1882 100.347 16.5422 25.7203 8.7924e-05 0.0631202 -0.0230106 0.000184498 307 30. 0.050776 0.050629 18.7978 25.7203 1 2458210.7328472 417120156 -5.68729145341 79.775635 -0.079303 1.063008 65.99944394774 133.792419 0.496620 1.090273 null null null null null 2458202.754676 2458441.984757 57
 6 417 15 1 ZTF_g 456263635615 0 2.3245 128.099 14.6652 26.0212 3.30108e-05 0.0435373 -0.0340601 6.20196e-05 377 30. 0.049611 0.053677 19.1572 26.0212 1 2458210.7636343 417120156 49.16611843964 78.242828 0.698998 0.995046 7.49124205376 131.712219 0.057259 1.072423 null null null null null 2458202.754676 2458441.984757 57
 7 417 15 1 ZTF_r 460195025615 0 2.5732 89.0778 9.56144 24.6636 8.42257e-05 0.0681363 0.100815 0.00013358 385 30. 0.063337 0.058945 18.2225 24.6636 1 2458214.6950231 417120256 12.66801015518 52.241951 0.269739 0.993388 -71.10867200283 84.339569 -0.848802 1.075983 null null null null null 2458165.895613 2458450.022870 57
 8 417 15 1 ZTF_r 463199295615 0 2.3532 270.621 8.12941 25.8531 8.7294e-06 0.0267886 0.0878105 1.21479e-05 595 30. 0.046715 0.052302 19.7066 25.8531 1 2458217.699294 417120256 -41.34840562864 34.692650 -1.325794 0.935163 -59.87553184807 61.836250 -0.974813 1.048710 null null null null null 2458165.895613 2458450.022870 57
