,MJD,Phase,Filter,ShiftedFilter,Wavelength,ShiftedWavelength,Flux,ShiftedFlux,Fluxerr,ShiftedFluxerr,Mag,ShiftedMag,Magerr,Nondetection
0,58229.34745369991,-1077.3029764272214,g,g,3847.8625724999997,3847.8625724999997,1.920004344585553e-17,-1.1944872942213305,6.8009890925868806e-18,0.354217380380716,21.274679781354994,3.267786241700623,0.354217380380716,False
1,58235.31228009984,-1071.3381500272953,g,g,5143.95,5143.95,3.4033960549819285e-17,-0.9458770145344335,1.15658224043067e-17,0.33983180968246474,20.65315408213775,2.646260542483379,0.33983180968246474,False
2,58243.26943290001,-1063.3809972271265,g,g,3847.8625724999997,3847.8625724999997,1.9661264530715296e-17,-1.1841780592393096,6.742733423530466e-18,0.3429450538645064,21.24890669389994,3.2420131542455692,0.3429450538645064,False
3,58249.385266200174,-1057.2651639269607,g,g,3847.8625724999997,3847.8625724999997,2.4316733473971483e-17,-1.0918842709641066,7.224405666352872e-18,0.29709605832073793,21.01817222321193,3.01127868355756,0.29709605832073793,False
4,58254.411574100144,-1052.23885602699,g,g,3847.8625724999997,3847.8625724999997,1.2873197483145291e-17,-1.3681030739868216,4.649810213654474e-18,0.36120087645221083,21.70871923076872,3.7018256911143474,0.36120087645221083,False
5,58258.3228703998,-1048.3275597273314,g,g,3847.8625724999997,3847.8625724999997,1.9098030742568272e-17,-1.1968009175477992,5.375076490952669e-18,0.28144663517437807,21.280463839671167,3.2735703000167966,0.28144663517437807,False
6,58259.36557869986,-1047.2848514272773,g,g,5143.95,5143.95,8.090150253522774e-16,0.43016708193139586,2.561858430261303e-16,0.31666388756448227,17.213043840973175,-0.7938496986811963,0.31666388756448227,False
7,58278.35013889987,-1028.300291227264,g,g,3847.8625724999997,3847.8625724999997,1.9403582109930664e-17,-1.189907592883804,4.719374341001704e-18,0.24322180895590148,21.263230528011174,3.2563369883568036,0.24322180895590148,False
8,58280.26359950006,-1026.3868306270742,g,g,3847.8625724999997,3847.8625724999997,1.4944529327851334e-17,-1.3033072639928829,5.067511520822731e-18,0.33908806424426335,21.54672970578387,3.5398361661295006,0.33908806424426335,False
9,58300.20468749991,-1006.4457426272274,g,g,3847.8625724999997,3847.8625724999997,1.634258798398598e-17,-1.2644686738815327,5.746024516040606e-18,0.35159819984883095,21.449633230505498,3.442739690851127,0.35159819984883095,False
10,58306.307129600085,-1000.343300527049,g,g,3847.8625724999997,3847.8625724999997,2.1193380728412325e-17,-1.1515892655679654,7.151940601632347e-18,0.337461054150945,21.167434709721576,3.160541170067205,0.337461054150945,False
11,58306.32174770022,-1000.3286824269162,g,g,3847.8625724999997,3847.8625724999997,2.2669988343881404e-17,-1.1223382088200093,6.858374684740313e-18,0.30253101945645144,21.094307067851688,3.0874135281973167,0.30253101945645144,False
12,58307.216851899866,-999.4335782272683,g,g,3847.8625724999997,3847.8625724999997,1.533913129759828e-17,-1.2919887407765263,4.85631198682777e-18,0.3165962851878154,21.518433397742978,3.5115398580886072,0.3165962851878154,False
13,58307.24457179988,-999.4058583272563,g,g,3847.8625724999997,3847.8625724999997,1.841492165027152e-17,-1.2126196302397236,4.956254125184654e-18,0.269143372929397,21.32001062140098,3.313117081746608,0.269143372929397,False
14,58307.32386570005,-999.3265644270869,g,g,3847.8625724999997,3847.8625724999997,1.7732173565538168e-17,-1.2290275320509476,5.718837840701434e-18,0.322511948101827,21.361030375929033,3.3541368362746624,0.322511948101827,False
15,58308.19724539993,-998.453184727201,g,g,3847.8625724999997,3847.8625724999997,1.8966869621059318e-17,-1.1997938467927494,5.0593758875877944e-18,0.26674807117196936,21.287946162783538,3.281052623129167,0.26674807117196936,False
16,58329.180092600174,-977.4703375269601,g,g,3847.8625724999997,3847.8625724999997,1.5522930052753383e-16,-0.28681580511461213,2.3988929343957194e-17,0.1545386680377533,19.005501058588194,0.9986075189338237,0.1545386680377533,False
17,58331.304236100055,-975.346194027079,g,g,3847.8625724999997,3847.8625724999997,3.574653168096232e-17,-0.9245555950317961,1.1208607238990199e-17,0.31355789532329964,20.599850533381154,2.5929569937267836,0.31355789532329964,False
18,58340.327974500135,-966.3224556269997,g,g,3847.8625724999997,3847.8625724999997,6.061897656602162e-17,-0.6951809057749276,1.786559484162456e-17,0.2947195062286593,20.02641381023898,2.0195202705846107,0.2947195062286593,False
19,58350.26251159981,-956.3879185273254,g,g,3847.8625724999997,3847.8625724999997,3.895630769967535e-17,-0.8872117181607866,9.676473852640622e-18,0.2483929926634516,20.506490841203636,2.499597301549265,0.2483929926634516,False
