# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v6.0 on 2025-05-19 at 10:47:19
#
# Requested input R.A. = 154.160917 degrees
# Requested input Dec. = 73.4005 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460157.5 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 860 3 4 ZTF_r 445274821115 0 1.9415 215.692 7.81917 25.8857 8.1244e-06 0.025113 0.0908424 1.19573e-05 542 30. 0.042366 0.040619 19.8604 25.8857 1 2458199.7748264 860120211 -29.11363878247 32.902996 -0.984274 0.962890 -36.4870873673 64.333038 -0.570979 1.027290 4.13858259528351 20.9689997673035 0.11599999666214 1.25800001621246 0.197999998927116 2458218.708970 2458425.945116 0
 1 860 3 4 ZTF_r 445320531115 0 2.2321 87.4636 9.14659 24.9369 3.83376e-05 0.0514131 0.0825162 5.83361e-05 479 30. 0.046141 0.049435 18.6083 24.9369 1 2458199.8205324 860120211 21.04677194112 42.532948 0.550446 0.983112 -12.19553536763 76.720779 -0.160031 1.039861 4.13858259528351 20.9689997673035 0.11599999666214 1.25800001621246 0.197999998927116 2458218.708970 2458425.945116 0
 2 860 3 4 ZTF_g 450209441115 8 5.4416 173.91 11.1486 26.3066 0.000169699 0.0444725 -0.0947286 0.000457292 104 30. 0.070964 0.067647 19.0435 26.3066 1 2458204.7094444 860120111 80.98364322931 78.576279 1.146465 1.020975 45.52435783077 96.711311 0.473895 1.119084 1.93533867144439 21.2970001220703 0.131999999284744 2.0090000629425 0.24099999666214 2458249.702928 2458430.930405 0
 3 860 3 4 ZTF_g 453271561115 0 2.5823 143.313 17.5465 26.0929 3.81675e-05 0.0425501 -0.11491 7.891e-05 335 30. 0.052027 0.049519 18.9305 26.0929 1 2458207.7715625 860120111 13.0367101151 88.411217 0.164027 0.948474 266.33573053127 151.565506 1.769067 1.034424 1.93533867144439 21.2970001220703 0.131999999284744 2.0090000629425 0.24099999666214 2458249.702928 2458430.930405 0
 4 860 3 4 ZTF_g 453292461115 0 2.0567 176.273 15.3873 26.2795 1.8019e-05 0.0337098 -0.0631544 3.39167e-05 437 30. 0.04291 0.044206 19.4795 26.2795 1 2458207.7924653 860120111 22.95717938091 65.429474 0.390301 0.851111 -91.8145536983 122.542259 -0.754294 1.037206 1.93533867144439 21.2970001220703 0.131999999284744 2.0090000629425 0.24099999666214 2458249.702928 2458430.930405 0
 5 860 3 4 ZTF_g 456271151115 0 2.0501 166.507 12.7551 26.2269 1.97732e-05 0.0361777 -0.0593707 3.53376e-05 451 30. 0.044426 0.044193 19.6479 26.2269 1 2458210.7711574 860120111 -30.59113912803 57.485558 -0.591959 0.917243 53.13845842519 104.747101 0.510719 1.042966 1.93533867144439 21.2970001220703 0.131999999284744 2.0090000629425 0.24099999666214 2458249.702928 2458430.930405 0
 6 860 3 4 ZTF_g 456292261115 0 2.355 163.48 13.3218 26.2126 2.20158e-05 0.0367758 -0.0479829 4.17868e-05 429 30. 0.047683 0.050072 19.4823 26.2126 1 2458210.7922685 860120111 -81.29647759755 64.232635 -1.407897 1.003898 -212.13441848636 109.798653 -1.945043 1.054622 1.93533867144439 21.2970001220703 0.131999999284744 2.0090000629425 0.24099999666214 2458249.702928 2458430.930405 0
 7 860 3 4 ZTF_r 461231531115 0 2.6174 95.2126 11.3765 25.0199 0.000125809 0.0834512 0.124784 0.000199542 381 30. 0.060033 0.065373 18.3357 25.0199 1 2458215.7315394 860120211 -18.65204980765 57.939487 -0.358102 0.996078 -33.40260255001 92.669067 -0.362878 1.065860 4.13858259528351 20.9689997673035 0.11599999666214 1.25800001621246 0.197999998927116 2458218.708970 2458425.945116 0
 8 860 3 4 ZTF_g 461252211115 0 4.1234 48.2347 7.56407 24.8748 0.000183574 0.059042 -0.0513565 0.000458514 172 30. 0.068296 0.073058 18.2393 24.8748 1 2458215.7522106 860120111 -11.09945223935 55.648998 -0.221870 1.013952 -28.94607948923 69.293411 -0.420546 1.182311 1.93533867144439 21.2970001220703 0.131999999284744 2.0090000629425 0.24099999666214 2458249.702928 2458430.930405 0
