# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v6.0 on 2025-05-19 at 10:47:43
#
# Requested input R.A. = 83.342375 degrees
# Requested input Dec. = -21.951861 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460157.5 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 256 14 3 ZTF_r 622522025415 0 2.372 485.683 9.75443 26.1688 3.6665e-06 0.0227777 0.0790919 6.76412e-06 899 30. 0.041441 0.051892 19.7467 26.1688 1 2458377.0220255 256120254 -19.19006717119 47.871700 -0.445915 1.044159 -73.5626413779 85.609573 -0.865068 1.035386 2.30300939661936 18.5929998397827 0.103000000119209 7.86600017547607 0.407999992370605 2458377.022025 2458442.897454 0
 1 256 14 3 ZTF_r 625522525415 0 2.3438 492.208 9.06149 26.1864 3.5184e-06 0.0222431 0.0752787 6.49357e-06 899 30. 0.042672 0.052081 19.8442 26.1864 1 2458380.0225231 256120254 -62.64544272703 50.646980 -1.375912 0.925518 -108.57499317412 91.364868 -1.196371 1.033684 2.30300939661936 18.5929998397827 0.103000000119209 7.86600017547607 0.407999992370605 2458377.022025 2458442.897454 0
 2 256 14 3 ZTF_r 629521745415 0 2.1341 472.48 7.03382 26.1399 3.4914e-06 0.0222808 0.0790975 6.43979e-06 906 30. 0.052083 0.047308 20.1437 26.1399 1 2458384.0217477 256120254 20.39746478849 34.115227 0.665094 0.937150 89.00729673546 64.094421 1.398043 1.029006 2.30300939661936 18.5929998397827 0.103000000119209 7.86600017547607 0.407999992370605 2458377.022025 2458442.897454 0
 3 256 14 3 ZTF_g 632521675415 0 2.9858 238.754 17.0195 26.1998 2.11728e-05 0.0400609 -0.0698188 5.62231e-05 536 30. 0.04673 0.067161 18.9871 26.1998 1 2458387.0216782 256120154 -3.08850492788 97.180786 -0.035353 0.963400 68.71593522271 150.074158 0.460964 1.050794 null null null null null 2458387.021678 2458450.918229 57
 4 256 14 3 ZTF_r 635521415415 0 2.0319 481.135 11.9051 26.1585 3.9485e-06 0.0235776 0.0787355 7.22424e-06 904 30. 0.03971 0.045649 19.7124 26.1585 1 2458390.021412 256120254 4.18346836728 44.863708 0.103728 1.004868 -96.70710110999 87.304161 -1.115164 1.030306 2.30300939661936 18.5929998397827 0.103000000119209 7.86600017547607 0.407999992370605 2458377.022025 2458442.897454 0
 5 256 14 3 ZTF_g 668438475415 0 2.7464 231.506 8.01022 26.1238 1.2084e-05 0.0394133 -0.0289608 2.50611e-05 826 30. 0.053707 0.059969 19.827 26.1238 3 2458422.9384722 256120154 50.7195637708 45.729961 1.233757 1.022534 33.40236415561 71.908836 0.467638 1.053513 null null null null null 2458387.021678 2458450.918229 57
 6 256 14 3 ZTF_r 668501775415 0 2.6676 461.249 9.23398 26.1161 6.4846e-06 0.030282 0.0931371 1.18418e-05 905 30. 0.054866 0.068013 19.6596 26.1161 3 2458423.0017708 256120254 -50.994702529 52.431019 -1.081911 1.041268 51.50404231175 84.401299 0.614338 1.053383 2.30300939661936 18.5929998397827 0.103000000119209 7.86600017547607 0.407999992370605 2458377.022025 2458442.897454 0
 7 256 14 3 ZTF_g 669417005415 0 3.8469 231.77 6.9349 26.1356 2.23807e-05 0.0483359 -0.0317815 5.33793e-05 683 30. 0.078763 0.090508 19.664 26.1356 1 2458423.9170023 256120154 -5.70775111164 56.420990 -0.112533 1.081592 -9.03684234686 73.320572 -0.124081 1.143306 null null null null null 2458387.021678 2458450.918229 57
 8 256 14 3 ZTF_r 669520965415 0 3.0685 433.587 10.0703 26.0416 8.1932e-06 0.0339926 0.0775249 1.52727e-05 892 30. 0.075083 0.060022 19.353 26.0416 3 2458424.0209606 256120254 103.30670894956 62.135674 1.849449 0.966318 90.99989546835 94.222214 0.972306 1.053238 2.30300939661936 18.5929998397827 0.103000000119209 7.86600017547607 0.407999992370605 2458377.022025 2458442.897454 0
 9 256 14 3 ZTF_g 671416905415 0 2.5237 180.084 5.82532 25.8803 1.56487e-05 0.0457599 -0.0687196 3.14262e-05 849 30. 0.049601 0.061251 20.0091 25.8803 3 2458425.9169097 256120154 -37.234348533 33.172413 -1.248595 0.985959 -15.97777476766 56.202148 -0.286206 1.040109 null null null null null 2458387.021678 2458450.918229 57
