MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
59443.600223  14.924  0.006  3895   24 c  0   7.79  56.12588 -44.63257  7657.21  2618.57 3.00 2.78 -82.5 -0.379 19.43 21.48 01a59443o0680c
59443.605761  14.915  0.006  3927   25 c  0   6.22  56.12588 -44.63257  7638.10  2579.69 3.03 2.93 -80.5 -0.382 19.40 21.52 01a59443o0692c
59443.626611  14.953  0.008  3792   29 c  0   1.77  56.12588 -44.63257  7698.68  2654.58 3.45 3.29 -76.0 -0.352 18.99 20.64 01a59443o0736c
59443.631221  14.933  0.010  3863   37 c  0   2.42  56.12588 -44.63257  7717.25  2537.72 3.23 3.05 -87.1 -0.357 18.52 19.55 01a59443o0746c
59445.585959  14.834  0.007  4230   30 o  0   5.02  56.12588 -44.63257  9056.77  6167.25 2.47 2.28  88.6 -0.422 19.24 20.39 02a59445o0758o
59445.589159  14.834  0.007  4232   28 o  0   8.77  56.12588 -44.63257  9075.61  6207.05 2.44 2.19  38.7 -0.415 19.26 20.38 02a59445o0765o
59445.594649  14.827  0.007  4256   28 o  0   5.31  56.12588 -44.63257  9017.77  6126.85 2.28 2.13  56.1 -0.427 19.35 20.46 02a59445o0777o
59445.613916  14.829  0.006  4251   26 o  0  14.97  56.12588 -44.63257  8996.46  6241.22 2.24 2.11  70.6 -0.428 19.40 20.50 02a59445o0819o
59447.580227  14.933  0.010  3862   37 o  0   2.97  56.12588 -44.63257  7661.11  2616.06 2.42 2.32 -84.8 -0.409 18.47 18.78 01a59447o0772o
59447.584369  14.937  0.010  3849   40 o  0   3.36  56.12588 -44.63257  7642.91  2577.85 2.40 2.31 -79.5 -0.396 18.51 18.81 01a59447o0781o
59447.589896  14.893  0.009  4008   34 o  0   2.30  56.12588 -44.63257  7699.58  2653.92 2.44 2.35 -81.0 -0.407 18.55 18.87 01a59447o0793o
59447.609263  14.905  0.009  3962   35 o  0   2.10  56.12588 -44.63257  7720.58  2536.10 2.44 2.34 -65.9 -0.403 18.64 19.10 01a59447o0835o
59449.602333  15.007  0.011  3608   42 o  0   9.40  56.12588 -44.63257  9054.94  6165.09 2.35 2.08  44.6 -0.426 18.46 18.61 02a59449o0020o
59449.605194  14.962  0.011  3762   40 o  0   1.96  56.12588 -44.63257  9074.50  6205.23 2.30 2.11 -81.9 -0.421 18.44 18.63 02a59449o0026o
59449.610743  14.967  0.009  3744   34 o  0   5.49  56.12588 -44.63257  9015.33  6124.16 2.29 2.03 -75.8 -0.435 18.50 18.66 02a59449o0038o
59449.615824  14.961  0.011  3765   42 o  0   2.75  56.12588 -44.63257  8995.74  6239.58 2.30 2.00 -76.0 -0.435 18.53 18.68 02a59449o0049o
59451.581336  15.025  0.009  3549   31 o  0   2.89  56.12588 -44.63257  3882.15  2820.15 2.19 2.14  49.3 -0.404 18.78 19.03 01a59451o0776o
59451.592772  15.041  0.009  3498   31 o  0   5.86  56.12588 -44.63257  3862.67  2780.88 2.09 2.02 -58.8 -0.427 18.83 19.09 01a59451o0800o
59451.595997  15.033  0.008  3521   29 o  0   4.78  56.12588 -44.63257  3919.37  2860.08 2.14 2.03 -79.3 -0.415 18.82 19.10 01a59451o0807o
59451.608464  15.044  0.008  3487   29 o  0   4.09  56.12588 -44.63257  3940.08  2746.28 2.13 2.06 -79.9 -0.425 18.89 19.17 01a59451o0834o
59455.567641  15.169  0.008  3108   25 o  0   4.29  56.12588 -44.63257  3877.30  2822.31 2.51 2.38  82.3 -0.403 19.02 19.94 01a59455o0752o
59455.570874  15.167  0.009  3112   27 o  0   2.26  56.12588 -44.63257  3858.80  2784.36 2.71 2.58 -85.2 -0.407 18.97 19.97 01a59455o0759o
59455.576401  15.159  0.008  3135   25 o  0   3.82  56.12588 -44.63257  3914.92  2861.76 2.52 2.48  46.1 -0.399 19.09 20.02 01a59455o0771o
59455.589299  15.183  0.009  3068   27 o  0   1.57  56.12588 -44.63257  3935.57  2747.39 2.80 2.67  58.3 -0.383 19.05 20.13 01a59455o0799o
59457.599498  15.208  0.008  2998   25 o  0   3.82  56.12588 -44.63257  1365.88  2069.44 2.03 2.02  68.5 -0.461 19.21 20.23 02a59457o0815o
59457.617829  15.218  0.008  2971   24 o  0   4.04  56.12588 -44.63257  1382.62  2103.97 1.99 1.83  38.1 -0.467 19.34 20.26 02a59457o0854o
