,MJD,Phase,Filter,ShiftedFilter,Wavelength,ShiftedWavelength,Flux,ShiftedFlux,Fluxerr,ShiftedFluxerr,Mag,ShiftedMag,Magerr,Nondetection
0,59420.19943,-0.07400999999663327,G,G,6730.0,6730.0,3.1703425571470853e-14,-0.01599999999947066,0.0,0.0,12.87,0.03999999999867754,0.0,False
1,59420.27344,0.0,G,G,6730.0,6730.0,3.2893204909172357e-14,5.293543381412746e-13,0.0,0.0,12.83,-1.3216094885137863e-12,0.0,False
2,59434.70412,14.43068000000494,G,G,6730.0,6730.0,1.6638194255381272e-14,-0.2959999999994718,0.0,0.0,13.57,0.7399999999986786,0.0,False
3,59434.77813,14.504690000001574,G,G,6730.0,6730.0,1.6485654373563114e-14,-0.29999999999947136,0.0,0.0,13.58,0.7499999999986784,0.0,False
4,59434.95427,14.68083000000479,G,G,6730.0,6730.0,1.6036374524030117e-14,-0.31199999999947003,0.0,0.0,13.61,0.7799999999986778,0.0,False
5,59435.02828,14.754840000001423,G,G,6730.0,6730.0,1.5743677702464618e-14,-0.31999999999947093,0.0,0.0,13.63,0.7999999999986791,0.0,False
6,59569.0577,148.78426000000036,G,G,6730.0,6730.0,4.4167843011564533e-16,-1.8719999999994723,0.0,0.0,17.51,4.67999999999868,0.0,False
7,59604.70966,184.43622000000323,G,G,3370.0,3370.0,2.472328586736599e-16,-2.123999999999471,0.0,0.0,18.14,5.309999999998679,0.0,False
8,59604.78368,184.51024000000325,G,G,3370.0,3370.0,2.5182926068899006e-16,-2.115999999999472,0.0,0.0,18.12,5.289999999998679,0.0,False
9,59615.53925,195.26581000000442,G,G,6730.0,6730.0,2.1140058778317001e-16,-2.191999999999471,0.0,0.0,18.31,5.479999999998677,0.0,False
10,59615.71542,195.44198000000324,G,G,6730.0,6730.0,2.1140058778317001e-16,-2.191999999999471,0.0,0.0,18.31,5.479999999998677,0.0,False
11,59615.78943,195.51598999999987,G,G,6730.0,6730.0,2.1933411694566912e-16,-2.175999999999471,0.0,0.0,18.27,5.439999999998678,0.0,False
12,59402.206122700125,-18.06731729987223,g,g,4204.414142857143,4204.414142857143,1.1693368739971535e-16,-2.4491665455079037,8.04673856968256e-18,0.06881454565078693,19.313086197452243,6.4830861974509215,0.06881454565078693,False
