# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v6.0 on 2025-05-19 at 10:22:19
#
# Requested input R.A. = 37.3689304664 degrees
# Requested input Dec. = -5.84835813257 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460157.5 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 401 2 3 ZTF_g 559465890615 0 2.449 62.0234 4.77819 25.7641 4.10716e-05 0.0419543 -0.0254804 5.85833e-05 303 30. 0.09403 0.084258 20.1945 25.7641 1 2458313.9658912 401120106 16.13823392652 22.017107 0.815362 0.971690 33.32905489768 37.375465 0.897742 1.058130 0.449742198428373 18.1759998321533 0.0759999975562096 6.96000003814697 0.407999992370605 2458313.965891 2458364.977222 0
 1 401 2 3 ZTF_g 566462580615 33554432 1.9727 27.7441 4.95824 24.8738 6.92216e-05 0.0482172 0.0150811 0.000127098 218 30. 0.064252 0.061053 19.3724 24.8738 1 2458320.962581 401120106 -36.71343766959 22.144053 -1.844263 1.100265 -121.24438608394 38.656815 -3.157554 1.072229 0.449742198428373 18.1759998321533 0.0759999975562096 6.96000003814697 0.407999992370605 2458313.965891 2458364.977222 0
 2 401 2 3 ZTF_r 566484540615 0 1.8746 118.941 5.76471 25.9757 2.74701e-05 0.0345424 0.103596 3.64882e-05 321 30. 0.057025 0.055008 20.2971 25.9757 1 2458320.9845486 401120206 -13.5560630635 25.815674 -0.584124 0.949322 27.65206673955 51.096764 0.544815 1.032436 0.47680905410167 17.6580003738403 0.0829999968409538 6.19399976730347 0.676999986171722 2458335.960116 2458373.977454 0
 3 401 2 3 ZTF_g 569441590615 0 2.7362 77.0599 4.70401 25.9835 3.87964e-05 0.0405453 0.0162529 5.49856e-05 305 30. 0.083287 0.068559 20.2982 25.9835 1 2458323.9415972 401120106 -46.19357524794 27.584423 -1.862827 1.037302 -37.32044863124 42.527199 -0.883477 1.093415 0.449742198428373 18.1759998321533 0.0759999975562096 6.96000003814697 0.407999992370605 2458313.965891 2458364.977222 0
 4 401 2 3 ZTF_r 569484660615 0 1.7743 136.721 6.17376 26.1056 1.58139e-05 0.0261618 0.112446 2.12385e-05 319 30. 0.054328 0.053507 20.4073 26.1056 1 2458323.9846644 401120206 49.86460194818 27.972572 1.982964 0.976183 24.32047222032 54.687294 0.447714 1.040130 0.47680905410167 17.6580003738403 0.0829999968409538 6.19399976730347 0.676999986171722 2458335.960116 2458373.977454 0
 5 401 2 3 ZTF_r 573425210615 37748768 3.4626 28.9871 18.7484 24.2764 0.000986117 0.0833374 0.114954 0.00188776 62 30. 0.090078 0.085795 16.8947 24.2764 1 2458327.9252199 401120206 13.76795209044 92.139671 0.166218 0.986796 -227.08855650641 148.745773 -1.536971 1.055717 0.47680905410167 17.6580003738403 0.0829999968409538 6.19399976730347 0.676999986171722 2458335.960116 2458373.977454 0
 6 401 2 3 ZTF_g 573482530615 0 2.4248 64.8344 16.9708 25.8321 0.000106723 0.0514929 -0.0841356 0.00021934 169 30. 0.060626 0.066977 18.7826 25.8321 1 2458327.9825347 401120106 122.41156365342 76.768341 1.773761 1.054178 92.50486640252 133.446609 0.697866 1.054989 0.449742198428373 18.1759998321533 0.0759999975562096 6.96000003814697 0.407999992370605 2458313.965891 2458364.977222 0
 7 401 2 3 ZTF_r 576419640615 0 2.6366 115.895 16.4975 25.9471 6.44858e-05 0.050817 0.111327 9.18643e-05 287 30. 0.093966 0.096152 18.8568 25.9471 1 2458330.9196412 401120206 -106.93452935366 89.163261 -1.334095 1.037702 -196.43320605545 141.849930 -1.394123 1.066048 0.47680905410167 17.6580003738403 0.0829999968409538 6.19399976730347 0.676999986171722 2458335.960116 2458373.977454 0
 8 401 2 3 ZTF_g 576461870615 0 3.4657 77.8751 15.3914 26.0151 0.000116579 0.0428598 0.0277976 0.000246825 123 30. 0.077609 0.066695 18.8089 26.0151 1 2458330.961875 401120106 -131.18846846472 103.500580 -1.409963 1.026791 -68.22176647764 141.287354 -0.486110 1.154322 0.449742198428373 18.1759998321533 0.0759999975562096 6.96000003814697 0.407999992370605 2458313.965891 2458364.977222 0
 9 401 2 3 ZTF_r 581460110615 0 2.2557 139.057 8.54909 26.1294 1.98137e-05 0.0294703 0.121223 2.67212e-05 319 30. 0.058775 0.05421 19.9936 26.1294 1 2458335.9601157 401120206 22.96777194442 40.347584 0.633222 0.981470 -31.25031632159 72.177231 -0.435882 1.051389 0.47680905410167 17.6580003738403 0.0829999968409538 6.19399976730347 0.676999986171722 2458335.960116 2458373.977454 0
 10 401 2 3 ZTF_g 581499280615 0 2.82 90.4721 11.4092 26.1749 4.06708e-05 0.036393 0.00188221 7.60027e-05 219 30. 0.066496 0.05883 19.4603 26.1749 1 2458335.9992824 401120106 -58.99167625079 65.402901 -1.003341 1.014132 -137.51274773224 97.617783 -1.418173 1.114254 0.449742198428373 18.1759998321533 0.0759999975562096 6.96000003814697 0.407999992370605 2458313.965891 2458364.977222 0
