# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v6.0 on 2025-05-19 at 10:21:23
#
# Requested input R.A. = 20.5508175803 degrees
# Requested input Dec. = 0.956578757112 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460157.5 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 449 2 4 ZTF_r 534464060715 8 4.7709 134.236 7.16038 26.0418 4.98214e-05 0.0480372 0.11204 7.2579e-05 318 30. 0.110083 0.081934 19.3355 26.0418 1 2458288.9640625 449120207 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 0.863687201600388 19.7790001869202 0.130999997258186 6.32399988174438 0.60699999332428 2458324.962118 2458367.878391 55
 1 449 2 4 ZTF_r 544457430715 0 3.1842 136.58 12.6381 26.0355 3.8534e-05 0.042674 0.124392 5.37609e-05 331 30. 0.077816 0.068539 19.084 26.0355 1 2458298.9574306 449120207 -13.43553276178 78.127419 -0.191296 1.026149 -36.41039787544 110.184494 -0.332675 1.108404 0.863687201600388 19.7790001869202 0.130999997258186 6.32399988174438 0.60699999332428 2458324.962118 2458367.878391 0
 2 449 2 4 ZTF_g 544481750715 0 3.2317 75.222 17.9106 26.085 8.54058e-05 0.0431183 -0.00861398 0.000176589 153 30. 0.084561 0.070615 18.7343 26.085 1 2458298.9817593 449120107 109.30475095875 115.367607 1.053926 0.945838 188.25125198685 160.562256 1.180347 1.133876 1.63694221480881 20.0060002326965 0.129999995231628 5.27799987792969 0.578999996185303 2458307.961863 2458351.954491 0
 3 399 16 1 ZTF_r 547442166015 0 2.4284 126.486 10.9498 25.9535 3.09222e-05 0.0413136 0.112599 4.56031e-05 362 30. 0.085529 0.080796 19.3625 25.9535 1 2458301.9421644 399120260 -50.83141991099 57.007950 -0.991863 0.928096 -131.96346745419 95.513382 -1.390928 1.066568 3.03794701704914 19.2029999732971 0.112000003457069 7.67199993133545 0.477999985218048 2458312.942662 2458362.904549 0
 4 449 2 4 ZTF_r 547442610715 0 2.3006 137.029 11.7065 26.0433 2.28161e-05 0.0339657 0.104467 3.26153e-05 340 30. 0.078292 0.076276 19.4265 26.0433 1 2458301.9426157 449120207 -16.63876064518 53.498058 -0.345969 1.016926 11.2449744501 95.389824 0.118678 1.045221 0.863687201600388 19.7790001869202 0.130999997258186 6.32399988174438 0.60699999332428 2458324.962118 2458367.878391 0
 5 449 2 4 ZTF_g 547479370715 0 2.1019 76.5952 13.8688 26.1315 4.6541e-05 0.0453048 -0.0318137 7.94606e-05 277 30. 0.065276 0.062888 19.3959 26.1315 1 2458301.979375 449120107 148.26003731743 63.505478 2.596975 0.925303 129.37899105146 113.332535 1.149276 1.057258 1.63694221480881 20.0060002326965 0.129999995231628 5.27799987792969 0.578999996185303 2458307.961863 2458351.954491 0
 6 399 16 1 ZTF_g 553461416015 0 2.2334 61.8869 7.14043 25.9214 2.69463e-05 0.0379495 -0.036965 4.21971e-05 347 30. 0.074628 0.07466 19.912 25.9214 1 2458307.961412 399120160 -1.09039757077 35.650356 -0.034023 0.935185 -4.56270193992 62.463375 -0.073538 1.080945 1.66612076313517 20.2250000953674 0.146999999880791 6.40500020980835 0.575999975204468 2458307.961412 2458351.954954 0
 7 449 2 4 ZTF_g 553461860715 0 2.0167 69.5925 7.02174 25.9909 2.16798e-05 0.0331746 -0.013864 3.17736e-05 337 30. 0.069954 0.074001 20.1436 25.9909 1 2458307.9618634 449120107 23.73335457376 30.963720 0.852630 0.989565 -13.46667218801 57.201763 -0.237010 1.051441 1.63694221480881 20.0060002326965 0.129999995231628 5.27799987792969 0.578999996185303 2458307.961863 2458351.954491 0
 8 399 16 1 ZTF_r 558442666015 0 1.9375 117.145 5.10998 25.8718 1.1569e-05 0.0253145 0.107723 1.7047e-05 367 30. 0.063077 0.057899 20.3508 25.8718 1 2458312.942662 399120260 -1.76880258436 23.812702 -0.082628 0.919862 -32.21229732419 45.837116 -0.707489 1.041738 3.03794701704914 19.2029999732971 0.112000003457069 7.67199993133545 0.477999985218048 2458312.942662 2458362.904549 0
