# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v6.0 on 2025-05-19 at 11:20:26
#
# Requested input R.A. = 272.9398785 degrees
# Requested input Dec. = 69.9184329 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460157.5 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 848 9 3 ZTF_r 443391963415 0 3.7172 207.921 6.52603 26.2985 5.178e-06 0.0263709 0.087627 9.15732e-06 879 30. 0.061071 0.066433 19.951 26.2985 2 2458197.8919676 848120234 -92.94812935116 40.935123 -2.525802 1.099288 86.18226051693 60.777943 1.427536 1.043693 0.285534966760987 16.7199996948242 0.0599999986588955 6.44099998474121 0.279000014066696 2458187.019745 2458229.951030 0
 1 848 9 3 ZTF_r 443446113415 0 3.2152 161.556 7.23702 26.01 5.8053e-06 0.0278217 0.0804912 1.02853e-05 872 30. 0.0479 0.059671 19.7526 26.01 2 2458197.9461111 848120234 -23.85954748751 37.455299 -0.708604 0.997439 11.73048749183 60.803898 0.194223 1.031868 0.285534966760987 16.7199996948242 0.0599999986588955 6.44099998474121 0.279000014066696 2458187.019745 2458229.951030 0
 2 848 9 3 ZTF_r 443473703415 0 2.7197 130.176 8.26293 25.7879 1.70954e-05 0.0477561 0.0789755 3.03439e-05 869 30. 0.046669 0.061939 19.4441 25.7879 2 2458197.9737037 848120234 -41.94647508715 39.543568 -1.179979 1.095807 -18.31292738046 65.604126 -0.281023 1.035963 0.285534966760987 16.7199996948242 0.0599999986588955 6.44099998474121 0.279000014066696 2458187.019745 2458229.951030 0
 3 848 9 3 ZTF_r 443493003415 32 2.7339 21.4153 11.123 23.8053 9.60025e-05 0.0565345 0.086059 0.000229286 256 30. 0.047039 0.063971 17.0923 23.8053 2 2458197.9930093 848120234 -33.66078636222 55.825504 -0.670728 0.939463 -67.70158791022 93.397728 -0.729756 1.041435 0.285534966760987 16.7199996948242 0.0599999986588955 6.44099998474121 0.279000014066696 2458187.019745 2458229.951030 0
 4 848 9 3 ZTF_r 443517523415 0 2.4064 20.1954 9.53947 23.6609 0.000225165 0.0923324 0.085388 0.000521802 291 30. 0.04291 0.060958 17.2142 23.6609 2 2458198.0175231 848120234 -41.94429059005 40.145721 -1.162220 1.054213 -155.94268305746 72.197021 -2.174507 1.036875 0.285534966760987 16.7199996948242 0.0599999986588955 6.44099998474121 0.279000014066696 2458187.019745 2458229.951030 0
 5 848 9 3 ZTF_r 444364253415 0 3.7323 206.916 7.06725 26.3089 5.7083e-06 0.0278099 0.0837588 1.01238e-05 876 30. 0.0649 0.067331 19.8591 26.3089 1 2458198.8642593 848120234 34.26599184459 43.185028 0.882643 1.206802 169.32129632735 62.551144 2.725157 1.055983 0.285534966760987 16.7199996948242 0.0599999986588955 6.44099998474121 0.279000014066696 2458187.019745 2458229.951030 0
 6 848 9 3 ZTF_r 444365233415 0 3.9914 206.603 7.11859 26.3125 5.2917e-06 0.0268136 0.079161 9.36801e-06 876 30. 0.064982 0.062505 19.8617 26.3125 2 2458198.8652315 848120234 -53.19942285812 43.765255 -1.352173 1.045602 -14.47096124344 63.582428 -0.229127 1.053308 0.285534966760987 16.7199996948242 0.0599999986588955 6.44099998474121 0.279000014066696 2458187.019745 2458229.951030 0
 7 848 9 3 ZTF_r 444389383415 0 3.0247 209.778 6.87423 26.3059 4.1682e-06 0.0239049 0.0815109 7.40093e-06 885 30. 0.048267 0.054929 20.1631 26.3059 2 2458198.8893866 848120234 -25.76965017647 32.776714 -0.874577 1.074425 6.02324609103 53.697224 0.112926 1.036524 0.285534966760987 16.7199996948242 0.0599999986588955 6.44099998474121 0.279000014066696 2458187.019745 2458229.951030 0
 8 848 9 3 ZTF_r 444401413415 0 2.9032 211.914 6.73252 26.3161 3.5253e-06 0.0219506 0.0824577 6.2639e-06 883 30. 0.04759 0.052971 20.2371 26.3161 2 2458198.901412 848120234 -61.38902247769 30.457178 -2.242105 1.094486 -84.81515604421 51.262035 -1.665685 1.035171 0.285534966760987 16.7199996948242 0.0599999986588955 6.44099998474121 0.279000014066696 2458187.019745 2458229.951030 0
