MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
60067.876022 -20.218  1.179   -30   35 o  0   0.95 167.08317  10.04306  9432.62  1800.49 2.36 2.00 -57.2 -0.416 18.36 18.44 03a60068o0401o
60067.878833  19.152  0.554    79   44 o  0   0.64 167.08317  10.04306  9451.31  1840.32 2.30 2.05 -47.2 -0.424 18.30 18.43 03a60068o0407o
60067.911736  18.897  0.434   100   44 o  0   0.69 167.08317  10.04306  9405.96  1760.75 2.26 2.08 -38.0 -0.429 18.21 18.23 03a60068o0478o
60067.939424  19.459  1.833    60  110 o  0   1.04 167.08317  10.04306  9390.30  1873.07 2.44 2.25 -59.8 -0.418 16.90 16.95 03a60068o0537o
60069.096460  22.318 12.100     4   52 o  0   0.85 167.08317  10.04306  9377.15  1638.85 3.21 2.39 -26.3 -0.331 18.21 18.50 04a60069o0327o
60069.099660 -21.668  4.902    -8   38 o  0   1.10 167.08317  10.04306  9397.23  1675.65 2.95 2.28 -26.6 -0.342 18.22 18.49 04a60069o0334o
60069.105101 -18.898  0.567  -100   57 o  0   0.90 167.08317  10.04306  9342.06  1596.54 2.94 2.27 -22.2 -0.363 18.22 18.47 04a60069o0346o
60069.120273  22.601 13.562     3   45 o  0   1.29 167.08317  10.04306  9327.17  1706.98 2.95 2.31 -26.4 -0.362 18.17 18.41 04a60069o0379o
60070.848635  19.066  0.267    86   23 o  0   1.24 167.08317  10.04306  9007.38  6149.68 2.48 2.14 -51.4 -0.383 18.64 19.16 03a60071o0346o
60070.851805  19.478  0.481    59   28 o  0   1.07 167.08317  10.04306  9025.64  6188.83 2.54 2.16 -57.2 -0.385 18.61 19.15 03a60071o0353o
60070.857776  18.774  0.234   112   26 o  0   0.85 167.08317  10.04306  8970.10  6110.24 2.47 2.07 -54.5 -0.386 18.63 19.13 03a60071o0366o
60070.867803  19.205  0.359    76   27 o  0   0.94 167.08317  10.04306  8949.71  6225.63 2.53 2.14 -51.6 -0.379 18.58 19.08 03a60071o0388o
60072.084636  18.957  0.225    95   21 o  0   1.61 167.08317  10.04306  7100.61  6110.32 2.27 2.01 -25.3 -0.416 18.77 19.47 04a60072o0288o
60072.087799  18.786  0.215   111   24 o  0   1.16 167.08317  10.04306  7121.77  6146.58 2.25 1.96 -24.7 -0.408 18.72 19.46 04a60072o0295o
60072.093434  18.653  0.182   126   23 o  0   1.11 167.08317  10.04306  7066.89  6066.70 2.35 2.06 -22.4 -0.411 18.66 19.43 04a60072o0307o
60072.109407  19.209  0.370    75   28 o  0   0.68 167.08317  10.04306  7052.84  6175.03 2.31 2.05 -27.9 -0.406 18.60 19.37 04a60072o0342o
60073.825056  18.407  0.125   157   20 o  0   0.96 167.08317  10.04306  5155.93  8184.12 2.49 2.13 -35.8 -0.380 19.06 19.97 03a60074o0294o
60073.835181  18.267  0.106   179   19 o  0   1.04 167.08317  10.04306  5174.60  8224.36 2.51 2.16 -43.7 -0.386 18.99 19.85 03a60074o0316o
60073.838795  18.616  0.139   130   18 o  0   1.12 167.08317  10.04306  5118.69  8144.91 2.54 2.14 -39.5 -0.375 18.98 19.83 03a60074o0324o
60073.844713  18.483  0.125   147   18 o  0   1.40 167.08317  10.04306  5097.71  8260.52 2.45 2.09 -41.5 -0.378 18.93 19.71 03a60074o0337o
60075.071156  18.172  0.244   196   48 o  0   0.53 167.08317  10.04306  5231.09  8141.33 2.19 1.89 -65.4 -0.416 17.85 18.96 04a60075o0275o
60075.074348  18.137  0.282   202   57 o  0   0.48 167.08317  10.04306  5251.88  8177.73 2.24 1.95 -69.2 -0.414 18.11 19.30 04a60075o0282o
60075.084310  18.097  0.237   210   50 o  0   0.71 167.08317  10.04306  5199.20  8094.93 2.34 1.98 -72.1 -0.403 17.92 19.07 04a60075o0304o
60075.093827  18.124  0.251   204   51 o  0   0.79 167.08317  10.04306  5182.69  8207.04 2.44 2.10 -68.7 -0.394 17.76 18.91 04a60075o0325o
60082.750815  17.258  0.030   454   14 c  0   1.39 167.08317  10.04306  5559.54  1914.40 2.93 2.76 -69.8 -0.397 19.42 21.40 03a60083o0144c
