MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
60088.464483  22.985  9.556     2   22 o  0   1.82 249.50269  55.40509  2362.21  6916.08 2.15 2.05   7.3 -0.439 18.59 19.73 02a60088o0464o
60088.496260  20.809  0.811    17   14 o  0   0.79 249.50269  55.40509  2334.37  6870.16 2.17 1.85  23.8 -0.430 19.50 20.60 02a60088o0483o
60088.499034  21.154  1.060    12   13 o  0   0.93 249.50269  55.40509  2390.65  6943.53 2.50 1.99  27.3 -0.402 19.42 20.62 02a60088o0489o
60088.504534  22.374  3.056     4   12 o  0   0.83 249.50269  55.40509  2413.55  6824.98 2.26 1.94  25.2 -0.419 19.41 20.55 02a60088o0501o
60090.430827  22.631  3.731     3   12 o  0   1.15 249.50269  55.40509  4913.16  7589.38 2.43 1.91  37.2 -0.431 19.42 20.58 02a60090o0405o
60090.433540 -23.089  5.529    -2   12 o  0   0.97 249.50269  55.40509  4934.91  7628.05 2.42 1.91  36.6 -0.434 19.43 20.59 02a60090o0411o
60090.436715 -21.926  1.771    -6   11 o  0   1.43 249.50269  55.40509  4874.79  7552.02 2.52 1.91  37.0 -0.432 19.43 20.60 02a60090o0418o
60090.441706  21.632  1.615     8   13 o  0   1.30 249.50269  55.40509  4855.91  7667.83 2.44 1.91  36.2 -0.432 19.43 20.54 02a60090o0429o
60092.465826 -21.487  2.424    -9   22 o  0   0.93 249.50269  55.40509  3060.62   582.57 1.83 1.74  87.0 -0.485 18.71 19.47 02a60092o0446o
60092.469083  23.036  8.412     2   19 o  0   0.85 249.50269  55.40509  3037.91   543.18 1.84 1.75  89.6 -0.467 18.86 19.65 02a60092o0453o
60092.474139 -20.341  0.538   -26   14 o  0   0.96 249.50269  55.40509  3101.05   617.90 1.83 1.74  66.4 -0.475 18.97 19.93 02a60092o0464o
60092.509660  22.654  3.265     3   10 o  0   1.42 249.50269  55.40509  3129.39   497.73 1.87 1.76  88.2 -0.463 19.51 20.69 02a60092o0537o
60096.410299  19.307  0.294    69   20 o  0   1.19 249.50269  55.40509  3585.67  1370.03 1.95 1.86  57.7 -0.476 18.74 19.23 02a60096o0363o
60096.413296  19.722  0.489    47   23 o  0   1.92 249.50269  55.40509  3605.21  1411.06 1.99 1.90  50.1 -0.462 18.52 19.10 02a60096o0369o
60096.417382  19.406  0.249    63   16 o  0   1.51 249.50269  55.40509  3549.56  1332.22 1.98 1.87  49.1 -0.475 18.89 19.50 02a60096o0378o
60096.427466  19.741  0.659    46   30 o  0   0.83 249.50269  55.40509  3531.65  1448.93 2.03 1.89  40.0 -0.462 18.44 19.02 02a60096o0399o
60098.426541  18.593  0.638   133   85 o  0   1.45 249.50269  55.40509   984.33  5442.72 2.16 1.84  14.7 -0.462 17.28 17.16 02a60098o0395o
60098.429280  18.117  0.538   206  111 o  0   1.53 249.50269  55.40509   965.62  5403.71 2.14 1.82  16.5 -0.447 16.92 16.75 02a60098o0401o
60098.463130  18.386  0.372   160   60 o  0   0.84 249.50269  55.40509  1024.65  5473.31 2.17 1.80  20.3 -0.457 17.75 17.76 02a60098o0471o
60098.470409  17.998  0.271   230   62 o  0   0.75 249.50269  55.40509  1044.53  5354.55 2.15 1.82  20.5 -0.445 17.88 17.91 02a60098o0487o
60100.427864  17.932  0.071   244   17 o  0   1.01 249.50269  55.40509  4983.32   947.32 1.93 1.85 -70.1 -0.465 18.92 19.44 02a60100o0390o
60100.465154  17.938  0.073   242   18 o  0   1.29 249.50269  55.40509  4962.07   905.10 1.88 1.80 -78.4 -0.475 18.92 19.41 02a60100o0464o
60100.467949  17.810  0.075   273   21 o  0   1.20 249.50269  55.40509  5027.39   983.97 1.93 1.85 -77.8 -0.474 18.90 19.40 02a60100o0470o
60100.472976  17.912  0.084   248   21 o  0   1.25 249.50269  55.40509  5047.83   864.80 1.95 1.84 -72.0 -0.470 18.91 19.41 02a60100o0481o
60102.411599  17.203  0.036   477   17 o  0   1.04 249.50269  55.40509   327.11  7143.77 2.01 1.84  -7.0 -0.419 19.27 20.02 02a60102o0361o
60102.414517  17.241  0.039   461   18 o  0   1.22 249.50269  55.40509   307.86  7106.05 2.10 1.89   2.1 -0.415 19.22 20.03 02a60102o0367o
60102.420979  17.323  0.043   427   19 o  0   0.78 249.50269  55.40509   363.74  7175.81 2.05 1.84  -8.4 -0.412 19.25 20.02 02a60102o0381o
60102.431019  17.326  0.036   426   16 o  0   1.36 249.50269  55.40509   384.50  7056.11 2.08 1.91  -8.0 -0.412 19.20 20.00 02a60102o0403o
60102.434202  17.366  0.045   411   18 o  0   1.02 249.50269  55.40509  9779.60  7090.89 2.15 2.08  81.6 -0.451 19.25 20.01 02a60102o0410o
60102.469737  17.429  0.042   388   16 o  0   1.20 249.50269  55.40509  9758.09  7048.37 2.09 2.04 -46.9 -0.461 19.21 19.96 02a60102o0483o
