# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v6.0 on 2025-05-19 at 11:10:26
#
# Requested input R.A. = 229.277482802 degrees
# Requested input Dec. = 11.3640722518 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460157.5 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 531 6 2 ZTF_r 444437072115 0 2.0028 184.575 5.79319 26.2706 2.7591e-06 0.0196486 0.11411 5.16316e-06 782 30. 0.042892 0.044469 20.6021 26.2706 1 2458198.9370718 531120221 -20.63006968011 28.212074 -0.813431 0.933140 -51.87465421923 51.165890 -1.020681 1.055591 1.95622512592409 18.8400000572205 0.136000007390976 8.92199993133545 0.855000019073486 2458161.041343 2458232.856736 0
 1 531 6 2 ZTF_r 444479162115 0 1.6938 181.077 5.77444 26.247 3.0168e-06 0.0204959 0.111412 5.61277e-06 781 30. 0.04563 0.049816 20.6487 26.247 1 2458198.9791667 531120221 -27.65612703486 24.011267 -1.281242 1.043463 -91.54952369065 44.502182 -2.071047 1.051002 1.95622512592409 18.8400000572205 0.136000007390976 8.92199993133545 0.855000019073486 2458161.041343 2458232.856736 0
 2 531 6 2 ZTF_g 450421052115 0 2.8103 131.822 7.88628 26.2502 9.2032e-06 0.0340217 -0.048362 1.98559e-05 705 30. 0.059583 0.053554 19.9259 26.2502 1 2458204.9210532 531120121 -46.96707061122 47.966213 -1.089213 0.884259 -117.12249724244 73.425186 -1.605870 1.082525 1.65194623577868 19.3989998817444 0.0979999974370003 4.95900011062622 0.58899998664856 2458204.921053 2458334.676528 0
 3 531 6 2 ZTF_g 450441282115 0 2.8971 132.969 7.18086 26.2574 9.4138e-06 0.0350697 -0.0444853 1.96332e-05 730 30. 0.064567 0.06 20.0053 26.2574 1 2458204.9412847 531120121 -50.543599383 40.673023 -1.382339 1.013917 -55.6317867157 61.366470 -0.912656 1.087794 1.65194623577868 19.3989998817444 0.0979999974370003 4.95900011062622 0.58899998664856 2458204.921053 2458334.676528 0
 4 531 6 2 ZTF_g 453386752115 0 1.9569 133.556 15.3361 26.232 1.31895e-05 0.0386425 -0.0255698 3.10016e-05 636 30. 0.046329 0.043762 19.4713 26.232 1 2458207.8867593 531120121 23.72190439287 68.178642 0.387040 0.892741 -69.23816795521 122.181107 -0.570501 1.070436 1.65194623577868 19.3989998817444 0.0979999974370003 4.95900011062622 0.58899998664856 2458204.921053 2458334.676528 0
 5 531 6 2 ZTF_g 453406372115 0 1.9247 134.065 14.9685 26.249 1.14421e-05 0.0360337 -0.0248137 2.67179e-05 638 30. 0.047613 0.046043 19.5475 26.249 1 2458207.9063773 531120121 -8.86176937724 65.952225 -0.149467 1.008227 144.12330028049 117.034744 1.239751 1.076860 1.65194623577868 19.3989998817444 0.0979999974370003 4.95900011062622 0.58899998664856 2458204.921053 2458334.676528 0
 6 531 6 2 ZTF_g 456388902115 0 2.3121 120.203 21.8719 26.1147 2.456e-05 0.0390543 -0.0234113 7.01587e-05 398 30. 0.055599 0.051843 18.83 26.1147 1 2458210.8889005 531120121 118.50415279168 114.304680 1.153252 0.953944 133.54156885049 184.256516 0.729640 1.096713 1.65194623577868 19.3989998817444 0.0979999974370003 4.95900011062622 0.58899998664856 2458204.921053 2458334.676528 0
 7 531 6 2 ZTF_g 456408132115 0 2.2695 125.401 21.2321 26.1678 2.1728e-05 0.0387303 -0.0281948 5.8719e-05 429 30. 0.053951 0.0548 18.9516 26.1678 1 2458210.9081366 531120121 79.5996672277 112.501396 0.787060 0.928711 328.71249443752 181.921951 1.819057 1.100850 1.65194623577868 19.3989998817444 0.0979999974370003 4.95900011062622 0.58899998664856 2458204.921053 2458334.676528 0
 8 531 6 2 ZTF_i 460393962115 48 2.5312 9.88208 15.2512 22.1933 0.0015829 0.0575008 0.294503 0.0116264 12 30. 0.091899 0.075644 15.1905 22.1933 2 2458214.8939699 531120321 153.29150408571 82.859268 2.057936 0.983624 145.45896947164 133.645737 1.095722 1.105553 4.20054953382858 18.1039997673035 0.0820000022649765 6.8270001411438 0.349000006914139 2458173.984468 2458332.659340 0
 9 531 6 2 ZTF_r 463397952115 0 1.9042 176.575 5.59231 26.2198 3.1438e-06 0.0209543 0.114536 5.86134e-06 784 30. 0.04758 0.049126 20.7208 26.2198 1 2458217.8979514 531120221 8.09549094512 23.388325 0.385034 1.015707 44.77455877058 41.944912 1.074650 1.066528 1.95622512592409 18.8400000572205 0.136000007390976 8.92199993133545 0.855000019073486 2458161.041343 2458232.856736 0
 10 531 6 2 ZTF_r 463451012115 0 2.0806 176.492 6.30404 26.2199 3.0499e-06 0.020602 0.114693 5.69336e-06 781 30. 0.048891 0.046472 20.4876 26.2199 1 2458217.9510185 531120221 -31.17432164334 28.540932 -1.215021 0.901942 -20.23058981364 50.246449 -0.405339 1.065544 1.95622512592409 18.8400000572205 0.136000007390976 8.92199993133545 0.855000019073486 2458161.041343 2458232.856736 0
 11 531 6 2 ZTF_r 464426662115 0 2.4525 173.991 5.92137 26.2003 4.3868e-06 0.0247395 0.120298 8.11962e-06 781 30. 0.049696 0.049835 20.4461 26.2003 2 2458218.9266667 531120221 84.61036599104 28.006798 3.360585 1.144924 79.85182635523 45.777393 1.756099 1.084493 1.95622512592409 18.8400000572205 0.136000007390976 8.92199993133545 0.855000019073486 2458161.041343 2458232.856736 0
 12 531 6 2 ZTF_r 465419232115 0 3.7509 178.205 5.67304 26.2454 5.3092e-06 0.0272002 0.128283 9.8759e-06 779 30. 0.06524 0.064666 20.1482 26.2454 2 2458219.9192361 531120221 63.14210117778 38.258987 1.835863 0.946374 142.01688113463 54.906670 2.603935 1.133028 1.95622512592409 18.8400000572205 0.136000007390976 8.92199993133545 0.855000019073486 2458161.041343 2458232.856736 0
 13 531 6 2 ZTF_r 468390272115 0 2.466 175.164 5.87342 26.2143 3.7525e-06 0.0229604 0.114302 7.0099e-06 783 30. 0.056936 0.052227 20.3926 26.2143 1 2458222.8902778 531120221 48.56010658118 30.466280 1.773026 0.951365 71.79686200358 49.658836 1.455540 1.080789 1.95622512592409 18.8400000572205 0.136000007390976 8.92199993133545 0.855000019073486 2458161.041343 2458232.856736 0
 14 531 6 2 ZTF_r 468414322115 0 2.6824 173.437 5.92311 26.2107 4.3311e-06 0.0246633 0.118546 8.08963e-06 782 30. 0.058592 0.052765 20.2724 26.2107 1 2458222.9143287 531120221 -10.01532858021 32.761311 -0.340062 0.978744 -1.86611560404 51.233711 -0.036669 1.092798 1.95622512592409 18.8400000572205 0.136000007390976 8.92199993133545 0.855000019073486 2458161.041343 2458232.856736 0
 15 531 6 2 ZTF_r 468512812115 0 2.4194 169.422 8.5444 26.179 4.5098e-06 0.0252155 0.112908 8.41847e-06 784 30. 0.056035 0.053286 19.9275 26.179 2 2458223.0128125 531120221 -59.79270526723 42.059242 -1.581399 1.013559 -150.62977182032 69.125793 -2.193744 1.078097 1.95622512592409 18.8400000572205 0.136000007390976 8.92199993133545 0.855000019073486 2458161.041343 2458232.856736 0
 16 531 6 2 ZTF_r 472355272115 0 1.9554 176.107 5.62662 26.2187 3.2395e-06 0.0213087 0.114599 6.01393e-06 785 30. 0.047916 0.045684 20.7015 26.2187 1 2458226.8552778 531120221 -26.0722335898 24.920677 -1.163786 0.954853 -34.63053435863 44.045715 -0.791536 1.068911 1.95622512592409 18.8400000572205 0.136000007390976 8.92199993133545 0.855000019073486 2458161.041343 2458232.856736 0
 17 531 6 2 ZTF_r 472376562115 0 2.4613 177.079 5.72092 26.2226 3.1216e-06 0.0209326 0.119604 5.81952e-06 785 30. 0.053625 0.049433 20.4617 26.2226 1 2458226.8765625 531120221 -24.11974086946 28.177780 -0.952183 0.986962 -20.84352168224 46.159538 -0.454595 1.084950 1.95622512592409 18.8400000572205 0.136000007390976 8.92199993133545 0.855000019073486 2458161.041343 2458232.856736 0
 18 531 6 2 ZTF_i 474507402115 0 2.6059 242.028 7.29815 25.6768 2.1901e-06 0.0253408 0.192505 1.33984e-05 791 30. 0.060371 0.06192 19.4986 25.6768 2 2458229.0074074 531120321 0.17408284359 36.370598 0.005324 1.092512 71.44255925299 58.614544 1.227063 1.069447 4.20054953382858 18.1039997673035 0.0820000022649765 6.8270001411438 0.349000006914139 2458173.984468 2458332.659340 0
 19 531 6 2 ZTF_g 475335632115 0 2.5005 129.947 4.44405 26.2593 5.6792e-06 0.0280823 -0.106814 1.0624e-05 785 30. 0.058581 0.052238 20.6373 26.2593 1 2458229.8356366 531120121 32.2448762493 24.079592 1.489589 0.993659 76.47847407691 40.238396 1.913435 1.058445 1.65194623577868 19.3989998817444 0.0979999974370003 4.95900011062622 0.58899998664856 2458204.921053 2458334.676528 0
 20 531 6 2 ZTF_r 475378202115 0 2.1304 177.909 5.4461 26.2404 2.8718e-06 0.02007 0.111923 5.35376e-06 788 30. 0.05775 0.051951 20.5986 26.2404 1 2458229.878206 531120221 18.37227596013 26.747698 0.764067 0.925812 -50.79892233536 46.478184 -1.100324 1.061794 1.95622512592409 18.8400000572205 0.136000007390976 8.92199993133545 0.855000019073486 2458161.041343 2458232.856736 0
 21 531 6 2 ZTF_g 478272212115 0 3.2139 117.041 8.41743 26.1297 1.26914e-05 0.0371294 -0.0621141 3.04386e-05 616 30. 0.061108 0.057417 19.6143 26.1297 1 2458232.7722106 531120121 37.42338484357 52.026031 0.800161 1.041769 56.0929706156 73.463402 0.768692 1.109700 1.65194623577868 19.3989998817444 0.0979999974370003 4.95900011062622 0.58899998664856 2458204.921053 2458334.676528 0
 22 531 6 2 ZTF_i 478335192115 0 1.9183 252.257 6.25981 25.6869 1.3404e-06 0.0199397 0.201197 7.97666e-06 792 30. 0.049345 0.05543 20.0322 25.6869 2 2458232.8351968 531120321 -59.58865525869 26.567846 -2.494951 0.904760 -112.33365934123 48.413235 -2.335936 1.046611 4.20054953382858 18.1039997673035 0.0820000022649765 6.8270001411438 0.349000006914139 2458173.984468 2458332.659340 0
 23 531 6 2 ZTF_r 478356732115 0 2.5979 175.281 7.23787 26.2169 5.2154e-06 0.0271403 0.128437 9.73506e-06 784 30. 0.057317 0.059908 20.0477 26.2169 1 2458232.8567361 531120221 -4.88062589507 45.042381 -0.120534 0.884707 -21.72694577018 68.390076 -0.319831 1.118410 1.95622512592409 18.8400000572205 0.136000007390976 8.92199993133545 0.855000019073486 2458161.041343 2458232.856736 0
 24 531 6 2 ZTF_g 481299062115 0 2.1946 133.377 12.9702 26.2424 1.12607e-05 0.0358071 -0.0167647 2.66327e-05 641 30. 0.049584 0.050143 19.5922 26.2424 1 2458235.7990625 531120121 -22.66141735194 66.356445 -0.379891 1.236998 -30.47928625346 109.118393 -0.281204 1.100393 1.65194623577868 19.3989998817444 0.0979999974370003 4.95900011062622 0.58899998664856 2458204.921053 2458334.676528 0
 25 531 6 2 ZTF_g 482290932115 0 2.5529 126.535 17.4964 26.1955 1.94759e-05 0.0391419 -0.0269991 5.10975e-05 479 30. 0.05738 0.055892 19.0969 26.1955 2 2458236.7909375 531120121 32.97662074887 101.336853 0.361988 0.892330 83.05908428852 157.543304 0.530765 1.116880 1.65194623577868 19.3989998817444 0.0979999974370003 4.95900011062622 0.58899998664856 2458204.921053 2458334.676528 0
 26 531 6 2 ZTF_g 482331682115 0 2.8892 129.591 16.98 26.2094 2.15595e-05 0.0396811 -0.0181044 5.74407e-05 436 30. 0.05851 0.05916 19.051 26.2094 1 2458236.8316898 531120121 -65.71720883351 104.167145 -0.701783 1.002534 -117.67570932722 152.203049 -0.778357 1.150207 1.65194623577868 19.3989998817444 0.0979999974370003 4.95900011062622 0.58899998664856 2458204.921053 2458334.676528 0
 27 531 6 2 ZTF_g 482332142115 0 2.814 128.823 16.9526 26.2073 1.84094e-05 0.0369624 -0.00536656 4.84006e-05 454 30. 0.057429 0.058794 19.0947 26.2073 1 2458236.8321412 531120121 -13.53003158921 107.165825 -0.140442 0.946144 111.18112075492 159.586090 0.701376 1.147556 1.65194623577868 19.3989998817444 0.0979999974370003 4.95900011062622 0.58899998664856 2458204.921053 2458334.676528 0
 28 1526 15 2 ZTF_g 482332605715 0 2.5003 190.348 16.7139 26.2149 2.22869e-05 0.0388911 -0.0169778 5.85212e-05 413 30. 0.060373 0.061561 19.2017 26.2149 2 2458236.8326042 1526120157 22.09869719177 109.456215 0.224585 0.909944 8.64558051779 165.462784 0.052603 1.196692 0.863417642283401 19.7050001144409 0.112999998033047 4.54899978637695 0.356000006198883 2458236.832604 2459710.807130 0
 29 1526 15 2 ZTF_g 482333055715 0 2.6542 192.152 16.8153 26.2094 2.40652e-05 0.0391308 -0.00459123 6.46216e-05 390 30. 0.062921 0.056893 19.1308 26.2094 2 2458236.8330556 1526120157 74.08463550672 104.951630 0.785224 0.998823 217.97599612487 155.902008 1.407577 1.202356 0.863417642283401 19.7050001144409 0.112999998033047 4.54899978637695 0.356000006198883 2458236.832604 2459710.807130 0
 30 531 6 2 ZTF_g 483313812115 1 2.4693 113.549 26.4524 26.0634 3.61386e-05 0.0402635 -0.0130112 0.000101695 302 30. 0.059427 0.056823 18.5449 26.0634 2 2458237.8138194 531120121 -74.46122033251 144.359207 -0.573773 1.028939 -100.26657087632 227.702850 -0.443305 1.109211 1.65194623577868 19.3989998817444 0.0979999974370003 4.95900011062622 0.58899998664856 2458204.921053 2458334.676528 0
 31 531 6 2 ZTF_g 489253792115 0 2.5811 127.921 4.43895 26.2347 5.5418e-06 0.0279534 -0.114745 1.02081e-05 788 30. 0.055807 0.04786 20.6612 26.2347 1 2458243.7537963 531120121 22.82170999573 22.833012 1.111834 0.915493 5.94301544902 40.016010 0.149516 1.047467 1.65194623577868 19.3989998817444 0.0979999974370003 4.95900011062622 0.58899998664856 2458204.921053 2458334.676528 0
 32 531 6 2 ZTF_r 489295722115 0 2.1855 185.213 6.94811 26.2322 3.3466e-06 0.0217796 0.114344 6.18303e-06 790 30. 0.049259 0.052148 20.2804 26.275 1 2458243.7957292 531120221 -23.15451138664 35.688232 -0.721714 0.934623 -104.59897885929 62.143078 -1.694532 1.056723 1.95622512592409 18.8400000572205 0.136000007390976 8.92199993133545 0.855000019073486 2458161.041343 2458232.856736 0
 33 531 6 2 ZTF_r 492253272115 0 2.9275 176.732 5.94712 26.2145 5.6119e-06 0.0282206 0.127948 1.0312e-05 791 30. 0.065363 0.062703 20.1484 26.2145 1 2458246.7532755 531120221 47.326365547 37.247044 1.413403 0.991945 55.89128795989 54.875378 1.025373 1.120312 1.95622512592409 18.8400000572205 0.136000007390976 8.92199993133545 0.855000019073486 2458161.041343 2458232.856736 0
 34 531 6 2 ZTF_g 492313772115 0 2.7996 132.015 4.32964 26.2285 6.1603e-06 0.0293822 -0.0239364 1.17101e-05 777 30. 0.05979 0.054155 20.6673 26.2285 1 2458246.8137731 531120121 -16.21435241333 25.790304 -0.699355 0.932805 -8.2299905402 39.788342 -0.208237 1.115290 1.65194623577868 19.3989998817444 0.0979999974370003 4.95900011062622 0.58899998664856 2458204.921053 2458334.676528 0
 35 531 6 2 ZTF_r 495274462115 8 7.484 184.978 5.91283 26.1003 8.4038e-06 0.0340794 0.133528 1.54918e-05 775 30. 0.08098 0.081365 19.7921 26.275 1 2458249.7744676 531120221 98.51044419723 51.070740 2.145680 0.970156 160.39999778631 64.708145 2.495517 1.254842 1.95622512592409 18.8400000572205 0.136000007390976 8.92199993133545 0.855000019073486 2458161.041343 2458232.856736 0
 36 531 6 2 ZTF_i 495313802115 0 9.258 243.594 6.35352 25.6716 3.4118e-06 0.0309365 0.20075 2.06656e-05 758 30. 0.074724 0.074775 19.3782 25.6716 2 2458249.8138079 531120321 80.28333211476 44.480091 2.007773 0.892272 96.45091454127 60.983299 1.592248 1.148774 4.20054953382858 18.1039997673035 0.0820000022649765 6.8270001411438 0.349000006914139 2458173.984468 2458332.659340 0
 37 531 6 2 ZTF_g 495336792115 0 3.5074 128.767 3.72409 26.2078 8.5599e-06 0.0342268 -0.0181459 1.68774e-05 759 30. 0.072828 0.068556 20.4352 26.2078 1 2458249.836794 531120121 3.29574717889 28.137480 0.130294 0.982585 56.90489326981 37.858337 1.513224 1.214427 1.65194623577868 19.3989998817444 0.0979999974370003 4.95900011062622 0.58899998664856 2458204.921053 2458334.676528 0
 38 531 6 2 ZTF_r 501293142115 0 9.7184 178.074 5.44508 26.2347 3.5937e-06 0.0225711 0.127676 6.69109e-06 796 30. 0.058048 0.056882 20.3126 26.2347 1 2458255.7931481 531120221 26.39853992246 31.121828 0.943560 1.076680 93.8926674824 47.224056 2.001629 1.108371 1.95622512592409 18.8400000572205 0.136000007390976 8.92199993133545 0.855000019073486 2458161.041343 2458232.856736 0
 39 531 6 2 ZTF_g 501337012115 0 2.1159 129.409 4.36364 26.2246 4.4702e-06 0.025126 -0.0450565 8.39899e-06 790 30. 0.055585 0.047589 20.8616 26.2246 1 2458255.8370139 531120121 10.59517771476 19.251837 0.612197 1.022928 -26.52542672487 33.299187 -0.801944 1.075452 1.65194623577868 19.3989998817444 0.0979999974370003 4.95900011062622 0.58899998664856 2458204.921053 2458334.676528 0
 40 531 6 2 ZTF_i 501483402115 0 3.8892 231.95 8.37165 25.6489 4.6398e-06 0.0359015 0.174949 2.78926e-05 761 30. 0.071721 0.078477 18.9277 25.6489 2 2458255.9834028 531120321 86.51682964944 52.536415 1.831871 0.917854 132.58742407048 72.291298 1.846424 1.088361 4.20054953382858 18.1039997673035 0.0820000022649765 6.8270001411438 0.349000006914139 2458173.984468 2458332.659340 0
 41 531 6 2 ZTF_r 504252032115 0 2.5109 166.904 5.30355 26.1645 4.2668e-06 0.0246196 0.12368 7.89227e-06 797 30. 0.059208 0.057804 20.3532 26.1645 1 2458258.752037 531120221 29.64223494041 30.274609 1.089149 1.047339 88.12368292531 47.997517 1.848371 1.091327 1.95622512592409 18.8400000572205 0.136000007390976 8.92199993133545 0.855000019073486 2458161.041343 2458232.856736 0
 42 531 6 2 ZTF_g 504293362115 0 2.6677 123.73 3.9779 26.1677 1.24269e-05 0.0419638 -0.0173695 2.33818e-05 787 30. 0.085361 0.067335 20.7207 26.1677 1 2458258.7933681 531120121 -17.14018183899 22.032095 -0.865395 1.002781 -29.28471873443 34.525570 -0.853916 1.100162 1.65194623577868 19.3989998817444 0.0979999974370003 4.95900011062622 0.58899998664856 2458204.921053 2458334.676528 0
 43 531 6 2 ZTF_i 507272772115 0 2.3325 237.06 7.06777 25.6408 2.1851e-06 0.0254187 0.200948 1.32502e-05 801 30. 0.060416 0.059449 19.6838 25.6408 2 2458261.7727778 531120321 -7.84023470641 32.086113 -0.271811 1.023217 68.82850406508 53.636524 1.291882 1.066712 4.20054953382858 18.1039997673035 0.0820000022649765 6.8270001411438 0.349000006914139 2458173.984468 2458332.659340 0
 44 531 6 2 ZTF_r 507295702115 0 4.7453 171.854 7.589 26.2431 1.00424e-05 0.0347478 0.125527 1.87307e-05 677 30. 0.074172 0.080408 19.6545 26.2431 1 2458261.795706 531120221 64.95587024154 55.604198 1.299468 0.988152 165.26911996827 75.303497 2.209489 1.182319 1.95622512592409 18.8400000572205 0.136000007390976 8.92199993133545 0.855000019073486 2458161.041343 2458232.856736 0
 45 531 6 2 ZTF_g 513215492115 0 2.8043 123.519 21.0239 26.1774 2.73254e-05 0.0409127 -0.00134379 7.6318e-05 392 30. 0.064082 0.059482 18.8364 26.1774 1 2458267.7154977 531120121 52.19346553945 126.270370 0.459801 0.990115 150.18137579336 191.745743 0.788507 1.119971 1.65194623577868 19.3989998817444 0.0979999974370003 4.95900011062622 0.58899998664856 2458204.921053 2458334.676528 0
 46 531 6 2 ZTF_r 516299012115 0 1.9437 183.371 10.7281 26.2202 3.5552e-06 0.0222396 0.110187 6.70003e-06 786 30. 0.049434 0.047553 19.9379 26.275 1 2458270.7990162 531120221 18.18642020542 46.535988 0.434723 1.019282 -4.22587151223 85.402603 -0.049815 1.054861 1.95622512592409 18.8400000572205 0.136000007390976 8.92199993133545 0.855000019073486 2458161.041343 2458232.856736 0
 47 531 6 2 ZTF_i 518335902115 0 2.1668 242.858 7.28482 25.673 1.6402e-06 0.0217052 0.18454 1.01381e-05 785 30. 0.053396 0.051385 19.75 25.673 2 2458272.8359028 531120321 -60.92071124795 29.567196 -2.291974 0.923851 -108.37797112893 54.331074 -2.008204 1.040208 4.20054953382858 18.1039997673035 0.0820000022649765 6.8270001411438 0.349000006914139 2458173.984468 2458332.659340 0
 48 531 6 2 ZTF_g 519272552115 0 2.0194 130.22 4.31775 26.2217 4.2832e-06 0.0244033 -0.0450641 8.12379e-06 781 30. 0.049485 0.047259 20.8486 26.2217 1 2458273.7725579 531120121 18.19791623378 21.768450 0.929927 0.951340 51.44065026086 38.757626 1.336179 1.070518 1.65194623577868 19.3989998817444 0.0979999974370003 4.95900011062622 0.58899998664856 2458204.921053 2458334.676528 0
 49 531 6 2 ZTF_r 519316652115 0 2.2835 176.407 6.67492 26.2298 3.4976e-06 0.0220102 0.117827 6.55677e-06 785 30. 0.05202 0.052375 20.3688 26.2298 1 2458273.8166551 531120221 -4.15437320323 30.655474 -0.150748 0.983573 75.8735472936 53.749786 1.421114 1.065077 1.95622512592409 18.8400000572205 0.136000007390976 8.92199993133545 0.855000019073486 2458161.041343 2458232.856736 0
 50 531 6 2 ZTF_g 522254622115 0 2.0557 131.132 4.1332 26.2431 3.4964e-06 0.0222201 -0.0724877 6.50143e-06 782 30. 0.046499 0.048624 20.9382 26.2431 1 2458276.7546296 531120121 -19.03965151079 18.983053 -1.115701 1.011960 -46.45267953071 34.048691 -1.373490 1.058171 1.65194623577868 19.3989998817444 0.0979999974370003 4.95900011062622 0.58899998664856 2458204.921053 2458334.676528 0
 51 531 6 2 ZTF_r 522275692115 0 1.6365 185.128 5.35933 26.2342 2.767e-06 0.0197802 0.113231 5.14361e-06 786 30. 0.046658 0.045937 20.77 26.275 1 2458276.7756944 531120221 -51.33965260049 22.154219 -2.577812 0.990864 -144.64428144239 42.230663 -3.448169 1.050711 1.95622512592409 18.8400000572205 0.136000007390976 8.92199993133545 0.855000019073486 2458161.041343 2458232.856736 0
 52 531 6 2 ZTF_i 524185532115 0 1.88 244.533 6.08271 25.6563 1.4202e-06 0.020396 0.194254 8.46509e-06 791 30. 0.055571 0.058089 20.0399 25.6563 2 2458278.6855324 531120321 -8.65637540855 25.352133 -0.379819 0.889051 -86.38310183907 46.355789 -1.876031 1.046931 4.20054953382858 18.1039997673035 0.0820000022649765 6.8270001411438 0.349000006914139 2458173.984468 2458332.659340 0
 53 531 6 2 ZTF_r 525253202115 0 1.579 185.119 5.66576 26.2319 3.2379e-06 0.0212939 0.106662 6.05705e-06 783 30. 0.049799 0.048457 20.7349 26.275 1 2458279.753206 531120221 9.27688225929 22.918781 0.450262 0.973091 15.4018377367 44.028534 0.352171 1.045908 1.95622512592409 18.8400000572205 0.136000007390976 8.92199993133545 0.855000019073486 2458161.041343 2458232.856736 0
 54 531 6 2 ZTF_i 528169612115 0 2.713 244.857 8.83627 25.6986 2.7943e-06 0.0287496 0.171875 1.70212e-05 801 30. 0.06016 0.056812 19.3051 25.6986 2 2458282.6696181 531120321 -13.82606690506 38.094608 -0.403729 1.009725 29.33822933744 64.237267 0.459793 1.045117 4.20054953382858 18.1039997673035 0.0820000022649765 6.8270001411438 0.349000006914139 2458173.984468 2458332.659340 0
 55 531 6 2 ZTF_r 528210352115 0 1.7912 183.52 5.67715 26.2302 3.2908e-06 0.0215504 0.109027 6.14221e-06 795 30. 0.051152 0.053762 20.6922 26.275 1 2458282.7103588 531120221 11.3533078828 26.020758 0.485352 0.956237 15.82635359795 48.329708 0.329672 1.056378 1.95622512592409 18.8400000572205 0.136000007390976 8.92199993133545 0.855000019073486 2458161.041343 2458232.856736 0
