MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
60100.894811  18.810  1.169   109  127 o  0   0.92 225.11517   6.45456   515.43  2645.97 2.70 2.43 -28.3 -0.384 16.49 16.62 03a60101o0460o
60105.136852  22.033  2.161     6   12 c  0   1.41 225.11517   6.45456  4855.46  3026.53 2.50 2.42  -6.9 -0.373 19.35 21.52 04a60105o0031c
60105.139587  21.070  0.833    14   11 c  0   1.43 225.11517   6.45456  4876.49  3062.81 2.55 2.49   1.4 -0.367 19.32 21.50 04a60105o0037c
60105.147034  20.272  0.376    28   11 c  0   1.42 225.11517   6.45456  4823.65  2978.93 2.39 2.30   3.8 -0.373 19.35 21.47 04a60105o0053c
60105.156822  19.714  0.240    47   11 c  0   1.68 225.11517   6.45456  4809.10  3088.03 2.38 2.27  -5.9 -0.371 19.35 21.46 04a60105o0074c
60108.126119  18.623  0.085   129   11 c  0   1.46 225.11517   6.45456  3333.11   500.09 2.75 2.13  52.1 -0.377 19.51 21.64 04a60108o0406c
60108.128852  18.569  0.092   136   12 c  0   1.48 225.11517   6.45456  3354.57   536.21 2.69 2.14  51.9 -0.378 19.50 21.63 04a60108o0412c
60108.133870  18.501  0.078   144   11 c  0   1.72 225.11517   6.45456  3298.76   453.61 2.71 2.14  51.5 -0.381 19.50 21.62 04a60108o0423c
60108.149946  18.438  0.073   153   11 c  0   1.85 225.11517   6.45456  3288.87   558.74 2.69 2.10  50.0 -0.379 19.52 21.57 04a60108o0458c
60111.097990  18.518  0.196   142   28 c  0   2.96 225.11517   6.45456   799.75 10527.52 3.13 2.36 -82.6 -0.351 19.43 21.32 04a60111o0348c
60111.102541  17.805  0.050   274   14 c  0   1.70 225.11517   6.45456  7193.70   305.83 2.85 2.56 -10.5 -0.354 19.43 21.37 04a60111o0358c
60111.105717  17.783  0.052   280   14 c  0   1.37 225.11517   6.45456  7214.98   341.01 2.85 2.49 -20.1 -0.344 19.43 21.38 04a60111o0365c
60111.107529  17.862  0.071   260   18 c  0   2.62 225.11517   6.45456   769.22 10478.37 3.20 2.41 -80.0 -0.327 19.41 21.36 04a60111o0369c
60111.111165  17.622  0.037   324   12 c  0   1.81 225.11517   6.45456  7161.80   258.40 2.82 2.58  -5.5 -0.346 19.47 21.42 04a60111o0377c
60111.120952  17.813  0.042   272   12 c  0   2.16 225.11517   6.45456  7145.54   368.18 2.76 2.49  -9.5 -0.354 19.50 21.49 04a60111o0398c
60118.845393  17.041  0.032   554   18 o  0   1.55 225.11517   6.45456  8902.17  8748.17 3.43 2.48 -13.5 -0.414 19.22 20.80 03a60119o0325o
60118.848369  16.977  0.034   588   20 o  0   1.46 225.11517   6.45456  8921.96  8787.51 3.50 2.81 -16.5 -0.407 19.14 20.82 03a60119o0331o
60118.853875  17.005  0.032   573   18 o  0   1.36 225.11517   6.45456  8864.16  8708.28 3.43 2.56 -13.8 -0.412 19.21 20.84 03a60119o0342o
60118.864453  17.181  0.031   487   15 o  0   1.86 225.11517   6.45456  8843.35  8824.64 2.87 2.32 -32.3 -0.399 19.33 20.83 03a60119o0363o
60123.053655  17.121  0.044   515   23 o  0   1.57 225.11517   6.45456  6761.40  2951.69 2.22 1.94 -21.5 -0.415 18.63 19.28 04a60123o0250o
60123.058627  17.122  0.046   514   24 o  0   1.63 225.11517   6.45456  6784.44  2984.70 2.30 2.05 -20.4 -0.405 18.59 19.35 04a60123o0260o
60123.061380  17.148  0.055   502   28 o  0   1.04 225.11517   6.45456  6728.65  2904.59 2.24 1.95 -16.1 -0.409 18.63 19.31 04a60123o0266o
60123.074453  17.150  0.043   501   22 o  0   1.32 225.11517   6.45456  6719.20  3007.93 2.22 1.94 -18.6 -0.411 18.64 19.43 04a60123o0294o
60127.847739  17.388  0.069   402   28 o  0   1.34 225.11517   6.45456  6902.07  6863.08 2.70 2.31 -26.5 -0.394 18.47 18.88 03a60128o0237o
60127.850504  17.264  0.057   451   26 o  0   1.77 225.11517   6.45456  6920.63  6901.66 2.71 2.29 -25.9 -0.390 18.43 18.87 03a60128o0243o
60127.862699  17.355  0.072   415   30 o  0   1.14 225.11517   6.45456  6866.20  6823.05 2.75 2.31 -20.0 -0.391 18.42 18.82 03a60128o0269o
60127.875072  17.515  0.085   358   30 o  0   1.36 225.11517   6.45456  6846.14  6937.84 2.63 2.24 -36.9 -0.397 18.40 18.75 03a60128o0295o
60129.094198  17.834  0.115   267   31 o  0   1.53 225.11517   6.45456  6979.26  6763.39 2.64 2.41 -39.3 -0.392 18.28 18.95 04a60129o0336o
60129.097371  17.492  0.083   366   30 o  0   1.19 225.11517   6.45456  7000.08  6800.25 2.47 2.23 -31.2 -0.401 18.34 18.95 04a60129o0343o
60129.104379  17.815  0.108   272   29 o  0   1.37 225.11517   6.45456  6944.11  6719.69 2.46 2.25 -43.7 -0.412 18.32 18.85 04a60129o0358o
60129.115338  17.571  0.093   340   32 o  0   1.40 225.11517   6.45456  6928.19  6831.41 2.71 2.43 -40.0 -0.374 18.23 18.86 04a60129o0382o
60130.844004  17.587  0.059   335   20 o  0   1.06 225.11517   6.45456  6964.72  8835.04 2.53 2.12 -43.2 -0.407 18.96 19.74 03a60131o0347o
60130.847793  17.607  0.058   329   19 o  0   1.22 225.11517   6.45456  6908.60  8756.17 2.53 2.07 -39.4 -0.410 18.99 19.74 03a60131o0355o
60130.861203  17.683  0.066   307   20 o  0   1.42 225.11517   6.45456  6889.09  8871.85 2.48 2.03 -42.5 -0.409 18.84 19.44 03a60131o0384o
60132.087282  17.616  0.183   326   60 o  0   1.09 225.11517   6.45456  5123.61  8801.36 2.56 2.06 -70.4 -0.413 17.68 18.70 04a60132o0320o
60132.090005  17.834  0.238   267   64 o  0   0.95 225.11517   6.45456  5143.30  8838.62 2.49 2.05 -69.0 -0.414 17.62 18.55 04a60132o0326o
60132.096851 -18.036  1.012  -222  224 o  0   1.17 225.11517   6.45456  5087.41  8757.07 2.51 2.03 -72.5 -0.399 16.06 16.76 04a60132o0341o
60132.108710  19.638  2.329    51  118 o  0   1.89 225.11517   6.45456  5072.00  8867.85 2.65 2.13 -71.8 -0.415 16.62 17.35 04a60132o0367o
60136.775572  17.775  0.036   282   10 c  0   2.25 225.11517   6.45456  5337.69   444.09 2.38 2.21 -41.2 -0.383 19.78 21.81 03a60137o0193c
60136.778343  17.743  0.032   290    9 c  0   2.35 225.11517   6.45456  5356.71   484.45 2.51 2.28 -19.4 -0.378 19.76 21.82 03a60137o0199c
60136.784342  17.807  0.039   274   11 c  0   1.88 225.11517   6.45456  5301.66   405.11 2.77 2.33  -8.6 -0.367 19.73 21.81 03a60137o0212c
60136.794411  17.918  0.045   247   11 c  0   1.37 225.11517   6.45456  5280.43   522.29 2.75 2.32  -9.8 -0.376 19.71 21.83 03a60137o0234c
60138.053951  17.382  0.427   405  173 o  0   0.86 225.11517   6.45456  3105.44  7012.97 2.93 2.34 -87.5 -0.399 16.68 18.10 04a60138o0002o
60138.057121  17.930  0.242   244   59 o  0   1.04 225.11517   6.45456  3107.63  7009.99 2.67 2.19 -81.9 -0.372 17.77 19.08 04a60138o0009o
60138.062558  17.557  0.070   345   24 o  0   1.30 225.11517   6.45456  3052.86  6928.36 2.26 1.91 -86.4 -0.402 18.85 20.10 04a60138o0021o
60138.083538  18.380  0.409   162   66 o  0   1.21 225.11517   6.45456  3045.12  7031.25 2.42 2.01 -81.3 -0.384 17.63 18.88 04a60138o0067o
60141.041393  17.808  0.054   273   15 o  0   1.29 225.11517   6.45456  9549.42   645.88 3.35 2.28 -27.8 -0.374 19.39 20.94 04a60141o0211o
60141.044577  17.937  0.063   243   15 o  0   1.44 225.11517   6.45456  9570.27   682.11 3.30 2.36 -28.1 -0.368 19.36 20.89 04a60141o0218o
60141.051338  17.578  0.047   338   16 o  0   1.68 225.11517   6.45456  9516.16   600.11 3.25 2.33 -27.6 -0.372 19.39 20.95 04a60141o0232o
60141.062279  17.757  0.069   286   20 o  0   1.24 225.11517   6.45456  9500.11   710.74 3.39 2.21 -28.8 -0.376 19.38 20.97 04a60141o0256o
60142.790807  18.365  0.069   164   11 c  0   1.21 225.11517   6.45456  2937.69  3102.56 2.47 2.32 -29.4 -0.395 19.66 21.70 03a60143o0218c
60142.794003  18.373  0.058   162    9 c  0   2.08 225.11517   6.45456  2956.54  3141.94 2.48 2.29 -48.2 -0.396 19.67 21.70 03a60143o0225c
60142.803818  18.221  0.057   187   11 c  0   1.68 225.11517   6.45456  2900.96  3062.72 2.52 2.32 -28.7 -0.393 19.63 21.67 03a60143o0246c
60142.824404  18.456  0.067   150   10 c  0   1.69 225.11517   6.45456  2880.58  3178.15 2.47 2.29 -28.6 -0.393 19.64 21.66 03a60143o0290c
60144.033845  18.072  0.757   214  162 o  0   0.80 225.11517   6.45456   638.99  6590.73 2.39 2.03  75.9 -0.388 16.63 17.88 04a60144o0185o
60144.036596 -18.411  1.010  -157  158 o  0   0.87 225.11517   6.45456   660.14  6627.39 2.46 2.04  77.5 -0.375 16.84 18.13 04a60144o0191o
60144.041755  17.478  0.260   370   96 o  0   1.22 225.11517   6.45456   604.46  6545.43 2.44 2.13  72.7 -0.381 16.96 18.20 04a60144o0202o
60144.054060  18.228  0.084   186   16 o  0   1.59 225.11517   6.45456   591.90  6652.57 2.44 2.02  77.3 -0.391 19.14 20.60 04a60144o0229o
60145.791997  18.503  0.083   144   12 c  0   1.27 225.11517   6.45456   540.48  4586.49 3.17 2.89  -7.5 -0.365 19.49 21.77 03a60146o0201c
60145.795203  18.512  0.075   143   11 c  0   1.98 225.11517   6.45456   558.93  4625.12 2.99 2.79 -14.3 -0.372 19.52 21.77 03a60146o0208c
60145.801881  18.460  0.078   150   12 c  0   1.51 225.11517   6.45456   502.90  4546.06 3.02 2.88 -33.3 -0.367 19.51 21.76 03a60146o0220c
60145.812079 -15.792  0.005 -1751    9 c  0 255.15 225.11517   6.45456   483.22  4661.75 3.09 2.97 -43.9 -0.359 19.45 21.75 03a60146o0240c
60150.022797  19.078  0.227    85   19 o  0   1.74 225.11517   6.45456   445.10  2709.47 2.87 1.91  50.1 -0.383 18.87 19.88 04a60150o0164o
60150.025517  18.511  0.161   143   23 o  0   1.37 225.11517   6.45456   466.31  2746.31 2.90 1.97  50.6 -0.381 18.77 19.79 04a60150o0170o
60150.030505  19.112  0.292    82   24 o  0   1.40 225.11517   6.45456   410.12  2664.40 2.78 1.94  49.8 -0.383 18.70 19.68 04a60150o0181o
60150.040583  18.479  0.123   147   18 o  0   1.38 225.11517   6.45456   395.96  2773.71 2.89 2.02  52.0 -0.380 18.88 19.91 04a60150o0203o
60153.050592  19.097  0.378    83   32 o  0   1.35 225.11517   6.45456  5045.70  6852.87 2.81 2.48 -66.5 -0.360 18.36 19.10 04a60153o0203o
60153.053297  18.452  0.175   151   26 o  0   1.73 225.11517   6.45456  5065.27  6890.33 2.62 2.29 -65.8 -0.370 18.46 19.17 04a60153o0209o
60153.060057  18.622  0.299   129   39 o  0   0.74 225.11517   6.45456  5007.17  6811.22 2.59 2.29 -65.3 -0.371 18.29 18.95 04a60153o0224o
60153.072024  19.056  0.324    87   28 o  0   1.41 225.11517   6.45456  4990.22  6923.71 2.37 2.08 -59.7 -0.402 18.50 19.09 04a60153o0250o
60156.035765  19.329  0.437    67   29 o  0   1.64 225.11517   6.45456  8920.91  6651.55 2.57 1.95  -9.4 -0.426 18.62 19.24 04a60156o0188o
60156.038934  18.294  0.182   175   32 o  0   1.09 225.11517   6.45456  8941.12  6688.82 2.57 2.09  -5.6 -0.418 18.62 19.23 04a60156o0195o
60156.044908  19.898  0.660    40   26 o  0   1.41 225.11517   6.45456  8883.43  6608.82 2.53 2.03  -8.6 -0.411 18.57 19.17 04a60156o0208o
60156.057820  19.370  0.592    65   38 o  0   0.99 225.11517   6.45456  8865.76  6721.60 2.60 2.10 -16.8 -0.417 18.53 19.10 04a60156o0236o
