# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v5.9 on 2024-07-31 at 16:46:59
#
# Requested input R.A. = 227.3165642 degrees
# Requested input Dec. = 16.2395896 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460157.5 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 582 4 2 ZTF_g 449397831315 0 2.7076 140.312 6.85291 26.2252 9.5925e-06 0.0316039 -0.0273945 1.9715e-05 593 30. 0.059708 0.062718 20.1096 26.2252 1 2458203.8978356 582120113 -49.86253701409 41.033520 -1.351731 0.971926 -22.99692637772 63.138111 -0.366685 1.107632 0.37731808036327 19.5379998207092 0.0799999982118607 4.33500003814697 0.331000000238419 2458167.998414 2458359.635243 0
 1 581 1 1 ZTF_g 451368910015 0 2.4966 70.5161 10.3196 26.1453 1.67481e-05 0.0394863 -0.0316613 3.97767e-05 538 30. 0.058462 0.052508 19.5968 26.1453 1 2458205.868912 581120100 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 null null null null null 2458167.039803 2458280.773796 57,61
 2 581 1 1 ZTF_g 451402980015 0 3.0701 62.9712 10.8455 26.0338 1.78674e-05 0.0369517 -0.0261272 4.53636e-05 438 30. 0.061188 0.060639 19.2679 26.0338 1 2458205.9029861 581120100 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 null null null null null 2458167.039803 2458280.773796 57,61
 3 582 4 2 ZTF_g 452381181315 0 1.9326 140.875 12.2657 26.2618 1.13622e-05 0.0338735 -0.0416134 2.44996e-05 576 30. 0.050888 0.05328 19.7804 26.2618 1 2458206.8811806 582120113 -10.21777123039 52.701687 -0.215668 0.956155 23.3125983091 96.418137 0.243415 1.050350 0.37731808036327 19.5379998207092 0.0799999982118607 4.33500003814697 0.331000000238419 2458167.998414 2458359.635243 0
 4 582 4 2 ZTF_g 452408561315 0 1.9677 141.94 11.681 26.2707 1.03125e-05 0.0323873 -0.0429301 2.2314e-05 576 30. 0.051158 0.053215 19.827 26.2707 1 2458206.9085648 582120113 -31.76717168203 52.688957 -0.670678 1.009899 -12.93961892208 95.491165 -0.136419 1.057718 0.37731808036327 19.5379998207092 0.0799999982118607 4.33500003814697 0.331000000238419 2458167.998414 2458359.635243 0
 5 582 4 2 ZTF_g 456362021315 0 2.6216 122.666 21.7891 26.0849 4.75826e-05 0.0471018 -0.0322503 0.000131938 319 30. 0.060762 0.056303 18.7208 26.0849 1 2458210.8620255 582120113 47.43041053686 120.807175 0.436736 0.966273 -5.45527739289 188.251678 -0.029174 1.104586 0.37731808036327 19.5379998207092 0.0799999982118607 4.33500003814697 0.331000000238419 2458167.998414 2458359.635243 0
 6 582 4 2 ZTF_g 456388441315 0 2.1896 125.591 20.5847 26.1158 2.17821e-05 0.0360871 -0.0195239 5.64958e-05 374 30. 0.059104 0.057609 18.9595 26.1158 1 2458210.8884491 582120113 -102.05047478701 95.906441 -1.183647 1.125421 -99.78120683109 159.553467 -0.629590 1.088045 0.37731808036327 19.5379998207092 0.0799999982118607 4.33500003814697 0.331000000238419 2458167.998414 2458359.635243 0
 7 582 4 2 ZTF_i 460368651315 48 3.1376 17.1479 12.2088 22.8179 0.00060902 0.0706882 0.293299 0.00411643 39 30. 0.110765 0.110673 15.9048 22.8179 2 2458214.8686574 582120313 -65.78944376992 82.235649 -0.889920 1.000066 -90.28387788795 116.564369 -0.779758 1.137045 0.313845144012294 18.3659998512268 0.0599999986588955 3.59800004959106 0.342999994754791 2458173.984965 2458350.721910 0
 8 582 4 2 ZTF_r 462366231315 0 13.9017 150.007 5.04417 26.0834 6.0709e-06 0.0260465 0.107858 1.14463e-05 634 30. 0.069692 0.065938 20.312 26.0834 1 2458216.8662384 582120213 -22.35579002619 31.877836 -0.780110 0.922850 16.51525282204 48.172867 0.345142 1.136384 0.371624931290363 18.7390002250671 0.0719999969005585 4.5789999961853 0.345999985933304 2458186.900637 2458229.877755 0
