MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
58613.570743  17.907  0.066   250   16 o  0   1.33 314.26239  14.20441   279.11  2555.00 2.91 2.72 -15.6 -0.465 19.30 20.77 01a58613o0629o
58613.572649  17.781  0.059   280   16 o  0   1.02 314.26239  14.20441 10424.28  2458.66 3.10 2.86 -23.8 -0.441 19.24 20.69 01a58613o0633o
58613.573571  17.776  0.070   282   20 o  0   0.88 314.26239  14.20441   262.89  2520.41 3.03 2.81 -12.8 -0.454 19.24 20.77 01a58613o0635o
58613.575411  17.867  0.065   259   17 o  0   1.17 314.26239  14.20441 10405.01  2420.03 3.34 2.92 -12.1 -0.432 19.15 20.69 01a58613o0639o
58613.579298  17.929  0.065   245   16 o  0   1.35 314.26239  14.20441   321.25  2595.05 2.97 2.80 -14.1 -0.463 19.27 20.84 01a58613o0646o
58613.587020  18.004  0.078   228   18 o  0   1.07 314.26239  14.20441 10461.65  2490.97 3.10 2.97 -53.4 -0.450 19.24 20.77 01a58613o0659o
58613.591063  17.999  0.079   229   18 o  0   1.04 314.26239  14.20441   339.78  2480.39 3.12 2.84 -13.7 -0.443 19.29 20.89 01a58613o0666o
58613.598458  18.085  0.088   212   19 o  0   1.51 314.26239  14.20441 10481.66  2373.01 3.08 2.95 -48.0 -0.448 19.31 20.90 01a58613o0679o
58615.574945  17.873  0.046   258   12 o  0   4.74 314.26239  14.20441  3235.25    89.54 2.15 1.89 -57.9 -0.443 19.58 20.87 02a58615o0682o
58615.578751  17.917  0.045   247   11 o  0   2.73 314.26239  14.20441  3254.55   129.89 2.20 1.87 -49.9 -0.440 19.60 20.85 02a58615o0690o
58615.585558  23.282 12.789     2   23 o  0   0.90 314.26239  14.20441  3197.99    45.24 2.21 1.81 -52.2 -0.454 19.68 20.96 02a58615o0703o
58615.591728  18.361  0.070   164   12 o  0   2.14 314.26239  14.20441  5824.23 10305.01 2.33 1.99 -47.2 -0.473 19.64 20.96 02a58615o0716o
58615.600369  17.899  0.048   251   12 o  0   1.71 314.26239  14.20441  5840.90 10343.64 2.30 2.03 -47.6 -0.462 19.73 21.04 02a58615o0731o
58615.601335  17.947  0.052   241   13 o  0   2.65 314.26239  14.20441  3173.91   169.32 2.15 1.77 -50.5 -0.457 19.71 21.00 02a58615o0733o
58615.603671  17.855  0.046   262   12 o  0   3.66 314.26239  14.20441  5781.96 10266.82 2.30 1.96 -48.5 -0.484 19.67 21.02 02a58615o0738o
58615.618198  18.032  0.056   222   12 o  0   1.70 314.26239  14.20441  5764.68 10386.71 2.35 1.88 -48.9 -0.468 19.49 20.38 02a58615o0766o
58617.560458  17.836  0.052   266   14 o  0   1.41 314.26239  14.20441  7285.90  8481.12 2.85 2.80  -8.2 -0.449 19.27 20.82 01a58617o0678o
58617.570256  17.922  0.055   246   14 o  0   1.35 314.26239  14.20441  7265.41  8442.94 2.83 2.79 -30.9 -0.451 19.29 20.80 01a58617o0697o
58617.582083  17.822  0.051   270   14 o  0   1.15 314.26239  14.20441  7324.07  8520.51 2.83 2.76  -3.2 -0.453 19.34 20.94 01a58617o0719o
58617.589687  17.921  0.057   246   14 o  0   1.08 314.26239  14.20441  7341.95  8401.77 2.90 2.81  -7.7 -0.444 19.35 20.96 01a58617o0734o
58617.621297  17.970  0.088   236   21 o  0   1.65 314.26239  14.20441  7304.98  8463.91 2.89 2.79  -9.8 -0.451 18.81 19.83 01a58617o0793o
58619.584908  17.926  0.058   245   14 o  0   1.94 314.26239  14.20441  4800.56  5924.63 2.31 1.80  44.4 -0.437 19.37 20.15 02a58619o0652o
58619.587666  17.987  0.051   232   12 o  0   1.97 314.26239  14.20441  4819.19  5966.39 2.22 1.80  44.7 -0.437 19.37 20.19 02a58619o0658o
58619.595400  18.128  0.065   204   13 o  0   1.32 314.26239  14.20441  4764.84  5885.21 2.15 1.81  46.3 -0.445 19.49 20.43 02a58619o0673o
58619.605006  17.896  0.049   252   12 o  0   1.33 314.26239  14.20441  4744.95  6002.28 2.13 1.84  44.4 -0.451 19.62 20.85 02a58619o0691o
58620.586117  18.145  0.113   200   23 o  0   1.05 314.26239  14.20441  7286.74  8487.56 2.79 2.62 -83.9 -0.478 18.88 19.88 01a58620o0753o
58620.588972  18.041  0.109   220   24 o  0   1.16 314.26239  14.20441  7268.28  8448.04 2.86 2.76 -76.9 -0.462 18.88 19.90 01a58620o0759o
58620.597649  17.767  0.077   284   22 o  0   1.52 314.26239  14.20441  7326.25  8525.49 2.76 2.59 -82.7 -0.479 18.93 19.96 01a58620o0777o
58620.607998  17.691  0.067   304   20 o  0   1.53 314.26239  14.20441  7346.38  8409.30 3.15 2.81  -0.2 -0.421 18.85 20.03 01a58620o0799o
58627.557949  18.051  0.068   218   15 o  0   1.85 314.26239  14.20441  5239.69  1957.94 2.10 1.90  45.6 -0.448 19.26 20.05 02a58627o0674o
58627.560723  18.002  0.061   229   14 o  0   1.57 314.26239  14.20441  5259.17  1997.31 2.10 1.87  46.5 -0.453 19.35 20.17 02a58627o0680o
58627.569765  17.855  0.061   262   16 o  0   1.03 314.26239  14.20441  5203.73  1918.22 2.11 2.00  47.1 -0.441 19.27 20.08 02a58627o0698o
58627.591602  17.970  0.050   236   12 o  0   2.87 314.26239  14.20441  5188.90  2035.08 2.00 1.92  61.7 -0.451 19.31 20.13 02a58627o0741o
58629.498878  18.138  0.179   202   36 o  0   1.19 314.26239  14.20441  6159.80  2195.23 3.20 2.77 -16.2 -0.453 18.26 19.26 01a58629o0544o
58629.508428  18.414  0.239   156   37 o  0   0.89 314.26239  14.20441  6137.47  2157.48 3.18 2.74 -14.2 -0.456 18.32 19.19 01a58629o0563o
58629.511209  18.090  0.165   211   35 o  0   0.97 314.26239  14.20441  6196.92  2234.83 3.22 2.77 -15.2 -0.449 18.31 19.15 01a58629o0569o
58629.527976  18.151  0.161   199   32 o  0   0.91 314.26239  14.20441  6212.15  2114.18 3.12 2.75 -14.2 -0.452 18.45 19.41 01a58629o0604o
58631.488762  18.152  0.044   199    9 o  0   4.92 314.26239  14.20441  5243.03  1954.45 2.06 1.90  44.8 -0.449 19.58 20.84 02a58631o0517o
58631.502608  18.060  0.045   217   10 o  0   4.55 314.26239  14.20441  5263.86  1993.95 1.93 1.92  11.0 -0.452 19.62 20.77 02a58631o0543o
58631.510947  18.528  0.069   141   10 o  0   2.76 314.26239  14.20441  5205.32  1917.05 2.00 1.96  51.8 -0.445 19.53 20.75 02a58631o0558o
58631.517406  17.838  0.041   266   11 o  0   3.58 314.26239  14.20441  5176.07  2034.28 2.01 1.90 -19.9 -0.452 19.56 20.73 02a58631o0569o
58633.505128  17.808  0.181   274   50 o  0   0.82 314.26239  14.20441  3425.82  8715.44 2.73 2.63 -47.0 -0.495 18.44 19.97 01a58633o0564o
58633.516563  18.569  0.324   136   44 o  0   1.04 314.26239  14.20441  3412.17  8678.38 2.82 2.72 -55.9 -0.472 18.09 19.65 01a58633o0586o
58633.519323  18.099  0.164   209   34 o  0   1.13 314.26239  14.20441  3471.37  8755.68 2.87 2.77 -40.4 -0.471 18.59 20.27 01a58633o0592o
58633.524392  19.805  1.127    44   49 o  0   2.30 314.26239  14.20441  3490.92  8638.09 2.81 2.68 -47.5 -0.466 17.79 19.35 01a58633o0603o
58635.525151  18.502  0.055   144    8 c  0   1.87 314.26239  14.20441  6663.72  3890.11 2.43 2.29  53.6 -0.400 19.78 21.72 02a58635o0596c
58635.527916  18.418  0.055   156    9 c  0   1.55 314.26239  14.20441  6681.47  3931.94 2.49 2.31  48.6 -0.401 19.80 21.71 02a58635o0602c
58635.533139  18.301  0.053   174    9 c  0   1.70 314.26239  14.20441  6617.37  3856.85 2.47 2.28  45.1 -0.400 19.81 21.72 02a58635o0612c
58635.546283  18.412  0.049   157    8 c  0   2.83 314.26239  14.20441  6604.14  3969.11 2.48 2.32  46.8 -0.392 19.78 21.70 02a58635o0635c
58637.470693  18.169  0.072   196   14 o  0   1.61 314.26239  14.20441  3426.38  8715.47 2.80 2.69 -60.8 -0.489 19.27 20.85 01a58637o0175o
