MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
58678.604828  21.856  1.554     7   10 o  0   0.99 347.80127  -1.00298  5951.97  5592.54 2.33 1.83  41.1 -0.461 19.69 20.88 02a58678o0681o
58678.615511  21.074  0.744    14   10 o  0   1.38 347.80127  -1.00298  5929.27  5551.00 2.38 1.83  41.1 -0.441 19.55 20.61 02a58678o0703o
58678.618933  19.920  0.283    39   11 o  0   1.49 347.80127  -1.00298  5987.90  5630.54 2.37 1.85  42.4 -0.439 19.38 20.22 02a58678o0710o
58678.624835  20.243  0.628    29   18 o  0   1.98 347.80127  -1.00298  6005.17  5513.65 2.44 1.83  42.8 -0.430 18.71 18.98 02a58678o0722o
58680.509482  20.960  2.297    15   34 o  0   1.02 347.80127  -1.00298   224.56  7875.89 2.58 2.49 -48.9 -0.463 18.50 19.32 01a58680o0552o
58680.512954  20.075  0.987    34   33 o  0   1.22 347.80127  -1.00298   204.16  7837.28 2.62 2.54 -62.8 -0.473 18.49 19.34 01a58680o0559o
58680.519268 -20.940  2.172   -15   33 o  0   1.09 347.80127  -1.00298   259.99  7917.01 2.66 2.56 -60.8 -0.456 18.51 19.36 01a58680o0572o
58680.524620 -19.932  0.824   -39   32 o  0   1.04 347.80127  -1.00298 10375.85  7773.73 2.93 2.73  82.0 -0.445 18.51 19.40 01a58680o0583o
58680.527597  20.645  1.624    20   32 o  0   1.07 347.80127  -1.00298 10353.36  7735.82 2.99 2.77  79.1 -0.428 18.55 19.43 01a58680o0589o
58680.530567  19.920  0.755    39   30 o  0   1.26 347.80127  -1.00298   280.16  7801.05 2.90 2.66 -12.6 -0.442 18.45 19.42 01a58680o0595o
58680.534849  19.847  0.793    42   33 o  0   0.98 347.80127  -1.00298 10414.73  7814.12 3.02 2.71  84.5 -0.424 18.52 19.46 01a58680o0604o
58680.547532 -20.578  1.509   -21   32 o  0   1.19 347.80127  -1.00298 10434.81  7699.22 3.01 2.84  80.7 -0.445 18.52 19.49 01a58680o0629o
58682.530499  19.538  2.013    56  112 o  0   1.07 347.80127  -1.00298  4660.15  7355.79 2.65 1.94  35.7 -0.422 17.30 17.15 02a58682o0624o
58682.541352  19.485  0.604    58   35 o  0   1.24 347.80127  -1.00298  4637.35  7475.42 2.51 1.88  34.1 -0.405 18.37 18.57 02a58682o0646o
58688.558175  19.056  0.292    87   25 o  0   1.14 347.80127  -1.00298 10525.21  7029.24 3.06 2.90   7.8 -0.436 19.30 20.90 01a58688o0662o
58688.571858  19.325  0.217    68   15 o  0   1.33 347.80127  -1.00298 10486.73  6990.22 3.11 2.73 -89.0 -0.446 19.33 20.92 01a58688o0690o
58688.574621  19.388  0.214    64   14 o  0   1.30 347.80127  -1.00298   228.84  7193.58 2.86 2.67  -9.4 -0.428 19.28 20.89 01a58688o0696o
58688.579405  19.895  0.354    40   14 o  0   1.02 347.80127  -1.00298 10472.17  7103.68 2.82 2.74  84.3 -0.469 19.33 20.91 01a58688o0705o
58688.579865  19.562  0.244    54   13 o  0   0.79 347.80127  -1.00298   250.79  7231.22 2.72 2.58 -16.8 -0.440 19.34 20.88 01a58688o0706o
58688.583400  19.399  0.178    63   11 o  0   1.48 347.80127  -1.00298   190.83  7156.17 2.71 2.61  88.6 -0.440 19.32 20.87 01a58688o0713o
58688.594162  18.901  0.132   100   13 o  0   1.10 347.80127  -1.00298   174.00  7272.60 2.93 2.69 -17.2 -0.421 19.28 20.87 01a58688o0735o
58690.529592  18.983  0.107    93   10 o  0   1.36 347.80127  -1.00298  2083.98   691.91 2.17 1.81 -56.0 -0.461 19.69 21.01 02a58690o0594o
58690.532794  18.990  0.098    92    9 o  0   1.64 347.80127  -1.00298  2104.01   730.35 2.25 1.87 -56.0 -0.455 19.65 21.00 02a58690o0601o
58690.538933  19.281  0.142    70   10 o  0   0.72 347.80127  -1.00298  2043.38   651.70 2.26 1.83 -60.6 -0.461 19.69 21.03 02a58690o0614o
58690.550806  19.134  0.138    81   11 o  0   0.80 347.80127  -1.00298  8575.39  9789.84 2.46 2.22 -56.1 -0.435 19.68 21.04 02a58690o0639o
58692.511186  19.182  0.159    77   12 o  0   1.43 347.80127  -1.00298 10325.46  3403.93 2.97 2.83 -22.1 -0.442 19.48 21.16 01a58692o0586o
58692.514456  19.302  0.199    69   14 o  0   0.81 347.80127  -1.00298 10305.27  3365.74 3.05 2.88 -12.4 -0.436 19.44 21.18 01a58692o0593o
58692.521375  19.279  0.176    70   12 o  0   0.98 347.80127  -1.00298 10365.01  3443.05 3.02 2.88 -31.0 -0.444 19.49 21.20 01a58692o0607o
58692.531001  19.198  0.189    76   14 o  0   1.25 347.80127  -1.00298    64.28  3551.38 2.66 2.64 -24.4 -0.484 19.50 21.29 01a58692o0626o
58692.532382  19.576  0.231    54   12 o  0   1.11 347.80127  -1.00298 10381.84  3322.71 3.10 3.00 -41.4 -0.431 19.47 21.24 01a58692o0629o
58692.547512  19.449  0.201    60   12 o  0   1.21 347.80127  -1.00298    80.53  3436.92 2.69 2.63 -38.8 -0.481 19.51 21.29 01a58692o0660o
58694.562264  19.016  0.109    90   10 c  0   1.25 347.80127  -1.00298  8504.63  9867.76 2.87 2.80 -82.8 -0.383 19.75 21.86 02a58694o0681c
58694.565574  19.129  0.123    81   10 c  0   1.13 347.80127  -1.00298  8484.28  9829.12 2.86 2.80 -83.2 -0.379 19.71 21.79 02a58694o0688c
58694.571647  19.063  0.127    86   11 c  0   0.76 347.80127  -1.00298  8541.58  9908.24 2.87 2.79  82.1 -0.382 19.76 21.85 02a58694o0701c
58694.585627  19.140  0.135    80   11 c  0   0.81 347.80127  -1.00298  8552.18  9788.73 2.99 2.78 -64.5 -0.378 19.72 21.90 02a58694o0731c
58696.560532  19.046  0.152    87   13 o  0   1.52 347.80127  -1.00298  8577.04  7146.06 3.77 3.72  78.3 -0.400 19.19 21.36 01a58696o0677o
58696.563505  19.299  0.374    69   26 o  0   0.93 347.80127  -1.00298  8597.62  7183.83 5.22 4.48  -0.1 -0.334 18.47 20.92 01a58696o0683o
58696.570765  19.173  0.180    78   14 o  0   0.99 347.80127  -1.00298  8539.57  7105.21 4.67 3.20   1.5 -0.370 19.11 21.41 01a58696o0698o
58696.581357  19.682  0.261    49   13 o  0   0.92 347.80127  -1.00298  8524.03  7222.21 3.14 2.91   5.5 -0.420 19.45 21.45 01a58696o0720o
58700.527577  19.132  0.162    81   13 o  0   1.25 347.80127  -1.00298  1979.45  3406.25 2.99 2.77  -8.1 -0.451 19.39 21.13 01a58700o0612o
58700.531288  19.353  0.194    66   13 o  0   1.07 347.80127  -1.00298  1958.95  3368.10 2.98 2.78 -10.8 -0.448 19.39 21.14 01a58700o0620o
58700.537536  19.539  0.243    56   14 o  0   0.94 347.80127  -1.00298  8535.71  7109.99 3.23 2.98  -0.6 -0.416 19.37 21.15 01a58700o0632o
58700.550306  19.086  0.171    84   14 o  0   1.01 347.80127  -1.00298  8520.02  7225.14 3.15 3.12 -44.3 -0.422 19.30 21.12 01a58700o0658o
58702.497698  19.267  0.131    71    9 c  0   0.91 347.80127  -1.00298  1977.14  8952.37 2.37 2.23 -37.7 -0.418 19.83 21.80 02a58702o0543c
58702.503377  19.222  0.118    74    9 c  0   1.07 347.80127  -1.00298  1997.20  8991.39 2.45 2.08 -50.0 -0.437 19.83 21.80 02a58702o0554c
58702.506755  19.257  0.113    72    8 c  0   1.50 347.80127  -1.00298  1938.06  8914.35 2.35 2.26  15.9 -0.406 19.80 21.78 02a58702o0561c
58702.517192  19.281  0.126    70    9 c  0   0.94 347.80127  -1.00298  8674.64  1529.31 2.59 2.28 -60.6 -0.410 19.79 21.78 02a58702o0581c
58704.572597  19.311  0.187    68   13 o  0   0.98 347.80127  -1.00298  6326.26  9217.30 3.02 2.95 -86.5 -0.443 19.38 21.16 01a58704o0711o
58704.575845  19.558  0.234    55   13 o  0   0.83 347.80127  -1.00298  6346.10  9254.91 2.89 2.78 -79.1 -0.462 19.39 21.19 01a58704o0718o
