# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v5.9 on 2024-07-31 at 16:36:16
#
# Requested input R.A. = 71.657833 degrees
# Requested input Dec. = -10.226361 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460157.5 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 354 5 1 ZTF_g 452137651615 0 3.0512 99.158 15.9942 26.0004 2.68771e-05 0.0401083 -0.0602723 6.59778e-05 465 30. 0.060218 0.061614 18.8149 26.0004 1 2458206.6376505 354120116 -153.71052299241 85.942764 -1.989524 0.984189 -183.14107631402 134.101028 -1.374893 1.053542 0.176407470547199 17.6309997558594 0.0659999996423721 6.47700023651123 0.328000009059906 2458344.982766 2458374.021157 0
 1 354 5 1 ZTF_g 590482761615 0 2.3508 86.1632 4.61159 25.825 1.04373e-05 0.0345346 -0.0148664 1.79858e-05 757 30. 0.075323 0.067617 20.3323 25.825 1 2458344.9827662 354120116 38.62594330536 23.894415 1.798198 0.981624 43.12222433805 38.591602 1.124925 1.104850 0.176407470547199 17.6309997558594 0.0659999996423721 6.47700023651123 0.328000009059906 2458344.982766 2458374.021157 0
 2 354 5 1 ZTF_g 596463121615 0 2.2233 84.927 4.14289 25.7863 1.23343e-05 0.0376576 -0.00902437 2.05158e-05 768 30. 0.069505 0.069248 20.4778 25.7863 3 2458350.963125 354120116 19.63108207585 20.301779 1.075635 1.040159 9.19160898465 33.359558 0.277387 1.106514 0.176407470547199 17.6309997558594 0.0659999996423721 6.47700023651123 0.328000009059906 2458344.982766 2458374.021157 0
 3 354 5 1 ZTF_g 596464031615 0 2.5221 84.2495 4.15517 25.7801 1.07724e-05 0.035039 -0.0106042 1.82136e-05 764 30. 0.061273 0.070072 20.4054 25.7801 1 2458350.9640394 354120116 35.39097009435 21.601948 1.822445 1.112505 121.57797037455 34.226513 3.576082 1.131814 0.176407470547199 17.6309997558594 0.0659999996423721 6.47700023651123 0.328000009059906 2458344.982766 2458374.021157 0
 4 354 5 1 ZTF_r 596501801615 0 2.4571 130.677 6.46359 25.9656 7.1594e-06 0.0289985 0.104585 1.14893e-05 788 30. 0.049126 0.050352 19.9709 25.9656 3 2458351.0018056 354120216 -13.72403381006 32.202457 -0.474076 0.947040 19.78262587653 55.940437 0.356019 1.046217 0.148727613001674 16.8309997558594 0.0710000023245811 6.65100002288818 0.316000014543533 2458351.001806 2458376.001285 0
 5 354 5 1 ZTF_r 596507901615 0 2.1078 137.436 9.71082 25.9944 5.1656e-06 0.0246789 0.109437 8.30016e-06 788 30. 0.04403 0.048762 19.6434 25.9944 1 2458351.0079051 354120216 -24.43829628278 45.071693 -0.603145 0.935315 -12.24685572209 83.059372 -0.148440 1.050313 0.148727613001674 16.8309997558594 0.0710000023245811 6.65100002288818 0.316000014543533 2458351.001806 2458376.001285 0
 6 354 5 1 ZTF_r 599444291615 0 2.5653 144.066 7.37418 26.0372 5.72e-06 0.0260239 0.109821 9.13412e-06 794 30. 0.05683 0.062578 19.9214 26.0372 1 2458353.944294 354120216 -12.4547888547 35.780453 -0.387209 0.942032 -106.95568033923 62.555351 -1.721292 1.046848 0.148727613001674 16.8309997558594 0.0710000023245811 6.65100002288818 0.316000014543533 2458351.001806 2458376.001285 0
 7 354 5 1 ZTF_r 599446601615 0 1.9976 144.394 6.87357 26.0461 4.5825e-06 0.0232732 0.113552 7.29641e-06 794 30. 0.050306 0.059398 20.281 26.0461 3 2458353.9466088 354120216 -55.4007612621 27.768744 -2.219291 1.059391 -76.04752355348 53.402592 -1.433633 1.046163 0.148727613001674 16.8309997558594 0.0710000023245811 6.65100002288818 0.316000014543533 2458351.001806 2458376.001285 0
 8 354 5 1 ZTF_r 600445171615 0 2.4316 141.244 11.5884 26.0444 8.7835e-06 0.0322029 0.109288 1.40955e-05 788 30. 0.060851 0.079257 19.379 26.0444 3 2458354.9451736 354120216 51.09209154498 57.622669 0.986314 1.002395 61.83617679157 99.343483 0.626640 1.051730 0.148727613001674 16.8309997558594 0.0710000023245811 6.65100002288818 0.316000014543533 2458351.001806 2458376.001285 0
 9 354 5 1 ZTF_r 602442361615 0 2.4351 149.508 15.7156 26.0999 9.8419e-06 0.033894 0.119765 1.59296e-05 774 30. 0.066046 0.071869 19.113 26.0999 1 2458356.9423611 354120216 14.15914068388 75.884605 0.207557 0.952185 -17.34963719528 129.295670 -0.135090 1.057296 0.148727613001674 16.8309997558594 0.0710000023245811 6.65100002288818 0.316000014543533 2458351.001806 2458376.001285 0
 10 354 5 1 ZTF_r 602455561615 0 2.4079 152.977 14.8098 26.14 8.9166e-06 0.0322001 0.113541 1.4334e-05 784 30. 0.053811 0.057375 19.2298 26.14 3 2458356.9555671 354120216 58.11848691245 73.301765 0.881972 0.912501 -43.62795421821 126.599319 -0.346935 1.056852 0.148727613001674 16.8309997558594 0.0710000023245811 6.65100002288818 0.316000014543533 2458351.001806 2458376.001285 0
 11 354 5 1 ZTF_r 603439881615 0 2.7297 151.452 13.9059 26.0938 1.04196e-05 0.0349227 0.121718 1.67383e-05 785 30. 0.055315 0.066528 19.1414 26.0938 3 2458357.9398843 354120216 -13.90519244652 76.569374 -0.202012 0.957331 80.66903838519 120.705521 0.672814 1.069657 0.148727613001674 16.8309997558594 0.0710000023245811 6.65100002288818 0.316000014543533 2458351.001806 2458376.001285 0
 12 354 5 1 ZTF_r 603498101615 0 2.8349 160.964 11.3677 26.1803 7.9205e-06 0.030571 0.114439 1.2746e-05 787 30. 0.046611 0.063349 19.427 26.1803 3 2458357.9981019 354120216 -20.83022894649 64.828697 -0.357422 1.006134 -18.60062074907 99.793045 -0.187647 1.074576 0.148727613001674 16.8309997558594 0.0710000023245811 6.65100002288818 0.316000014543533 2458351.001806 2458376.001285 0
 13 354 5 1 ZTF_r 604461001615 0 2.7773 156.789 11.8617 26.1455 1.17667e-05 0.0371275 0.113473 1.88735e-05 789 30. 0.056328 0.078584 19.3511 26.1455 3 2458358.9610069 354120216 35.0339486537 63.781040 0.611016 1.063596 76.75879708532 100.230476 0.770981 1.071176 0.148727613001674 16.8309997558594 0.0710000023245811 6.65100002288818 0.316000014543533 2458351.001806 2458376.001285 0
 14 354 5 1 ZTF_r 605455101615 0 2.3388 107.658 13.3356 25.8728 0.000242452 0.163626 0.10759 0.000391635 741 30. 0.04451 0.048772 19.0962 25.8728 3 2458359.9551042 354120216 -496.72608206104 87.597992 -6.307796 0.948054 -884.14278149754 155.587341 -5.720887 1.050702 0.148727613001674 16.8309997558594 0.0710000023245811 6.65100002288818 0.316000014543533 2458351.001806 2458376.001285 0
 15 354 5 1 ZTF_r 605456071615 0 2.3538 150.771 12.181 26.1107 7.218e-06 0.0290534 0.106418 1.16393e-05 782 30. 0.039302 0.052886 19.4485 26.1107 1 2458359.9560764 354120216 -39.78329436379 59.062271 -0.749282 0.971413 -115.81504103522 105.859528 -1.101413 1.049842 0.148727613001674 16.8309997558594 0.0710000023245811 6.65100002288818 0.316000014543533 2458351.001806 2458376.001285 0
 16 354 5 1 ZTF_r 605503051615 0 2.4145 161.264 10.7213 26.1769 5.9876e-06 0.0263266 0.0983035 9.69501e-06 774 30. 0.040394 0.048439 19.6209 26.1769 3 2458360.0030556 354120216 -146.71906159914 53.366470 -3.058249 0.924665 -83.61339596747 93.739784 -0.897981 1.048980 0.148727613001674 16.8309997558594 0.0710000023245811 6.65100002288818 0.316000014543533 2458351.001806 2458376.001285 0
 17 354 5 1 ZTF_g 606478791615 0 3.2918 113.091 11.5744 26.105 2.3353e-05 0.039789 0.000792142 5.37027e-05 504 30. 0.060152 0.077954 19.2751 26.105 3 2458360.9787963 354120116 -33.51255789583 87.588974 -0.425611 0.945261 52.12389556443 121.535568 0.431766 1.260509 0.176407470547199 17.6309997558594 0.0659999996423721 6.47700023651123 0.328000009059906 2458344.982766 2458374.021157 0
 18 354 5 1 ZTF_r 608442591615 0 2.3549 154.083 10.0809 26.1252 8.4468e-06 0.0314642 0.126415 1.35443e-05 787 30. 0.050751 0.053751 19.6599 26.1252 1 2458362.9425926 354120216 110.27570148665 56.357269 2.176630 0.984875 196.04005594407 91.919067 2.147110 1.091666 0.148727613001674 16.8309997558594 0.0710000023245811 6.65100002288818 0.316000014543533 2458351.001806 2458376.001285 0
 19 354 5 1 ZTF_r 608457431615 0 2.2224 156.611 9.71355 26.136 6.849e-06 0.028285 0.123221 1.09797e-05 785 30. 0.046467 0.053595 19.8179 26.136 3 2458362.9574306 354120216 198.37677787636 52.488857 4.204153 1.032761 198.39078564429 87.348381 2.286556 1.102947 0.148727613001674 16.8309997558594 0.0710000023245811 6.65100002288818 0.316000014543533 2458351.001806 2458376.001285 0
 20 354 5 1 ZTF_g 608498281615 0 7.9441 116.261 9.5939 26.1351 2.41412e-05 0.0435772 -0.00107932 5.2589e-05 569 30. 0.053602 0.068576 19.4979 26.1351 3 2458362.998287 354120116 58.93789087569 72.133202 0.908896 1.031779 22.82840239643 99.023636 0.232088 1.239793 0.176407470547199 17.6309997558594 0.0659999996423721 6.47700023651123 0.328000009059906 2458344.982766 2458374.021157 0
 21 354 5 1 ZTF_g 608499201615 0 3.5703 115.337 9.57692 26.1407 2.31132e-05 0.0422904 -0.013562 5.09547e-05 547 30. 0.057071 0.079654 19.4811 26.1407 1 2458362.9992014 354120116 48.15099162697 74.148193 0.722370 0.973941 79.93572628438 101.323288 0.794231 1.258392 0.176407470547199 17.6309997558594 0.0659999996423721 6.47700023651123 0.328000009059906 2458344.982766 2458374.021157 0
