MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
59009.385182  20.663  0.704    20   14 o  0   2.13 230.33371  14.06959  3988.34  8322.15 2.01 1.77  -2.3 -0.402 18.77 19.26 01a59009o0322o
59009.388406  20.415  0.630    25   16 o  0   1.77 230.33371  14.06959  4009.18  8360.94 2.03 1.83  -3.8 -0.395 18.89 19.45 01a59009o0329o
59009.400076  19.521  0.460    56   26 o  0   0.87 230.33371  14.06959  3952.00  8281.15 2.03 1.84   1.8 -0.396 18.74 19.47 01a59009o0352o
59009.406992  21.897  2.149     6   14 o  0   1.16 230.33371  14.06959  3934.17  8397.54 2.00 1.86  -7.7 -0.402 19.27 20.00 01a59009o0367o
59010.404573 -20.840  0.685   -17   12 o  0   1.49 230.33371  14.06959  5851.11 10201.56 2.51 2.23 -56.7 -0.430 19.50 20.74 02a59010o0354o
59010.407357  21.706  1.823     8   14 o  0   0.75 230.33371  14.06959  5834.06 10164.01 2.31 2.14 -59.5 -0.444 19.51 20.71 02a59010o0360o
59010.413319 -21.339  1.315   -11   14 o  0   1.07 230.33371  14.06959  5891.35 10242.59 2.29 2.11 -54.4 -0.443 19.49 20.60 02a59010o0373o
59010.427566  22.717  4.583     3   14 o  0   1.07 230.33371  14.06959  5909.91 10125.33 2.37 2.11 -51.4 -0.448 19.47 20.52 02a59010o0404o
59013.394040 -23.549  4.765    -1    7 o  0   2.51 230.33371  14.06959  3994.28  8321.92 1.96 1.87  -9.1 -0.412 19.75 21.36 01a59013o0335o
59013.397317  22.090  1.290     5    7 o  0   1.70 230.33371  14.06959  4015.06  8362.41 1.91 1.80 -10.3 -0.418 19.83 21.39 01a59013o0342o
59013.412306 -21.081  0.481   -13    6 o  0   2.08 230.33371  14.06959  3958.60  8283.36 1.87 1.74 -18.9 -0.419 19.86 21.43 01a59013o0373o
59013.424035  20.704  0.373    19    7 o  0   1.83 230.33371  14.06959  3941.23  8399.45 1.91 1.81 -29.0 -0.420 19.81 21.34 01a59013o0397o
59017.413577  24.051  9.700     1    8 o  0   1.29 230.33371  14.06959  4750.95  2313.35 2.08 1.87  -9.3 -0.421 19.68 20.86 01a59017o0379o
59017.431001 -19.561  0.164   -54    9 o  0   1.06 230.33371  14.06959  4770.72  2350.78 2.10 1.96 -18.0 -0.413 19.62 20.83 01a59017o0416o
59017.437609 -20.975  0.553   -15    8 o  0   1.10 230.33371  14.06959  4712.83  2272.78 2.09 1.91 -12.3 -0.420 19.67 20.88 01a59017o0429o
59017.447619 -21.878  1.200    -6    8 o  0   1.64 230.33371  14.06959  4695.80  2389.91 2.14 1.94 -17.3 -0.414 19.59 20.80 01a59017o0449o
59021.348500  20.083  0.250    34    8 o  0   1.07 230.33371  14.06959  4741.63  2312.84 2.25 1.83  -1.3 -0.415 19.75 21.12 01a59021o0229o
