# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v5.9 on 2024-07-31 at 16:29:33
#
# Requested input R.A. = 232.6575 degrees
# Requested input Dec. = 26.982469 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460157.5 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 631 11 4 ZTF_g 448377314315 0 2.3481 78.2188 6.18944 26.2918 6.6397e-06 0.0274928 -0.0324219 1.22528e-05 653 30. 0.049975 0.046562 20.4656 26.2918 1 2458202.8773148 631120143 -71.55342905094 30.362785 -2.621462 0.943497 1.56163628974 50.233780 0.031297 1.084635 0.208856114347703 18.0979997634888 0.068000003695488 5.34800004959106 0.351999998092651 2458166.983889 2458279.811863 0
 1 631 11 4 ZTF_g 451403514315 0 3.0585 72.8336 11.4678 26.1751 2.49489e-05 0.0437369 -0.0345912 5.89626e-05 471 30. 0.068701 0.05566 19.3546 26.1751 1 2458205.9035185 631120143 135.25391555555 66.703835 2.255557 1.021671 146.15158566175 96.875038 1.518822 1.107783 0.208856114347703 18.0979997634888 0.068000003695488 5.34800004959106 0.351999998092651 2458166.983889 2458279.811863 0
 2 631 11 4 ZTF_g 451488694315 0 2.6913 83.9247 7.12491 26.2983 1.25392e-05 0.0365399 -0.0263327 2.42828e-05 622 30. 0.058139 0.054608 20.1712 26.2983 1 2458205.9886921 631120143 -50.95230260895 43.006054 -1.317920 0.927278 17.94843724251 66.901573 0.270088 1.095370 0.208856114347703 18.0979997634888 0.068000003695488 5.34800004959106 0.351999998092651 2458166.983889 2458279.811863 0
 3 631 11 4 ZTF_g 454360524315 1 2.228 41.5029 29.4739 25.67 6.48712e-05 0.041716 -0.00587974 0.000184095 194 30. 0.054286 0.057105 18.1104 25.67 1 2458208.8605208 631120143 189.51269994416 165.298782 1.275333 0.924277 43.01153881144 273.281769 0.158449 1.100586 0.208856114347703 18.0979997634888 0.068000003695488 5.34800004959106 0.351999998092651 2458166.983889 2458279.811863 0
 4 631 11 4 ZTF_g 454425174315 0 12.7224 64.3955 23.2237 26.0809 3.43949e-05 0.0396615 0.000864972 8.9315e-05 288 30. 0.050788 0.055866 18.689 26.0809 1 2458208.9251736 631120143 116.3699494673 137.563232 0.941008 0.884595 143.3198426141 211.079559 0.683558 1.144789 0.208856114347703 18.0979997634888 0.068000003695488 5.34800004959106 0.351999998092651 2458166.983889 2458279.811863 0
 5 631 11 4 ZTF_g 457398264315 0 3.5516 79.8719 14.4878 26.319 2.65818e-05 0.0405927 -0.00818434 6.63923e-05 388 30. 0.061824 0.060807 19.1691 26.319 1 2458211.8982639 631120143 -48.85539035811 96.714325 -0.561923 0.969965 -0.32207977419 130.723099 -0.002480 1.183278 0.208856114347703 18.0979997634888 0.068000003695488 5.34800004959106 0.351999998092651 2458166.983889 2458279.811863 0
 6 631 11 4 ZTF_g 457445774315 0 4.1679 85.2578 13.8541 26.3298 2.73207e-05 0.0386958 -0.0113074 6.70231e-05 338 30. 0.071638 0.061575 19.0891 26.3298 1 2458211.9457755 631120143 -97.47258063532 108.985123 -0.994879 1.010672 -12.57252035207 139.315140 -0.090853 1.218579 0.208856114347703 18.0979997634888 0.068000003695488 5.34800004959106 0.351999998092651 2458166.983889 2458279.811863 0
 7 631 11 4 ZTF_i 460369594315 32 2.5409 53.151 13.5088 24.0023 2.53783e-05 0.0511532 0.189833 0.000107013 267 30. 0.06395 0.056483 17.1476 24.0023 2 2458214.8695949 631120343 -97.12644841828 71.778625 -1.505210 0.967218 -64.98210379222 116.086456 -0.563543 1.073948 0.036509801500139 17.0479995346069 0.0640000030398369 4.53499984741211 0.347000002861023 2458173.986447 2458363.634120 0
 8 631 11 4 ZTF_r 462365774315 0 5.6817 163.505 5.44334 26.2761 5.8034e-06 0.0256923 0.133006 1.04767e-05 663 30. 0.062091 0.058798 20.3621 26.2761 1 2458216.8657755 631120243 21.74033358891 34.954250 0.691864 0.934229 -26.23804227567 51.055576 -0.517373 1.119581 0.129794253346436 17.3309997558594 0.0560000017285347 4.5770001411438 0.273000001907349 2458160.991597 2458242.835613 0
