# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v5.9 on 2024-07-31 at 16:43:07
#
# Requested input R.A. = 176.651483366 degrees
# Requested input Dec. = 30.0853983487 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460157.5 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 670 1 4 ZTF_g 448331400315 0 2.3248 94.4797 6.17926 26.1212 2.90898e-05 0.0334954 -0.0223967 4.14172e-05 235 30. 0.060748 0.057337 20.312 26.1212 1 2458202.8314005 670120103 10.44937826531 28.499552 0.407856 0.984891 27.96654570562 48.149494 0.584739 1.084565 0.0916643614401573 20.5520002365112 0.046000000089407 1.1710000038147 0.0930000022053719 2458166.839294 2458272.707245 0
 1 671 4 3 ZTF_g 448331871415 0 2.8664 104.111 6.36101 26.1317 2.54875e-05 0.0325017 -0.0323987 4.03663e-05 236 30. 0.064593 0.056438 20.2653 26.1317 1 2458202.831875 671120114 49.87983139895 28.201868 1.967442 1.125317 41.02199748673 46.004486 0.897701 1.092443 0.166062021482747 20.5020000457764 0.0480000004172325 1.34399998188019 0.0839999988675117 2458170.925000 2458272.708646 0
 2 670 1 4 ZTF_g 451281580315 0 2.5658 96.1122 12.4539 26.1628 5.14352e-05 0.0414197 -0.05305 9.06899e-05 180 30. 0.072735 0.061529 19.3728 26.1628 1 2458205.7815856 670120103 60.98118316191 63.138821 1.074371 0.916844 251.07016698009 103.433189 2.443714 1.060817 0.0916643614401573 20.5520002365112 0.046000000089407 1.1710000038147 0.0930000022053719 2458166.839294 2458272.707245 0
 3 671 4 3 ZTF_g 451282061415 0 2.5855 103.666 12.5374 26.1503 5.49125e-05 0.0433788 -0.0417309 0.000103598 177 30. 0.065891 0.057417 19.3605 26.1503 1 2458205.7820602 671120114 36.17201680563 63.917889 0.629514 1.039830 20.75286923171 101.054909 0.206745 1.087347 0.166062021482747 20.5020000457764 0.0480000004172325 1.34399998188019 0.0839999988675117 2458170.925000 2458272.708646 0
 4 671 4 3 ZTF_g 451303591415 0 2.2417 101.524 13.1361 26.1261 4.7029e-05 0.0415564 -0.0435291 8.95827e-05 192 30. 0.061094 0.054453 19.3897 26.1261 1 2458205.8035995 671120114 13.18205828161 58.083408 0.252456 1.010079 22.61904244773 99.909592 0.227920 1.054372 0.166062021482747 20.5020000457764 0.0480000004172325 1.34399998188019 0.0839999988675117 2458170.925000 2458272.708646 0
 5 670 1 4 ZTF_g 451309450315 0 2.2698 93.4943 12.4983 26.1321 5.8672e-05 0.0447589 -0.0346615 0.000104554 183 30. 0.066831 0.062984 19.4266 26.1321 1 2458205.809456 670120103 -50.40956475394 60.996761 -0.919308 0.939368 -99.90641653652 104.102097 -0.966160 1.063420 0.0916643614401573 20.5520002365112 0.046000000089407 1.1710000038147 0.0930000022053719 2458166.839294 2458272.707245 0
 6 670 1 4 ZTF_g 454281420315 33554433 2.2356 51.5029 30.9683 25.449 0.000899906 0.0780963 0.0437982 0.00249988 43 30. 0.061318 0.064085 17.7822 25.449 1 2458208.7814236 670120103 -20.89278287497 142.422745 -0.163182 1.025763 167.73241851086 248.203873 0.680336 1.060249 0.0916643614401573 20.5520002365112 0.046000000089407 1.1710000038147 0.0930000022053719 2458166.839294 2458272.707245 0
 7 671 4 3 ZTF_g 454295541415 1 2.4732 54.9104 34.6576 25.2979 0.0009772 0.0399987 -0.0181163 0.00342201 27 30. 0.074512 0.073799 17.4625 25.2979 1 2458208.795544 671120114 -277.27084714694 172.697845 -1.785962 1.041094 -581.91863550921 273.274445 -2.143771 1.110880 0.166062021482747 20.5020000457764 0.0480000004172325 1.34399998188019 0.0839999988675117 2458170.925000 2458272.708646 0
 8 670 1 4 ZTF_g 454317490315 1 2.2868 57.698 28.5901 25.7352 0.000277255 0.04953 -0.00432815 0.000734325 53 30. 0.072271 0.075665 18.1055 25.7352 1 2458208.8175 670120103 -76.79675787706 149.205948 -0.572548 0.979815 77.56309509197 248.461212 0.314276 1.077937 0.0916643614401573 20.5520002365112 0.046000000089407 1.1710000038147 0.0930000022053719 2458166.839294 2458272.707245 0
