# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v5.9 on 2024-07-29 at 12:35:34
#
# Requested input R.A. = 150.0333685 degrees
# Requested input Dec. = 26.4607142 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460522.5 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 620 11 3 ZTF_g 448275174215 0 2.5714 131.325 8.28835 26.3301 1.86264e-05 0.0336704 -0.0190985 2.94747e-05 363 30. 0.047176 0.052942 20.1854 26.3301 1 2458202.7751736 620120142 -24.17504011004 45.043682 -0.597019 0.966408 -82.62210933994 70.390717 -1.181670 1.098276 0.168219035687599 18.1849996566772 0.0670000016689301 6.34899997711182 0.34400001168251 2458166.825127 2458442.017882 0
 1 620 11 3 ZTF_g 452377464215 0 2.2087 120.647 21.4857 26.2892 2.92715e-05 0.0349057 -0.0672403 6.00073e-05 256 30. 0.054747 0.045737 19.0424 26.2892 1 2458206.8774653 620120142 53.10668780983 90.997795 0.649192 1.057766 256.96891457565 165.534073 1.562818 1.038964 0.168219035687599 18.1849996566772 0.0670000016689301 6.34899997711182 0.34400001168251 2458166.825127 2458442.017882 0
 2 620 11 3 ZTF_g 452396264215 0 2.3577 115.697 22.11 26.2441 4.3604e-05 0.0408228 -0.0694609 9.00693e-05 240 30. 0.053515 0.047156 18.9108 26.2441 1 2458206.8962616 620120142 77.35251012076 102.458855 0.839807 0.990347 184.01846803033 181.592117 1.020187 1.038262 0.168219035687599 18.1849996566772 0.0670000016689301 6.34899997711182 0.34400001168251 2458166.825127 2458442.017882 0
 3 620 11 3 ZTF_g 456230524215 0 2.6554 110.645 13.0073 26.1712 3.88644e-05 0.0429854 -0.0313165 7.46712e-05 287 30. 0.053631 0.054176 19.389 26.1712 1 2458210.7305208 620120142 -9.56921831359 73.106018 -0.145606 1.092534 -5.0359426366 113.869141 -0.044524 1.099293 0.168219035687599 18.1849996566772 0.0670000016689301 6.34899997711182 0.34400001168251 2458166.825127 2458442.017882 0
 4 620 11 3 ZTF_g 456255244215 0 2.0573 106.757 13.8604 26.1027 3.40712e-05 0.042113 -0.0119359 6.1742e-05 305 30. 0.052397 0.053505 19.4404 26.1027 1 2458210.7552431 620120142 34.63945994139 68.214134 0.564874 0.968597 -28.42203297267 116.572868 -0.245456 1.078029 0.168219035687599 18.1849996566772 0.0670000016689301 6.34899997711182 0.34400001168251 2458166.825127 2458442.017882 0
 5 620 11 3 ZTF_r 460198264215 0 2.4291 176.813 92.2361 24.0624 0.00020806 0.0626618 0.121378 0.000363206 135 30. 0.061625 0.059282 17.3873 26.275 1 2458214.6982639 620120242 -31.91535160404 135.439819 -0.262125 0.878526 -777.47890583701 640.069885 -1.222859 1.069980 0.122825758145955 17.3580001831055 0.068000003695488 6.23000001907349 0.503000020980835 2458154.756736 2458184.746030 56
 6 620 11 3 ZTF_r 460219734215 33554432 2.3978 54.1993 9.95142 24.9486 8.46379e-05 0.0617732 0.137517 0.000125578 309 30. 0.058157 0.058232 18.5367 24.9486 1 2458214.7197338 620120242 39.18042350651 48.493095 0.898761 1.064269 121.91359293728 81.159988 1.512256 1.068292 0.122825758145955 17.3580001831055 0.068000003695488 6.23000001907349 0.503000020980835 2458154.756736 2458184.746030 0
 7 620 11 3 ZTF_r 463201124215 0 1.5121 178.357 8.62907 26.1176 1.33048e-05 0.0284705 0.116462 1.93604e-05 388 30. 0.05472 0.048515 20.3046 26.275 1 2458217.7011227 620120242 -14.02109754759 31.574320 -0.493973 0.990600 -89.73431820404 63.952293 -1.412595 1.018399 0.122825758145955 17.3580001831055 0.068000003695488 6.23000001907349 0.503000020980835 2458154.756736 2458184.746030 0
 8 620 11 3 ZTF_r 463256444215 0 1.74 178.922 8.49181 26.1386 1.41624e-05 0.0294593 0.11608 2.06238e-05 389 30. 0.047609 0.046372 20.2647 26.275 1 2458217.7564468 620120242 110.98974346898 34.060001 3.624875 1.121519 156.67535844656 65.723457 2.399913 1.031131 0.122825758145955 17.3580001831055 0.068000003695488 6.23000001907349 0.503000020980835 2458154.756736 2458184.746030 0
