# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v5.9 on 2024-07-31 at 16:27:29
#
# Requested input R.A. = 232.765417 degrees
# Requested input Dec. = 53.40535 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460157.5 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 794 7 3 ZTF_r 444362702615 0 1.9494 162.159 6.36355 26.2868 5.4637e-06 0.0205398 0.106167 9.13184e-06 483 30. 0.043063 0.047 20.475 26.2868 2 2458198.8627083 794120226 9.08303645922 23.333397 0.433020 1.099456 -24.73975035794 43.407780 -0.573777 1.038828 0.12332066061022 18.503000164032 0.061999998986721 3.65599989891052 0.435000002384186 2458198.982431 2458218.959884 0
 1 794 7 3 ZTF_r 444387482615 0 1.4844 157.438 6.43343 26.2383 7.9023e-06 0.0246323 0.110369 1.31865e-05 481 30. 0.056531 0.055415 20.617 26.2383 2 2458198.8874884 794120226 8.29914091201 22.258375 0.414758 1.023363 57.83660613009 44.207050 1.317123 1.035332 0.12332066061022 18.503000164032 0.061999998986721 3.65599989891052 0.435000002384186 2458198.982431 2458218.959884 0
 2 794 7 3 ZTF_r 444405312615 0 1.4114 163.452 6.0502 26.2928 8.5746e-06 0.0256915 0.109344 1.42644e-05 481 30. 0.063171 0.066551 20.7558 26.2928 2 2458198.9053125 794120226 15.71084201324 21.372732 0.817700 1.001022 77.73792758507 43.047134 1.818042 1.031628 0.12332066061022 18.503000164032 0.061999998986721 3.65599989891052 0.435000002384186 2458198.982431 2458218.959884 0
 3 794 7 3 ZTF_r 444429882615 0 1.4467 164.091 5.99303 26.2859 8.1034e-06 0.0250391 0.108286 1.3506e-05 482 30. 0.052884 0.069212 20.738 26.2859 2 2458198.9298843 794120226 -26.36240222743 21.705589 -1.351040 1.023182 -35.42966814659 43.343685 -0.822918 1.033853 0.12332066061022 18.503000164032 0.061999998986721 3.65599989891052 0.435000002384186 2458198.982431 2458218.959884 0
 4 794 7 3 ZTF_r 444477002615 0 1.5943 145.796 6.83851 26.1591 1.06306e-05 0.028645 0.109202 1.78542e-05 480 30. 0.056761 0.0597 20.4468 26.1591 2 2458198.9770023 794120226 -30.77533358618 24.817879 -1.379408 0.960304 -19.26344260573 47.237396 -0.410547 1.044572 0.12332066061022 18.503000164032 0.061999998986721 3.65599989891052 0.435000002384186 2458198.982431 2458218.959884 0
 5 794 7 3 ZTF_r 444482432615 0 1.9921 161.356 6.11458 26.2658 7.2183e-06 0.0234285 0.117259 1.20436e-05 478 30. 0.053503 0.04569 20.586 26.2658 2 2458198.9824306 794120226 43.71788288657 23.117283 2.103668 1.021361 125.00408330683 41.211746 3.053644 1.049035 0.12332066061022 18.503000164032 0.061999998986721 3.65599989891052 0.435000002384186 2458198.982431 2458218.959884 0
 6 794 7 3 ZTF_g 449369002615 0 2.4231 189.286 7.90812 26.2666 1.47722e-05 0.0333198 -0.0907425 2.64203e-05 466 30. 0.047606 0.0518 20.1165 26.2666 2 2458203.8690046 794120126 -31.18063151377 30.425001 -1.140011 1.006711 -10.27182069662 52.568420 -0.196715 1.048351 0.0536781220049149 19.4270002365112 0.0489999987185001 3.1470000743866 0.130999997258186 2458203.869005 2458229.847454 0
 7 794 7 3 ZTF_g 449405112615 0 2.1406 196.286 6.785 26.2684 1.26201e-05 0.0313682 -0.0422812 2.15082e-05 481 30. 0.04727 0.050299 20.4789 26.2684 2 2458203.9051157 794120126 -8.0842484263 24.372362 -0.368975 1.009738 -32.86463380049 41.958317 -0.788544 1.066282 0.0536781220049149 19.4270002365112 0.0489999987185001 3.1470000743866 0.130999997258186 2458203.869005 2458229.847454 0
 8 794 7 3 ZTF_g 449410842615 0 2.0551 197.601 6.5344 26.2653 1.03735e-05 0.0285603 -0.0370245 1.76568e-05 482 30. 0.045282 0.044444 20.5602 26.2653 1 2458203.9108449 794120126 -17.0456758198 23.826273 -0.795816 0.998159 -45.97154499946 41.429859 -1.117097 1.066272 0.0536781220049149 19.4270002365112 0.0489999987185001 3.1470000743866 0.130999997258186 2458203.869005 2458229.847454 0
