# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v5.9 on 2024-07-31 at 16:30:28
#
# Requested input R.A. = 208.4925784 degrees
# Requested input Dec. = 50.0417637 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460157.5 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 757 13 3 ZTF_r 444381885015 0 2.0018 161.207 7.19584 25.9347 1.23319e-05 0.0258215 0.105983 1.92872e-05 315 30. 0.050919 0.048094 20.089 25.9347 2 2458198.8818866 757120250 -17.76245606475 30.359123 -0.650832 1.575677 -23.20829380593 58.400307 -0.400077 1.041369 0.476743817885607 18.8580001831055 0.046000000089407 2.97000002861023 0.144999995827675 2458155.975278 2458198.881887 0
 1 757 13 3 ZTF_r 444408205015 0 1.6785 222.496 5.48661 26.2663 1.01262e-05 0.0232807 0.114585 1.57436e-05 316 30. 0.052794 0.049882 20.7242 26.2663 2 2458198.908206 757120250 -26.97684462655 23.156960 -1.295879 3.351607 -105.84054086773 45.272015 -2.353626 1.042951 0.476743817885607 18.8580001831055 0.046000000089407 2.97000002861023 0.144999995827675 2458155.975278 2458198.881887 0
 2 757 13 3 ZTF_r 445294345015 33554480 2.474 5.2691 9.37109 22.4518 0.0177761 0.155901 0.0238796 0.0273151 17 30. 0.065742 0.060547 15.9987 22.4518 2 2458199.7943403 757120250 -5.77871580344 47.080231 -0.136536 0.972761 113.82297968304 82.066536 1.396301 1.078326 0.476743817885607 18.8580001831055 0.046000000089407 2.97000002861023 0.144999995827675 2458155.975278 2458198.881887 0
 3 757 13 3 ZTF_r 445316675015 33554432 1.9719 65.8278 7.47171 24.9658 6.66452e-05 0.0587288 0.0891829 0.000103172 305 30. 0.049759 0.050101 18.9762 24.9658 2 2458199.8166782 757120250 17.15295620269 34.198826 0.557934 1.539786 -18.0659845546 67.725296 -0.268550 1.032776 0.476743817885607 18.8580001831055 0.046000000089407 2.97000002861023 0.144999995827675 2458155.975278 2458198.881887 0
 4 757 13 3 ZTF_g 448295475015 0 2.3395 220.036 6.96863 26.3206 2.6989e-05 0.037779 -0.054595 4.44273e-05 301 30. 0.053406 0.045831 20.3236 26.3206 2 2458202.7954745 757120150 18.9487683407 35.269485 0.597636 1.430882 -40.88931113693 59.175255 -0.695640 1.078551 0.547128512423987 19.5949999809265 0.0560000017285347 2.85599994659424 0.223000004887581 2458166.948206 2458204.896609 0
 5 757 13 3 ZTF_g 448349365015 0 2.1214 221.787 6.03263 26.3225 2.0051e-05 0.0331583 -0.0397572 3.16152e-05 315 30. 0.052302 0.048435 20.6494 26.3225 1 2458202.8493634 757120150 31.54470267716 29.726524 1.180422 2.135334 16.1423205424 50.722912 0.320389 1.088514 0.547128512423987 19.5949999809265 0.0560000017285347 2.85599994659424 0.223000004887581 2458166.948206 2458204.896609 0
 6 757 13 3 ZTF_g 448350815015 0 2.2083 223.301 6.00008 26.3211 2.14512e-05 0.0339513 -0.0423958 3.42979e-05 310 30. 0.055826 0.050765 20.6062 26.3211 2 2458202.8508102 757120150 41.71865001902 29.930475 1.550499 2.084716 207.6389993926 50.693264 4.123575 1.087377 0.547128512423987 19.5949999809265 0.0560000017285347 2.85599994659424 0.223000004887581 2458166.948206 2458204.896609 0
 7 757 13 3 ZTF_g 449346335015 0 2.4424 223.393 7.45319 26.3478 2.10686e-05 0.0334194 -0.0788307 3.44226e-05 303 30. 0.055661 0.052748 20.2196 26.3478 2 2458203.846331 757120150 -9.99516288517 39.455555 -0.281797 1.277110 -152.93566748038 67.313271 -2.287301 1.058445 0.547128512423987 19.5949999809265 0.0560000017285347 2.85599994659424 0.223000004887581 2458166.948206 2458204.896609 0
 8 757 13 3 ZTF_g 449362825015 0 2.4039 218.367 7.4017 26.3271 2.12818e-05 0.0337424 -0.0630657 3.42903e-05 303 30. 0.053642 0.052576 20.2183 26.3271 2 2458203.8628241 757120150 -40.06571388002 39.407024 -1.130978 1.152323 -11.70343568729 66.940773 -0.176010 1.066524 0.547128512423987 19.5949999809265 0.0560000017285347 2.85599994659424 0.223000004887581 2458166.948206 2458204.896609 0
