MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
58361.594722  18.648  0.151   126   19 o  0   1.77  32.90599  34.04207  4053.85  6273.71 3.23 2.82 -82.6 -0.442 18.84 19.97 01a58361o0734o
58361.612719  18.739  0.216   116   25 o  0   1.04  32.90599  34.04207  4088.44  6309.57 3.24 2.85 -88.5 -0.443 18.81 19.94 01a58361o0768o
58361.625008  18.856  0.210   104   22 o  0   1.55  32.90599  34.04207  4022.19  6231.43 3.25 2.82 -85.8 -0.447 18.78 19.92 01a58361o0787o
58361.638165  18.807  0.434   109   47 o  0   1.08  32.90599  34.04207  4008.54  6346.43 3.40 2.97 -87.3 -0.450 18.24 19.11 01a58361o0808o
58363.634221  18.771  0.248   113   28 o  0   1.04  32.90599  34.04207  5712.15  3385.99 2.20 1.98 -53.5 -0.460 18.49 19.27 02a58363o0230o
58363.636797  18.656  0.280   125   35 o  0   1.45  32.90599  34.04207  5679.21  3348.11 2.23 1.97 -62.1 -0.475 18.26 19.04 02a58363o0234o
58365.591194  19.113  0.152    82   12 o  0   1.23  32.90599  34.04207  4692.79  5857.50 2.98 2.77 -79.2 -0.434 19.38 21.07 01a58365o0620o
58365.601857  18.806  0.111   109   12 o  0   2.80  32.90599  34.04207  4725.91  5893.44 3.09 2.75 -82.5 -0.439 19.38 21.08 01a58365o0641o
58365.624757  19.019  0.149    90   13 o  0   1.66  32.90599  34.04207  4663.02  5815.03 2.95 2.68 -83.5 -0.446 19.34 20.97 01a58365o0680o
58365.638404  18.432  0.216   154   33 o  0   1.17  32.90599  34.04207  4649.26  5929.45 3.11 2.83 -85.8 -0.446 18.50 19.41 01a58365o0701o
58367.600031  18.837  0.098   106   10 o  0   1.42  32.90599  34.04207  7087.09  3165.93 2.17 2.09  54.1 -0.444 19.69 21.08 02a58367o0764o
58367.610023  18.663  0.076   124    9 o  0   1.67  32.90599  34.04207  7067.60  3125.13 2.20 2.11  50.8 -0.446 19.64 21.05 02a58367o0784o
58367.628169  18.816  0.091   108   10 o  0   1.41  32.90599  34.04207  7125.17  3202.59 2.16 2.03  43.5 -0.453 19.69 21.11 02a58367o0816o
