# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v6.0 on 2025-05-22 at 07:27:22
#
# Requested input R.A. = 179.5750896 degrees
# Requested input Dec. = 10.0562904 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460157.5 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 524 6 3 ZTF_g 448312482215 0 2.4358 128.932 7.38045 26.2985 1.91763e-05 0.032035 -0.0246451 3.32233e-05 298 30. 0.070073 0.062268 20.3061 26.2985 1 2458202.8124884 524120122 33.0135405478 34.431023 1.066589 1.048044 -35.73434512958 54.363552 -0.661749 1.103670 0.0940439862726997 17.6630002975464 0.0410000011324883 3.62299990653992 0.216999992728233 2458166.871968 2458428.038912 0
 1 524 6 3 ZTF_g 448332542215 0 3.1247 129.117 7.23073 26.3003 2.06881e-05 0.0334572 -0.023485 3.53486e-05 307 30. 0.067488 0.060411 20.3403 26.3003 1 2458202.8325463 524120122 -31.95958002907 33.026268 -1.076456 1.032271 -84.87265280025 52.473362 -1.628336 1.102707 0.0940439862726997 17.6630002975464 0.0410000011324883 3.62299990653992 0.216999992728233 2458166.871968 2458428.038912 0
 2 524 6 3 ZTF_g 451260542215 0 2.5611 128.064 14.9932 26.3267 4.07882e-05 0.0427524 -0.056161 8.4992e-05 246 30. 0.066515 0.053722 19.3647 26.3267 1 2458205.760544 524120122 -185.06978344106 75.035263 -2.743626 0.993223 -226.69875682966 123.396614 -1.849529 1.060641 0.0940439862726997 17.6630002975464 0.0410000011324883 3.62299990653992 0.216999992728233 2458166.871968 2458428.038912 0
 3 524 6 3 ZTF_g 451316222215 0 2.3283 130.362 14.6551 26.3062 3.15786e-05 0.0386833 -0.0298344 6.59561e-05 264 30. 0.062121 0.054845 19.4846 26.3062 1 2458205.8162269 524120122 -37.3723943662 76.684105 -0.542126 70.154861 -37.88168268758 131.561722 -0.289878 1.056919 0.0940439862726997 17.6630002975464 0.0410000011324883 3.62299990653992 0.216999992728233 2458166.871968 2458428.038912 0
 4 524 6 3 ZTF_g 456286082215 0 2.5948 66.4084 22.9304 25.606 0.000177413 0.0450576 -0.0366949 0.000452368 88 30. 0.071717 0.067562 18.179 25.606 1 2458210.786088 524120122 77.82139759027 122.683975 0.705612 0.929250 78.00511009549 190.091782 0.413119 1.098909 0.0940439862726997 17.6630002975464 0.0410000011324883 3.62299990653992 0.216999992728233 2458166.871968 2458428.038912 0
 5 524 6 3 ZTF_g 456303762215 0 2.4789 120.142 16.8233 26.2045 4.73081e-05 0.0418261 -0.0123315 9.85427e-05 210 30. 0.067951 0.061642 19.1625 26.2045 1 2458210.8037616 524120122 -142.14029005273 83.287544 -1.898418 1.024091 -277.44517279842 131.885315 -2.117853 1.091528 0.0940439862726997 17.6630002975464 0.0410000011324883 3.62299990653992 0.216999992728233 2458166.871968 2458428.038912 0
 6 524 6 3 ZTF_r 460239162215 0 2.8158 270.336 13.7091 25.6915 2.71149e-05 0.0385928 0.112801 4.12759e-05 327 30. 0.073507 0.066196 19.3644 26.275 1 2458214.7391667 524120222 -299.86602749031 71.705681 -4.651880 1.092320 -348.52340282968 110.015968 -3.189271 1.080235 0.104334740752435 16.7859996795654 0.0439999997615814 3.90499997138977 0.18299999833107 2458155.909815 2458184.875324 0
 7 524 6 3 ZTF_g 460270162215 33554432 3.7449 17.0665 6.42205 24.0906 0.000847828 0.0626042 0.0231266 0.00205267 47 30. 0.095418 0.069708 17.7372 24.0906 1 2458214.770162 524120122 -11.16898666988 47.076908 -0.263913 0.915320 -28.68448434756 62.615345 -0.461192 1.162434 0.0940439862726997 17.6630002975464 0.0410000011324883 3.62299990653992 0.216999992728233 2458166.871968 2458428.038912 0
 8 524 6 3 ZTF_r 462296452215 0 2.9512 270.21 6.00502 26.3254 1.72984e-05 0.0305331 0.140548 2.70107e-05 319 30. 0.074111 0.059659 20.1755 26.275 1 2458216.7964583 524120222 -434.46922720724 35.956955 -13.440980 1.350655 -426.30077574816 53.801994 -7.976878 1.094496 0.104334740752435 16.7859996795654 0.0439999997615814 3.90499997138977 0.18299999833107 2458155.909815 2458184.875324 0
