MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
58594.613238  18.728  0.298   117   35 o  0   0.78 282.16447  51.01352  3532.97  7294.44 3.08 2.99 -23.4 -0.437 18.55 19.66 01a58594o0826o
58594.623547  18.961  0.296    94   28 o  0   1.29 282.16447  51.01352  3521.29  7253.59 3.23 3.01 -18.8 -0.416 18.61 19.70 01a58594o0847o
58594.634022  19.076  0.975    85   83 o  0   1.21 282.16447  51.01352  3571.82  7330.87 3.23 3.05 -15.3 -0.439 17.89 18.68 01a58594o0867o
58596.635685  18.899  0.352   100   35 o  0   1.38 282.16447  51.01352  6796.82  3398.18 2.30 1.83  38.3 -0.435 18.02 17.97 02a58596o0886o
58600.634767 -18.585  1.196  -134  160 o  0   2.12 282.16447  51.01352  4759.61  1442.52 1.98 1.91 -48.5 -0.496 16.26 16.04 02a58600o0809o
58604.599560  18.833  0.119   106   13 c  0   0.80 282.16447  51.01352  1650.38  7333.91 2.39 2.29 -22.1 -0.405 19.59 21.56 02a58604o0715c
58604.609799  18.763  0.105   114   12 c  0   0.90 282.16447  51.01352  1622.43  7294.80 2.47 2.36 -13.8 -0.400 19.59 21.55 02a58604o0737c
58604.620174  18.983  0.156    93   14 c  0   0.81 282.16447  51.01352  1682.12  7374.69 2.42 2.10 -47.1 -0.443 19.47 21.05 02a58604o0758c
58604.631587  18.136  0.306   202   62 c  0   1.01 282.16447  51.01352  1688.87  7255.60 2.43 2.15 -48.0 -0.458 17.93 18.72 02a58604o0780c
58610.598221  19.042  0.166    88   15 o  0   0.98 282.16447  51.01352  9376.49  8941.16 2.85 2.79  47.5 -0.461 19.26 20.88 01a58610o0647o
58610.608528  20.805  0.849    17   15 o  0   1.00 282.16447  51.01352  9403.73  8977.21 3.01 2.96  63.7 -0.446 19.21 20.83 01a58610o0669o
58610.618337  19.133  0.197    81   16 o  0   1.28 282.16447  51.01352  9341.15  8900.03 2.92 2.82  83.9 -0.455 19.13 20.48 01a58610o0690o
58612.506482  19.005  0.113    91   10 c  0   1.22 282.16447  51.01352  6453.27 10181.47 2.75 2.61  64.9 -0.413 19.72 21.60 02a58612o0590c
58612.508407  18.732  0.081   117    9 c  0   1.28 282.16447  51.01352  6475.54 10221.27 2.72 2.67  77.4 -0.413 19.71 21.59 02a58612o0594c
58612.508864  19.015  0.106    90   10 c  0   1.14 282.16447  51.01352  5529.03    64.39 2.53 2.26 -59.6 -0.427 19.69 21.61 02a58612o0595c
58612.514781  18.996  0.113    92   10 c  0   0.96 282.16447  51.01352  6408.01 10143.71 2.80 2.54  52.1 -0.404 19.72 21.59 02a58612o0607c
58612.530527  18.978  0.116    93   11 c  0   1.23 282.16447  51.01352  6392.58 10266.31 3.18 2.52  52.3 -0.386 19.60 21.61 02a58612o0640c
58616.500054  19.156  0.171    79   14 o  0   0.90 282.16447  51.01352  6456.35 10181.71 2.36 2.22  83.2 -0.430 19.53 20.69 02a58616o0400o
58616.502823  19.217  0.152    75   11 o  0   0.97 282.16447  51.01352  6477.35 10220.92 2.36 2.17 -63.0 -0.446 19.55 20.72 02a58616o0406o
58616.509058  19.367  0.220    65   14 o  0   0.82 282.16447  51.01352  6410.88 10142.15 2.55 2.05  56.2 -0.430 19.54 20.88 02a58616o0419o
58616.519090  19.155  0.144    79   11 o  0   1.00 282.16447  51.01352  6394.78 10264.67 2.26 2.09 -72.8 -0.448 19.72 21.08 02a58616o0440o
58616.534792  19.247  0.151    73   11 o  0   1.16 282.16447  51.01352  5535.09    66.52 2.20 1.84 -51.8 -0.459 19.71 21.10 02a58616o0473o
58618.524789  19.362  0.226    65   15 o  0   1.45 282.16447  51.01352  2883.01  8682.86 2.73 2.59 -38.5 -0.487 19.12 20.36 01a58618o0602o
58618.527708  19.844  0.415    42   17 o  0   1.15 282.16447  51.01352  2864.39  8645.41 2.83 2.67 -29.7 -0.469 19.05 20.37 01a58618o0608o
58618.533131  19.336  0.226    67   15 o  0   1.37 282.16447  51.01352  2919.01  8721.29 2.74 2.62 -35.8 -0.494 19.11 20.40 01a58618o0619o
58618.543890  19.998  0.434    36   16 o  0   1.13 282.16447  51.01352  2935.00  8607.39 2.73 2.64 -27.5 -0.469 19.12 20.49 01a58618o0641o
58620.532029  19.505  0.317    57   18 o  0   0.74 282.16447  51.01352  2509.76  5783.18 2.22 1.97  48.9 -0.435 18.98 19.51 02a58620o0447o
58620.536803  19.059  0.198    86   17 o  0   1.17 282.16447  51.01352  2523.48  5824.06 2.19 1.96  47.9 -0.429 19.01 19.52 02a58620o0457o
58620.541714  19.155  0.230    79   18 o  0   0.95 282.16447  51.01352  2465.65  5748.61 2.19 2.00  43.1 -0.424 18.95 19.53 02a58620o0467o
58620.551827  18.852  0.159   104   17 o  0   1.18 282.16447  51.01352  2446.99  5859.96 2.22 2.00  44.2 -0.432 18.98 19.58 02a58620o0488o
58622.514977  19.456  0.572    60   34 o  0   0.85 282.16447  51.01352  2876.72  8683.06 2.99 2.91 -46.0 -0.455 18.58 19.60 01a58622o0587o
58622.518232 -20.588  1.391   -21   29 o  0   1.33 282.16447  51.01352  2857.29  8645.27 2.95 2.86 -46.9 -0.459 18.62 19.61 01a58622o0594o
58622.525206  19.507  0.498    57   28 o  0   1.07 282.16447  51.01352  2914.27  8722.40 2.85 2.76 -46.9 -0.469 18.64 19.62 01a58622o0609o
58622.535804  19.141  0.348    80   28 o  0   1.21 282.16447  51.01352  2934.85  8605.40 2.84 2.74 -34.1 -0.473 18.67 19.64 01a58622o0630o
58626.518391  19.421  0.272    62   17 o  0   1.15 282.16447  51.01352  6344.12  2307.19 3.61 3.11  -8.7 -0.422 19.08 20.43 01a58626o0624o
58626.529368  19.831  0.381    42   16 o  0   1.37 282.16447  51.01352  6322.25  2269.97 3.58 3.06  -9.7 -0.420 19.09 20.45 01a58626o0647o
58626.533108  19.620  0.350    52   18 o  0   1.15 282.16447  51.01352  6383.03  2346.63 3.65 3.10 -10.8 -0.422 19.10 20.45 01a58626o0655o
58626.537904  19.491  0.306    58   18 o  0   1.15 282.16447  51.01352  6403.70  2228.89 3.69 3.09 -12.0 -0.414 19.09 20.43 01a58626o0665o
58630.593110  19.472  0.219    59   13 o  0   1.01 282.16447  51.01352  4223.27  8262.25 2.99 2.85 -15.0 -0.451 19.23 20.96 01a58630o0762o
58630.596342  19.278  0.197    71   14 o  0   1.22 282.16447  51.01352  4243.95  8300.63 3.07 2.87 -17.6 -0.439 19.20 20.98 01a58630o0769o
58630.601431  19.257  0.216    72   16 o  0   0.94 282.16447  51.01352  4183.33  8223.04 3.12 2.87 -17.5 -0.432 19.22 20.95 01a58630o0780o
58630.614901  19.696  0.458    48   22 o  0   1.05 282.16447  51.01352  4170.36  8337.55 3.09 2.86 -17.4 -0.435 18.83 19.94 01a58630o0808o
58634.479292  20.265  0.401    28   11 o  0   0.94 282.16447  51.01352  8496.76  8827.80 2.81 2.69  77.4 -0.464 19.43 21.27 01a58634o0534o
58634.482063  19.885  0.275    40   11 o  0   1.25 282.16447  51.01352  8475.73  8788.48 2.75 2.64  70.3 -0.469 19.44 21.28 01a58634o0540o
58634.491983  19.848  0.244    42   10 o  0   1.19 282.16447  51.01352  8530.77  8868.66 2.77 2.67  80.9 -0.470 19.44 21.29 01a58634o0560o
58634.501389  19.286  0.166    70   12 o  0   1.00 282.16447  51.01352  8547.72  8751.11 2.83 2.69  84.9 -0.464 19.46 21.34 01a58634o0580o
58636.466524  19.623  0.138    51    7 c  0   1.15 282.16447  51.01352  2305.08  3744.01 2.42 2.34 -68.2 -0.416 19.72 21.67 02a58636o0504c
58636.469305  19.514  0.143    57    8 c  0   0.93 282.16447  51.01352  2323.05  3782.95 2.40 2.33 -71.8 -0.417 19.72 21.68 02a58636o0510c
58636.476000  19.609  0.160    52    8 c  0   1.22 282.16447  51.01352  2266.66  3703.88 2.40 2.32 -89.1 -0.417 19.75 21.68 02a58636o0524c
58636.486866  19.609  0.128    52    7 c  0   1.88 282.16447  51.01352  2249.68  3821.08 2.38 2.31 -63.3 -0.421 19.77 21.75 02a58636o0547c
58638.557822  19.870  0.549    41   22 o  0   1.51 282.16447  51.01352  2016.51  1756.51 3.48 3.20 -10.7 -0.404 18.50 20.20 01a58638o0308o
58638.560583  19.515  0.469    57   27 o  0   0.85 282.16447  51.01352  2037.43  1796.23 3.86 3.55 -12.3 -0.377 18.63 20.43 01a58638o0314o
58638.570113  20.026  1.444    35   51 o  0   0.97 282.16447  51.01352  1979.39  1718.49 3.72 3.37 -14.9 -0.394 18.10 19.84 01a58638o0334o
58638.580934 -18.347  0.476  -166   79 o  0   1.18 282.16447  51.01352  1967.29  1834.47 3.67 3.21 -11.1 -0.400 17.68 19.27 01a58638o0357o
58642.498374  20.386  0.444    25   11 o  0   1.34 282.16447  51.01352  6095.90  4838.38 3.14 2.94 -10.5 -0.428 19.33 21.17 01a58642o0569o
58642.502242  19.949  0.326    38   12 o  0   1.16 282.16447  51.01352  6075.12  4797.83 3.24 2.98 -12.8 -0.425 19.29 21.08 01a58642o0577o
58642.508312  19.908  0.278    40   11 o  0   1.51 282.16447  51.01352  6134.02  4876.12 3.01 2.75 -12.8 -0.442 19.38 21.06 01a58642o0590o
58642.528183  19.960  0.305    38   12 o  0   1.45 282.16447  51.01352  4382.73  5815.87 3.04 2.76 -12.0 -0.437 19.37 21.01 01a58642o0630o
58644.462641  19.674  0.224    49   11 o  0   1.09 282.16447  51.01352  9945.67  3751.70 2.15 1.99  48.1 -0.437 19.62 21.09 02a58644o0494o
58644.463556  19.461  0.144    60    9 o  0   1.41 282.16447  51.01352   378.58  3751.65 2.07 1.91 -59.4 -0.443 19.66 21.08 02a58644o0496o
58644.465410  19.693  0.196    48    9 o  0   1.19 282.16447  51.01352  9965.90  3790.18 2.23 1.93 -60.7 -0.458 19.70 21.13 02a58644o0500o
58644.466325  19.621  0.183    52    9 o  0   1.02 282.16447  51.01352   399.36  3791.90 2.13 1.90 -55.8 -0.442 19.67 21.11 02a58644o0502o
58644.473936  19.907  0.227    40    9 o  0   0.98 282.16447  51.01352   341.61  3713.79 2.05 1.97 -56.6 -0.427 19.70 21.17 02a58644o0518o
58644.474851  19.534  0.179    56   10 o  0   1.01 282.16447  51.01352  9911.32  3719.83 2.18 1.93 -57.0 -0.453 19.72 21.21 02a58644o0520o
58644.483985  20.122  0.228    32    7 o  0   1.49 282.16447  51.01352   326.28  3833.46 2.20 1.83  33.6 -0.436 19.66 21.18 02a58644o0539o
