MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
58576.549372 -21.414  0.841   -10    8 c  0   1.16 210.42146  38.51032  8355.28  8268.61 2.62 2.48 -63.3 -0.404 19.81 21.89 02a58576o0702c
58576.563689 -23.881  7.571    -1    8 c  0   1.69 210.42146  38.51032  8337.67  8228.21 2.61 2.53 -87.8 -0.398 19.79 21.87 02a58576o0733c
58576.581875  21.965  1.317     6    8 c  0   1.29 210.42146  38.51032  8396.73  8308.25 2.64 2.45 -56.3 -0.412 19.78 21.81 02a58576o0772c
58576.585900 -21.728  0.941    -7    7 c  0   1.97 210.42146  38.51032  8410.05  8190.88 2.62 2.48 -63.0 -0.405 19.73 21.80 02a58576o0780c
58578.531462 -25.516 53.000    -0   12 o  0   1.21 210.42146  38.51032  7448.77   313.42 3.51 2.99 -23.2 -0.410 19.45 21.28 01a58578o0679o
58578.533312  23.439  7.222     2   11 o  0   1.45 210.42146  38.51032  4484.07 10105.76 2.78 2.67 -46.2 -0.475 19.43 21.27 01a58578o0683o
58578.545331  21.516  1.333     9   12 o  0   1.22 210.42146  38.51032  4502.37 10144.27 2.81 2.72 -48.1 -0.477 19.44 21.23 01a58578o0709o
58578.546730  20.472  0.547    24   13 o  0   1.01 210.42146  38.51032  7467.58   351.64 3.43 2.98 -24.9 -0.412 19.46 21.24 01a58578o0712o
58578.549648  22.348  3.222     4   14 o  0   1.04 210.42146  38.51032  7406.35   275.43 3.52 3.06 -26.2 -0.415 19.41 21.21 01a58578o0718o
58578.551087 -21.168  0.931   -12   12 o  0   1.13 210.42146  38.51032  4439.35 10065.32 2.78 2.67 -54.5 -0.493 19.43 21.20 01a58578o0721o
58578.561449 -24.026 14.250    -1   13 o  0   1.05 210.42146  38.51032  7394.40   394.14 3.42 3.00 -26.6 -0.417 19.42 21.24 01a58578o0743o
58578.563388  22.185  2.444     5   12 o  0   1.21 210.42146  38.51032  4427.58 10183.49 2.86 2.74 -59.5 -0.477 19.43 21.23 01a58578o0747o
58580.525152  23.057  3.824     2    8 c  0   1.38 210.42146  38.51032  2686.62  6310.71 2.43 2.39 -55.5 -0.401 19.64 21.50 02a58580o0649c
58580.539109  21.935  1.490     6    9 c  0   0.91 210.42146  38.51032  2670.81  6271.18 2.34 2.30  43.1 -0.418 19.71 21.51 02a58580o0679c
58580.542947 -22.183  2.000    -5   10 c  0   1.01 210.42146  38.51032  2730.58  6345.92 2.59 2.26  41.8 -0.397 19.68 21.48 02a58580o0687c
58580.557264  21.699  1.250     8   10 c  0   0.98 210.42146  38.51032  2746.88  6231.04 2.31 2.29 -55.4 -0.410 19.66 21.45 02a58580o0717c
58582.500849  22.663  3.611     3   11 o  0   1.32 210.42146  38.51032  2421.35  6233.43 2.82 2.71 -12.7 -0.471 19.42 21.18 01a58582o0611o
58582.512964  20.479  0.532    23   12 o  0   1.03 210.42146  38.51032  2438.81  6271.11 2.93 2.85 -15.7 -0.461 19.37 21.17 01a58582o0637o
58582.517620 -21.018  0.892   -14   13 o  0   1.05 210.42146  38.51032  2393.28  6193.41 2.96 2.88 -21.2 -0.456 19.38 21.15 01a58582o0647o
58582.532673  22.049  2.233     6   12 o  0   1.10 210.42146  38.51032  2365.88  6306.76 2.86 2.82 -14.5 -0.470 19.32 21.06 01a58582o0679o
58588.510202  19.314  0.206    68   14 o  0   1.09 210.42146  38.51032  6187.18  4359.00 2.02 1.99 -58.8 -0.451 19.11 19.86 02a58588o0397o
58588.523079  19.530  0.269    56   15 o  0   1.05 210.42146  38.51032  6170.59  4319.85 2.02 1.98 -68.1 -0.441 19.09 19.84 02a58588o0425o
58588.527419  19.177  0.203    78   16 o  0   1.01 210.42146  38.51032  6230.58  4395.56 1.92 1.90 -61.0 -0.447 19.14 19.86 02a58588o0434o
58588.543464  19.249  0.219    72   16 o  0   0.96 210.42146  38.51032  6246.98  4279.91 2.06 1.97 -46.4 -0.445 19.11 19.93 02a58588o0468o
58590.510633  18.807  0.381   109   42 o  0   0.95 210.42146  38.51032  8518.98  9998.27 3.26 2.96  88.6 -0.462 18.29 19.18 01a58590o0603o
58590.512021  19.067  0.368    86   32 o  0   1.46 210.42146  38.51032  2071.60   390.74 3.15 2.92 -13.5 -0.447 18.36 19.21 01a58590o0606o
58590.516858  24.899 87.500     0   35 o  0   0.91 210.42146  38.51032  2089.34   429.15 3.11 2.93  -7.7 -0.442 18.37 19.19 01a58590o0616o
58590.517777  18.709  0.293   119   35 o  0   1.32 210.42146  38.51032  8535.13 10036.39 3.25 2.89 -88.6 -0.458 18.33 19.15 01a58590o0618o
58590.530699  19.656  0.698    50   35 o  0   1.26 210.42146  38.51032  8473.40  9960.52 3.30 2.98 -88.4 -0.473 18.23 19.11 01a58590o0646o
58590.531633  21.076  2.585    14   35 o  0   1.20 210.42146  38.51032  2044.05   349.33 3.13 3.00  -1.6 -0.458 18.30 19.15 01a58590o0648o
58590.535038  20.131  1.206    32   39 o  0   1.14 210.42146  38.51032  2017.67   466.78 3.26 3.17 -23.1 -0.426 18.20 19.15 01a58590o0655o
58590.536496  19.670  0.810    49   40 o  0   1.11 210.42146  38.51032  8459.53 10078.66 3.36 2.92 -84.7 -0.465 18.24 19.11 01a58590o0658o
58591.460791  18.738  0.372   116   43 o  0   1.06 210.42146  38.51032  4641.51 10188.06 2.54 2.00 -50.7 -0.455 18.40 18.63 02a58591o0492o
58591.464033  18.882  0.368   102   38 o  0   1.25 210.42146  38.51032  4624.00 10147.78 2.55 1.96 -50.4 -0.365 18.40 18.63 02a58591o0499o
58591.481895  18.634  0.302   128   38 o  0   1.26 210.42146  38.51032  4664.44 10223.67 2.65 1.95 -47.1 -0.461 18.40 18.64 02a58591o0535o
58591.492174  18.582  0.345   134   46 o  0   0.74 210.42146  38.51032  4672.72 10107.71 2.70 2.00 -45.8 -0.443 18.34 18.61 02a58591o0555o
58593.504933  20.363  1.254    26   33 o  0   1.71 210.42146  38.51032  6404.81  8109.83 3.02 2.93 -26.2 -0.448 18.41 19.35 01a58593o0580o
58593.513939  19.609  0.798    52   42 o  0   1.09 210.42146  38.51032  6421.08  8148.33 3.18 3.11 -27.9 -0.430 18.37 19.32 01a58593o0599o
58593.530424  19.900  1.133    40   45 o  0   0.87 210.42146  38.51032  6358.52  8072.44 2.98 2.86 -22.2 -0.447 18.35 19.27 01a58593o0634o
58593.535244  19.306  0.695    69   48 o  0   0.92 210.42146  38.51032  6345.66  8188.78 2.99 2.90 -28.6 -0.457 18.37 19.26 01a58593o0644o
58594.465491  20.065  0.870    34   30 o  0   1.18 210.42146  38.51032  6402.80  8114.54 3.00 2.86   1.6 -0.439 18.61 19.64 01a58594o0528o
58594.476604  18.863  0.326   103   34 o  0   0.91 210.42146  38.51032  6420.76  8151.59 3.28 3.10  -4.8 -0.428 18.55 19.64 01a58594o0552o
58594.496210  18.904  0.319   100   32 o  0   0.77 210.42146  38.51032  6360.55  8072.85 3.20 3.06   5.1 -0.433 18.60 19.65 01a58594o0594o
58594.499951  18.864  0.281   103   29 o  0   1.18 210.42146  38.51032  6349.32  8190.04 3.11 3.05  -4.4 -0.433 18.57 19.65 01a58594o0602o
