MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
58591.230307  20.223  1.855    30   55 o  0   1.01  94.09262 -21.35995  6217.07   119.02 3.62 3.11 -19.3 -0.417 17.84 18.56 01a58591o0020o
58591.233712 -21.127  3.860   -13   50 o  0   1.00  94.09262 -21.35995  6236.34   157.82 3.64 3.13 -18.7 -0.415 17.96 18.78 01a58591o0027o
58591.234173 -18.687  0.368  -122   45 o  0   0.96  94.09262 -21.35995  1821.46  9919.83 2.83 2.71 -62.7 -0.509 18.11 18.94 01a58591o0028o
58591.238882 -19.262  0.624   -72   45 o  0   0.97  94.09262 -21.35995  6181.20    79.58 3.57 3.10 -20.9 -0.408 18.13 18.89 01a58591o0038o
58591.239897 -20.565  1.962   -22   42 o  0   1.12  94.09262 -21.35995  1839.86  9957.45 2.99 2.84 -65.8 -0.485 18.20 19.03 01a58591o0040o
58591.246013 -20.520  1.957   -22   44 o  0   0.96  94.09262 -21.35995  6164.93   196.99 3.53 3.03 -18.9 -0.424 18.07 18.88 01a58591o0053o
58591.247478  18.714  0.366   119   44 o  0   1.38  94.09262 -21.35995  1784.16  9879.25 2.69 2.56 -66.6 -0.540 18.26 19.02 01a58591o0056o
58591.255513 -19.696  0.949   -48   46 o  0   1.15  94.09262 -21.35995  1766.21  9997.14 2.82 2.65 -68.6 -0.517 18.18 18.95 01a58591o0073o
58595.230228  18.735  0.901   116  105 o  0   1.37  94.09262 -21.35995  3711.05  7919.04 3.36 2.91  -9.4 -0.440 17.74 18.51 01a58595o0023o
58595.235008  22.227  5.333     5   25 o  0   1.76  94.09262 -21.35995  3728.40  7955.96 3.08 2.76  -9.5 -0.431 18.60 19.60 01a58595o0033o
58595.242084 -21.301  1.569   -11   17 o  0   1.65  94.09262 -21.35995  3672.29  7878.11 3.24 2.87  -9.2 -0.424 18.97 20.34 01a58595o0048o
58595.251598 -21.107  1.492   -13   20 o  0   1.20  94.09262 -21.35995  3655.24  7994.92 3.18 2.98 -10.3 -0.429 19.01 20.45 01a58595o0068o
58597.230572 -20.119  4.944   -32  161 o  0   1.30  94.09262 -21.35995   285.01  8427.16 2.75 2.08 -50.7 -0.357 17.44 17.38 02a58597o0018o
58597.231968 -22.790 53.722    -3  149 o  0   1.18  94.09262 -21.35995 10038.71  8474.30 2.37 2.29 -76.4 -0.492 17.88 18.02 02a58597o0021o
58597.232882 -18.749  0.580  -115   67 o  0   1.13  94.09262 -21.35995   268.79  8386.61 2.42 2.14 -54.8 -0.414 17.91 18.06 02a58597o0023o
58597.235709 -20.651  2.333   -20   46 o  0   1.23  94.09262 -21.35995 10002.76  8434.10 2.43 2.30 -62.2 -0.429 18.43 18.98 02a58597o0029o
58597.240506 -20.122  0.594   -32   19 o  0   1.57  94.09262 -21.35995 10076.60  8510.27 2.38 2.31 -65.8 -0.417 18.94 19.77 02a58597o0039o
58597.246182 -21.202  1.486   -12   18 o  0   1.37  94.09262 -21.35995 10094.08  8393.05 2.55 2.44 -64.6 -0.424 19.03 20.11 02a58597o0051o
58711.626450 -17.716  0.224  -298   67 o  0   1.20  94.09262 -21.35995  1051.27  2566.17 4.08 3.86  -6.6 -0.370 17.77 18.81 01a58711o0865o
58711.629383 -18.008  0.385  -227   88 o  0   1.19  94.09262 -21.35995  1032.17  2527.40 4.40 4.21  -8.8 -0.386 17.53 18.54 01a58711o0871o
